cabacı,xu1ebu1exu1y
câmi'in,xu1emako3
câmiin,xu1emako3
câmi-i,xu1emau4
câmi'-i,xu1emau4
câmii,xu1emay
camî-i,xu1emyo5u4
câmiiyete,xu1emaybo2h
câmiiyetidir,xu1emaybo2ydr
câmiiyetinden,xu1emaybo2bo1dbo1
câmiiyetine,xu1emaybo2bo1h
câmiiyetinin,xu1emaybo2bo1ko3
câmiiyetini,xu1emaybo2bo1y
câmiiyetin,xu1emaybo2ko3
câmiiyet-i,xu1emaybo2u4
câmiiyeti,xu1emaybo2y
câmiiyetiyle,xu1emaybo2ylh
câmiiyetle,xu1emaybo2lh
câmiiyette,xu1emaybo2dh
câmiiyettir,xu1emaybo2dr
câmiiyet,xu1emaybo2
câmiiyyet-i,xu1emaybo2u4
câmiiyyeti,xu1emaybo2y
câmiiyyetiyle,xu1emaybo2ylh
câmiiyyetle,xu1emaybo2lh
câmilerde,xu1emalrdh
câmilere,xu1emalrh
câmilerinde,xu1emalrbo1dh
câmilerin,xu1emalrko3
câmileri,xu1emalry
câmiler,xu1emalr
câmimiz,xu1emamro1
câminin,xu1emako3
camî'nin,xu1emy||bo1ko3
câmî'nin,xu1emy||bo1ko3
camını,xu1embo1y
camın,xu1emko3
câmisinin,xu1emasybo1ko3
câmisi,xu1emasy
câmiülkelâm,xu1ema elklem
câmiülkelim,xu1ema elklm
câmi-ül,xu1ema el
câmi'-ül,xu1ema el
cami,xu1ema
cami',xu1ema
cami’,xu1ema
câmi,xu1ema
câmi',xu1ema
cam-ı,xu1emu4
câm-ı,xu1emu4
camî,xu1emy
camı,xu1emy
câmî,xu1emy
cami̇',xu1o4emu4ao0
cami',xu1o4emu4ao0
câmi',xu1o4emu4ao0
câmi'ye,xu1emah
câmiye,xu1emah
câmiyi,xu1emay
câmî'yi,xu1emy||yy
cam kaplamak,xu1em fo2ebu3lemfo2
camlamak,xu1emlemfo2
camlarda,xu1emlrdh
camlarını,xu1emlrybo1y
camların,xu1emlrko3
camlar,xu1emlr
camlatmak,xu1emlebo2mfo2
camlat,xu1emlebo2
camla,xu1emle
camlık,xu1emlfo2
camlı,xu1emly
camuşa,xu1emwso3h
camus (camış),xu1emws
camûs (camış),xu1emws
camus,xu1emws
câmûs,xu1emws
camuş,xu1emwso3
cam,xu1em
câm,xu1em
canana,xu1ebo1ebo1h
canane,xu1ebo1ebo1h||
cânâne,xu1ebo1ebo1h
cananımıza,xu1ebo1ebo1mro1h
cananımız,xu1ebo1ebo1mro1
cananı,xu1ebo1ebo1y
canan,xu1ebo1ebo1
cânân,xu1ebo1ebo1
canavara,xu1ebo1ewerh
canavarcasına,xu1ebo1ewerxu1h||sbo1h
canavarca,xu1ebo1ewerxu1h
canavarcıklara,xu1ebo1ewerxu1fo2lrh
canavarda,xu1ebo1ewerdh
canavardır,xu1ebo1ewerdr
canavarı,xu1ebo1ewery
canavarlara,xu1ebo1ewerlrh
canavarlardan,xu1ebo1ewerlrdbo1
canavarlarının,xu1ebo1ewerlrybo1ko3
canavarların,xu1ebo1ewerlrko3
canavarları,xu1ebo1ewerlry
canavarlar,xu1ebo1ewerlr
canavarlaşmış,xu1bo1ewerleso3mso3
canavarlığa,xu1ebo1ewerlao1h
canavarlık,xu1ebo1ewerlfo2
canavarvari,xu1bo1ewerwery
canavar,xu1ebo1ewer
cana,xu1ebo1e
cânâ,xu1ebo1e
canbahştır,xu1ebo1bu1xo1so3dr
canbaz,xu1ebo1bu1ero1
cânbâz,xu1ebo1bu1ero1
can çekişmek,xu1ebo1 xu3kso3mk
cançekişme,xu1ebo1 xu3kyso3mh
canciğer,xu1ebo1||xu1ko7r
canciğer,xu1ebo1||xu1ko7r
candan,xu1ebo1dbo1
candar,xu1ebo1der
cândâr,xu1ebo1der
candır,xu1ebo1dr
cândır,xu1ebo1dr
canefşan,xu1ebo1 efo1so3ebo1
canefşân,xu1ebo1 efo1so3ebo1
canefza,xu1ebo1 efo1ro1e
cânefzâ,xu1ebo1 efo1ro1e
caneriği,xu1ebo1 eryko7y
câne,xu1ebo1h
canfersa,xu1ebo1 fo1rse
cânfersâ,xu1ebo1 fo1rse
canfeşan,xu1ebo1 fo1so3ebo1
cânfeşân,xu1ebo1 fo1so3ebo1
canfes,xu1ebo1fo1s
canfeza,xu1ebo1 fo1ro1e
cânfezâ,xu1ebo1 fo1ro1e
cangılcungul,xu1ebo1ao1l xu1wbo1ao1wl
cangüdaz,xu1ebo1 ko7dero1
cângüdâz,xu1ebo1 ko7dero1
canhıraşanede,xu1ebo1xo1reso3ebo1h||dh
canhıraş,xu1ebo1xo1reso3
canhıraş,xu1ebo1 xo1reso3
canibdar,xu1ebo1bu1der
cânibdâr,xu1ebo1bu1der
canibden,xu1ebo1bu1dbo1
canibde,xu1ebo1bu1dh
canibindeki,xu1ebo1bu1bo1dh||ky
canibinden,xu1ebo1bu1bo1dbo1
cânibinden,xu1ebo1bu1bo1dbo1
canibinde,xu1ebo1bu1bo1dh
cânibinde,xu1ebo1bu1bo1dh
canibine,xu1ebo1bu1bo1h
cânibine,xu1ebo1bu1bo1h
canibini,xu1ebo1bu1bo1y
cânib-i,xu1ebo1bu1u4
canibiyle,xu1ebo1bu1ylh
canibler,xu1ebo1bu1lr
canib,xu1ebo1bu1
cânib,xu1ebo1bu1
canı çıkmak,xu1ebo1y xu3bu2fo2mfo2
canı çıkmak,xu1ebo1y xu3yfo2mfo2
canı istemek,xu1ebo1y esbo2mk
cânı istemek,xu1ebo1y esbo2mk
canilerden,xu1ebo1ylrdbo1
canilere,xu1ebo1ylrh
canilerin,xu1ebo1ylrko3
cânilerin,xu1ebo1ylrko3
canileri,xu1ebo1ylry
caniler,xu1ebo1ylr
canımdan,xu1ebo1mdbo1
canımın,xu1ebo1mko3
canımı,xu1ebo1my
canımızın,xu1ebo1mro1ko3
canımızı,xu1ebo1mro1y
cânımızı,xu1ebo1mro1y
canımızla,xu1ebo1mro1lh
canımız,xu1ebo1mro1
canımla,xu1ebo1mlh
canım,xu1ebo1m
canını almak,xu1ebo1bo1y elmfo2
cânını almak,xu1ebo1bo1y elmfo2
caninin,xu1ebo1ybo1ko3
câninin,xu1ebo1ybo1ko3
canını,xu1ebo1bo1y
canınızın,xu1ebo1ko3ro1ko3
cânın,xu1ebo1ko3
canı pek,xu1ebo1y bu3k
canı sıkılmış,xu1ebo1y zbu2fo2lmso3
canı sıkılmış,xu1ebo1y zyfo2lmso3
cânişin,xu1ebo1so3bu2bo1
canişin,xu1ebo1so3ybo1
can-ı,xu1ebo1u4
cani,xu1ebo1y
canı,xu1ebo1y
câni,xu1ebo1y
cânî,xu1ebo1y
cânı,xu1ebo1y
câni,xu1o4ebo1bu2
cani̇,xu1o4ebo1۪y
cani,xu1o4ebo1۪y
caniyanede,xu1ebo1yebo1h||dh
caniyane,xu1ebo1yebo1h
câniyane,xu1ebo1yebo1h
caniye,xu1ebo1yh
câniye,xu1ebo1yh
câniyi,xu1ebo1y||yy
canıyla,xu1ebo1ylh
cankurtaran,xu1ebo1 fo2wrbo2erebo1
canlanacağına,xu1ebo1lebo1h||xu1ao1bo1h
canlanacak,xu1ebo1lebo1exu1fo2
canlandıran,xu1ebo1lebo1dyrebo1
canlandırarak,xu1ebo1lebo1dyrh||rfo2
canlandırıp,xu1ebo1lebo1dyrwbu1
canlandırır,xu1ebo1lebo1dyrr
canlandırmak,xu1ebo1lbo1drmfo2
canlandırmak,xu1ebo1lebo1dyrmfo2
canlandırmış,xu1ebo1lebo1dyrmso3
canlandır,xu1ebo1lebo1dyr
canlandı,xu1ebo1lebo1dy
canlanıp,xu1ebo1lebo1wbu1
canlanmak,xu1ebo1lbo1mfo2
canlanmak,xu1ebo1lebo1mfo2
canlanmaları,xu1ebo1lebo1mh||lry
canlansın,xu1ebo1lebo1sybo1
canlan,xu1ebo1lebo1
canlara,xu1ebo1lrh
canlarımızı,xu1ebo1lrymro1y
canlarına,xu1ebo1lrybo1h
canlarından,xu1ebo1lrbo1dbo1
canlarını,xu1ebo1lrybo1y
canların,xu1ebo1lrko3
canları,xu1ebo1lry
canlarıyla,xu1ebo1lrylh
canlariyle,xu1ebo1lrylh
canlar,xu1ebo1lr
canla,xu1ebo1lh
canlılara,xu1ebo1lylrh
canlılar,xu1ebo1lylr
canlı,xu1ebo1lw
canlı,xu1ebo1ly
canlıya,xu1ebo1ly||yh
cannisar,xu1ebo1 bo1bo3er
cânnisâr,xu1ebo1 bo1bo3er
cânn,xu1ebo1o8
can sıkıntısı,xu1ebo1 zbu2fo2bo1dbu2sy
can sıkıntısı,xu1ebo1 zyfo2bo1dysy
cansın,xu1ebo1sko3
cansipar,xu1ebo1 sbu3er
cânsipâr,xu1ebo1 sbu3er
cansiperane,xu1ebo1sbu3erebo1h
cansiperane,xu1ebo1 sbu3rebo1h||
cânsiperâne,xu1ebo1 sbu3rebo1h
cansitan,xu1ebo1 sbo2ebo1
cânsitân,xu1ebo1 sbo2ebo1
cansız gibi,xu1ebo1sro1 kbu1y
cansızlara,xu1ebo1sro1lrh
cansızlardan,xu1ebo1sro1lrdbo1
cansızlar,xu1ebo1sro1lr
cansızlık,xu1ebo1sro1lfo2
cansız,xu1ebo1sro1
canvar,xu1ebo1wer
can vermek,xu1ebo1 wbu2rmk
can vermek,xu1ebo1 wyrmk
canver,xu1ebo1 wr
cânver,xu1ebo1 wr
can,xu1ebo1
cân,xu1ebo1
carcar,xu1er
carcı,xu1erxu1y
care,fo2er
care'ın,fo2erko3
caridir,xu1erydr
câridir,xu1erydr
cârîdir,xu1erydr
cariha,xu1erxh||
câriha,xu1erxh
carih,xu1erx
cârînin,xu1erybo1ko3
cari,xu1e
cari,xu1eru4
cârî,xu1eru4
cari,xu1ery
carî,xu1ery
câri,xu1ery
cârî,xu1ery
cârî,xu1o4erbu2
cari̇,xu1o4er۪y
cari,xu1o4er۪y
câriye,xu1erbu2h
cariye,xu1eryh
cariye,xu1eryh||
câriye,xu1eryh
cariyeyi,xu1eryh||yy
cârîyi,xu1ery||yy
carlayl,fo2erleyl
carlyle,fo2erleyl
carr,xu1er
carşeb,xu1erso3bu1
cârşeb,xu1erso3bu1
carub,xu1erwbu1
cârûb,xu1erwbu1
cârud,xu1erwbo2
caru,xu1erw
cârû,xu1erw
car,xu1er
câr,xu1er
cascavlak,xu1es||xu1ewlefo2
cascavlak,xu1es||xu1ewlefo2
casiye,xu1ebo3yh
câsiye,xu1ebo3yh
casusa,xu1eswsh
casusi,xu1eswsy
câsûsî,xu1eswsy
casuslamak,xu1eswslemfo2
câsuslamak,xu1eswslemfo2
casuslara,xu1eswslrh
casuslarının,xu1eswslrybo1ko3
casusların,xu1eswslrko3
casusları,xu1eswslry
casuslarıyla,xu1eswslrylh
casuslar,xu1eswslr
casusla,xu1eswsle
casusluğu,xu1eswslao1y
casusluktan,xu1eswslfo2dbo1
casusluk,xu1eswslfo2
câsusluk,xu1eswslfo2
casusluk yapmak,xu1eswslfo2 e
câsûsluk yapmak,xu1eswslfo2 e
casusun,xu1eswsko3
casus,xu1esws
câsus,xu1esws
câsûs,xu1esws
cava'da,xu1ewedh
cavalacos,xu1ewelexu1ws
cava,xu1ewe
cavidani,xu1ewdebo1y
cavidanî,xu1ewdebo1y
câvidânî,xu1ewdebo1y
cavidan,xu1ewdebo1
câvidan,xu1ewdebo1
câvidân,xu1ewdebo1
cavid,xu1ewd
câvid,xu1ewd
cavlak,xu1ewlefo2
cavlamak,xu1ewlemfo2
cavla,xu1ewle
ca,xu1e
câ,xu1e
caydırmak,xu1ebu2dbu2rmfo2
caydırmak,xu1eydyrmfo2
caydır,xu1eydyr
caygah,xu1eyko7eh||
câygâh,xu1eyko7eh
câygîr olmak,xu1ebu2kbu2rew
caygir olmak,xu1eykyrew
cayırcayır,xu1ebu2bu2rxu1ebu2bu2r
cayırcayır,xu1eyyrxu1eyyr
cayırdamak,xu1ebu2bu2r||demfo2
cayırdamak,xu1eyyr||demfo2
cayırdatmak,xu1ebu2bu2r||debo2mfo2
cayırdatmak,xu1eyyr||debo2mfo2
cayırdat,xu1eyyr||debo2
cayırda,xu1eyyr||de
cayır,xu1ebu2bu2r
cayır,xu1eyyr
cay-i sual,xu1ey swo5el
cây-i suâl,xu1ey swo5el
cayi',xu1eya
cayi’,xu1eya
câyi',xu1eya
cây-i,xu1eyu4
cây-ı,xu1eyu4
caymak,xu1ebu2mfo2
caymak,xu1eymfo2
caymam,xu1eymem
câynişîn,xu1eybo1so3bu2bo1
caynişin,xu1eybo1so3ybo1
cay,xu1ey
cây,xu1ey
cazbant,xu1ero1bu1ebo1d
cazibedarane,xu1edo1bu1h||derebo1h
cazibedara,xu1edo1bu1h||derh
cazibedardırlar,xu1edo1bu1h||derdrlr
cazibedardır,xu1edo1bu1h||derdr
cazibedarın,xu1edo1bu1h||derko3
câzibedârın,xu1edo1bu1h||derko3
cazibedarı,xu1edo1bu1h||dery
cazibedarlara,xu1edo1bu1h||derlrh
cazibedarlığı,xu1edo1bu1h||derlao1y
cazibedarlık,xu1edo1bu1h||derlfo2
cazibedarsa,xu1edo1bu1h||dersh
cazibedar,xu1edo1bu1h||der
cazibedar,xu1edo1bu1h der
câzibedar,xu1edo1bu1h||der
cazibedendir,xu1edo1bu1h||dbo1dr
cazibe-i,xu1edo1bu1h||'u4
câzibe-i,xu1edo1bu1h||'u4
cazibekârane,xu1edo1bu1h||kerebo1h
cazibelerin,xu1edo1bu1h||lrko3
cazibeleri,xu1edo1bu1h||lry
cazibeler,xu1edo1bu1h||lr
cazibeli,xu1edo1bu1h||ly
cazibeli,xu1edo1bu1h||ly
câzibeli,xu1edo1bu1h||ly
cazibenin,xu1edo1bu1h||bo1ko3
cazibesinden,xu1edo1bu1h||sbo1dbo1
cazibesine,xu1edo1bu1h||sbo1h
cazibesinin,xu1edo1bu1h||sbo1ko3
cazibesi,xu1edo1bu1h||sy
cazibesiyle,xu1edo1bu1h||sylh
cazibe,xu1edo1bu1h
cazibe,xu1edo1bu1h||
câzibe,xu1edo1bu1h
cazibe,xu1ero1bu1h||
câzibe,xu1ero1bu1h
cazi̇be,xu1o4edo1u4bu1o4h||
cazibe,xu1o4edo1u4bu1o4h||
câzibe,xu1o4edo1u4bu1o4h
cazibeye,xu1edo1bu1h||yh
cazibeyi,xu1edo1bu1h||yy
cazibin,xu1edo1bu1ko3
cazibiyet,xu1edo1bu1ybo2
câzibiyyet,xu1edo1bu1bu2bo2
cazibiyyet,xu1edo1bu1ybo2
cazibler,xu1edo1bu1lr
cazib,xu1edo1bu1
câzib,xu1edo1bu1
cazib,xu1ero1bu1
câzib,xu1ero1bu1
câzimeden,xu1ero1mh||dbo1
câzim,xu1ero1m
cebabire,xu1bu1ebu1rh||
cebâbire,xu1bu1ebu1rh
cebanetin,xu1bu1ebo1bo2ko3
cebânetin,xu1bu1ebo1bo2ko3
cebanettir,xu1bu1ebo1bo2dr
cebanet,xu1bu1ebo1bo2
cebânet,xu1bu1ebo1bo2
cebbarane,xu1bu1o8erebo1h
cebbar'a,xu1bu1o8erh
cebbardır,xu1bu1o8erdr
cebbar'ın,xu1bu1o8erko3
cebbari,xu1bu1ery
cebbârî,xu1bu1ery
cebbar-ı,xu1bu1o8eru4
cebbarı,xu1bu1o8ery
cebbarların,xu1bu1o8erlrko3
cebbarları,xu1bu1o8erlry
cebbarlar,xu1bu1o8erlr
cebbarlığa,xu1bu1o8erlao1h
cebbar,xu1bu1er
cebbâr,xu1bu1er
cebbar,xu1bu1o8er
cebbar,xu1o4bu1o4o8ero0
cebbâr,xu1o4bu1o4o8ero0
cebbar,xu1o4bu1o8eo4ro0
cebbâr,xu1o4bu1o8eo4ro0
cebe-hane,xu1bu1h xo1ebo1h||
cebe-hâne,xu1bu1h xo1ebo1h
cebelibereket,xu1bu1l bu1rkbo2
cebel-i̇ cudi̇,xu1o4bu1o4lu4 xu1o9wdu4
cebel-i cudi,xu1o4bu1o4lu4 xu1o9wdu4
cebelikum,xu1bu1lfo2wm
cebel'in,xu1bu1lko3
cebelin,xu1bu1lko3
cebel-i,xu1bu1lu4
cebelleşmiş,xu1bu1llso3mso3
cebel-ül,xu1bu1l el
cebel,xu1bu1l
ceberuta,xu1bu1rwbo2h
ceberutiyet-i,xu1bu1rwbo2ybo2u4
ceberutiyet,xu1bu1rwbo2ybo2
ceberutlarını,xu1bu1rwbo2lrybo1y
ceberuttan,xu1bu1rwbo2dbo1
ceberutuna,xu1bu1rwbo2bo1h
ceberut-u,xu1bu1rwbo2u4
ceberut,xu1bu1rwbo2
cebhanelik,xu1bu1xo1ebo1h||lk
cebhânelik,xu1bu1xo1ebo1h||lk
cebhane,xu1bu1xo1ebo1h||
cebhâne,xu1bu1xo1ebo1h
cebhede,xu1bu1hh||dh
cebhedir,xu1bu1hh||dr
cebhe-i,xu1bu1hh||'u4
cebhelerinde,xu1bu1hh||lrbo1dh
cebheleri,xu1bu1hh||lry
cebhemiz,xu1bu1hh||mro1
cebhesinde,xu1bu1hh||sbo1dh
cebhesinin,xu1bu1hh||sbo1ko3
cebhesi,xu1bu1hh||sy
cebhe,xu1bu1hh
cebhe,xu1bu1hh||
cebheyi,xu1bu1hh||yy
cebime,xu1ybu1mh
cebinden,xu1ybu1bo1dbo1
cebinde,xu1ybu1bo1dh
cebine koymak,xu1bu2bu1bo1h fo2wmfo2
cebine koymak,xu1ybu1bo1h fo2wmfo2
cebine,xu1ybu1bo1h
cebînindeki,xu1bu1ybo1bo1dh||ky
cebinizde,xu1ybu1ko3ro1dh
cebînlerinde,xu1bu1ybo1lrbo1dh
cebin,xu1bu1bu2bo1
cebîn,xu1bu1bu2bo1
cebin,xu1bu1ybo1
cebîn,xu1bu1ybo1
cebin,xu1o4bu1u4bu2bo1o0
cebi̇n,xu1o4bu1u4ybo1o0
cebin,xu1o4bu1u4ybo1o0
cebirdir,xu1bu1rdr
cebirle,xu1bu1rlh
cebir,xu1bu1r
cebi̇r,xu1o4bu1o0ro0
cebir,xu1o4bu1o0ro0
cebi̇r,xu1o4bu1u4ro0
cebir,xu1o4bu1u4ro0
cebrail'den,xu1bu1reyo5yldbo1
cebrail'in,xu1bu1reyo5ylko3
cebrail'i,xu1bu1reyo5yly
cebrail,xu1bu1rebo5yl
cebrail,xu1bu1reyo5yl
cebrâil,xu1bu1reyo5yl
cebrederken,xu1bu1r eydrkbo1
cebrediyordum,xu1bu1r eydyywrdm
cebren almak,xu1bu1reo44 elmfo2
cebren kabûl ettirmek,xu1bu1reo44 fo2bu1wl ebu2bo2drmk
cebren kabul ettirmek,xu1bu1reo44 fo2bu1wl eybo2drmk
cebren,xu1bu1re
cebren,xu1bu1reo44
cebren,xu1bu1ro44e
cebren,xu1o4bu1o0ro44e
cebr etmek,xu1bu1re
cebretmesi,xu1bu1r eybo2mh||sy
cebretmeyi,xu1bu1r eybo2mko7y
cebretmez,xu1bu1r eybo2mro1
cebrettiği,xu1bu1r eybo2dyko7y
cebr'e,xu1bu1rh
cebr-i kat'î,xu1o4bu1o0ru4 fo2o4to0abu2
cebr-i̇ kat'i̇,xu1o4bu1o0ru4 fo2o4to0a۪y
cebr-i kat'i,xu1o4bu1o0ru4 fo2o4to0a۪y
cebr-i keyfî,xu1o4bu1o0ru4 ko4bu2o0fo1bu2
cebr-i̇ keyfi̇,xu1o4bu1o0ru4 ko4yo0fo1۪y
cebr-i keyfi,xu1o4bu1o0ru4 ko4yo0fo1۪y
cebr-i nefs etmek,xu1bu1r bo1fo1s e
cebrinefs,xu1bu1rbo1fo1s
cebr'in,xu1bu1rko3
cebrin,xu1bu1rko3
cebrîsiyle,xu1bu1rysylh
cebr-i,xu1bu1ru4
cebri,xu1bu1ry
cebrî,xu1bu1ry
cebrî,xu1o4bu1o0ru4bu2
cebri̇,xu1o4bu1o0ru4y
cebri,xu1o4bu1o0ru4y
cebriye,xu1bu1rbu2h
cebriye,xu1bu1ryh
cebriye,xu1bu1ryh||
cebriyle,xu1bu1rylh
cebr,xu1bu1r
ceb,xu1bu1
ceb,xu1bu2bu1
ceb,xu1ybu1
cedavil-i,xu1dewlu4
cedavili,xu1dewly
cedaviliyle,xu1dewlylh
cedavil,xu1dewl
cedâvil,xu1dewl
cedde,xu1do8h
ceddimin,xu1do8ymko3
ceddinden,xu1do8bo1dbo1
ceddine,xu1do8ybo1h
ceddinin,xu1do8ybo1ko3
ceddini,xu1do8ybo1y
