çabaladığım,xu3ebu1eledyao1m
çağırmışlar,xu3eao1yrmso3lr
çağırmış,xu3eao1yrmso3
çağırsam,xu3eao1yrsh||m
çağırsa,xu3eao1yrsh
çağırsın,xu3eao1yrsybo1
çağırtkan,xu3eao1rbo2fo2ebo1
çağırtmak,xu3eao1rbo2mfo2
çağırtma,xu3eao1rbo2mh
çağırtma,xu3eao1rbo2mh||
çağırt,xu3eao1rbo2
çağır,xu3eao1r
çağır,xu3eao1yr
çağladıkları,xu3eao1ledfo2lry
çağlamaktadır,xu3eao1lemfo2dh||dr
çağlamak,xu3eao1lemfo2
çağlama,xu3eao1lemh
çağlama,xu3eao1lemh||
çağların,xu3eao1lrko3
çağlar,xu3eao1ler
çağlatıp,xu3eao1lebo2wbu1
çağla,xu3eao1le
çağlayacak,xu3eao1leyh||xu1fo2
çağlayanı,xu3eao1leyebo1y
çağlayan,xu3ao1lebu2ebo1
çağlayan,xu3ao1leyebo1
çağlayan,xu3eao1lbu2ebo1
çağlayan,xu3eao1leyebo1
çağlayan,xu3eao1lyebo1
çağlayış,xu3eao1leyyso3
çağlıyorlar,xu3eao1leywrlr
çağlıyor,xu3eao1leywr
çağrıldığında,xu3eao1yryldyao1bo1dh
çağrıldım,xu3eao1yryldm
çağrılıyorsunuz,xu3eao1yrylyywrsko3ro1
çağrılıyor,xu3eao1yrylyywr
çağrılmak,xu3eao1rylmfo2
çağrılmasına,xu3eao1rylmesbo1h
çağrılmıştık,xu3eao1rylmso3dfo2
çağrılmıştı,xu3eao1yrylmso3dy
çağrılsa,xu3eao1rylsh
çağrıl,xu3eao1ryl
çağrının,xu3eao1rybo1ko3
çağrışmak,xu3eao1ryso3mfo2
çağrış,xu3eao1ryso3
çağ,xu3eao1
çağz,xu3ao1ro1
çah,xu3eh||
çâh,xu3eh
çakaçak,xu3ekexu3ek
çâkâçâk,xu3ekexu3ek
çakalos topu,xu3fo2elws twbu3y
çakaloz,xu3efo2elwro1
çakal,xu3efo2el
çakal,xu3fo2el
çakan,xu3efo2ebo1
çakar,xu3efo2er
çakdırmak,xu3efo2dyrmfo2
çakdır,xu3efo2dyr
çakeri,xu3ekry
çâkerî,xu3ekry
çaker,xu3ekr
çâker,xu3ekr
çak etmek,xu3ek e
çâk etmek,xu3ek e
çakılan,xu3efo2ylebo1
çakıldak,xu3efo2ldefo2
çakıllığında,xu3efo2yllao1bo1dh
çakıllık,xu3efo2llfo2
çakılmak,xu3efo2lmfo2
çakılmış,xu3efo2ylmso3
çakıl taşı,xu3efo2l teso3y
çakıl,xu3efo2l
çakıl,xu3efo2yl
çakın,xu3efo2ybo1
çakırdikeni,xu3efo2rdykbo1y
çakırkanat,xu3efo2rfo2ebo1ed
çakırkeyf,xu3efo2r||kyfo1
çakırkeyf,xu3efo2r||kyfo1
çakırpençe,xu3efo2rbu3bo1xu3h
çakırpençe,xu3efo2rbu3bo1xu3h||
çakır,xu3efo2r
çakır,xu3efo2yr
çakışdırmak,xu3efo2so3dyrmfo2
çakışdır,xu3efo2so3dyr
çakısı,xu3efo2ysy
çakışmak,xu3efo2so3mfo2
çakış,xu3efo2so3
çakı,xu3efo2y
çakıyorsa,xu3efo2yywrsh
çakmakçı,xu3efo2mefo2xu1y
çakmakcı,xu3efo2mfo2xu1y
çakmakçı,xu3fo2mefo2xu1y
çakmak kesesi,xu3fo2mefo2 kbu2sh sy
çakmak kesesi,xu3fo2mefo2 kysh sy
çakmaklı,xu3efo2mefo2ly
çakmaksız,xu3efo2mefo2sro1
çakmak tabası (tavası),xu3fo2mefo2 bo2ebu1h sy
çakmak taşı,xu3efo2mfo2 teso3y
çakmak,xu3efo2mefo2
çakmak,xu3efo2mfo2
çakmak,xu3fo2mefo2
çakmasından,xu3efo2mesbo1dbo1
çakmasıyla,xu3efo2mesylh
çakma,xu3efo2mh
çakma,xu3efo2mh||
çakmış,xu3efo2mso3
çaksın,xu3efo2sybo1
çakşır,xu3efo2so3bu2r
çakşır,xu3efo2so3yr
çaktığı,xu3efo2dyao1y
çaktı,xu3efo2dy
çakuç,xu3ekwxu3
çâkûç,xu3ekwxu3
çak,xu3efo2
çak,xu3ek
çâk,xu3ek
çalabilen,xu3elebu1ylbo1
çalab,xu3elebu1
çalacağı,xu3elexu1ao1y
çalacaklarını,xu3elexu1fo2lrybo1y
çalacaktır,xu3elexu1fo2dr
çalacak,xu3elexu1fo2
çalakaşık,xu3elefo2eso3yfo2
çalaki,xu3eleky
çâlâkî,xu3eleky
çalakürek,xu3elekwrh||k
çalakürek,xu3elekwrh||k
çalak,xu3elek
çâlâk,xu3elek
çalamaz,xu3elemero1
çalan,xu3elebo1
çalan,xu3elek
çalarak,xu3elerfo2
çalar,xu3eler
çalçene,xu3el||xu3ko3h
çalçene,xu3el||xu3lo5o3h||
çaldığından,xu3eldyao1bo1dbo1
çaldığı,xu3eldyao1y
çaldılar,xu3eldylr
çaldım,xu3eldm
çaldırmak,xu3eldbu2rmfo2
çaldırmak,xu3eldyrmfo2
çal'dır,xu3eldr
çaldır,xu3eldyr
çaldı,xu3eldy
çalgıcılık,xu3elao1yxu1ylfo2
çalgıcı,xu3elao1yxu1y
çalgılar,xu3elao1ylr
çalgı meclisi,xu3elao1y mxu1lsy
çalgı,xu3elao1y
çalıçırpı,xu3ely||xu3yrbu3y
çalıçırpı,xu3ely||xu3yrbu3y
çalıfasülyesi,xu3ely fo1ezwlyh||sy
çalıfasülyesi,xu3ely fo1ezwlyh||sy
çalıkavak,xu3ely fo2ewefo2
çalıkuşu,xu3ely fo2wso3y
çâlik,xu3elbu2k
çalık,xu3elfo2
çalık,xu3elyfo2
çalik,xu3elyk
çalılık,xu3elylfo2
çalımlı,xu3elymly
çalım,xu3elym
çalınır,xu3elybo1yr
çalınmadım,xu3elybo1medm
çalınmak,xu3elbo1mfo2
çalınmak,xu3elybo1mfo2
çalınsa,xu3elybo1sh
çalın,xu3elybo1
çalıp,xu3elwbu1
çalışabildiğim,xu3elyso3h||bu1yldyko7m
çalışabildiği,xu3elyso3h||bu1yldyko7y
çalışabilen,xu3elyso3h||bu1ylbo1
çalışabiliriz,xu3elyso3h||bu1ylyrro1
çalışabilirler,xu3elyso3h||bu1ylyrlr
çalışabilirsin,xu3elyso3h||bu1ylyrsko3
çalışabilir,xu3elyso3h||bu1ylyr
çalışacağımıza,xu3elyso3h||xu1ao1mro1h
çalışacağımız,xu3elyso3h||xu1ao1mro1
çalışacağım,xu3elyso3h||xu1ao1m
çalışacağına,xu3elyso3h||xu1ao1bo1h
çalışacağını,xu3elyso3h||xu1ao1bo1y
çalışacağınızdan,xu3elyso3h||xu1ao1ko3ro1dbo1
çalışacağı,xu3elyso3h||xu1ao1y
çalışacağız,xu3elyso3h||xu1ao1ro1
çalışacaklardır,xu3elyso3h||xu1fo2lrdr
çalışacaklarını,xu3elyso3h||xu1fo2lrybo1y
çalışacaklar,xu3elyso3h||xu1fo2lr
çalışacaksınız,xu3elyso3h||xu1fo2sko3ro1
çalışacaktım,xu3elyso3h||xu1fo2dm
çalışacaktır,xu3elyso3h||xu1fo2dr
çalışacaktı,xu3elyso3h||xu1fo2dy
çalışacak,xu3elyso3h||xu1fo2
çalışa çalışa toplamak,xu3elso3h xu3elso3h twbu3lemfo2
çalışalım,xu3elyso3h||lm
çalışamadığıma,xu3elyso3h||mdyao1mh
çalışamadığımdan,xu3elyso3h||mdyao1mdbo1
çalışamadığının,xu3elyso3h||mdyao1bo1ko3
çalışamadım,xu3elyso3h||mdm
çalışamaz,xu3elyso3h||mero1
çalışamaz,xu3elyso3h||mro1
çalışamıyacağım,xu3elyso3h||myh||xu1ao1m
çalışamıyor,xu3elyso3h||myywr
çalışanadır,xu3elyso3ebo1h||dr
çalışanda,xu3elyso3ebo1dh
çalışanı,xu3elyso3ebo1y
çalışanlara,xu3elyso3ebo1lrh
çalışanlardanım,xu3elyso3ebo1lrdh||bo1m
çalışanlardan,xu3elyso3ebo1lrdbo1
çalışanlardır,xu3elyso3ebo1lrdr
çalışanların,xu3elyso3ebo1lrko3
çalışanları,xu3elyso3ebo1lry
çalışanlarla,xu3elyso3ebo1lrlh
çalışanlar,xu3elyso3ebo1lr
çalışan,xu3elyso3ebo1
çalışarak,xu3elyso3h||rfo2
çalışayım,xu3elyso3h||ym
çalışdığımı,xu3elyso3dyao1my
çalışıldığımız,xu3elyso3ldyao1mro1
çalışıldığını,xu3elyso3yldyao1bo1y
çalışıldığı,xu3elyso3ldyao1y
çalışıldıkça,xu3elyso3ldfo2xu1h
çalışıldı,xu3elyso3yldy
çalışılırsa,xu3elyso3lyrsh
çalışılıyordu,xu3elyso3ylyywrdy
çalışılıyor,xu3elyso3lyywr
çalışılmaktadır,xu3elyso3ylmfo2dh||dr
çalışılmak,xu3elyso3ylmfo2
çalışılmasa,xu3elyso3lmesh
çalışılmasını,xu3elyso3ylmesbo1y
çalışılması,xu3elyso3ylmesy
çalışılmayarak,xu3elyso3ylmyh||rfo2
çalışılmış,xu3elyso3ylmso3
çalışıl,xu3elyso3yl
çalışınız,xu3elyso3ko3ro1
çalışın,xu3elyso3ko3
çalışıp,xu3elyso3wbu1
çalışırdım,xu3elyso3yrdm
çalışırdı,xu3elyso3yrdy
çalışırım,xu3elyso3yrm
çalışırız,xu3elyso3yrro1
çalışırken,xu3elyso3yrkbo1
çalışırlar,xu3elyso3yrlr
çalışırsan,xu3elyso3yrsh||ko3
çalışırsın,xu3elyso3yrsko3
çalışır,xu3elyso3yr
çalışış,xu3elso3so3
çalışıyordum,xu3elyso3yywrdm
çalışıyordu,xu3elyso3yywrdy
çalışıyorlardı,xu3elyso3yywrlrdy
çalışıyorlarmış,xu3elyso3yywrlrmso3
çalışıyorlar,xu3elyso3yywrlr
çalışıyormuş,xu3elyso3yywrmso3
çalışıyorsa,xu3elyso3yywrsh
çalışıyorsunuz,xu3elyso3yywrsko3ro1
çalışıyorsun,xu3elyso3yywrsko3
çalışıyorum,xu3elyso3yywrm
çalışıyoruz,xu3elyso3yywrro1
çalışıyor,xu3elyso3yywr
çalışkandır,xu3elyso3fo2ebo1dr
çalışkanın,xu3elyso3fo2ebo1ko3
çalışkanı,xu3elyso3fo2ebo1y
çalışkanlardan,xu3elyso3fo2ebo1lrdbo1
çalışkanlarına,xu3elyso3fo2ebo1lrybo1h
çalışkanlarından,xu3elyso3fo2ebo1lrbo1dbo1
çalışkanların,xu3elyso3fo2ebo1lrko3
çalışkanları,xu3elyso3fo2ebo1lry
çalışkanlarla,xu3elyso3fo2ebo1lrlh
çalışkanlar,xu3elyso3fo2ebo1lr
çalışkanlık,xu3elso3fo2ebo1lfo2
çalışkanlık,xu3elyso3fo2ebo1lfo2
çalışkan,xu3elso3fo2ebo1
çalışkan,xu3elyso3fo2ebo1
çalışkan,xu3lso3fo2ebo1
çalışmadan,xu3elyso3mh||dbo1
çalışmada,xu3elyso3mh||dh
çalışmadığımdan,xu3elyso3mdyao1mdbo1
çalışmadığım,xu3elyso3mdyao1m
çalışmadığın,xu3elyso3mdyao1ko3
çalışmadığı,xu3elyso3mdyao1y
çalışmadım,xu3elyso3mdm
çalışmağa,xu3elyso3mao1h
çalışmakla,xu3elyso3mfo2lh
çalışmaktadırlar,xu3elyso3mfo2dh||drlr
çalışmaktadır,xu3elyso3mfo2dh||dr
çalışmaktan,xu3elyso3mfo2dbo1
çalışmakta,xu3elyso3mfo2dh
çalışmaktır,xu3elyso3mfo2dr
çalışmak,xu3elso3mfo2
çalışmak,xu3elyso3mfo2
çalışmalarıdır,xu3elyso3melrydr
çalışmalarımızı,xu3elyso3melrymro1y
çalışmalarına,xu3elyso3melrybo1h
çalışmalarının,xu3elyso3melrybo1ko3
çalışmalarını,xu3elyso3melrybo1y
çalışmalarınızla,xu3elyso3melryko3ro1lh
çalışmalarınız,xu3elso3melryko3ro1
çalışmaların,xu3elyso3melrko3
çalışmaları,xu3elyso3mh||lry
çalışmalar,xu3elyso3mh||lr
çalışmalıdır,xu3elyso3melydr
çalışmalı,xu3elyso3mely
çalışmalıyız,xu3elyso3mly||yro1
çalışmamakla,xu3elyso3memfo2lh
çalışmamak,xu3elyso3memfo2
çalışmamalı,xu3elyso3memly
çalışmamanız,xu3elyso3memko3ro1
çalışmamı,xu3elyso3memy
çalışmamıza,xu3elyso3memro1h
çalışmamız,xu3elyso3memro1
çalışmam,xu3elyso3mem
çalışmanın,xu3elyso3mebo1ko3
çalışmanıza,xu3elyso3meko3ro1h
çalışmanızdan,xu3elyso3meko3ro1dbo1
çalışmanızı,xu3elyso3meko3ro1y
çalışmanız,xu3elyso3meko3ro1
çalışmasalar,xu3elyso3mesh||lr
çalışmasıdır,xu3elyso3mesydr
çalışmasına,xu3elyso3mesbo1h
çalışmasından,xu3elyso3mesbo1dbo1
çalışmasının,xu3elyso3mesbo1ko3
çalışmasını,xu3elyso3mesbo1y
çalışması,xu3elyso3mesy
çalışmasıyla,xu3elyso3mesylh
çalışma,xu3elyso3mh
çalışma,xu3elyso3mh||
çalışmayacaktı,xu3elyso3myh||xu1fo2dy
çalışmayalım,xu3elyso3myh||lm
çalışmayan,xu3elyso3myebo1
çalışmaya,xu3elyso3mao1h
çalışmayınız,xu3elyso3meyko3ro1
çalışmayıp,xu3elyso3meywbu1
çalışmayı,xu3elyso3meyy
çalışmazsam,xu3elyso3mero1sh||m
çalışmazsanız,xu3elyso3mero1sh||ko3ro1
çalışmazsan,xu3elyso3mero1sh||ko3
çalışmazsa,xu3elyso3mero1sh
çalışmaz,xu3elyso3mero1
çalışmışım,xu3elyso3mso3m
çalışmışız,xu3elyso3mso3ro1
çalışmışlara,xu3elyso3mso3lrh
çalışmışlardır,xu3elyso3mso3lrdr
çalışmışlardı,xu3elyso3mso3lrdy
çalışmışlar,xu3elyso3mso3lr
çalışmıştım,xu3elyso3mso3dm
çalışmıştır,xu3elyso3mso3dr
çalışmış,xu3elyso3mso3
çalışmıyorsun,xu3elyso3myywrsko3
çalışmıyorum,xu3elyso3myywrm
çalışmıyor,xu3elyso3myywr
çalışsak,xu3elyso3sh||fo2
çalışsalar,xu3elyso3sh||lr
çalışsanız,xu3elyso3sh||ko3ro1
çalışsan,xu3elyso3sh||ko3
çalışsa,xu3elyso3sh
çalışsınlar,xu3elyso3sybo1lr
çalışsın,xu3elyso3sybo1
çalıştığımdan,xu3elyso3dyao1mdbo1
çalıştığımı,xu3elyso3dyao1my
çalıştığımıza,xu3elyso3dyao1mro1h
çalıştığımızı,xu3elyso3dyao1mro1y
çalıştığımız,xu3elyso3dyao1mro1
çalıştığım,xu3elyso3dyao1m
çalıştığına,xu3elyso3dyao1bo1h
çalıştığından,xu3elyso3dyao1bo1dbo1
çalıştığını,xu3elyso3dyao1bo1y
çalıştığınıza,xu3elyso3dyao1ko3ro1h
çalıştığınız,xu3elyso3dyao1ko3ro1
çalıştığın,xu3elyso3dyao1ko3
çalıştığı,xu3elyso3dyao1y
çalıştıkça,xu3elyso3dfo2xu1h
çalıştıklarına,xu3elyso3dfo2lrybo1h
çalıştıklarından,xu3elyso3dfo2lrbo1dbo1
çalıştıklarını,xu3elyso3dfo2lrybo1y
çalıştıkları,xu3elyso3dfo2lry
çalıştıksa,xu3elyso3dfo2sh
çalıştık,xu3elyso3dfo2
çalıştılar,xu3elyso3dylr
çalıştım,xu3elyso3dm
çalıştınız,xu3elyso3dyko3ro1
çalıştıracağız,xu3elyso3dyrh||xu1ao1ro1
çalıştıracak,xu3elyso3dyrh||xu1fo2
çalıştıramazlar,xu3elyso3dyremero1lr
çalıştırana,xu3elyso3dyrebo1h
çalıştıran,xu3elyso3dyrebo1
çalıştırdığı,xu3elyso3dyrdyao1y
çalıştırdılar,xu3elyso3dyrdylr
çalıştırdı,xu3elyso3dyrdy
çalıştırılamadım,xu3elyso3dyrylh||mdm
çalıştırılan,xu3elyso3dyrylebo1
çalıştırılarak,xu3elyso3dyrylerfo2
çalıştırıldıkları,xu3elyso3dyryldfo2lry
çalıştırıldık,xu3elyso3dyryldfo2
çalıştırıldım,xu3elyso3dyryldm
çalıştırıldı,xu3elyso3dyryldy
çalıştırılırsa,xu3elyso3dyrylyrsh
çalıştırılıyorlar,xu3elyso3dyrylyywrlr
çalıştırılıyor,xu3elyso3dyrylyywr
çalıştırılmadık,xu3elyso3dyrylmdfo2
çalıştırılmasaydım,xu3elyso3dyrylmesh eydm
çalıştırılması,xu3elyso3dyrylmesy
çalıştırılmışız,xu3elyso3dyrylmso3ro1
çalıştırırdı,xu3elyso3dyrrdy
çalıştırır,xu3elyso3dyrr
çalıştırıyorum,xu3elyso3dyryywrm
çalıştırıyoruz,xu3elyso3dyryywrro1
çalıştırıyor,xu3elyso3dyryywr
çalıştırmak,xu3elso3drmfo2
çalıştırmak,xu3elyso3dyrmfo2
çalıştırmalarında,xu3elyso3dyrmelrbo1dh
çalıştırmaları,xu3elyso3dyrmelry
çalıştırmasıdır,xu3elyso3dyrmsydr
çalıştırmasına,xu3elyso3dyrmesbo1h
çalıştırmasıyla,xu3elyso3dyrmesylh
çalıştırmaya,xu3elyso3dyrmao1h
çalıştırmıyor,xu3elyso3dyrmyywr
çalıştırsan,xu3elyso3dyrsh||ko3
çalıştırsa,xu3elyso3dyrsh
çalıştırsın,xu3elyso3dyrsybo1
çalıştır,xu3elyso3dyr
çalıştı,xu3elyso3dy
çalış,xu3elso3
çalış,xu3elyso3
çalı,xu3ely
çalıyordum,xu3elyywrdm
çalıyorum,xu3elyywrm
çalıyor,xu3elyywr
çalkaladığı,xu3elfo2eledyao1y
çalkaladı,xu3elfo2eledy
çalkalanan,xu3elfo2elebo1ebo1
çalkalandırdığını,xu3elfo2elebo1dyrdyao1bo1y
çalkalandırıyor,xu3elfo2elebo1dyryywr
çalkalanıp,xu3elfo2elebo1wbu1
çalkalanıyor,xu3elfo2elebo1yywr
çalkalanmakta,xu3elfo2elebo1mfo2dh
çalkalanmasıyla,xu3elfo2elebo1msylh
çalkalar,xu3elfo2h||ler
çalkamak,xu3elfo2emfo2
çalkamasıyla,xu3elfo2emesylh
çalkanan,xu3elfo2ebo1ebo1
çalkanıp,xu3elfo2ebo1wbu1
çalkanış,xu3elfo2ebo1so3
çalkanıyorlardı,xu3elfo2ebo1yywrlrdy
çalkanmakta,xu3elfo2ebo1mfo2dh
çalkanmak,xu3elfo2ebo1mfo2
çalkanma,xu3elfo2ebo1mh
çalkanma,xu3elfo2ebo1mh||
çalkantılar,xu3elfo2ebo1bo2ylr
çalkantı,xu3elfo2ebo1bo2y
çalkan,xu3elfo2ebo1
çalkatmak,xu3elfo2ebo2mfo2
çalkat,xu3elfo2ebo2
çalka,xu3elfo2e
çal-kılıç etmek,xu3el fo2lxu1 e
çalmadım,xu3elmedm
çalmağa,xu3elmao1h
çalmakla,xu3elmfo2lh
çalmaktır,xu3elmfo2dr
çalmak,xu3elmfo2
çalmalıyız,xu3elmely||yro1
çalmamak,xu3elmh||mfo2
çalmasına,xu3elmesbo1h
çalmasın,xu3elmesybo1
çalması,xu3elmesy
çalma,xu3elmh
çalma,xu3elmh||
çalmayacağız,xu3elmyh||xu1ao1ro1
çalmazsa,xu3elmero1sh
çalmışlar,xu3elmso3lr
çalmış,xu3elmso3
çalpare,xu3erbu3erh||
çâlpâre,xu3erbu3erh
çalsanız,xu3elsh||ko3ro1
çalsa,xu3elsh
çal,xu3el
çalyaka,xu3el||yefo2e
çalyaka,xu3el||yefo2e
çam ağacı,xu3em eao1exu1y
çamaşırcı karı,xu3meso3bu2rxu1y fo2ery
çamaşırcı karı,xu3meso3yrxu1y fo2ery
çamaşırcı,xu3emeso3yrxu1y
çamaşırcı,xu3meso3bu2rxu1y
çamaşırcı,xu3meso3yrxu1y
çamaşır değiştirmek,xu3meso3bu2rdbu2kso3drmk
çamaşır değiştirmek,xu3meso3yrdykso3drmk
çamaşırhane,xu3emeso3yrxo1ebo1h||
çamaşırhâne,xu3emeso3yrxo1ebo1h
çamaşırını,xu3meso3yrybo1y
çamaşırları,xu3meso3yrlry
çamaşırlık,xu3emeso3yrlfo2
çamaşır teknesi,xu3meso3bu2rbo2kbo1h sy
çamaşır teknesi,xu3meso3yrbo2kbo1h sy
çamaşır,xu3emeso3yr
çamaşır,xu3meso3bu2r
çamaşır,xu3meso3yr
çamaşır yıkanması,xu3meso3bu2r bu2fo2ebo1msy
çamaşır yıkanması,xu3meso3yr yfo2ebo1msy
çamçak,xu3emxu3efo2
çamdaki,xu3emdh||ky
çame,xu3emh||
çâme,xu3emh
çamfıstığı,xu3em fo1ysbo2yao1y
çamın,xu3emko3
çamlıca'da,xu3emlyxu1h||dh
çamlıca,xu3emlyxu1h
çamlıca,xu3emlyxu1h||
çamlık,xu3emlfo2
çamsakızı,xu3em sefo2ro1y
çamsakızı,xu3em sefo2yro1y
çam tahta,xu3em bo2xo1bo2h
çam tahta,xu3em bo2xo1bo2h||
çamular'ının,xu3emwlrybo1ko3
çamura batmış,xu3emwrh bu1ebo2mso3
çamura,xu3emwrh
çamurdan,xu3emwrdbo1
çamurlamak,xu3emwrlemfo2
çamurlanmak,xu3emwrlebo1mfo2
çamurlan,xu3emwrlebo1
çamurlara,xu3emwrlrh
çamurlarda gezinmek,xu3emwrlrdh kro1bo1mk
çamurlarıyla,xu3emwrlrylh
çamurlatmak,xu3emwrlebo2mfo2
çamurlat,xu3emwrlebo2
çamurla,xu3emwrle
çamurluk,xu3emwrlfo2
çamurlu,xu3emwrlw
çamurlu,xu3emwrly
çamur sıçratmak,xu3emwr zxu3rebo2mfo2
çamurunda,xu3emwrbo1dh
çamuru,xu3emwry
çamuruyla,xu3emwrylh
çamur,xu3emwr
çam,xu3em
çanak çömlek,xu3bo1efo2 xu1wmlk
çanak çömlek,xu3bo1efo2 xu3wmlk
çanakkale'de,xu3bo1efo2 fo2lah||dh
çanakkale,xu3bo1efo2||fo2lah||
çanaklık,xu3bo1efo2lfo2
çanaklık,xu3ebo1efo2lfo2
çanaktır,xu3bo1efo2dr
çanak,xu3bo1efo2
çanak,xu3ebo1efo2
çançan,xu3eko3||xu3eko3
çançan,xu3elo5o3||xu3elo5o3
çane,xu3ebo1h||
çâne,xu3ebo1h
çangal,xu3ebo1ao1el
çangılçungul,xu3ebo1ao1yl xu3wbo1ao1wl
