
Rab,rbu1,رب
Ruhinur,rwx bo1wr,روح نور
Ruhittin,rwx eldybo1,روح الدین
Ruhiye,rwxyh,روحیه
Ruhişen,rwx so3bo1,روح شن
Ruhsal,rwxsel,روحسال
Ruhsar,rxo1ser,رخسار
Ruhsare,rwxserh,روحساره
Ruhsat,rxo1zbo2,رخصت
Ruhsen,rxsbo1,رحسن
Ruhugül,rwxw ko7l,روحو گل
Ruhullah,rwx ellh,روح الله
Ruhunur,rwxwbo1wr,روحونور
Ruhşan,rwxso3ebo1,روحشان
Ruhşen,rxso3bo1,رحشن
Rukiye,rfo2yh,رقیه
Rum,rwm,روم
Runyun,rwbo1ywbo1,رونیون
Rus,rws,روس
Rusyalı,rwsbu2h||ly,روسيه‌لی
Ruziye,rwro1yh,روزیه
Ruşen,rwso3bo1,روشن
Rönesans,rwbo1h||sebo1s,رونه‌سانس
Rüknettin,rkbo1 eldybo1,رکن الدین
Rükni,rkbo1y,رکنی
Rüknü,rkbo1w,رکنو
Rüksan,rksebo1,رکسان
Rümeysa,rmyze,رمیصا
Rüstem,rsbo2m,رستم
Rüsuhi,rswxo1y,رسوخی
Rüveyda,rwyde,رویدا
Rüveyde,rwydh,رویده
Rüveyha,rwyxh,رویحه
Rüvide,rwydh,رویده
Rüya,rwye,رویا
Rüzgâr,rwro1ko7er,روزگار
Rüçhan,rxu1xo1ebo1,رجخان
Rüştiye,rso3dyh,رشدیه
Rüştü,rso3bo2y,رشتی
Rıdvan,rzo1webo1,رضوان
Rıfat,rfo1abo2,رفعت
Rıfkı,rfo1fo2y,رفقی
Rıfkıye,rfo1fo2yyh,رفقییه
Rıza,rzo1e,رضا
Rıza,rzo1y,رضی
Rızkullah,rro1fo2 ellh,رزق الله
Rızvan,rzo1webo1,رضوان
