
Dadak,dedefo2,داداق
Demirbüken,dmyrbu1wkbo1,دمیربوکن
Demircan,dmyrxu1ebo1,دمیرجان
Demirci,dmyrxu1y,دمیرجی
Demirdelen,dmyrdlbo1,دمیردلن
Demirdöven,dmyrdwwbo1,دمیردوون
Demirel,dmyreo5l,دمیرأل
Demirelli,dmyrelly,دمیراللی
Demirer,dmyreo5r,دمیرأر
Demirezen,dmyr ero1bo1,دمیر ازن
Demirezen,dmyreo5ro1bo1,دمیرأزن
Demirgülle,dmyrko7wlh,دمیرگوله
Demirgüç,dmyrko7wxu3,دمیرگوچ
Demirhan,dmyrxo1ebo1,دمیرخان
Demiriz,dmyreyro1,دمیرایز
Demirkan,dmyrfo2ebo1,دمیرقان
Demirkaya,dmyrfo2eyh,دمیرقایه
Demirkol,dmyrfo2wl,دمیرقول
Demirkoç,dmyrfo2wxu3,دمیرقوچ
Demirkurt,dmyrfo2wrbo2,دمیرقورت
Demirkut,dmyrfo2wbo2,دمیرقوت
Demirkök,dmyrkwk,دمیرکوک
Demirköy,dmyrkwy,دمیرکوی
Demirkıran,dmyrfo2yrebo1,دمیرقیران
Demirman,dmyrmebo1,دمیرمان
Demirok,dmyrewfo2,دمیراوق
Demirol,dmyrewl,دمیراول
Demirpençe,dmyrbu3bo1xu3h,دمیرپنچه
Demirsoy,dmyrzwy,دمیرصوی
Demirtav,dmyrbo2ew,دمیرتاو
Demirtay,dmyrbo2ey,دمیرتای
Demirtaş,dmyrteso3,دمیرطاش
Demirtekin,dmyrbo2kybo1,دمیرتکین
Demirtuğ,dmyrtwao1,دمیرطوغ
Demirtürk,dmyrbo2wrk,دمیرتورک
Demiryürek,dmyrywrk,دمیریورک
Demirçalı,dmyrxu3ely,دمیرچالی
Demirçay,dmyrxu3ebo1,دمیرچان
Demirören,dmyr ewrbo1,دمیر اورن
Demiröz,dmyr ewro1,دمیر اوز
Demiröz,dmyrewro1,دمیراوز
Demirşah,dmyrso3eh,دمیرشاه
Demokan,dmwfo2ebo1,دموقان
Demren,dmrbo1,دمرن
Denek,dbo1k,دنک
Denemeç,dbo1mh xu3,دنمه چ
Dengin,dbo1ko7ybo1,دنگین
Dengiz,dbo1ko3ro1,دنڭز
Dengiz,dbo1ko7yro1,دنگیز
Dengizer,dbo1ko7yro1eo5r,دنگیزأر
Deniz,dko3ro1,دڭز
Deniz,dko3yro1,دڭیز
Denizalp,dko3ro1eo6lbu3,دڭزآلپ
Denizcan,dko3ro1xu1ebo1,دڭزجان
Denizel,dko3ro1eo5l,دڭزأل
Denizer,dko3ro1eo5r,دڭزأر
Denizhan,bo1ko3yro1xo1ebo1,نڭیزخان
Denizkurdu,dko3ro1fo2wrdy,دڭزقوردی
Denizli,dko3ro1ly,دڭزلی
Denizman,dko3ro1mebo1,دڭزمان
Denizmen,dko3ro1mbo1,دڭزمن
Denizolgun,dko3ro1ewlao1wbo1,دڭزاولغون
Deniztekin,dko3ro1bo2kybo1,دڭزتکین
Denk,dbo1k,دنک
Denkel,dbo1kl,دنکل
Denker,dbo1kr,دنکر
Denktaş,dbo1kteso3,دنکطاش
Denktaş,dbo1ktso3,دنکطش
Denli,dbo1ly,دنلی
Denli,dko3ly,دڭلی
Denlisoy,dbo1lyzwy,دنلیصوی
Denlisoy,dko3lyzwy,دڭلیصوی
Derbil,drbu1yl,دربیل
Dere,drh,دره
Dereli,drh ly,دره لی
Deren,drbo1,درن
Derenel,drbo1 eo5l,درن أل
Derik,dcryk,دءریک
Derin,drybo1,درین
Derinkök,drybo1 kwk,درین کوک
Derinçay,drybo1xu3ey,درینچای
Derinöz,drybo1 ewro1,درین اوز
Derlen,drlbo1,درلن
Derman,drmebo1,درمان
Dermancı,drmebo1xu1y,درمانجی
Derviş,drwso3,دروش
Derviş,drwyso3,درویش
Dervişani,drwso3ebo1y,دروشانی
Dervişhan,drwso3xo1ebo1,دروشخان
Derya,drye,دریا
Deryadil,dryedl,دریادل
Deryanur,dryebo1wr,دریانور
Deste,dsbo2h,دسته
Destecioğlu,dsbo2h xu1y ewao1ly,دسته جی اوغلی
Destegül,dsbo2h ko7l,دسته گل
Devecioğlu,dwh xu1y ewao1ly,دوه جی اوغلی
Develi,dwh ly,دوه لی
Develi,dwh||ly,دوه‌لی
Develioğlu,dwh ly ewao1ly,دوه لی اوغلی
Devin,dwybo1,دوین
Deviner,dwybo1 eo5r,دوین أر
Devlet,dwlbo2,دولت
Devlettin,dwl eldybo1,دول الدین
Devran,dwrebo1,دوران
Devrek,dwrk,دورک
Devrim,dwrym,دوریم
Devrimer,dwrym eo5r,دوریم أر
Devrin,dwrybo1,دورین
Değer,dko7r,دگر
Değerli,dko7rly,دگرلی
Değirmendereli,dko7yrmbo1 drh ly,دگیرمن دره لی
Değmeer,dko7mh er,دگمه ار
Diba,dybu1e,دیبا
Dibek,dybu1k,دیبک
Dicle,dxu1lh,دجله
Diclehan,dxu1lh xo1ebo1,دجله خان
Dicleli,dxu1lh ly,دجله لی
Didar,dyder,دیدار
Didem,dydm,دیدم
Didim,dydym,دیدیم
Dik,dyk,دیک
Dikalp,dyk eo6lbu3,دیک آلپ
Dikay,dykey,دیکای
Dikbay,dykbu1ey,دیکبای
Dikbaş,dykbu1eso3,دیکباش
Dikboğa,dykbu1wao1h,دیکبوغه
Dikdal,dykdel,دیکدال
Dikel,dykl,دیکل
Diken,dykbo1,دیکن
Diker,dykr,دیکر
Dikey,dyky,دیکی
Dikeç,dykxu3,دیکچ
Dikici,dykyxu1y,دیکیجی
Dikili,dykyly,دیکیلی
Dikmen,dykmbo1,دیکمن
Dikmenli,dykmbo1ly,دیکمنلی
Diksoy,dykzwy,دیکصوی
Diktaş,dyktso3,دیکطش
Dikçam,dykxu3em,دیکچام
Dil,dl,دل
Dila,dyle,دیلا
Dilara,dl eo6re,دل آرا
Dilara,dleo6re,دلآرا
Dilaver,dlewr,دلاور
Dilaveroğlu,dlewr ewao1ly,دلاور اوغلی
Dilay,dley,دلای
Dilbaz,dlbu1ero1,دلباز
Dilbent,dlbu1bo1d,دلبند
Dilber,dlbu1r,دلبر
Dilbeste,dlbu1sbo2h,دلبسته
Dilbu,dlbu1w,دلبو
Dildade,dldedh,دلداده
Dildar,dlder,دلدار
Dilderen,dldrbo1,دلدرن
Dilefruz,dl efo1rwro1,دل افروز
Dilege,dl eko7h,دل اگه
Dilek,dylk,دیلک
Dilekcan,dylkxu1ebo1,دیلکجان
Dilekci,dylkxu1y,دیلکجی
Dilem,dylm,دیلم
Dilemre,dl eo5mrh,دل أمره
Dilemre,dlemrh,دلامره
Diler,dylr,دیلر
Dilercan,dylrxu1ebo1,دیلرجان
Dilferah,dlfo1rex,دلفراح
Dilfeza,dlfo1zo1e,دلفضا
Dilfigâr,dlfo1ko7er,دلفگار
Dilfiruz,dlfo1yrwro1,دلفیروز
Dilge,dylko7h,دیلگه
Dilhan,dlxo1ebo1,دلخان
Dilhayat,dlxyebo2,دلحیات
Dilhun,dlxo1wbo1,دلخون
Dilhuş,dlxo1wso3,دلخوش
Dilligil,dyllyko7yl,دیللیگیل
Dilman,dylmebo1,دیلمان
Dilmaç,dlmexu3,دلماچ
Dilmen,dylmbo1,دیلمن
Dilnişin,dlbo1yso3ybo1,دلنیشین
Dilnur,dlbo1wr,دلنور
Dilrüba,dlrwbu1e,دلروبا
Dilsafa,dlzfo1e,دلصفا
Dilsaz,dlsero1,دلساز
Dilsitan,dlsbo2ebo1,دلستان
Dilsuz,dlswro1,دلسوز
Dilyâr,dlyer,دلیار
Dilâ,dyle,دیلا
Dilân,dylebo1,دیلان
Dilâra,dl eo6re,دل آرا
Dilâra,dleo6re,دلآرا
Dilâver,dlewr,دلاور
Dilâşup,dl eo6so3wbu1,دل آشوب
Dilşah,dylso3eh,دیلشاه
Dilşat,dlso3ed,دلشاد
Dilşen,dlso3bo1,دلشن
Dilşikâr,dlso3yker,دلشیکار
Dimeroğlu,dymrewao1ly,دیمراوغلی
Dinar,dybo1er,دینار
Dindar,dybo1der,دیندار
Dinek,dybo1h k,دینه ک
Dink,dybo1k,دینک
Dinç,dybo1xu3,دینچ
Dinçalp,dybo1xu3 eo6lbu3,دینچ آلپ
Dinçay,dybo1xu3ey,دینچای
Dinçel,dybo1xu3l,دینچل
Dinçer,dybo1xu3r,دینچر
Dinçerk,dybo1xu3 erk,دینچ ارک
Dinçerk,dybo1xu3rk,دینچرک
Dinçerler,dybo1xu3rlr,دینچرلر
Dinçkal,dybo1xu3fo2el,دینچقال
Dinçkaya,dybo1xu3fo2eyh,دینچقایه
Dinçkol,dybo1xu3fo2wl,دینچقول
Dinçkök,dybo1xu3kwk,دینچکوک
Dinçmen,dybo1xu3mbo1,دینچمن
Dinçok,dybo1xu3 ewfo2,دینچ اوق
Dinçok,dybo1xu3wfo2,دینچوق
Dinçol,dybo1xu3 ewl,دینچ اول
Dinçol,dybo1xu3wl,دینچول
Dinçsan,dybo1xu3sebo1,دینچسان
Dinçsav,dybo1xu3 sew,دینچ ساو
Dinçsay,dybo1xu3sey,دینچسای
Dinçsel,dybo1xu3sl,دینچسل
Dinçsoy,dybo1xu3zwy,دینچصوی
Dinçsü,dybo1xu3sw,دینچسو
Dinçtaş,dybo1xu3tso3,دینچطش
Dinçtürk,dybo1xu3 bo2wrk,دینچ تورک
Dinççağ,dybo1xu3xu3eao1,دینچچاغ
Dinçöz,dybo1xu3wro1,دینچوز
Diplan,dybu3lebo1,دیپلان
Dirahşan,drexo1 so3ebo1,دراخ شان
Dirayet,dreybo2,درایت
Diren,dyrbo1,دیرن
Direnç,dyrbo1xu3,دیرنچ
Diri,dyry,دیری
Diribaş,dyrybu1eso3,دیریباش
Dirican,dyryxu1ebo1,دیریجان
Dirik,dyryk,دیریک
Diriker,dyrykr,دیریکر
Dirikök,dyrykwk,دیریکوک
Diril,dyryl,دیریل
Dirim,dyrym,دیریم
Dirimtekin,dyrym bo2kybo1,دیریم تکین
Dirin,dyrybo1,دیرین
Diriner,dyrybo1 eo5r,دیرین أر
Dirisoy,ddyryzwy,ددیریصوی
Dirlik,dyrlk,دیرلک
Dirsehan,dyrsh xo1ebo1,دیرسه خان
Divrik,dywryk,دیوریک
Diyadin,dyedybo1,دیادین
Diyadin,dyyedybo1,دییادین
Diyarbekir,dyerbu1kr,دیاربکر
Dizdar,dro1der,دزدار
Dizdaroğlu,dro1derewao1ly,دزداراوغلی
Dizman,dro1mebo1,دزمان
Dişli,dyso3ly,دیشلی
Dodurgalı,twdrao1h ly,طودرغه لی
Dokuman,twfo2wmebo1,طوقومان
Dolan,dwlebo1,دولان
Dolaner,dwlebo1 eo5r,دولان أر
Dolay,dwley,دولای
Dolun,twlwbo1,طولون
Dolunay,twlwbo1ey,طولونای
Domaniç,dwmebo1yxu3,دومانیچ
Domaç,dwmexu3,دوماچ
Domurcuk,twmwrxu1fo2,طومورجق
Donat,dwbo1ebo2,دونات
Dora,dwre,دورا
Dorak,dwrefo2,دوراق
Doras,dwres,دوراس
Dorman,dwrmebo1,دورمان
Doru,dwrw,دورو
Doru,twrw,طورو
Doruk,dwrwfo2,دوروق
Doruk,twrwfo2,طوروق
Dorukhan,dwrwfo2xo1ebo1,دوروقخان
Dorukkan,dwrwfo2fo2ebo1,دوروققان
Dorukkurt,dwrwfo2fo2wrbo2,دوروققورت
Dorukkut,dwrwfo2fo2wbo2,دوروققوت
Doruktekin,dwrwfo2bo2kybo1,دوروقتکین
Doruktepe,dwrwfo2bo2bu3h,دوروقتپه
Dost,dwsbo2,دوست
Doğa,twao1e,طوغا
Doğan,twao1ebo1,طوغان
Doğanalp,twao1ebo1 eo6lbu3,طوغان آلپ
Doğanay,twao1ebo1ey,طوغانای
Doğanbaş,twao1ebo1 bu1eso3,طوغان باش
Doğanbey,twao1ebo1 bu1ko7,طوغان بگ
Doğanbike,twao1ebo1 bu1ykh,طوغان بیکه
Doğaner,twao1ebo1 eo5r,طوغان أر
Doğangün,twao1ebo1 kwbo1,طوغان کون
Doğanhan,twao1ebo1 xo1ebo1,طوغان خان
Doğanlar,twao1ebo1lr,طوغانلر
Doğannur,twao1ebo1 bo1wr,طوغان نور
Doğantan,twao1ebo1bo2ebo1,طوغانتان
Doğantimur,twao1ebo1 bo2ymwr,طوغان تیمور
Doğançay,twao1ebo1xu3ey,طوغانچای
Doğanşah,twao1ebo1 so3eh,طوغان شاه
Doğay,twao1ey,طوغای
Doğru,twao1ry,طوغری
Doğruel,twao1ry eo5l,طوغری أل
Doğruer,twao1ry eo5r,طوغری أر
Doğrul,twao1rwl,طوغرول
Doğruol,twao1ry ewl,طوغری اول
Doğruyol,twao1ry ywl,طوغری یول
Doğruöz,twao1ry ewro1,طوغری اوز
Doğu,dwao1w,دوغو
Doğu,twao1w,طوغو
Doğu,twao1y,طوغی
Doğudan,dwao1wdebo1,دوغودان
Doğuer,dwao1w eo5r,دوغو أر
Doğuer,twao1w eo5r,طوغو أر
Doğuhan,dwao1wxo1ebo1,دوغوخان
Doğuhan,twao1wxo1ebo1,طوغوخان
Doğukan,twao1wfo2ebo1,طوغوقان
Doğuyıldızı,twao1y yyldyro1y,طوغی ییلدیزی
Doğuışıker,twao1y eyso3yfo2 eo5r,طوغی ایشیق أر
Doğuş,dwao1wso3,دوغوش
Doğuş,twao1wso3,طوغوش
Doğuşlu,twao1wso3ly,طوغوشلی
Draman,dremebo1,درامان
Draman,dremh ko3,درامه ڭ
Dudu,dwdw,دودو
Dudubikem,dwdwbu1ykm,دودوبیکم
Duduhan,dwdwxo1ebo1,دودوخان
Duduoğlu,dwdw ewao1ly,دودو اوغلی
Duhan,dxo1ebo1,دخان
Duhter,dwxo1bo2r,دوختر
Duman,dwmebo1,دومان
Dumanbey,dwmebo1 bu1ko7,دومان بگ
Dumankaya,dwmebo1fo2eye,دومانقایا
Dumlu,dwmlw,دوملو
Dumlu,twmly,طوملی
Dumrul,dwmrwl,دومرول
Dura,dwre,دورا
Dura,twrh,طوره
Duracan,dwrexu1ebo1,دوراجان
Durak,dwrefo2,دوراق
Durak,twrefo2,طوراق
Durakbaşa,twrefo2bu1eso3e,طوراقباشا
Durakoğlu,twrefo2 ewao1ly,طوراق اوغلی
Dural,dwreo6l,دورآل
Duralı,twrely,طورالی
Duran,dwrebo1,دوران
Duran,twrebo1,طوران
Duranay,dwrebo1 eo6y,دوران آی
Duraner,dwrebo1 eo5r,دوران أر
Duransoy,dwrebo1zwy,دورانصوی
Durantekin,dwrebo1bo2kybo1,دورانتکین
Duray,dwrey,دورای
Durcan,dwrxu1ebo1,دورجان
Durdu,dwrdw,دوردو
Durdu,twrdy,طوردی
Durgun,dwrao1wbo1,دورغون
Durgun,twrao1wbo1,طورغون
Durguner,dwrao1wbo1 eo5r,دورغون أر
Durgunsu,dwrao1wbo1zw,دورغونصو
Durhan,dwrxo1ebo1,دورخان
Durhan,twrxo1ebo1,طورخان
Durkadın,dwrfo2edybo1,دورقادین
Durkaya,dwrfo2eyh,دورقایه
Durkız,dwrfo2yro1,دورقیز
Durmaz,twrmero1,طورماز
Durmuş,dwrmwso3,دورموش
Durmuş,twrmso3,طورمش
Dursun,dwrswbo1,دورسون
Dursun,twrswbo1,طورسون
Dursunbey,twrswbo1 bu1ko7,طورسون بگ
Dursune,twrswbo1h,طورسونه
Dursunoğlu,twrswbo1 ewao1ly,طورسون اوغلی
Duru,dwrw,دورو
Duru,twrw,طورو
Durualp,dwrw eo6lbu3,دورو آلپ
Durubay,dwrwbu1ey,دوروبای
Durucan,dwrwxo1ebo1,دوروخان
Durudoğan,twrw twao1ebo1,طورو طوغان
Durugül,twrwko7l,طوروگل
Duruhan,dwrwxo1ebo1,دوروخان
Duruiz,dwrweyro1,دوروایز
Duruk,dwrwfo2,دوروق
Durukadın,twrwfo2edybo1,طوروقادین
Durukal,dwrwfo2el,دوروقال
Durukan,dwrwfo2ebo1,دوروقان
Durukan,twrwfo2ebo1,طوروقان
Durul,dwrwl,دورول
Durul,twrwl,طورول
Durusan,dwrwsebo1,دوروسان
Durusel,dwrwsl,دوروسل
Durusoy,dwrwzwy,دوروصوی
Durusu,dwrwzw,دوروصو
Durutekin,dwrwbo2kybo1,دوروتکین
Durutürk,dwrw bo2rk,دورو ترک
Durutürk,twrwbo2wrk,طوروتورک
Duruöz,dwrwewro1,دورواوز
Durşen,dwrso3bo1,دورشن
Duyan,dwyebo1,دویان
Duyar,dwyer,دویار
Duyduk,dwydfo2,دویدق
Duygu,dwyao1w,دویغو
Duygu,twyao1w,طویغو
Duygun,twyao1wbo1,طویغون
Duysal,dwysel,دویسال
Duysal,twysel,طویسال
Duyu,dwyw,دویو
Duşize,dwso3yro1h,دوشیزه
Dâhi,dehy,داهی
Dânâ,debo1e,دانا
Dânâ,tebo1e,طانا
Dârende,derbo1dh,دارنده
Dârâ,dere,دارا
Dökülmez,dwkwlmro1,دوکولمز
Dölaslan,dwl eo6slebo1,دول آسلان
Dölek,dwlk,دولک
Dölen,dwlbo1,دولن
Dölensoy,dwlbo1zwy,دولنصوی
Döndü,dwbo1dw,دوندو
Döne,dwbo1h,دونه
Dönen,dwbo1bo1,دونن
Dönmez,dwbo1mro1,دونمز
Dönmezcan,dwbo1mro1xu1ebo1,دونمزجان
Dönmezer,dwbo1mro1eo5r,دونمزأر
Dönmezsoy,dwbo1mro1zwy,دونمزصوی
Dönmeztekin,dwbo1mro1bo2kybo1,دونمزتکین
Dönü,dwbo1w,دونو
Dönüş,dwbo1wso3,دونوش
Dörtkol,drbo2 fo2wl,درت قول
Dörtyol,dwrbo2 ywl,دورت یول
Döğerli,dwko7rly,دوگرلی
Döşemeci,dwso3h mh xu1y,دوشه مه جی
Dülge,dwlko7h,دولگه
Dülger,dwlko7r,دولگر
Dündar,dwbo1der,دوندار
Dündaralp,dwbo1der eo6lbu3,دوندار آلپ
Dürdane,dwrdebo1h,دوردانه
Dürefşan,drefo1so3ebo1,درافشان
Düri,dwry,دوری
Düriye,dwryh,دوریه
Dürnev,dwrbo1w,دورنو
Dürri,dry,دری
Dürrüşehvar,drso3hwer,درشهوار
Dürzi,drro1y,درزی
Düz,dwro1,دوز
Düzce,dwro1xu1h,دوزجه
Düzel,dwro1l,دوزل
Düzey,dwro1y,دوزی
Düzgören,dwro1ko7wrbo1,دوزگورن
Düzgün,dwro1ko7wbo1,دوزگون
Düşvar,dwso3wer,دوشوار
Düşün,dwso3wbo1,دوشون
Düşünsel,dwso3wbo1sl,دوشونسل
Dıblan,dybu1lebo1,دیبلان
Dımışk,dmso3fo2,دمشق
