
Ebecen,ebu1h xu1bo1,ابه جن
Elgin,elko7ybo1,الگین
Elgün,elko7wbo1,الگون
Elhan,elxebo1,الحان
Eliaçık,ely exu3fo2,الی اچق
Elibol,elybu1wl,الیبول
Elidemir,elydmyr,الیدمیر
Elif,elfo1,الف
Elife,elfo1h,الفه
Elik,elyk,الیک
Elitaş,ely teso3,الی طاش
Elitaş,elytso3,الیطش
Elitez,elybo2ro1,الیتز
Elitez,elybo2yro1,الیتیز
Eliuz,ely ewro1,الی اوز
Eliüstün,ely ewsbo2wbo1,الی اوستون
Elkatmış,eo5l fo2ebo2mso3,أل قاتمش
Elli,elly,اللی
Elmalı,elmely,المالی
Elmalılı,eo5lmelyly,ألمالیلی
Elmas,elmes,الماس
Elvan,elwebo1,الوان
Elveda,elwdea,الوداع
Elver,elwr,الور
Elver,elwyr,الویر
Elverdi,elwrdy,الوردی
Elverdi,elwyrdy,الویردی
Elverdi,eo5l wrdy,أل وردی
Elveren,elwrbo1,الورن
Elveren,elwyrbo1,الویرن
Elâ,ele,الا
Elânur,elebo1wr,الانور
Elâziz,elaro1yro1,العزیز
Elçi,elxu3y,الچی
Elçi,eylxu3y,ایلچی
Elçibey,elxu3y bu1ko7,الچی بگ
Elçim,elxu3ym,الچیم
Elçin,elxu3ybo1,الچین
Elöve,el ewwh,ال اووه
Elöver,el ewwr,ال اوور
Emanet,emebo1bo2,امانت
Emanullah,emebo1ellh,امانالله
Embiya,ebo1bu1yh,انبیه
Emcet,emxu1d,امجد
Emed,eo5md,أمد
Emek,emk,امک
Emek,eo5mk,أمک
Emekli,eo5mkly,أمکلی
Emel,eo5ml,أمل
Emet,embo2,امت
Emetullah,eo5mdellh,أمدالله
Emeç,emxu3,امچ
Emeç,eo5mxu3,أمچ
Emin,emybo1,امین
Emin,eo5mybo1,أمین
Eminağaoğlu,eo5mybo1 eo6ao1e ewao1ly,أمین آغا اوغلی
Emine,eo5mybo1h,أمینه
Eminel,emybo1 eo5l,امین أل
Emir,emyr,امیر
Emir,eo5mr,أمر
Emirhan,emyrxo1ebo1,امیرخان
Emirmahmutoğlu,eo5mrmxmwdewao1ly,أمرمحموداوغلی
Emiroğlu,eo5mrewao1ly,أمراوغلی
Emirşah,emyrso3eh,امیرشاه
Emmioğlu,amy ewao1ly,عمی اوغلی
Emoş,eo5mwso3,أموش
Emrah,emrex,امراح
Emran,emrebo1,امران
Emre,emrh,امره
Emrem,eo5mrh m,أمره م
Emri,emry,امری
Emriye,eo5mryh,أمریه
Emrullah,emrellh,امرالله
Emsal,embo3el,امثال
Enbiya,ebo1bu1yh,انبیه
Ender,ebo1dr,اندر
Endik,eo5ko3dk,أڭدک
Endülüs,ebo1dls,اندلس
Ener,ebo1r,انر
Enerem,ebo1rm,انرم
Eneren,ebo1rbo1,انرن
Energin,ebo1rko7ybo1,انرگین
Enes,ebo1s,انس
Eneç,ebo1xu3,انچ
Enfal,ebo1fo1el,انفال
Enfes,eo5bo1fo1s,أنفس
Engin,ebo1ko7ybo1,انگین
Enginalp,ebo1ko7ybo1 eo6lbu3,انگین آلپ
Enginay,ebo1ko7ybo1ey,انگینای
Engincan,ebo1ko7ybo1xu1ebo1,انگینجان
Enginel,ebo1ko7ybo1 el,انگین ال
Enginer,ebo1ko7ybo1r,انگینر
Engineri,ebo1ko7ybo1ry,انگینری
Enginiz,ebo1ko7ybo1yro1,انگینیز
Enginsoy,ebo1ko7ybo1zwy,انگینصوی
Enginsu,ebo1ko7ybo1 zw,انگین صو
Engintalay,ebo1ko7ybo1 bo2eley,انگین تالای
Enginyurt,ebo1ko7ybo1 ywrd,انگین یورد
Enginün,ebo1ko7ybo1 ewko3,انگین اوڭ
Enginün,ebo1ko7ybo1ko3,انگینڭ
Engiz,ebo1ko7yro1,انگیز
Engür,ebo1ko7wr,انگور
Enhar,ebo1her,انهار
Enis,ebo1ys,انیس
Enise,eo5bo1ysh,أنیسه
Enmutlu,ebo1mwbo2lw,انموتلو
Ensar,ebo1zer,انصار
Ensari,ebo1zery,انصاری
Ensari,eo5bo1zery,أنصاری
Ensarioğlu,eo5bo1zery ewao1ly,أنصاری اوغلی
Enver,ebo1wr,انور
Enver,eo5bo1wr,أنور
Enç,ebo1xu3,انچ
Enç,eo5bo1xu3,أنچ
Enöz,eo5bo1wro1,أنوز
Enöz,eo5ko3wro1,أڭوز
Enüstün,eo5bo1wsbo2wbo1,أنوستون
Enüstün,eo5ko3 eo5wsbo2wbo1,أڭ أوستون
Epikmen,eo5bu3ykmbo1,أپیکمن
Er,er,ار
Eracar,ereo6xu1er,ارآجار
Erakalın,ereo6fo2elybo1,ارآقالین
Eraksan,ereo6fo2sebo1,ارآقسان
Erakıncı,ereo6fo2ybo1xu1y,ارآقینجی
Eral,ereo6l,ارآل
Eralkan,ereo6lfo2ebo1,ارآلقان
Eralp,ereo6lbu3,ارآلپ
Eraltay,ereo6lbo2ey,ارآلتای
Erandaç,ereo6bo1dexu3,ارآنداچ
Eranıl,erebo1yl,ارانیل
Erarıcı,ereo6ryxu1y,ارآریجی
Eraslan,ereo6slebo1,ارآسلان
Erat,eo5rebo2,أرات
Erataman,er eo6bo2emebo1,ار آتامان
Eratlı,ereo6bo2ly,ارآتلی
Eray,eo5rey,أرای
Eray,erey,ارای
Eraydın,ereo6ydybo1,ارآیدین
Erbaa,erbu1ah,اربعه
Erbakan,eo5rbu1efo2ebo1,أرباقان
Erbatur,eo5rbu1etwr,أرباطور
Erbatur,erbu1ebo2wr,ارباتور
Erbay,eo5rbu1ey,أربای
Erbay,erbu1ey,اربای
Erbaz,erbu1ero1,ارباز
Erbaş,eo5rbu1eso3,أرباش
Erbaş,erbu1eso3,ارباش
Erbaşat,erbu1eso3ebo2,ارباشات
Erbek,erbu1k,اربک
Erbelgin,erbu1lko7ybo1,اربلگین
Erben,erbu1bo1,اربن
Erberk,erbu1rk,اربرک
Erbey,erbu1ko7,اربگ
Erbeyin,erbu1yybo1,اربیین
Erbil,erbu1yl,اربیل
Erbilek,erbu1ylk,اربیلک
Erbilen,erbu1ylbo1,اربیلن
Erbilir,erbu1ylyr,اربیلیر
Erboy,erbu1wy,اربوی
Erboğa,erbu1wao1h,اربوغه
Erbuğ,erbu1wao1,اربوغ
Ercan,erxu1ebo1,ارجان
Erce,erxu1h,ارجه
Ercihan,erxu1hebo1,ارجهان
Ercivan,erxu1webo1,ارجوان
Erciyes,erxu1yys,ارجییس
Erciş,erxu1yso3,ارجیش
Ercoşkun,erxu1wso3fo2wbo1,ارجوشقون
Ercüment,erxu1mbo1d,ارجمند
Erdal,erdel,اردال
Erdağ,erdeao1,ارداغ
Erdağ,erteao1,ارطاغ
Erdek,erdk,اردک
Erdel,erdl,اردل
Erdem,erdm,اردم
Erdemalp,erdm eo6lbu3,اردم آلپ
Erdemay,erdmey,اردمای
Erdemer,erdmr,اردمر
Erdemgil,erdmko7yl,اردمگیل
Erdemir,erdmyr,اردمیر
Erdemli,erdmly,اردملی
Erden,eo5rdbo1,أردن
Erden,erdbo1,اردن
Erdenalp,erdbo1 eo6lbu3,اردن آلپ
Erdenay,eo5rdbo1ey,أردنای
Erdener,eo5rdbo1r,أردنر
Erdener,erdbo1r,اردنر
Erdeniz,erdko3ro1,اردڭز
Erdeşir,erdso3yr,اردشیر
Erdi,eo5rdy,أردی
Erdibay,erdybu1ey,اردیبای
Erdibek,erdybu1k,اردیبک
Erdibey,erdy bu1ko7,اردی بگ
Erdibike,erdybu1ykh,اردیبیکه
Erdibikem,erdybu1ykm,اردیبیکم
Erdil,erdyl,اردیل
Erdilek,erdylk,اردیلک
Erdin,erdybo1,اردین
Erdiner,erdybo1r,اردینر
Erdinç,erdybo1xu3,اردینچ
Erdir,erdyr,اردیر
Erdoğ,ertwao1,ارطوغ
Erdoğan,ertwao1ebo1,ارطوغان
Erdoğdu,ertwao1dy,ارطوغدی
Erdoğmuş,ertwao1mso3,ارطوغمش
Erdoğru,eo5rtwao1ry,أرطوغری
Erduman,eo5rdwmebo1,أردومان
Erdur,erdwr,اردور
Erduran,erdwrebo1,اردوران
Erdurdu,erdwrdw,اردوردو
Erdurmuş,erdwrmwso3,اردورموش
Erdursun,erdwrswbo1,اردورسون
Erduru,erdwrw,اردورو
Erdöl,eo5rdwl,أردول
Erdöl,erdwl,اردول
Erdölek,erdwlk,اردولک
Erdönmez,erdwbo1mro1,اردونمز
Erek,eo5rh k,أره ک
Erek,eo5rk,أرک
Erek,erk,ارک
Ereken,erh kbo1,اره کن
Erel,eo5rl,أرل
Erem,eo5rm,أرم
Erem,erm,ارم
Eren,erbo1,ارن
Erenalp,erbo1 eo6lbu3,ارن آلپ
Erenay,eo5rbo1ey,أرنای
Erencan,erbo1xu1ebo1,ارنجان
Erendemir,erbo1dmyr,ارندمیر
Erendiz,eo5rbo1dyro1,أرندیز
Erenel,erbo1 eo5l,ارن أل
Erener,erbo1r,ارنر
Erengil,erbo1ko7yl,ارنگیل
Erengül,eo5rbo1ko7l,أرنگل
Erengün,eo5rbo1ko7wbo1,أرنگون
Erengüç,erbo1ko7wxu3,ارنگوچ
Erenkara,erbo1fo2rh,ارنقره
Erenkaya,erbo1fo2eye,ارنقایا
Erenler,erbo1lr,ارنلر
Erenli,erbo1ly,ارنلی
Erensoy,erbo1zwy,ارنصوی
Erensü,erbo1sw,ارنسو
Erentürk,erbo1 bo2rk,ارن ترک
Erenuluğ,erbo1 ewlwao1,ارن اولوغ
Erenöz,erbo1 ewro1,ارن اوز
Erer,err,ارر
Erez,erro1,ارز
Ereğli,erko7ly,ارگلی
Ergalip,erao1elbu1,ارغالب
Ergani Mâdeni,erao1bo1y madbo1y,ارغنی معدنی
Ergazi,erao1ero1y,ارغازی
Erge,eo5rko7h,أرگه
Ergem,eo5rko7m,أرگم
Ergen,erko7bo1,ارگن
Ergene,erko7bo1h,ارگنه
Ergenekon,erko7bo1h fo2wbo1,ارگنه قون
Ergeneli,erko7bo1h ly,ارگنه لی
Ergener,erko7bo1r,ارگنر
Ergener,erko7h bo1r,ارگه نر
Ergenç,erko7bo1xu3,ارگنچ
Ergezen,erko7ro1bo1,ارگزن
Ergi,erko7y,ارگی
Ergil,erko7yl,ارگیل
Ergin,erko7ybo1,ارگین
Erginal,erko7ybo1el,ارگینال
Erginalp,erko7ybo1 eo6lbu3,ارگین آلپ
Erginay,erko7ybo1 eo6y,ارگین آی
Erginbay,erko7ybo1 bu1ey,ارگین بای
Ergincan,erko7ybo1 xu1ebo1,ارگین جان
Erginel,erko7ybo1 el,ارگین ال
Erginer,erko7ybo1 er,ارگین ار
Erginsoy,erko7ybo1zwy,ارگینصوی
Ergintuğ,erko7ybo1 bo2wao1,ارگین توغ
Ergun,erao1wbo1,ارغون
Ergunalp,erao1wbo1 eo6lbu3,ارغون آلپ
Erguner,erao1wbo1r,ارغونر
Erguvan,erao1webo1,ارغوان
Ergök,erko7wk,ارگوک
Ergökmen,erko7wkmbo1,ارگوکمن
Ergönen,erko7wbo1bo1,ارگونن
Ergönül,erko7wko3l,ارگوڭل
Ergör,erko7wr,ارگور
Ergüden,erko7wdbo1,ارگودن
Ergüder,erko7wdr,ارگودر
Ergül,erko7l,ارگل
Ergül,erko7wl,ارگول
Ergülen,erko7wlbo1,ارگولن
Ergüler,erko7wlr,ارگولر
Ergüleç,erko7wlxu3,ارگولچ
Ergümen,erko7wmbo1,ارگومن
Ergün,erko7wbo1,ارگون
Ergünay,erko7wbo1 eo6y,ارگون آی
Ergüner,erko7wbo1r,ارگونر
Ergüney,erko7wbo1y,ارگونی
Ergüneş,erko7wbo1so3,ارگونش
Ergüven,erko7wwbo1,ارگوون
Ergüvenç,erko7wwbo1xu3,ارگوونچ
Ergüç,erko7wxu3,ارگوچ
Erhan,erxo1ebo1,ارخان
Erhun,erxo1wbo1,ارخون
Eribe,erybu1h,اریبه
Erik,eryk,اریک
Eriker,erykr,اریکر
Erim,eo5rym,أریم
Erim,erym,اریم
Erimel,eryml,اریمل
Erimer,erymr,اریمر
Erimçağ,erymxu3wao1,اریمچوغ
Erimşah,erym so3eh,اریم شاه
Erin,eo5rybo1,أرین
Erincek,erybo1xu1k,ارینجک
Erincik,erybo1xu1yk,ارینجیک
Erinç,eo5rybo1xu3,أرینچ
Erinçer,erybo1xu3r,ارینچر
Erip,erybu1,اریب
Erip,erybu3,اریپ
Eripek,ereybu3k,ارایپک
Eriz,eryzo1,اریض
Eriş,eo5ryso3,أریش
Eriş,eryso3,اریش
Erişen,eryso3bo1,اریشن
Erişirgil,eryso3rko7yl,اریشرگیل
Erişken,eryso3kbo1,اریشکن
Erişkin,eryso3kybo1,اریشکین
Erk,erk,ارک
Erkal,erkel,ارکال
Erkan,erkebo1,ارکان
Erkanlı,erkebo1ly,ارکانلی
Erkarslan,erk erslebo1,ارک ارسلان
Erkaya,erfo2eye,ارقایا
Erkazancı,erfo2ero1ebo1xu1y,ارقازانجی
Erkaş,erfo2eso3,ارقاش
Erke,erkh,ارکه
Erkel,erkl,ارکل
Erker,erkr,ارکر
Erkin,erkybo1,ارکین
Erkinel,erkybo1l,ارکینل
Erkiner,erkybo1r,ارکینر
Erkman,erkmebo1,ارکمان
Erkmen,erkmbo1,ارکمن
Erkmenol,erkmbo1ewl,ارکمناول
Erkol,erfo2wl,ارقول
Erkovan,erfo2webo1,ارقوان
Erkoç,erfo2wxu3,ارقوچ
Erkoçak,erfo2wxu3efo2,ارقوچاق
Erksal,erksel,ارکسال
Erksan,erksebo1,ارکسان
Erksoy,erkzwy,ارکصوی
Erksun,erkzwbo1,ارکصون
Erktin,erkbo2ybo1,ارکتین
Erkul,erfo2wl,ارقول
Erkunt,erfo2wbo1bo2,ارقونت
Erkurt,erfo2wrbo2,ارقورت
Erkut,erfo2wbo2,ارقوت
Erkutay,erfo2wbo2ey,ارقوتای
Erkutlu,erfo2wbo2lw,ارقوتلو
Erkuyumcu,erfo2wywmxu1y,ارقویومجی
Erkuş,erfo2wso3,ارقوش
Erkılıç,erfo2ylyxu3,ارقیلیچ
Erkın,erfo2ybo1,ارقین
Erkınay,erfo2ybo1ey,ارقینای
Erkınel,erfo2ybo1l,ارقینل
Erkır,erfo2yr,ارقیر
Erkıral,erfo2rel,ارقرال
Erkış,erfo2yso3,ارقیش
Erlik,erlyk,ارلیک
Erman,ermebo1,ارمان
Ermenek,ermbo1ek,ارمناک
Ermeni,ermbo1y,ارمنی
Ermiye,ermyyh,ارمییه
Ermiş,ermso3,ارمش
Ermutlu,ermwbo2lw,ارموتلو
Erna,eo5rbo1e,أرنا
Ernoyan,erbo1wyebo1,ارنویان
Ernur,erbo1wr,ارنور
Erokay,erewfo2ey,اراوقای
Erol,erwl,ارول
Eron,erwbo1,ارون
Eronat,erwbo1ebo2,ارونات
Erozan,erwro1ebo1,اروزان
Eroğan,erewao1ebo1,اراوغان
Eroğan,erwao1ebo1,اروغان
Eroğlu,erewao1lw,اراوغلو
Eroğlu,erewao1ly,اراوغلی
Eroğul,erewao1wl,اراوغول
Eroğuz,erewao1wro1,اراوغوز
Ersagun,erzeao1wbo1,ارصاغون
Ersal,ersel,ارسال
Ersalmış,erzelmso3,ارصالمش
Ersan,ersebo1,ارسان
Ersav,erzew,ارصاو
Ersavaş,erzeweso3,ارصاواش
Ersay,erzey,ارصای
Ersayın,erzeyybo1,ارصایین
Ersel,ersl,ارسل
Ersen,ersbo1,ارسن
Erserim,ersrym,ارسریم
Ersev,ersw,ارسو
Erseven,erswbo1,ارسون
Ersever,erswr,ارسور
Ersevin,erswybo1,ارسوین
Ersevinç,erswybo1xu3,ارسوینچ
Ersezen,ersro1bo1,ارسزن
Ersezer,ersro1r,ارسزر
Erseç,ersxu3,ارسچ
Ersin,ersybo1,ارسین
Erson,erzwbo1,ارصون
Ersoy,erzwy,ارصوی
Ersu,erzw,ارصو
Ersun,erzwbo1,ارصون
Ersunal,erzwbo1el,ارصونال
Ersöz,erswro1,ارسوز
Ersü,ersw,ارسو
Ersümer,erswmr,ارسومر
Ertan,erbo2ebo1,ارتان
Ertan,erbo2eko3,ارتاڭ
Ertay,ertey,ارطای
Ertaylan,erbo2eylebo1,ارتایلان
Ertaylan,erteylebo1,ارطایلان
Ertaç,erbo2exu3,ارتاچ
Ertaş,erteso3,ارطاش
Erte,erbo2h,ارته
Ertegün,erbo2h ko7wbo1,ارته گون
Ertek,erbo2k,ارتک
Erteke,erbo2kh,ارتکه
Ertekin,erbo2kybo1,ارتکین
Ertem,erbo2m,ارتم
Ertemür,erbo2mwr,ارتمور
Erten,erbo2bo1,ارتن
Ertepınar,erbo2h bu3yko3er,ارته پیڭار
Ertim,erbo2ym,ارتیم
Ertin,erbo2ybo1,ارتین
Ertingü,erbo2ybo1ko7w,ارتینگو
Ertok,ertwfo2,ارطوق
Ertop,ertwbu3,ارطوپ
Ertugay,erbo2wao1ey,ارتوغای
Ertugay,ertwao1ey,ارطوغای
Ertuna,ertwbo1h,ارطونه
Ertunca,erbo2wbo1xu1h,ارتونجه
Ertuncay,erbo2wbo1xu1ey,ارتونجای
Ertunga,erbo2wbo1ao1h,ارتونغه
Ertunga,ertwbo1ao1h,ارطونغه
Ertunç,erbo2wbo1xu3,ارتونچ
Ertur,erbo2wr,ارتور
Erturan,ertwrebo1,ارطوران
Ertut,ertwbo2,ارطوت
Ertuğ,erbo2wao1,ارتوغ
Ertuğ,ertwao1,ارطوغ
Ertuğrul,erbo2wao1rwl,ارتوغرول
Ertuğrul,ertwao1rwl,ارطوغرول
Ertöre,erbo2wrh,ارتوره
Ertün,erbo2wbo1,ارتون
Ertüre,erbo2wrh,ارتوره
Ertürk,erbo2rk,ارترک
Ertürk,erbo2wrk,ارتورک
Ertüze,erbo2wro1h,ارتوزه
Ertüzün,erbo2wro1wbo1,ارتوزون
Eruh,erwxo1,اروخ
Erverdi,erwrdy,اروردی
Ervin,eo5rwybo1,أروین
Eryalçın,eryelxu3ybo1,اریالچین
Eryaman,eryemebo1,اریامان
Eryavuz,eryewwro1,اریاووز
Eryetiş,erybo2yso3,اریتیش
Eryiğit,eryyko7ybo2,ارییگیت
Eryurt,erywrd,اریورد
Eryıldız,eryyldyro1,ارییلدیز
Eryılmaz,eryylmero1,ارییلماز
Erzade,erro1edh,ارزاده
Erzan,erro1ebo1,ارزان
Erzi,erro1y,ارزی
Erzik,erro1yk,ارزیک
Erzin,erro1ybo1,ارزین
Erzincan,erro1bo1xu1ebo1,ارزنجان
Erzurum,erzo1rwm,ارضروم
Erzurumlu,erzo1rwmly,ارضروملی
Erzurumluoğlu,erzo1rwmly ewao1ly,ارضروملی اوغلی
Erçelebi,erxu3lbu1y,ارچلبی
Erçelik,erxu3lyk,ارچلیک
Erçetin,erxu3bo2ybo1,ارچتین
Erçevik,erxu3wyfo2,ارچویق
Erçil,erxu3yl,ارچیل
Erçin,erxu3ybo1,ارچین
Eröge,erwko7h,اروگه
Eröz,erwro1,اروز
Erülgen,erwlko7bo1,ارولگن
Erün,erwbo1,ارون
Erünal,erwbo1el,ارونال
Erüstün,erwsbo2wbo1,اروستون
Erışık,ereyso3yfo2,ارایشیق
Erşahan,erso3ehebo1,ارشاهان
Erşan,erso3ebo1,ارشان
Erşat,erso3ebo2,ارشات
Erşen,erso3bo1,ارشن
Erşet,erso3bo2,ارشت
Esat,esad,اسعد
Esatoğlu,esad ewao1ly,اسعد اوغلی
Ese,esh,اسه
Esedullah,esdellh,اسدالله
Esen,esbo1,اسن
Esenbay,esbo1bu1ey,اسنبای
Esenbel,esbo1bu1l,اسنبل
Esenboğa,esbo1bu1wao1h,اسنبوغه
Esendal,esbo1 del,اسن دال
Esendal,esbo1del,اسندال
Esendağ,esbo1deao1,اسنداغ
Esendağ,esbo1teao1,اسنطاغ
Esendemir,esbo1dmyr,اسندمیر
Esenel,esbo1 eo5l,اسن أل
Esener,esbo1 eo5r,اسن أر
Esener,esbo1 er,اسن ار
Esengin,esbo1ko7ybo1,اسنگین
Esengül,esbo1ko7l,اسنگل
Esengün,esbo1ko7wbo1,اسنگون
Esenkal,esbo1fo2el,اسنقال
Esenkul,esbo1fo2wl,اسنقول
Esentimur,esbo1bo2ymwr,اسنتیمور
Esentürk,esbo1 bo2wrk,اسن تورک
Eser,ebo3r,اثر
Eser,esr,اسر
Esergül,ebo3rko7l,اثرگل
Esertaş,esrtso3,اسرطش
Esim,ebo3ym,اثیم
Esim,esym,اسیم
Esin,esybo1,اسین
Esiner,esybo1 eo5r,اسین أر
Eskin,eskybo1,اسکین
Eskinalp,eskybo1 eo6lbu3,اسکین آلپ
Eskişehir,eskyso3hr,اسکیشهر
Eslek,eslk,اسلک
Esma,esme,اسما
Esmahan,esmexo1ebo1,اسماخان
Esmer,esmr,اسمر
Esmeray,esmrey,اسمرای
Esna,ebo3bo1e,اثنا
Esra,esrbu2,اسري
Esvet,eswd,اسود
Ete,eybo2h,ایته
Ethem,edhm,ادهم
Eti,ebo2y,اتی
Eti,eo5bo2y,أتی
Etik,eo5bo2yk,أتیک
Etike,eo5bo2ykh,أتیکه
Etili,ebo2yly,اتیلی
Etçioğlu,eybo2xu1y ewao1ly,ایتجی اوغلی
Evcan,eo5wxu1ebo1,أوجان
Evci,eo5wxu1y,أوجی
Evcil,eo5wxu1yl,أوجیل
Evcimen,eo5wxu1ymbo1,أوجیمن
Evcin,eo5wxu1ybo1,أوجین
Evdegül,eo5wdh ko7l,أوده گل
Evecen,eo5wh xu1bo1,أوه جن
Evgin,ewko7ybo1,اوگین
Evhat,eo5wxo1t,أوخط
Evin,eo5wybo1,أوین
Evirgen,eo5wyrko7bo1,أویرگن
Evliya,eo5wlye,أولیا
Evliya,ewlye,اولیا
Evliyagil,eo5wlyeko7yl,أولیاگیل
Evliyaoğlu,ewlye ewao1ly,اولیا اوغلی
Evnur,eo5wbo1wr,أونور
Evran,eo5wrebo1,أوران
Evren,eo5wrbo1,أورن
Evrenata,eo5wrbo1 eo6bo2e,أورن آتا
Evrensel,eo5wrbo1sl,أورنسل
Evrim,eo5wrym,أوریم
Evrimer,eo5wrymr,أوریمر
Evsen,eo5wsbo1,أوسن
Evşen,eo5wso3bo1,أوشن
Eyidoğan,eyy twao1ebo1,ایی طوغان
Eylem,eo5ylm,أیلم
Eylem,eylm,ایلم
Eylül,eylwl,ایلول
Eymen,eo5ymbo1,أیمن
Eymir,eo5ymyr,أیمیر
Eyyam,eyyem,اییام
Eyyüboğlu,eywbu1 ewao1ly,ایوب اوغلی
Eyüboğlu,eywbu1 ewao1ly,ایوب اوغلی
Eyüp,eywbu1,ایوب
Eyüpoğlu,eywbu1 ewao1ly,ایوب اوغلی
Ezel,ero1l,ازل
Ezelhan,ero1lxo1ebo1,ازلخان
Ezelî,ero1ly,ازلی
Ezgi,ero1ko7y,ازگی
Ezgin,ero1ko7ybo1,ازگین
Ezgü,eo5ro1ko7w,أزگو
Ezgü,ero1ko7w,ازگو
Ezgüer,ero1ko7weo5r,ازگوأر
Ezgütekin,ero1ko7wbo2kybo1,ازگوتکین
Ezine,ero1ybo1h,ازینه
Ezman,ero1mebo1,ازمان
Eğel,eo5ko7l,أگل
Eğilli,eko7ylly,اگیللی
Eğilmez,eko7ylmro1,اگیلمز
Eğrek,eko7rk,اگرک
Eğrigöz,eo5ko7ry||kwro1,أگری‌کوز
Eşay,eo5so3ey,أشای
Eşe,eso3h,اشه
Eşfak,eso3fo1efo2,اشفاق
Eşim,eso3ym,اشیم
Eşin,eso3ybo1,اشین
Eşit,eso3ybo2,اشیت
Eşkin,eso3kybo1,اشکین
Eşme,eo5so3mh,أشمه
Eşmen,eso3mbo1,اشمن
Eşraf,eso3refo1,اشراف
