
Oba,ewbu1h,اوبه
Orak,ewrefo2,اوراق
Orakay,ewrefo2ey,اوراقای
Orakçıoğlu,ewrefo2xu1y ewao1ly,اوراقجی اوغلی
Oral,ewrel,اورال
Oralmış,ewrelmso3,اورالمش
Oran,ewrebo1,اوران
Oranlı,ewrebo1ly,اورانلی
Oray,ewrebo1,اوران
Orbay,ewrbu1ey,اوربای
Orbek,ewrbu1k,اوربک
Orberk,ewrbu1rfo2,اوربرق
Orcan,ewrxu1ebo1,اورجان
Orcaner,ewrxu1ebo1r,اورجانر
Ordu,erdw,اردو
Ordu,ewrdw,اوردو
Orer,ewrr,اورر
Orgun,ewrao1wbo1,اورغون
Orgunalp,ewrao1wbo1 eo6lbu3,اورغون آلپ
Orguntay,ewrao1wbo1bo2ey,اورغونتای
Orgül,ewrko7l,اورگل
Orgün,ewrkwbo1,اورکون
Orgünalp,ewrkwbo1 eo6lbu3,اورکون آلپ
Orhan,ewrxo1ebo1,اورخان
Orhaneli,ewrxo1ebo1||ebu2ly,اورخان‌ايلی
Orhangazi,ewrxo1ebo1||ao1ero1y,اورخان‌غازی
Orhon,ewrxo1wbo1,اورخون
Orhun,ewrxo1wbo1,اورخون
Orkan,ewrfo2ebo1,اورقان
Orkide,ewrkydh,اورکیده
Orkun,ewrfo2wbo1,اورقون
Orkunt,ewrfo2wbo1bo2,اورقونت
Orkut,ewrfo2wbo2,اورقوت
Orkutay,ewrfo2wbo2ey,اورقوتای
Orkuş,ewrfo2wso3,اورقوش
Orman,ewrmebo1,اورمان
Ortak,ewrbo2efo2,اورتاق
Ortakçıoğlu,ewrbo2efo2xu1y ewao1ly,اورتاقجی اوغلی
Ortan,ewrbo2ebo1,اورتان
Ortanca,ewrbo2ebo1xu1h,اورتانجه
Ortaç,ewrbo2exu3,اورتاچ
Ortun,ewrbo2wbo1,اورتون
Ortunç,ewrbo2wbo1xu3,اورتونچ
Oruk,ewrwfo2,اوروق
Orum,ewrwm,اوروم
Orun,ewrwbo1,اورون
Orus,ewrws,اوروس
Oruz,ewrwro1,اوروز
Oruç,ewrwxu3,اوروچ
Oruçoğlu,ewrwxu1 ewao1ly,اوروج اوغلی
Orçun,ewrxu3wbo1,اورچون
Oskan,ewzfo2ebo1,اوصقان
Oskay,ewsfo2ey,اوسقای
Osma,abo3me,عثما
Osman,abo3mebo1,عثمان
Osmancık,abo3mebo1xu1fo2,عثمانجق
Osmaneli,abo3mebo1 ebu2ly,عثمان ايلی
Osmanlı memleketi,abo3mebo1lw mmlkbo2y,عثمانلو مملکتی
Osmanlı vilâyeti,abo3mebo1lwwlebu2bo2y,عثمانلوولايتی
Osmanlı,abo3mebo1lw tbu3reao1y,عثمانلو طپراغی
Osmanlı,abo3mebo1lw,عثمانلو
Osmanlı,abo3mebo1ly,عثمانلی
Osmanlıca,abo3mebo1lwxu1h,عثمانلوجه
Osmanlılık,abo3mebo1lbu2lfo2,عثمانليلق
Osmantan,abo3mebo1bo2ebo1,عثمانتان
Osmâniye,abo3mebo1bu2h,عثمانيه
Osten,ewzdbo1,اوصدن
Otacı,ewbo2exu1y,اوتاجی
Otak,ewbo2efo2,اوتاق
Otakçı,ewbo2efo2xu3y,اوتاقچی
Otaman,ewbo2h mebo1,اوته مان
Otamış,ewbo2emso3,اوتامش
Otaran,ewbo2erebo1,اوتاران
Otay,ewbo2ey,اوتای
Otağ,ewbo2eao1,اوتاغ
Otman,ewbo2mebo1,اوتمان
Otuk,ewbo2wfo2,اوتوق
Ovacık,ewwexu1fo2,اوواجق
Ovacık,ewwh xu1fo2,اووه جق
Ovalı,ewwh ly,اووه لی
Oy,ewy,اوی
Oya,ewye,اویا
Oyal,ewyel,اویال
Oyalp,ewyeo6lbu3,اویآلپ
Oyalı,ewyely,اویالی
Oyan,ewyebo1,اویان
Oyaçiçek,ewyh xu3yxu3k,اویه چیچک
Oybozan,ewybu1wro1ebo1,اویبوزان
Oyhan,ewyxo1ebo1,اویخان
Oykan,ewyfo2ebo1,اویقان
Oykut,ewyfo2wbo2,اویقوت
Oylum,ewylwm,اویلوم
Oymak,ewymefo2,اویماق
Oyman,ewymebo1,اویمان
Oynağanlı,ewybo1eao1ebo1ly,اویناغانلی
Oytaç,ewybo2exu3,اویتاچ
Oytun,ewybo2wbo1,اویتون
Oytunç,ewybo2wbo1xu3,اویتونچ
Oz,ewro1,اوز
Ozan,ewro1ebo1,اوزان
Ozanalp,ewro1ebo1eo6lbu3,اوزانآلپ
Ozanay,ewro1ebo1eo6y,اوزانآی
Ozaner,ewro1ebo1r,اوزانر
Ozansoy,ewro1ebo1zwy,اوزانصوی
Ozansü,ewro1ebo1sw,اوزانسو
Ozgan,ewro1ao1ebo1,اوزغان
Oğan,ewao1ebo1,اوغان
Oğanalp,ewao1ebo1 eo6lbu3,اوغان آلپ
Oğaner,ewao1ebo1r,اوغانر
Oğansoy,ewao1ebo1zwy,اوغانصوی
Oğanverdi,ewao1ebo1 wyrdy,اوغان ویردی
Oğul,ewao1wl,اوغول
Oğulbalı,ewao1wl bu1ely,اوغول بالی
Oğulbay,ewao1wl bu1ey,اوغول بای
Oğulbaş,ewao1wl bu1eso3,اوغول باش
Oğulbey,ewao1wl bu1ko7,اوغول بگ
Oğulcan,ewao1wl xu1ebo1,اوغول جان
Oğultan,ewao1wl bo2ebo1,اوغول تان
Oğultekin,ewao1wl bo2kybo1,اوغول تکین
Oğultürk,ewao1wl bo2rk,اوغول ترک
Oğultürk,ewao1wlbo2wrk,اوغولتورک
Oğulçak,ewao1wl xu3ek,اوغول چاک
Oğur,ewao1wr,اوغور
Oğuralp,ewao1wr eo6lbu3,اوغور آلپ
Oğurata,ewao1wr eo6bo2e,اوغور آتا
Oğuz,ewao1wro1,اوغوز
Oğuzalp,ewao1wro1eo6lbu3,اوغوزآلپ
Oğuzalıcı,ewao1wro1eo6lyxu1y,اوغوزآلیجی
Oğuzata,ewao1wro1eo6bo2e,اوغوزآتا
Oğuzbala,ewao1wro1 bu1ele,اوغوز بالا
Oğuzbay,ewao1wro1bu1ey,اوغوزبای
Oğuzcan,ewao1wro1xu1ebo1,اوغوزجان
Oğuzer,ewao1wro1r,اوغوزر
Oğuzhan,ewao1wro1xo1ebo1,اوغوزخان
Oğuzkan,ewao1wro1fo2ebo1,اوغوزقان
Oğuzman,ewao1wro1mebo1,اوغوزمان
Oğuztan,ewao1wro1bo2ebo1,اوغوزتان
Oğuztüzün,ewao1wro1bo2wro1wbo1,اوغوزتوزون
Oğuş,ewao1wso3,اوغوش
