
Zabcı,zo1ebu1xu1y,ضابجی
Ziya,zo1yec,ضیاء
Ziyaeddin,zo1yec eldybo1,ضیاء الدین
Ziyaettin,zo1yec eldybo1,ضیاء الدین
Ziyafet,ro1yefo1bo2,زیافت
Ziyat,ro1yed,زیاد
Ziynet,ro1ybo1bo2,زینت
Ziyneti,ro1ybo1bo2y,زینتی
Ziynetullah,ro1ybo1bo2 ellh,زینت الله
Zişan,ro1yso3ebo1,زیشان
Zobu,ro1wbu1w,زوبو
Zonguldak,ro1wbo1ao1wldefo2,زونغولداق
Zoral,ro1wrel,زورال
Zorbey,ro1wrbu1ko7,زوربگ
Zorlu,ro1wrlw,زورلو
Zorlu,ro1wrly,زورلی
ZuhAl,ro1xl,زحل
Zuhur,to1whwr,ظوهور
Zuhuri,to1whwry,ظوهوری
Zübeyde,ro1bu1ydh,زبیده
Zübeyr,ro1bu1yr,زبیر
Zühdi,ro1hdy,زهدی
Züheyr,ro1hyr,زهیر
Zühre,ro1hrh,زهره
Zühtiye,ro1hdyh,زهدیه
Zühtü,ro1hdy,زهدی
Züleyha,ro1lyxe,زلیحا
Zülfi,ro1wlfo1y,زولفی
Zülfibar,do1lfo1ybu1er,ذلفیبار
Zülfikar,do1welfo1fo2er,ذوالفقار
Zülfikaroğlu,do1welfo1fo2erewao1ly,ذوالفقاراوغلی
Zülfiyar,do1lfo1yer,ذلفیار
Zülfiye,ro1lfo1yh,زلفیه
Zülfizar,do1elfo1ro1er,ذالفزار
Zülfü,ro1wlfo1y,زولفی
Zülkarneyn,do1elfo2rbo1ybo1,ذالقرنین
Zülkif,ro1wlkwfo1,زولکوف
Zülküf,ro1wlkwfo1,زولکوف
Zülâl,ro1lel,زلال
Zümra,ro1mre,زمرا
Zümra,ro1mry,زمری
Zümrüt,ro1mrd,زمرد
Zürriyet,do1rybo2,ذریت
Zırh,ro1rh,زره
