
Gacıroğlu,ao1exu1yrewao1ly,غاجیراوغلی
Goloğlu,ao1wl ewao1ly,غول اوغلی
Gonca,ao1bo1xu1h,غنجه
Goncafem,ao1bo1xu1h fo1m,غنجه فم
Goncafer,ao1bo1xu1h fo1r,غنجه فر
Goncagül,ao1bo1xu1h ko7l,غنجه گل
Goncater,ao1bo1xu1h bo2r,غنجه تر
Gonce,ao1bo1xu1h,غنجه
Grantay,ao1rebo1bo2ey,غرانتای
Gul,ao1wl,غول
Gulden,ko7ldbo1,گلدن
Gurbet,ao1rbu1bo2,غربت
Gâzi Anteb,ao1ero1y abu2bo1bo2ebu1,غازی عينتاب
Göbekli,ko7wbu1kly,گوبکلی
Göcek,ko7wxu1k,گوجک
Gögen,ko7wko7bo1,گوگن
Gök,ko7wk,گوک
Gökakın,ko7wk eo6fo2ybo1,گوک آقین
Gökalp,ko7wk eo6lbu3,گوک آلپ
Gökalp,kwk eo6lbu3,کوک آلپ
Gökay,ko7wk eo6y,گوک آی
Gökay,ko7wkey,گوکای
Gökbaran,ko7wkbu1erebo1,گوکباران
Gökbay,ko7wkbu1ey,گوکبای
Gökbayrak,ko7wkbu1yrefo2,گوکبیراق
Gökbel,ko7wkbu1l,گوکبل
Gökbelen,ko7wkbu1lbo1,گوکبلن
Gökben,ko7wkbu1bo1,گوکبن
Gökberk,ko7wkbu1rk,گوکبرک
Gökbey,ko7wk bu1ko7,گوک بگ
Gökbora,ko7wkbu1wre,گوکبورا
Gökbudak,ko7wk bu1wdefo2,گوک بوداق
Gökbudak,ko7wkbu1wdefo2,گوکبوداق
Gökbudun,ko7wkbu1wdwbo1,گوکبودون
Gökbulut,ko7wkbu1wlwt,گوکبولوط
Gökbörü,ko7wkbu1wrw,گوکبورو
Gökcan,ko7wkxu1ebo1,گوکجان
Gökcen,ko7wkxu1bo1,گوکجن
Gökdal,ko7wkdel,گوکدال
Gökdalay,ko7wkdeley,گوکدالای
Gökdemir,ko7wkdmyr,گوکدمیر
Gökdeniz,ko7wkdko3ro1,گوکدڭز
Gökdoğan,ko7wktwao1ebo1,گوکطوغان
Gökduman,ko7wkdwmebo1,گوکدومان
Gökel,ko7wk eo5l,گوک أل
Göken,ko7wkbo1,گوکن
Göker,ko7wkr,گوکر
Gökgöl,ko7wkko7wl,گوکگول
Gökhan,ko7wkxo1ebo1,گوکخان
Gökhun,ko7wkxo1wbo1,گوکخون
Gökkan,ko7wkfo2ebo1,گوکقان
Göklevent,ko7wklwbo1d,گوکلوند
Göklü,ko7wklw,گوکلو
Gökmen,ko7wkmbo1,گوکمن
Gökmenalp,ko7wkmbo1 eo6lbu3,گوکمن آلپ
Gökmener,ko7wkmbo1 eo5r,گوکمن أر
Gökmenoğlu,ko7wkmbo1 ewao1ly,گوکمن اوغلی
Gökmete,ko7wkmbo2h,گوکمته
Göknar,ko7wkbo1er,گوکنار
Göknel,ko7wkbo1l,گوکنل
Göknil,ko7wkbo1yl,گوکنیل
Göknur,ko7wkbo1wr,گوکنور
Gökperi,ko7wkbu3ry,گوکپری
Göksal,ko7wksel,گوکسال
Göksal,ko7wkzel,گوکصال
Göksaltuk,ko7wkzltwfo2,گوکصلطوق
Göksan,ko7wkzebo1,گوکصان
Göksav,ko7wkzew,گوکصاو
Göksay,ko7wkzey,گوکصای
Göksel,ko7wksl,گوکسل
Gökselen,ko7wkslbo1,گوکسلن
Göksen,ko7wksbo1,گوکسن
Göksenin,ko7wksbo1ybo1,گوکسنین
Gökser,ko7wksr,گوکسر
Göksev,ko7wksw,گوکسو
Gökseven,ko7wkswbo1,گوکسون
Göksever,ko7wkswr,گوکسور
Göksidan,ko7wksydebo1,گوکسیدان
Göksoy,ko7wkzwy,گوکصوی
Göksu,ko7wkzw,گوکصو
Göksun,ko7wkswbo1,گوکسون
Göksun,ko7wkzwbo1,گوکصون
Göktalay,ko7wk teley,گوک طالای
Göktan,ko7wkbo2ebo1,گوکتان
Göktay,ko7wkbo2ey,گوکتای
Göktaş,ko7wkteso3,گوکطاش
Göktaş,ko7wktso3,گوکطش
Gökten,ko7wkbo2bo1,گوکتن
Göktepe,ko7wkbo2bu3h,گوکتپه
Göktulga,ko7wktwlao1h,گوکطولغه
Göktuna,ko7wktwbo1h,گوکطونه
Göktunç,ko7wkbo2wbo1xu3,گوکتونچ
Göktunç,ko7wktwbo1xu3,گوکطونچ
Göktuğ,ko7wkbo2wao1,گوکتوغ
Göktuğ,ko7wktwao1,گوکطوغ
Göktöre,ko7wkbo2wrh,گوکتوره
Göktürk,ko7wk bo2rk,گوک ترک
Göktürk,ko7wkbo2wrk,گوکتورک
Gökyay,ko7wkyey,گوکیای
Gökçe,ko7wkxu3h,گوکچه
Gökçebala,ko7wkxu3h bu1ele,گوکچه بالا
Gökçebalan,ko7wkxu3h bu1elebo1,گوکچه بالان
Gökçebel,ko7wkxu3h bu1l,گوکچه بل
Gökçebey,ko7wkxu3h bu1ko7,گوکچه بگ
Gökçeer,ko7wkxu3h eo5r,گوکچه أر
Gökçek,ko7wkxu3k,گوکچک
Gökçel,ko7wkxu3l,گوکچل
Gökçelik,ko7wkxu3lyk,گوکچلیک
Gökçem,ko7wkxu3m,گوکچم
Gökçen,ko7wkxu3bo1,گوکچن
Gökçer,ko7wkxu3r,گوکچر
Gökçesu,ko7wkxu3h zw,گوکچه صو
Gökçil,ko7wkxu3yl,گوکچیل
Gökçin,ko7wkxu3ybo1,گوکچین
Gökçül,ko7wkxu3wl,گوکچول
Gökçün,ko7wkxu3wbo1,گوکچون
Gökşan,ko7wkso3ebo1,گوکشان
Gökşen,ko7wkso3bo1,گوکشن
Gökşin,ko7wkso3ybo1,گوکشین
Göle,ko7wlh,گوله
Gölet,ko7wlbo2,گولت
Gölge,ko7wlko7h,گولگه
Gölhan,ko7wlxo1ebo1,گولخان
Göllü,ko7wllw,گوللو
Gölpazarı,ko7wlbu3ero1ery,گولپازاری
Göncüoğlu,ko7wbo1xu1w ewao1ly,گونجو اوغلی
Göndem,ko7wbo1dm,گوندم
Gönder,ko7wbo1dr,گوندر
Gönen,ko7wbo1bo1,گونن
Gönen,ko7wbo1ebo1,گونان
Gönener,ko7wbo1bo1 eo5r,گونن أر
Gönensay,ko7wbo1bo1zey,گوننصای
Gönenç,ko7wbo1bo1xu3,گوننچ
Gönç,ko7wbo1xu3,گونچ
Gönül,ko7wko3l,گوڭل
Gönülay,ko7wko3l eo6y,گوڭل آی
Gönülden,ko7wko3ldbo1,گوڭلدن
Gönüldeş,ko7wko3ldso3,گوڭلدش
Gör,ko7wr,گور
Göral,ko7wrel,گورال
Görbil,ko7wrbu1yl,گوربیل
Gördes,ko7wrdws,گوردوس
Görele,ko7wrh||lh,گوره‌له
Gören,ko7wrbo1,گورن
Görentaş,ko7wrbo1 teso3,گورن طاش
Görez,ko7wrro1,گورز
Görgü,ko7wrko7w,گورگو
Görgün,ko7wrko7wbo1,گورگون
Görgünay,ko7wrko7wbo1eo6y,گورگونآی
Görgüncan,ko7wrko7wbo1xu1ebo1,گورگونجان
Görgüç,ko7wrko7wxu3,گورگوچ
Görk,ko7wrk,گورک
Görkel,ko7wrkl,گورکل
Görkem,ko7wrkm,گورکم
Görkemli,ko7wrkmly,گورکملی
Görker,ko7wrkr,گورکر
Görkey,ko7wrky,گورکی
Görklü,ko7wrklw,گورکلو
Görkmen,ko7wrkmbo1,گورکمن
Görksev,ko7wrksw,گورکسو
Görmez,ko7wrmro1,گورمز
Görsev,ko7wrsw,گورسو
Görür,ko7wrr,گورر
Gövem,ko7wwm,گووم
Gövez,ko7wrro1,گورز
Gövsa,ko7wwse,گووسا
Gövsa,ko7wwze,گووصا
Göymen,ko7wymbo1,گویمن
Göynük,ko7wbo1bu2k,گونيک
Göyük,ko7wywk,گویوک
Göyünç,ko7wywbo1xu3,گویونچ
Gözal,ko7wro1el,گوزال
Gözalan,ko7wro1 eo6lebo1,گوز آلان
Gözay,ko7wro1ey,گوزای
Gözaydın,ko7wro1eo6ydybo1,گوزآیدین
Gözcü,ko7wro1xu1y,گوزجی
Gözde,ko7wro1dh,گوزده
Göze,ko7wro1h,گوزه
Gözegir,ko7wro1h ko7yr,گوزه گیر
Gözem,ko7wro1m,گوزم
Gözenç,ko7wro1bo1xu3,گوزنچ
Gözlem,ko7wro1lm,گوزلم
Gözlük,ko7wro1lwk,گوزلوک
Gözlükaya,ko7wro1lw fo2eye,گوزلو قایا
Gözübüyük,ko7wro1y bu1ywk,گوزی بیوک
Gözügeçgel,ko7wro1y ko7xu3ko7l,گوزی گچگل
Gözütok,ko7wro1wtwfo2,گوزوطوق
Göçen,ko7wxu3bo1,گوچن
Göçer,ko7wxu3r,گوچر
Göçmen,ko7wxu3mbo1,گوچمن
Göğem,ko7wko7m,گوگم
Göğen,ko7wko7bo1,گوگن
Göğünç,ko7wko7wbo1xu3,گوگونچ
Göğüsger,ko7wko7sko7r,گوگسگر
Göğüş,ko7wko7wso3,گوگوش
Gücal,ko7wxu1el,گوجال
Gücalp,ko7wxu1 eo6lbu3,گوج آلپ
Gücel,ko7wxu1l,گوجل
Gücer,ko7wxu1r,گوجر
Gücümen,ko7wxu1wmbo1,گوجومن
Güdek,ko7wdk,گودک
Güder,ko7wdr,گودر
Güfte,ko7fo1bo2h,گفته
Güher,ko7hr,گهر
Gül,ko7l,گل
Gülal,ko7leo6l,گلآل
Gülara,ko7leo6re,گلآرا
Gülaslı,ko7lezly,گلاصلی
Gülasya,ko7leo6syh,گلآسیه
Gülay,ko7ley,گلای
Gülaydın,ko7leo6ydybo1,گلآیدین
Gülayım,ko7leo6yym,گلآییم
Gülayşe,ko7l aebo5so3h,گل عائشه
Gülaç,ko7leo6xu3,گلآچ
Gülaçtı,ko7leo6xu3dy,گلآچدی
Gülbadem,ko7lbu1edm,گلبادم
Gülbahar,ko7lbu1her,گلبهار
Gülbanu,ko7lbu1ebo1w,گلبانو
Gülbay,ko7wlbu1ey,گولبای
Gülbağ,ko7lbu1eao1,گلباغ
Gülbeden,ko7lbu1dbo1,گلبدن
Gülbek,ko7wlbu1k,گولبک
Gülben,ko7lbu1bo1,گلبن
Gülbende,ko7lbu1bo1dh,گلبنده
Gülbeniz,ko7lbu1ko3ro1,گلبڭز
Gülberk,ko7lbu1rk,گلبرک
Gülbey,ko7wl bu1ko7,گول بگ
Gülbeyaz,ko7lbu1yero1,گلبیاز
Gülbeyi,ko7wl bu1ko7y,گول بگی
Gülbeşeker,ko7lbu1h so3kr,گلبه شکر
Gülbike,ko7lbu1ykh,گلبیکه
Gülbikem,ko7lbu1ykm,گلبیکم
Gülbil,ko7lbu1yl,گلبیل
Gülbin,ko7lbu1ybo1,گلبین
Gülbitti,ko7lbu1ybo2dy,گلبیتدی
Gülbiz,ko7lbu1yro1,گلبیز
Gülboy,ko7lbu1wy,گلبوی
Gülbu,ko7lbu1w,گلبو
Gülbün,ko7lbu1wbo1,گلبون
Gülbüz,ko7lbu1wro1,گلبوز
Gülcan,ko7lxu1ebo1,گلجان
Gülcanan,ko7lxu1ebo1ebo1,گلجانان
Gülce,ko7lxu1h,گلجه
Gülcegün,ko7lxu1h ko7wbo1,گلجه گون
Gülcemal,ko7lxu1mel,گلجمال
Gülcihan,ko7lxu1hebo1,گلجهان
Gülcügil,ko7lxu1wko7yl,گلجوگیل
Gülcüoğlu,ko7lxu1w ewao1ly,گلجو اوغلی
Güldal,ko7ldel,گلدال
Güldalı,ko7ldely,گلدالی
Güldan,ko7ldebo1,گلدان
Güldane,ko7ldebo1h,گلدانه
Güldehan,ko7ldhebo1,گلدهان
Güldehen,ko7ldhbo1,گلدهن
Güldem,ko7ldm,گلدم
Güldemet,ko7ldmbo2,گلدمت
Gülden,ko7ldbo1,گلدن
Güldeniz,ko7ldko3yro1,گلدڭیز
Güldenur,ko7ldh bo1wr,گلده نور
Gülder,ko7ldr,گلدر
Gülderen,ko7ldrbo1,گلدرن
Güldermiş,ko7ldrmso3,گلدرمش
Güldeste,ko7ldsbo2h,گلدسته
Güldeğer,ko7ldko7r,گلدگر
Güldilek,ko7ldylk,گلدیلک
Güldoğan,ko7ltwao1ebo1,گلطوغان
Güldoğan,ko7wl twao1ebo1,گول طوغان
Güldöne,ko7ldwbo1h,گلدونه
Güldünya,ko7ldwbo1ye,گلدونیا
Güldüren,ko7wldyrbo1,گولدیرن
Gülebetin,ko7wlh bu1bo2ybo1,گوله بتین
Gülece,ko7l exu1h,گل اجه
Güleda,ko7l ede,گل ادا
Gülefşan,ko7l efo1so3ebo1,گل افشان
Gülek,ko7lk,گلک
Gülek,ko7wlk,گولک
Gülel,ko7wll,گولل
Gülen,ko7lbo1,گلن
Gülen,ko7wlbo1,گولن
Gülenay,ko7wlbo1ey,گولنای
Gülendam,ko7l ebo1dem,گل اندام
Gülender,ko7wlbo1dr,گولندر
Gülener,ko7lbo1r,گلنر
Gülener,ko7wlbo1 eo5r,گولن أر
Gülengübin,ko7wlbo1ko7wbu1ybo1,گولنگوبین
Gülengül,ko7wlbo1ko7l,گولنگل
Gülennur,ko7wlbo1bo1wr,گولننور
Güler,ko7lr,گلر
Güler,ko7wlr,گولر
Güleray,ko7wlreo6y,گولرآی
Gülercan,ko7wlrxu1ebo1,گولرجان
Güleren,ko7wl eo5rbo1,گول أرن
Gülergin,ko7wlrko7ybo1,گولرگین
Gülergün,ko7wlrko7wbo1,گولرگون
Gülerman,ko7wlrmebo1,گولرمان
Gülersin,ko7wlrsybo1,گولرسین
Gülertan,ko7wlrbo2ebo1,گولرتان
Güleryüz,ko7wlrywro1,گولریوز
Gülesen,ko7l esbo1,گل اسن
Güleser,ko7l eo5bo3r,گل أثر
Gülesin,ko7l esybo1,گل اسین
Gülev,ko7lw,گلو
Güley,ko7ly,گلی
Gülez,ko7lro1,گلز
Güleç,ko7lxu3,گلچ
Güleç,ko7wlxu3,گولچ
Güleçer,ko7wlh xu3r,گوله چر
Güleğen,ko7wl eko7bo1,گول اگن
Gülfam,ko7lfo1em,گلفام
Gülfeda,ko7lfo1de,گلفدا
Gülfem,ko7lfo1m,گلفم
Gülfer,ko7lfo1r,گلفر
Gülferah,ko7lfo1rex,گلفراح
Gülfeza,ko7lfo1zo1e,گلفضا
Gülfeşan,ko7lfo1so3ebo1,گلفشان
Gülfidan,ko7lfo1debo1,گلفدان
Gülfide,ko7lfo1ydh,گلفیده
Gülgen,ko7lko7bo1,گلگن
Gülgez,ko7lko7ro1,گلگز
Gülgonca,ko7lao1bo1xu1h,گلغنجه
Gülgönül,ko7lko7wko3l,گلگوڭل
Gülgûn,ko7lko7wbo1,گلگون
Gülgûne,ko7lko7wbo1h,گلگونه
Gülgün,ko7lko7wbo1,گلگون
Gülgüney,ko7lko7wbo1y,گلگونی
Gülgüzel,ko7lko7wro1l,گلگوزل
Gülhan,ko7lxo1ebo1,گلخان
Gülhanım,ko7lxo1ebo1m,گلخانم
Gülhatun,ko7lxo1ebo2wbo1,گلخاتون
Gülhatır,ko7lxo1etr,گلخاطر
Gülhayat,ko7lxyebo2,گلحیات
Gülhiz,ko7lxo1yro1,گلخیز
Gülhuri,ko7lxwry,گلحوری
Gülinaz,ko7lybo1ero1,گلیناز
Gülinci,ko7lybo1xu1y,گلینجی
Gülipek,ko7lybu3k,گلیپک
Gülistan,ko7lysbo2ebo1,گلیستان
Güliz,ko7layro1,گلعیز
Güliz,ko7lyro1,گلیز
Gülizar,ko7lado1er,گلعذار
Gülkadın,ko7lfo2edybo1,گلقادین
Gülkan,ko7lfo2ebo1,گلقان
Gülkan,ko7wlfo2ebo1,گولقان
Gülkız,ko7lfo2yro1,گلقیز
Gülle,ko7llh,گلله
Güllü,ko7llw,گللو
Güllüce,ko7llwxu1h,گللوجه
Güllühan,ko7llwxo1ebo1,گللوخان
Güllülü,ko7llwly,گللولی
Güllüşah,ko7llwso3eh,گللوشاه
Güllüşan,ko7llwso3ebo1,گللوشان
Gülmen,ko7wlmbo1,گولمن
Gülmisal,ko7lmbo3el,گلمثال
Gülmüş,ko7wmwso3,گوموش
Gülnar,ko7lbo1er,گلنار
Gülnar,ko7wlbo1er,گولنار
Gülnare,ko7lbo1erh,گلناره
Gülnazik,ko7lbo1ero1k,گلنازک
Gülneşe,ko7lbo1so3bo5h,گلنشئه
Gülnihal,ko7lbo1hel,گلنهال
Gülnur,ko7lbo1wr,گلنور
Gülnuş,ko7lbo1wso3,گلنوش
Gülpembe,ko7lbu3bo1bu1h,گلپنبه
Gülperi,ko7lbu3ry,گلپری
Gülpınar,ko7lbu3yko3er,گلپیڭار
Gülrenk,ko7lrbo1k,گلرنک
Gülriz,ko7lryro1,گلریز
Gülru,ko7lrw,گلرو
Gülruh,ko7lrwx,گلروح
Gülsalın,ko7lzelko3,گلصالڭ
Gülsan,ko7lsebo1,گلسان
Gülsanem,ko7lsebo1m,گلسانم
Gülsay,ko7lzey,گلصای
Gülsefa,ko7lzfo1e,گلصفا
Gülsel,ko7lsl,گلسل
Gülseli,ko7lsly,گلسلی
Gülselin,ko7lslybo1,گلسلین
Gülsema,ko7lsme,گلسما
Gülsemin,ko7lsmybo1,گلسمین
Gülsen,ko7lsbo1,گلسن
Gülser,ko7lsr,گلسر
Gülseren,ko7lsrbo1,گلسرن
Gülserim,ko7lsrym,گلسریم
Gülsev,ko7lsw,گلسو
Gülseven,ko7lswbo1,گلسون
Gülsever,ko7lswr,گلسور
Gülsevi,ko7lswy,گلسوی
Gülsevil,ko7lswyl,گلسویل
Gülsevin,ko7lswybo1,گلسوین
Gülsezer,ko7lsro1r,گلسزر
Gülsezin,ko7lsro1ybo1,گلسزین
Gülsim,ko7lsym,گلسیم
Gülsima,ko7lsyme,گلسیما
Gülsimin,ko7lsymybo1,گلسیمین
Gülsinem,ko7lsybo1m,گلسینم
Gülsoy,ko7lzwy,گلصوی
Gülsu,ko7lzw,گلصو
Gülsuna,ko7lzwbo1h,گلصونه
Gülsunam,ko7lzwbo1em,گلصونام
Gülsunan,ko7lzwbo1ebo1,گلصونان
Gülsunar,ko7lzwbo1er,گلصونار
Gülsüm,ko7lswm,گلسوم
Gülsüme,ko7lswmh,گلسومه
Gülsün,ko7lsbo1,گلسن
Gülsün,ko7lswbo1,گلسون
Gültab,ko7lbo2ebu1,گلتاب
Gültan,ko7lbo2ebo1,گلتان
Gültane,ko7ltebo1h,گلطانه
Gültaze,ko7lbo2ero1h,گلتازه
Gültaç,ko7lbo2exu1,گلتاج
Gültaş,ko7wltso3,گولطش
Gültekin,ko7lbo2kybo1,گلتکین
Gültekin,ko7wlbo2kybo1,گولتکین
Gülten,ko7lbo2bo1,گلتن
Gültepe,ko7lbo2bu3h,گلتپه
Gülter,ko7lbo2r,گلتر
Gültop,ko7ltwbu3,گلطوپ
Gülver,ko7lwr,گلور
Gülveren,ko7lwyrbo1,گلویرن
Gülyurt,ko7lywrd,گلیورد
Gülyüz,ko7lywro1,گلیوز
Gülzar,ko7lro1er,گلزار
Gülzemin,ko7lro1mybo1,گلزمین
Gülziba,ko7lro1ybu1e,گلزیبا
Gülâfet,ko7wlefo1bo2,گولافت
Gülân,ko7leo6bo1,گلآن
Gülâver,ko7leo6wr,گلآور
Gülçe,ko7lxu3h,گلچه
Gülçehre,ko7lxu3hrh,گلچهره
Gülçimen,ko7lxu3ymbo1,گلچیمن
Gülçin,ko7lxu3ybo1,گلچین
Gülçiçek,ko7lxu3yxu3k,گلچیچک
Gülçün,ko7lxu3wbo1,گلچون
Gülören,ko7l ewrbo1,گل اورن
Gülören,ko7lwrbo1,گلورن
Gülöz,ko7lwro1,گلوز
Gülözer,ko7l ewro1r,گل اوزر
Gülözer,ko7lwro1r,گلوزر
Gülüm,ko7lwm,گلوم
Gülümay,ko7lwmey,گلومای
Gülümser,ko7lwmsr,گلومسر
Gülümşen,ko7lwmso3bo1,گلومشن
Gülüstü,ko7lwsbo2w,گلوستو
Gülüt,ko7lwbo2,گلوت
Gülüş,ko7lwso3,گلوش
Gülşad,ko7lso3ed,گلشاد
Gülşadiye,ko7lso3edyh,گلشادیه
Gülşah,ko7lso3eh,گلشاه
Gülşahin,ko7wl so3ehybo1,گول شاهین
Gülşan,ko7lso3ebo1,گلشان
Gülşehri,ko7lso3hry,گلشهری
Gülşeker,ko7lso3kr,گلشکر
Gülşen,ko7lso3bo1,گلشن
Gülşeref,ko7lso3rfo1,گلشرف
Gülşerif,ko7lso3ryfo1,گلشریف
Güman,ko7wmebo1,گومان
Gümberk,ko7wmbu1rk,گومبرک
Gümeç,ko7wmxu3,گومچ
Gümüş,ko7wmwso3,گوموش
Gümüşel,ko7wmwso3 eo5l,گوموش أل
Gümüşhacıköy,ko7mwso3 xexu1y||kwy,گموش حاجی‌کوی
Gümüşhane,ko7mwso3xo1ebo1h,گموشخانه
Gümüşhatun,ko7wmwso3xo1etwbo1,گوموشخاطون
Gümüşkurt,ko7wmwso3fo2wrbo2,گوموشقورت
Gümüşkut,ko7wmwso3fo2wbo2,گوموشقوت
Gümüşoğlu,ko7wmwso3 ewao1ly,گوموش اوغلی
Gümüşpala,ko7wmwso3bu3ele,گوموشپالا
Gümüştan,ko7wmwso3tebo1,گوموشطان
Gümüştay,ko7wmwso3bo2ey,گوموشتای
Gümüştekin,ko7wmwso3bo2kybo1,گوموشتکین
Gün,ko7wbo1,گون
Gün,kwbo1,کون
Günak,ko7wbo1 eo6fo2,گون آق
Günal,ko7wbo1el,گونال
Günalan,ko7wbo1 eo6lbo1,گون آلن
Günalp,ko7wbo1 eo6lbu3,گون آلپ
Günaltan,ko7wbo1 eo6lbo2ebo1,گون آلتان
Günaltay,ko7wbo1 eo6lbo2ey,گون آلتای
Günaltay,ko7wbo1elbo2ey,گونالتای
Günan,ko7wbo1ebo1,گونان
Günana,ko7wbo1ebo1h,گونانه
Günay,ko7wbo1ey,گونای
Günaydın,ko7wbo1eydybo1,گونایدین
Günaç,ko7wbo1exu3,گوناچ
Günbatu,ko7wbo1bu1ebo2w,گونباتو
Günbay,ko7wbo1bu1ey,گونبای
Günbek,ko7wbo1bu1k,گونبک
Günbey,ko7wbo1 bu1ko7,گون بگ
Günbey,ko7wbo1bu1ko7,گونبگ
