
Baba,bu1ebu1e,بابا
Bartu,bu1erbo2w,بارتو
Bartın,bu1ertybo1,بارطین
Barut,bu1erwbo2,باروت
Barutçu,bu1erwbo2xu1y,باروتجی
Barça,bu1erxu3h,بارچه
Barçak,bu1erxu3efo2,بارچاق
Barçın,bu1erxu3ybo1,بارچین
Barı,bu1ery,باری
Barım,bu1erym,باریم
Barın,bu1erybo1,بارین
Barış,bu1eryso3,باریش
Barışcan,bu1eryso3xu1ebo1,باریشجان
Basa,bu1esh,باسه
Basa,bu1ezh,باصه
Basak,bu1esefo2,باساق
Basak,bu1eso3efo2,باشاق
Basak,bu1so3efo2,بشاق
Basir,bu1ezr,باصر
Basir,bu1ezyr,باصیر
Basiret,bu1zyrbo2,بصیرت
Baskak,bu1eso3fo2efo2,باشقاق
Baskan,bu1ezfo2ebo1,باصقان
Baskil,bu1eskl,باسکل
Baskın,bu1ezfo2ybo1,باصقین
Basri,bu1zry,بصری
Basriye,bu1zryyh,بصرییه
Basut,bu1eswt,باسوط
Basım,bu1ezym,باصیم
Basıra,bu1ezrh,باصره
Batallı,bu1etelly,باطاللی
Battal,bu1tel,بطال
Batu,bu1ebo2w,باتو
Batu,bu1etw,باطو
Batucem,bu1ebo2w xu1m,باتو جم
Batuhan,bu1ebo2w xo1ebo1,باتو خان
Batuk,bu1etwfo2,باطوق
Batum,bu1etwm,باطوم
Batumlu,bu1etwmly,باطوملی
Batur,bu1ebo2wr,باتور
Batur,bu1etwr,باطور
Baturalp,bu1ebo2wr eo6lbu3,باتور آلپ
Baturay,bu1ebo2wr eo6y,باتور آی
Baturhan,bu1ebo2wrxo1ebo1,باتورخان
Batı,bu1ety,باطی
Batıbay,bu1etybu1ey,باطیبای
Batıbey,bu1etybu1ko7,باطیبگ
Batıcan,bu1etyxu1ebo1,باطیجان
Batıhan,bu1etyxo1ebo1,باطیخان
Batıkan,bu1etyfo2ebo1,باطیقان
Batılı,bu1etyly,باطیلی
Batır,bu1etyr,باطیر
Batıray,bu1etyreo6y,باطیرآی
Batırhan,bu1etyrxo1ebo1,باطیرخان
Bayam,bu1eyem,بایام
Bayar,bu1eyer,بایار
Bayat,bu1eyebo2,بایات
Bayav,bu1eyew,بایاو
Bayazıt,bu1eyro1yd,بایزید
Baybars,bu1eybu1ers,بایبارس
Baybaş,bu1eybu1eso3,بایباش
Baybaşin,bu1eybu1eso3ybo1,بایباشین
Baybek,bu1eybu1k,بایبک
Baybora,bu1eybu1wre,بایبورا
Baybora,bu1eybu1wrh,بایبوره
Baybura,bu1eybu1wre,بایبورا
Bayburt,bu1eybu1wrd,بایبورد
Baybörü,bu1eybu1wrw,بایبورو
Baycan,bu1eyxu1ebo1,بایجان
Baycık,bu1eyxu1yfo2,بایجیق
Baydar,bu1eyder,بایدار
Baydil,bu1eydl,بایدل
Baydoğan,bu1eytwao1ebo1,بایطوغان
Baydu,bu1eydw,بایدو
Baydur,bu1eydwr,بایدور
Bayduralp,bu1eydwr eo6lbu3,بایدور آلپ
Bayer,bu1eyr,بایر
Bayezit,bu1yero1yd,بیازید
Baygüç,bu1eyko7wxu3,بایگوچ
Bayhan,bu1eyxo1ebo1,بایخان
Bayhun,bu1eyxo1wbo1,بایخون
Bayiç,bu1eyyxu3,باییچ
Baykal,bu1eyfo2el,بایقال
Baykam,bu1eyfo2em,بایقام
Baykam,bu1eykem,بایکام
Baykan,bu1eyfo2ebo1,بایقان
Baykara,bu1eyfo2rh,بایقره
Baykoca,bu1eyfo2wxu1h,بایقوجه
Baykoca,bu1eyxo1wexu1h,بایخواجه
Baykor,bu1eyfo2wr,بایقور
Baykul,bu1eyfo2wl,بایقول
Baykurt,bu1eyfo2wrbo2,بایقورت
Baykut,bu1eyfo2wbo2,بایقوت
Baykutay,bu1eyfo2wbo2ey,بایقوتای
Baykır,bu1eyfo2yr,بایقیر
Baylan,bu1eylebo1,بایلان
Baylaz,bu1eylero1,بایلاز
Bayman,bu1eymebo1,بایمان
Bayol,bu1eywl,بایول
Bayrak,bu1eyrefo2,بایراق
Bayrak,bu1yrfo2,بیرق
Bayrakdar,bu1eyrefo2der,بایراقدار
Bayraktar,bu1eyrefo2der,بایراقدار
Bayraktar,bu1yrefo2der,بیراقدار
Bayraktar,bu1yrfo2der,بیرقدار
Bayraktutan,bu1eyrefo2twbo2ebo1,بایراقطوتان
Bayram,bu1eyrem,بایرام
Bayram,bu1eyrm,بایرم
Bayramiç,bu1eyremyxu3,بایرامیچ
Bayramoğlu,bu1eyrem ewao1ly,بایرام اوغلی
Bayru,bu1eyrw,بایرو
Bayrualp,bu1eyrw eo6lbu3,بایرو آلپ
Bayrubay,bu1eyrwbu1ey,بایروبای
Bayruhan,bu1eyrwxo1ebo1,بایروخان
Bayruk,bu1eyrwfo2,بایروق
Bayrı,bu1eyry,بایری
Baysal,bu1eysel,بایسال
Baysan,bu1eysebo1,بایسان
Baysarı,bu1eyzery,بایصاری
Baysoy,bu1eyzwy,بایصوی
Baysu,bu1eyzw,بایصو
Baysungur,bu1eyzwbo1ao1wr,بایصونغور
Baysık,bu1eyzyfo2,بایصیق
Baytal,bu1eybo2el,بایتال
Baytaş,bu1eyteso3,بایطاش
Baytekin,bu1eybo2kybo1,بایتکین
Baytimur,bu1eybo2ymwr,بایتیمور
Baytok,bu1eytwfo2,بایطوق
Baytugay,bu1eytwao1ey,بایطوغای
Baytürk,bu1eybo2wrk,بایتورک
Baytüze,bu1eybo2wro1h,بایتوزه
Baytüzün,bu1eybo2wro1wbo1,بایتوزون
Baytın,bu1eytybo1,بایطین
Bayuk,bu1eywfo2,بایوق
Bayur,bu1eywr,بایور
Bayyiğit,bu1eyyko7ybo2,باییگیت
Bayyiğit,bu1eyyyko7ybo2,بایییگیت
Bayça,bu1eyxu3h,بایچه
Bayülken,bu1eywlko7bo1,بایولگن
Bayık,bu1eyyfo2,باییق
Bayıllıoğlu,bu1eyylly ewao1ly,باییللی اوغلی
Bayın,bu1eyybo1,بایین
Bayındır,bu1eybo1dr,بایندر
Bayındır,bu1eyybo1dyr,باییندیر
Bayır,bu1eyyr,باییر
Bayırhan,bu1eyyrxo1ebo1,باییرخان
Bazancir,bu1ero1ebo1xu1yr,بازانجیر
Baç,bu1exu3,باچ
Bağatur,bu1eao1etwr,باغاطور
Bağcı,bu1eao1xu1y,باغجی
Bağcıoğlu,bu1eao1xu1y ewao1ly,باغجی اوغلی
Bağdagül,bu1adko7l,بعدگل
Bağdagül,bu1eao1dh ko7l,باغده گل
Bağdaç,bu1eao1dexu3,باغداچ
Bağdaş,bu1eao1deso3,باغداش
Bağlan,bu1eao1lebo1,باغلان
Bağrıaçık,bu1eao1ry eo6xu3yfo2,باغری آچیق
Bağır,bu1eao1yr,باغیر
Bağış,bu1eao1yso3,باغیش
Bağışhan,bu1eao1yso3xo1ebo1,باغیشخان
Baş,bu1eso3,باش
Başak,bu1eso3efo2,باشاق
Başal,bu1eso3el,باشال
Başar,bu1eso3er,باشار
Başara,bu1eso3ere,باشارا
Başaran,bu1eso3erebo1,باشاران
Başargan,bu1eso3erao1ebo1,باشارغان
Başarman,bu1eso3ermebo1,باشارمان
Başat,bu1eso3ebo2,باشات
Başay,bu1eso3ey,باشای
Başaydın,bu1eso3eydybo1,باشایدین
Başağa,bu1eso3 eo6ao1e,باش آغا
Başağa,bu1eso3eao1h,باشاغه
Başbay,bu1eso3bu1ey,باشبای
Başbuğ,bu1eso3bu1wao1,باشبوغ
Başdemir,bu1eso3dmyr,باشدمیر
Başdoğan,bu1eso3twao1ebo1,باشطوغان
Başel,bu1eso3 eo5l,باش أل
Başer,bu1eso3r,باشر
Başesgioğlu,bu1eso3sko7y ewao1ly,باشسگی اوغلی
Başeğmez,bu1eso3 eko7mro1,باش اگمز
Başgil,bu1eso3ko7yl,باشگیل
Başhan,bu1eso3xo1ebo1,باشخان
Başkal,bu1eso3fo2el,باشقال
Başkale,bu1eso3||fo2lah,باش‌قلعه
Başkan,bu1eso3fo2ebo1,باشقان
Başkara,bu1eso3fo2rh,باشقره
Başkaya,bu1eso3fo2eye,باشقایا
Başkaya,bu1eso3fo2yh,باشقیه
Başkaynak,bu1eso3fo2eybo1efo2,باشقایناق
Başkur,bu1eso3fo2wr,باشقور
Başkurt,bu1eso3fo2wrbo2,باشقورت
Başkut,bu1eso3fo2wbo2,باشقوت
Başman,bu1eso3mebo1,باشمان
Başok,bu1eso3 ewfo2,باش اوق
Başol,bu1eso3wl,باشول
Başotaç,bu1eso3wbo2exu3,باشوتاچ
Başsoy,bu1eso3zwy,باشصوی
Baştaş,bu1eso3teso3,باشطاش
Baştemir,bu1eso3dmyr,باشدمیر
Baştopçu,bu1eso3twbu3xu1y,باشطوپجی
Baştugay,bu1eso3twao1ey,باشطوغای
Baştuğ,bu1eso3bo2wao1,باشتوغ
Baştuğ,bu1eso3twao1,باشطوغ
Baştürk,bu1eso3bo2wrk,باشتورک
Baştımar,bu1eso3bo2ymer,باشتیمار
Başyazıcıoğlu,bu1eso3yero1yxu1y ewao1ly,باشیازیجی اوغلی
Başçık,bu1eso3xu3yfo2,باشچیق
Başöz,bu1eso3wro1,باشوز
Başıbüyük,bu1eso3y bu1wywk,باشی بویوک
Bebek,bu1bu1k,ببک
Bedel,bu1dl,بدل
Beder,bu1dr,بدر
Bedi,bu1dya,بدیع
Bedia,bu1dyah,بدیعه
Bedih,bu1dyxo1,بدیخ
Bedihe,bu1dyhh,بدیهه
Bedir,bu1dr,بدر
Bedir,bu1dyr,بدیر
Bedirhan,bu1drxo1ebo1,بدرخان
Bedirhan,bu1dyrxo1ebo1,بدیرخان
Bedirhanoğlu,bu1drxo1ebo1 ewao1ly,بدرخان اوغلی
Bedirnisa,bu1drbo1se,بدرنسا
Bedis,bu1dyro1,بدیز
Bediz,bu1dyro1,بدیز
Bedreka,bu1drh fo2h,بدره قه
Bedrettin,bu1dreldybo1,بدرالدین
Bedri,bu1dry,بدری
Bedriye,bu1dryh,بدریه
Bedük,bu1dwk,بدوک
Begim,bu1ko7ym,بگیم
Begüm,bu1ko7wm,بگوم
Behice,bu1hyxu1h,بهیجه
Behin,bu1hybo1,بهین
Behire,bu1hyrh,بهیره
Behiye,bu1hyh,بهیه
Behiç,bu1hyxu1,بهیج
Behlül,bu1hlwl,بهلول
Behmen,bu1hmbo1,بهمن
Behnan,bu1hbo1ebo1,بهنان
Behnane,bu1hbo1ebo1h,بهنانه
Behram,bu1hrem,بهرام
Behzat,bu1hro1ed,بهزاد
Behçet,bu1hxu3bo2,بهچت
Bek,bu1k,بک
Bekaroğlu,bu1ker ewao1ly,بکار اوغلی
Bekata,bu1kebo2e,بکاتا
Bekbars,bu1kbu1ers,بکبارس
Bekbay,bu1kbu1ey,بکبای
Bekdemir,bu1kdmyr,بکدمیر
Bekdik,bu1kdyk,بکدیک
Bekdil,bu1kdl,بکدل
Bekem,bu1km,بکم
Beken,bu1kbo1,بکن
Beker,bu1kr,بکر
Bekir,bu1kr,بکر
Bekit,bu1kybo2,بکیت
Bekmen,bu1kmbo1,بکمن
Beksan,bu1ksebo1,بکسان
Bektaş,bu1kteso3,بکطاش
Bekter,bu1kbo2r,بکتر
Bektöre,bu1kbo2wrh,بکتوره
Bektürk,bu1kbo2wrk,بکتورک
Bekâm,bu1kem,بکام
Bele,bu1lh,بله
Beleda,bu1lh de,بله دا
Belek,bu1lk,بلک
Belen,bu1lbo1,بلن
Belge,bu1lko7h,بلگه
Belger,bu1lko7r,بلگر
Belgi,bu1lko7y,بلگی
Belgin,bu1lko7ybo1,بلگین
Belhan,bu1lxo1ebo1,بلخان
Belik,bu1lyk,بلیک
Belin,bu1lybo1,بلین
Beliz,bu1lyro1,بلیز
Beliğ,bu1lyao1,بلیغ
Belkıs,bu1lfo2ys,بلقیس
Bellek,bu1lk,بلک
Bellek,bu1llk,بللک
Bellioğlu,bu1lly ewao1ly,بللی اوغلی
Bellisan,bu1llysebo1,بللیسان
Belma,bu1lme,بلما
Belmen,bu1lmbo1,بلمن
Belçika,bu1lxu3yfo2e,بلچیقا
Belül,bu1lwl,بلول
Benal,bu1bo1el,بنال
Benam,bu1bo1em,بنام
Benan,bu1bo1ebo1,بنان
Benay,bu1bo1ey,بنای
Benazir,bu1bo1ero1yr,بنازیر
Bender,bu1bo1dr,بندر
Benderlioğlu,bu1bo1drly ewao1ly,بندرلی اوغلی
Bendeş,bu1bo1dso3,بندش
Benek,bu1bo1k,بنک
Bener,bu1bo1r,بنر
Benevşe,bu1bo1wso3h,بنوشه
Bengi,bu1bo1ko7y,بنگی
Bengialp,bu1bo1ko7w eo6lbu3,بنگو آلپ
Bengialp,bu1bo1ko7y eo6lbu3,بنگی آلپ
Bengibay,bu1bo1ko7y bu1ey,بنگی بای
Bengigül,bu1bo1ko7yko7l,بنگیگل
Bengisan,bu1bo1ko7ysebo1,بنگیسان
Bengisoy,bu1bo1ko7y zwy,بنگی صوی
Bengisu,bu1bo1ko7y zw,بنگی صو
Bengisu,bu1bo1ko7yzw,بنگیصو
Bengitaş,bu1bo1ko7y teso3,بنگی طاش
Bengü,bu1bo1ko7w,بنگو
Bengü,bu1bo1ko7y,بنگی
Bengühan,bu1bo1ko7wxo1ebo1,بنگوخان
Bengül,bu1bo1ko7l,بنگل
Benian,bu1bo1y eo6ko3,بنی آڭ
Benice,bu1bo1yxu1h,بنیجه
Benker,bu1bo1kr,بنکر
Benli,bu1bo1ly,بنلی
Benligül,bu1bo1lyko7l,بنلیگل
Bennur,bu1bo1bo1wr,بننور
Benokan,bu1bo1wfo2ebo1,بنوقان
Benol,bu1bo1wl,بنول
Bensu,bu1bo1zw,بنصو
Bent,bu1bo1d,بند
Bentürk,bu1bo1 bo2wrk,بن تورک
Benzer,bu1ko3ro1r,بڭزر
Benşen,bu1bo1so3bo1,بنشن
Berat,bu1rebo2,برات
Berber,bu1rbu1r,بربر
Berberoğlu,bu1rbu1rewao1ly,بربراوغلی
Berceste,bu1rxu1sbo2h,برجسته
Bercis,bu1rxu1ys,برجیس
Bereket,bu1rkbo2,برکت
Bereketoğlu,bu1rkbo2 ewao1ly,برکت اوغلی
Beren,bu1rbo1,برن
Berfin,bu1rfo1ybo1,برفین
Berfu,bu1rfo1w,برفو
Bergama,bu1rao1mh,برغمه
Berge,bu1rko7h,برگه
Bergin,bu1rko7ybo1,برگین
Bergüzar,bu1rko7ro1er,برگزار
Beri,bu1ry,بری
Beria,bu1ryah,بریعه
Beriker,bu1rykr,بریکر
Berin,bu1rybo1,برین
Beriye,bu1ryh,بریه
Berk,bu1rfo2,برق
Berk,bu1rk,برک
Berkal,bu1rkel,برکال
Berkan,bu1rfo2ebo1,برقان
Berkant,bu1rfo2ebo1bo2,برقانت
Berkay,bu1rfo2ey,برقای
Berkay,bu1rkey,برکای
Berke,bu1rkh,برکه
Berkel,bu1rkl,برکل
Berker,bu1rkr,برکر
Berki,bu1rky,برکی
Berkin,bu1rkybo1,برکین
Berkiye,bu1rkyh,برکیه
Berkkan,bu1erkkebo1,بارککان
Berkkan,bu1rfo2fo2ebo1,برققان
Berkman,bu1rfo2mebo1,برقمان
Berkman,bu1rkmebo1,برکمان
Berkmen,bu1rkmbo1,برکمن
Berkok,bu1rfo2wfo2,برقوق
Berkol,bu1rfo2wl,برقول
Berksal,bu1erksel,بارکسال
Berksan,bu1rksebo1,برکسان
Berksay,bu1rksey,برکسای
Berksoy,bu1rfo2zwy,برقصوی
Berksu,bu1rfo2zw,برقصو
Berksun,bu1rfo2zwbo1,برقصون
Berktan,bu1rkbo2ebo1,برکتان
Berktin,bu1rkbo2ybo1,برکتین
Berköz,bu1rk ewro1,برک اوز
Berkün,bu1rfo2ko3,برقڭ
Berkün,bu1rkwbo1,برکون
Bermude,bu1rmwdh,برموده
Berna,bu1rbo1e,برنا
Berrak,bu1refo2,براق
Berran,bu1rebo1,بران
Berrin,bu1rybo1,برین
Bertan,bu1rbo2ebo1,برتان
Berter,bu1rbo2r,برتر
Berşe,bu1rso3h,برشه
Besalet,bu1selbo2,بسالت
Besamet,bu1sembo2,بسامت
Besat,bu1set,بساط
Besen,bu1sbo1,بسن
Besim,bu1sym,بسیم
Besime,bu1symh,بسیمه
Besin,bu1sybo1,بسین
Besli,bu1sly,بسلی
Besni,bu1sbo1y,بسنی
Beste,bu1sbo2h,بسته
Bestegül,bu1sbo2h ko7l,بسته گل
Betigül,bu1bo2y ko7l,بتی گل
Betik,bu1bo2yk,بتیک
Betil,bu1bo2yl,بتیل
Betim,bu1bo2ym,بتیم
Betül,bu1bo2wl,بتول
Betülay,bu1bo2wl eo6y,بتول آی
Bey,bu1ko7,بگ
Beyatlı,bu1ko7 eo6bo2ly,بگ آتلی
Beyatlı,bu1yebo2ly,بیاتلی
Beyaz,bu1yero1,بیاز
Beyaz,bu1yezo1,بیاض
Beyazid,bu1yzo1ybo2,بیضیت
Beyazit,bu1yezo1ybo2,بیاضیت
Beyazlı,bu1yero1ly,بیازلی
Beyazlı,bu1yezo1ly,بیاضلی
Beyazıt,bu1yzo1yd,بیضید
Beybars,bu1ybu1ers,بیبارس
Beybolat,bu1ybu1wled,بیبولاد
Beycan,bu1yxu1ebo1,بیجان
Beyda,bu1yde,بیدا
Beydağ,bu1ydeao1,بیداغ
Beydağı,bu1ko7deao1y,بگداغی
Beydağı,bu1ko7teao1y,بگطاغی
Beydağı,bu1ydeao1y,بیداغی
Beydağı,bu1yteao1y,بیطاغی
Beydaş,bu1ydeso3,بیداش
Beygu,bu1yao1w,بیغو
Beyhan,bu1yxo1ebo1,بیخان
Beyhatun,bo1ko7 xo1ebo2wbo1,نگ خاتون
Beykal,bu1yfo2el,بیقال
Beykan,bu1ykebo1,بیکان
Beykara,bu1yfo2rh,بیقره
Beykoz,bu1kfo2wro1,بکقوز
Beylan,bu1ylebo1,بیلان
Beylem,bu1ylm,بیلم
Beynamlı,bu1ko7 bo1emly,بگ ناملی
Beyoğlu,bu1k ewao1ly,بک اوغلی
Beypazarı,bu1kbu3ero1ery,بکپازاری
Beyrek,bu1yrk,بیرک
Beyreli,bu1yrh ly,بیره لی
Beyribey,bu1yry bu1ko7,بیری بگ
Beysan,bu1ysebo1,بیسان
Beysun,bu1yzwbo1,بیصون
Beytekin,bu1ybo2kybo1,بیتکین
Beytemir,bu1ybo2myr,بیتمیر
Beytişebab,bu1ybo2y so3bu1ebu1,بیتی شباب
Beytullah,bu1ybo2 ellh,بیت الله
Beytöre,bu1ybo2wrh,بیتوره
Beyza,bu1yzo1e,بیضا
Beyzade,bu1ko7ro1edh,بگزاده
Beyzat,bu1yzo1ebo2,بیضات
Beyşehir,bu1kso3hr,بکشهر
Bezek,bu1ro1k,بزک
Bezen,bu1ro1bo1,بزن
Bezmiâlem,bu1ro1m aelm,بزم عالم
Beğenç,bu1ko7bo1xu3,بگنچ
Beşaret,bu1so3erbo2,بشارت
Beşarettin,bu1so3ereldybo1,بشارالدین
Beşer,bu1so3r,بشر
Beşgül,bu1so3ko7l,بشگل
Beşir,bu1so3yr,بشیر
Beşire,bu1so3yrh,بشیره
Beşîri,bu1so3yry,بشیری
Biberoğlu,bu1ybu1r ewao1ly,بیبر اوغلی
Bibioğlu,bu1ybu1y ewao1ly,بیبی اوغلی
Bican,bu1yxu1ebo1,بیجان
Bidar,bu1yder,بیدار
Bidayet,bu1deybo2,بدایت
Biga,bu1yao1e,بیغا
Bige,bu1yko7h,بیگه
Bigüm,bu1yko7wm,بیگوم
Bihan,bu1hebo1,بهان
Bihin,bu1hybo1,بهین
Bihine,bu1hybo1h,بهینه
Bihter,bu1hbo2r,بهتر
Bihterin,bu1hbo2rybo1,بهترین
Bike,bu1ykh,بیکه
BilAl,bu1lel,بلال
Bila,bu1ele,بالا
Bila,bu1le,بلا
Bilal,bu1lel,بلال
Bilan,bu1ylebo1,بیلان
Bilay,bu1yley,بیلای
Bilbay,bu1ylbu1ey,بیلبای
Bilbaşar,bu1ylbu1eso3er,بیلباشار
Bildik,bu1yldk,بیلدک
Bilecik,bu1ylh||xu1k,بیله‌جک
Bileda,bu1ylh dh,بیله ده
Bilek,bu1ylk,بیلک
Bilen,bu1ylbo1,بیلن
Bilender,bu1ylbo1dr,بیلندر
Bilge,bu1ylko7h,بیلگه
Bilgealp,bu1ylko7h eo6lbu3,بیلگه آلپ
Bilgebay,bu1ylko7h bu1ey,بیلگه بای
Bilgecan,bu1ylko7h xu1ebo1,بیلگه جان
Bilgeer,bu1ylko7h eo5r,بیلگه أر
Bilgehan,bu1ylko7h xo1ebo1,بیلگه خان
Bilgekan,bu1ylko7h fo2ebo1,بیلگه قان
Bilgekağan,bu1ylko7h fo2eao1ebo1,بیلگه قاغان
Bilgekurt,bu1ylko7h fo2wrbo2,بیلگه قورت
Bilgekut,bu1ylko7h fo2wbo2,بیلگه قوت
Bilgen,bu1ylko7bo1,بیلگن
Bilgenur,bu1ylko7h bo1wr,بیلگه نور
Bilger,bu1ylko7r,بیلگر
Bilget,bu1ylko7h bo2,بیلگه ت
Bilgetay,bu1ylko7h bo2ey,بیلگه تای
Bilgetürk,bu1ylko7h bo2wrk,بیلگه تورک
Bilgi,bu1ylko7y,بیلگی
Bilgihan,bu1ylko7y xo1ebo1,بیلگی خان
Bilgili,bu1ylko7yly,بیلگیلی
Bilgin,bu1ylko7ybo1,بیلگین
Bilginer,bu1ykko7ybo1r,بیکگینر
Bilginur,bu1ylko7y bo1wr,بیلگی نور
Bilgir,bu1ylko7yr,بیلگیر
Bilgiser,bu1ylko7y sr,بیلگی سر
Bilgisu,bu1ylko7y zw,بیلگی صو
Bilgivar,bu1ylko7y wer,بیلگی وار
Bilgiç,bu1ylko7yxu3,بیلگیچ
Bilgü,bu1ylko7w,بیلگو
Bilgün,bu1ylko7wbo1,بیلگون
Bilgütay,bu1ylko7wbo2ey,بیلگوتای
Bilhan,bu1ylxo1ebo1,بیلخان
Bilici,bu1ylyxu1y,بیلیجی
Bilik,bu1ylyko7,بیلیگ
