
Ubeyde,abu1ydh,عبیده
Us,ewz,اوص
Usak,ewsh fo2,اوسه ق
Usal,ewsel,اوسال
Usal,ewzel,اوصال
Usalan,ewselebo1,اوسالان
Usalp,ewseo6lbu3,اوسآلپ
Usbay,ewsbu1ey,اوسبای
Usberk,ewsbu1rk,اوسبرک
Usbey,ewsbu1ko7,اوسبگ
User,ewsr,اوسر
Ushan,ewzxo1ebo1,اوصخان
Uskan,ewzfo2ebo1,اوصقان
Uslu,ewzlw,اوصلو
Uslu,ewzly,اوصلی
Usluer,ewslw eo5r,اوسلو أر
Usman,abo3mebo1,عثمان
Usta,ewsbo2h,اوسته
Ustaoğlu,ewsbo2h ewao1ly,اوسته اوغلی
Usuk,aswfo2,عسوق
Usum,aswm,عسوم
Usumi,aswmy,عسومی
Usun,abo3wbo1,عثون
Usunbike,abo3wbo1 bu1ykh,عثون بیکه
Usunbike,ewsbo1 bu1ykh,اوسن بیکه
Utarit,aterd,عطارد
Utkan,ewbo2fo2ebo1,اوتقان
Utku,ewbo2fo2w,اوتقو
Utman,ewbo2mebo1,اوتمان
Uyanık,ewyebo1fo2,اویانق
Uyar,ewyer,اویار
Uyaralp,ewyereo6lbu3,اویارآلپ
Uyarel,ewyereo5l,اویارأل
Uyarer,ewyer eo5r,اویار أر
Uybadın,ewybu1edybo1,اویبادین
Uygan,ewyao1ebo1,اویغان
Uygar,ewyao1er,اویغار
Uygu,ewyao1w,اویغو
Uygun,ewyao1wbo1,اویغون
Uygunel,ewyao1wbo1 eo5l,اویغون أل
Uyguner,ewyao1wbo1 eo5r,اویغون أر
Uygur,ewyao1wr,اویغور
Uyguralp,ewyao1wr eo6lbu3,اویغور آلپ
Uysal,ewysel,اویسال
Uytun,ewybo2wbo1,اویتون
Uz,ewro1,اوز
Uzalp,aro1eo6lbu3,عزآلپ
Uzan,ewro1ebo1,اوزان
Uzay,ewro1ey,اوزای
Uzbay,aro1bu1ey,عزبای
Uzcan,aro1xu1ebo1,عزجان
Uzel,aro1eo5l,عزأل
Uzel,ewro1l,اوزل
Uzer,aro1eo5r,عزأر
Uzer,ewro1r,اوزر
Uzgören,ewro1ko7wrbo1,اوزگورن
Uzhan,ewro1xo1ebo1,اوزخان
Uzkan,ewro1fo2ebo1,اوزقان
Uzman,aro1mebo1,عزمان
Uzmay,ewro1mey,اوزمای
Uzmen,ewro1mbo1,اوزمن
Uzsan,ewro1sebo1,اوزسان
Uzsoy,ewro1zwy,اوزصوی
Uztan,ewro1bo2ebo1,اوزتان
Uztav,ewro1bo2ew,اوزتاو
Uztay,ewro1bo2ey,اوزتای
Uztaş,ewro1tso3,اوزطش
Uztekin,ewro1bo2kybo1,اوزتکین
Uztürk,ewro1 bo2wrk,اوز تورک
Uzun,ewro1wbo1,اوزون
Uzuner,ewro1wbo1r,اوزونر
Uzunhasan,ewro1wbo1 xsbo1,اوزون حسن
Uzunkaya,ewro1wbo1fo2eye,اوزونقایا
Uzunköprü,ewro1wbo1||kwbu3ry,اوزون‌کوپری
Uzunlar,ewro1wbo1lr,اوزونلر
Uzunoğlu,ewro1wbo1 ewao1ly,اوزون اوغلی
Uzunçarşılı,ewro1wbo1 xu3erso3wly,اوزون چارشولی
Uzunırmak,ewro1wbo1 eyrmefo2,اوزون ایرماق
Uç,ewxu3,اوچ
Uça,ewxu3h,اوچه
Uçan,ewxu3ebo1,اوچان
Uçanay,ewxu3ebo1 eo6y,اوچان آی
Uçaner,ewxu3ebo1r,اوچانر
Uçanok,ewxu3ebo1wfo2,اوچانوق
Uçantekin,ewxu3ebo1 bo2kybo1,اوچان تکین
Uçantürk,ewxu3ebo1 bo2wrk,اوچان تورک
Uçar,ewxu3ebo1,اوچان
Uçar,ewxu3er,اوچار
Uçarer,ewxu3ereo5r,اوچارأر
Uçarlı,ewxu3erly,اوچارلی
Uçay,ewxu3ey,اوچای
Uçaş,ewxu3eso3,اوچاش
Uçbay,ewxu3bu1ey,اوچبای
Uçbeyi,ewxu3bu1ko7y,اوچبگی
Uçgun,ewxu3ao1wbo1,اوچغون
Uçhan,ewxu3xo1ebo1,اوچخان
Uçkan,ewxu3fo2ebo1,اوچقان
Uçkara,ewxu3fo2ere,اوچقارا
Uçkun,ewxu3fo2wbo1,اوچقون
Uçma,ewxu3mh,اوچمه
Uçmak,ewxu3mefo2,اوچماق
Uçman,ewxu3mebo1,اوچمان
Uçuk,ewxu3wfo2,اوچوق
Uçur,ewxu3wr,اوچور
Uğan,ewao1ebo1,اوغان
Uğanbike,ewao1ebo1 bu1ykh,اوغان بیکه
Uğrasızoğlu,ewao1resro1 ewao1ly,اوغراسز اوغلی
Uğur,ewao1wr,اوغور
Uğural,ewao1wreo6l,اوغورآل
Uğuralp,ewao1wreo6lbu3,اوغورآلپ
Uğurata,ewao1wreo6bo2e,اوغورآتا
Uğuray,ewao1wrey,اوغورای
Uğurcan,ewao1wrxu1ebo1,اوغورجان
Uğurel,ewao1wreo5l,اوغورأل
Uğurhan,ewao1wrxo1ebo1,اوغورخان
Uğurlu,ewao1wrlw,اوغورلو
Uğurlu,ewao1wrly,اوغورلی
Uğurlubay,ewao1wrlwbu1ey,اوغورلوبای
Uğurlubey,ewao1wrlwbu1ko7,اوغورلوبگ
Uğurol,ewao1wrwl,اوغورول
Uğursal,ewao1wrsel,اوغورسال
Uğursan,ewao1wrsebo1,اوغورسان
Uğursay,ewao1wrzey,اوغورصای
Uğursel,ewao1wrsl,اوغورسل
Uğurser,ewao1wrsr,اوغورسر
Uğursoy,ewao1wrzwy,اوغورصوی
Uğurtan,ewao1wrbo2ebo1,اوغورتان
Uğurtay,ewao1wrbo2ey,اوغورتای
Uğut,ewao1wbo2,اوغوت
Uğuz,ewao1wro1,اوغوز
Uğuş,ewao1wso3,اوغوش
Uşak,aso3efo2,عشاق
Uşak,ewso3efo2,اوشاق
Uşaklı,aso3efo2ly,عشاقلی
Uşşaklı,aso3efo2ly,عشاقلی
