
Nabel,bo1ebu1l,نابل
Nazife,bo1to1yfo1h,نظیفه
Nazik,bo1ero1k,نازک
Nazikoğlu,bo1ero1k ewao1ly,نازک اوغلی
Nazilli,bo1ero1lly,نازللی
Nazire,bo1to1yrh,نظیره
Nazlan,bo1ero1lebo1,نازلان
Nazlı,bo1ero1ly,نازلی
Nazlıaka,bo1ero1ly eo6fo2h,نازلی آقه
Nazlıcan,bo1ero1lyxu1ebo1,نازلیجان
Nazlıgül,bo1ero1lyko7l,نازلیگل
Nazlıhan,bo1ero1lyxo1ebo1,نازلیخان
Nazlım,bo1ero1lym,نازلیم
Nazmi,bo1to1my,نظمی
Nazmiye,bo1ero1myh,نازمیه
Nazıdil,bo1ero1dl,نازدل
Nazım,bo1eto1m,ناظم
Nazıma,bo1eto1mh,ناظمه
Nazımiye,bo1eto1mbu2h,ناظميه
Nazır,bo1to1yr,نظیر
Nağme,bo1ao1mh,نغمه
Naşide,bo1eso3dh,ناشده
Naşir,bo1eso3r,ناشر
Naşire,bo1eso3rh,ناشره
Naşit,bo1eso3d,ناشد
Nebahat,bo1bu1ehbo2,نباهت
Nebahattin,bo1bu1ex eldybo1,نباح الدین
Nebati,bo1bu1ebo2y,نباتی
Nebi,bo1bu1y,نبی
Nebih,bo1bu1yh,نبیه
Nebih,bo1bu1yx,نبیح
Nebihe,bo1bu1yhh,نبیهه
Nebil,bo1bu1yl,نبیل
Nebile,bo1bu1ylh,نبیله
Nebioğlu,bo1bu1y ewao1ly,نبی اوغلی
Nebiye,bo1bu1yh,نبیه
Necabet,bo1xu1ebu1bo2,نجابت
Necabettin,bo1xu1ebu1 eldybo1,نجاب الدین
Necat,bo1xu1ebo2,نجات
Necati,bo1xu1ebo2y,نجاتی
Neccar,bo1xu1er,نجار
Necdet,bo1xu1dbo2,نجدت
Necibe,bo1xu1ybu1h,نجیبه
Necid,bo1xu1d,نجد
Necile,bo1xu1ylh,نجیله
Necip,bo1xu1ybu1,نجیب
Necla,bo1xu1le,نجلا
Neclâ,bo1xu1le,نجلا
Necmettin,bo1xu1m eldybo1,نجم الدین
Necmi,bo1xu1my,نجمی
Necmiye,bo1xu1myh,نجمیه
Necve,bo1xu1wh,نجوه
Nedim,bo1dym,ندیم
Nedime,bo1dymh,ندیمه
Nedimoğlu,bo1dym ewao1ly,ندیم اوغلی
Nedret,bo1drbo2,ندرت
Nefaset,bo1fo1esbo2,نفاست
Nefer,bo1fo1r,نفر
Nefi,bo1fo1y,نفی
Nefis,bo1fo1ys,نفیس
Nefise,bo1fo1ysh,نفیسه
Neftçi,bo1fo1bo2xu1y,نفتجی
Nehar,bo1her,نهار
Nehip,bo1hybu1,نهیب
Nehir,bo1hr,نهر
Nehire,bo1hyrh,نهیره
Nehri,bo1hry,نهری
Nejat,bo1ro3ebo2,نژات
Nejat,bo1ro3ed,نژاد
Nejlâ,bo1ro3le,نژلا
Nemlioğlu,bo1mly ewao1ly,نملی اوغلی
Nemrud,bo1mrwd,نمرود
Nemse,bo1msh,نمسه
Nemutlu,bo1h mwbo2lw,نه موتلو
Nemçe,bo1mxu3h,نمچه
Neptün,bo1bu3bo2wbo1,نپتون
Nergis,bo1rko7s,نرگس
Nergise,bo1rko7sh,نرگسه
Nerim,bo1rym,نریم
Neriman,bo1rymebo1,نریمان
Nermi,bo1rmy,نرمی
Nermin,bo1rmybo1,نرمین
Nesibe,bo1sybu1h,نسیبه
Nesil,bo1syl,نسیل
Nesim,bo1sym,نسیم
Nesime,bo1symh,نسیمه
Nesimi,bo1symy,نسیمی
Nesip,bo1sybu1,نسیب
Nesli,bo1sly,نسلی
Nesligül,bo1slyko7l,نسلیگل
Neslihan,bo1slyxo1ebo1,نسلیخان
Neslişah,bo1slyso3eh,نسلیشاه
Nesrin,bo1srybo1,نسرین
Nesteren,bo1sbo2rbo1,نسترن
Netice,bo1bo2yxu1h,نتیجه
Neva,bo1wa,نوع
Neva,bo1we,نوا
Neval,bo1wel,نوال
Nevale,bo1welh,نواله
Nevbahar,bo1wbu1her,نوبهار
Nevber,bo1wbu1r,نوبر
Nevcan,bo1wxu1ebo1,نوجان
Nevcivan,bo1wxu1webo1,نوجوان
Neveda,bo1wde,نودا
Neveser,bo1wsr,نوسر
Nevfel,bo1wfo1l,نوفل
Nevgül,bo1wko7l,نوگل
Nevhiz,bo1whyro1,نوهیز
Nevide,bo1wydh,نویده
Nevin,bo1wybo1,نوین
Nevinur,bo1way bo1wr,نوعی نور
Nevir,bo1wyr,نویر
Nevit,bo1wybo2,نویت
Nevit,bo1wyd,نوید
NevnihAl,bo1wbo1hel,نونهال
Nevra,bo1wre,نورا
Nevres,bo1wrs,نورس
Nevreste,bo1wrsbo2h,نورسته
Nevrettin,bo1wreldybo1,نورالدین
Nevri,bo1wry,نوری
Nevriye,bo1wryh,نوریه
Nevruz,bo1wrwro1,نوروز
Nevsal,bo1wsel,نوسال
Nevsale,bo1wselh,نوساله
Nevvare,bo1werh,نواره
Nevzat,bo1wro1ed,نوزاد
Nevşehir,bo1wso3hr,نوشهر
Neyire,bo1yrh,نیره
Neyran,bo1yrebo1,نیران
Neyyire,bo1yrh,نیره
Neyyiri,bo1yry,نیری
Neyzen,bo1yro1bo1,نیزن
Neyzi,bo1yro1y,نیزی
Nezafet,bo1to1efo1bo2,نظافت
Nezahat,bo1ro1ehbo2,نزاهت
Nezahattin,bo1ro1eh eldybo1,نزاه الدین
Nezahet,bo1ro1ehbo2,نزاهت
Nezaket,bo1ro1ekbo2,نزاکت
Nezih,bo1ro1yh,نزیه
Nezihe,bo1ro1yhh,نزیهه
Nezihi,bo1ro1yhy,نزیهی
Nezir,bo1ro1yr,نزیر
Nezire,bo1ro1yrh,نزیره
Neşat,bo1so3et,نشاط
Neşe,bo1so3bo5h,نشئه
Neşecan,bo1so3bo5h,نشئه
Neşecan,bo1so3h,نشه
Neşegül,bo1so3bo5h ko7l,نشئه گل
Neşem,bo1so3bo5h m,نشئه م
Neşem,bo1so3m,نشم
Neşenur,bo1so3bo5h bo1wr,نشئه نور
Neşet,bo1so3bo2,نشت
Neşever,bo1so3bo5h wyr,نشئه ویر
Neşever,bo1so3h wr,نشه ور
Neşide,bo1so3ydh,نشیده
Neşit,bo1so3yd,نشید
Neşve,bo1so3wh,نشوه
Niazi,bo1yero1y,نیازی
Nida,bo1de,ندا
Nidai,bo1dey,ندای
Nigâr,bo1yko7er,نیگار
NihAl,bo1hel,نهال
Nihade,bo1hedh,نهاده
Nihai,bo1hebo5y,نهائی
Nihan,bo1hebo1,نهان
Nihat,bo1hed,نهاد
Nihayet,bo1heybo2,نهایت
Niksar,bo1bu2kser,نيکسار
Nil,bo1bu2l,نيل
Nil,bo1yl,نیل
Nilay,bo1yley,نیلای
Nilberk,bo1yl bu1rk,نیل برک
Nilgûn,bo1ylko7wbo1,نیلگون
Nilgün,bo1ylko7wbo1,نیلگون
Nilhan,bo1ylxo1ebo1,نیلخان
Nili,bo1yly,نیلی
Nilsu,bo1ylzw,نیلصو
Nilüfer,bo1ylwfo1r,نیلوفر
Nimet,bo1ambo2,نعمت
Nimetullah,bo1ambo2 ellh,نعمت الله
Niran,bo1yrebo1,نیران
Nisa,bo1se,نسا
Nisan,bo1ysebo1,نیسان
Nisani,bo1ysebo1y,نیسانی
Nisvan,bo1swebo1,نسوان
Niyaz,bo1yero1,نیاز
Niyazi,bo1yero1y,نیازی
Niyet,bo1ybo2,نیت
Nizam,bo1to1em,نظام
Nizamettin,bo1to1em eldybo1,نظام الدین
Nizami,bo1to1emy,نظامی
Nizamoğlu,bo1to1em ewao1ly,نظام اوغلی
Nizar,bo1to1er,نظار
Nizip,bo1ro1bu2bu3,نزيپ
Niğde,bo1bu2kdh,نيکده
Nişan,bo1so3ebo1,نشان
Nişanbay,bo1so3ebo1bu1ey,نشانبای
Nogay,bo1wao1ey,نوغای
Noyan,bo1wyebo1,نویان
Noylan,bo1wylebo1,نویلان
Nuh gemisi,bo1wx kmbu2sy,نوح کميسی
Nuh,bo1wx,نوح
Nuhbe,bo1xo1bu1h,نخبه
Nuhcan,bo1wxxu1ebo1,نوحجان
Nuhkan,bo1wxfo2ebo1,نوحقان
Nuhoğlu,bo1wx ewao1ly,نوح اوغلی
Numan,bo1amebo1,نعمان
Numanoğlu,bo1amebo1 ewao1ly,نعمان اوغلی
Nur,bo1wr,نور
Nural,bo1wrel,نورال
Nuralp,bo1wreo6lbu3,نورآلپ
Nuran,bo1wrebo1,نوران
Nurani,bo1wrebo1y,نورانی
Nuratay,bo1wreo6bo2ey,نورآتای
Nuray,bo1wrey,نورای
Nuraydın,bo1wreo6ydybo1,نورآیدین
Nurbaki,bo1wrbu1efo2y,نورباقی
Nurbanu,bo1wrbu1ebo1w,نوربانو
Nurbay,bo1wrbu1ey,نوربای
Nurben,bo1wrbu1bo1,نوربن
Nurbige,bo1wrbu1yko7h,نوربیگه
Nurcan,bo1wrxu1ebo1,نورجان
Nurcihan,bo1wrxu1hebo1,نورجهان
Nurcu,bo1wrxu1y,نورجی
Nurdal,bo1wrdel,نوردال
Nurdan,bo1wrdebo1,نوردان
Nurdanay,bo1wrdebo1ey,نوردانای
Nurdane,bo1wrdebo1h,نوردانه
Nurdağ,bo1wrdeao1,نورداغ
Nurdide,bo1wrdydh,نوردیده
Nurdil,bo1wrdl,نوردل
Nurdoğan,bo1wrtwao1ebo1,نورطوغان
Nurdoğdu,bo1wr twao1dy,نور طوغدی
Nurefşan,bo1wrefo1so3ebo1,نورافشان
Nurel,bo1wreo5l,نورأل
Nurer,bo1wreo5r,نورأر
Nurersin,bo1wr ersybo1,نور ارسین
Nurettin,bo1wreldybo1,نورالدین
Nurfer,bo1wrfo1r,نورفر
Nurfeza,bo1wrfo1zo1e,نورفضا
Nurfidan,bo1wrfo1debo1,نورفدان
Nurfide,bo1wrfo1ydh,نورفیده
Nurgök,bo1wrko7wk,نورگوک
Nurgül,bo1wrko7l,نورگل
Nurgün,bo1wrko7wbo1,نورگون
Nurhan,bo1wrxo1ebo1,نورخان
Nurhanım,bo1wrxo1ebo1m,نورخانم
Nurhayal,bo1wr xo1yel,نور خیال
Nurhayat,bo1wrxyebo2,نورحیات
Nurhilâl,bo1wrhlel,نورهلال
Nuri,bo1wry,نوری
Nurihak,bo1wryxfo2,نوریحق
Nurinisa,bo1wr bo1se,نور نسا
Nuriye,bo1wryh,نوریه
Nuriş,bo1wryso3,نوریش
Nurkadın,bo1wrfo2edybo1,نورقادین
Nurkan,bo1wrfo2ebo1,نورقان
Nurkut,bo1wrfo2wbo2,نورقوت
Nurlan,bo1wrlebo1,نورلان
Nurlu,bo1wrlw,نورلو
Nurmah,bo1wrmeh,نورماه
Nurmelek,bo1wrmlk,نورملک
Nurnigâr,bo1wrbo1yko7er,نورنیگار
Nurol,bo1wrwl,نورول
Nurper,bo1wrbu3r,نورپر
Nurperi,bo1wrbu3ry,نورپری
Nursabah,bo1wrzbu1ex,نورصباح
Nursal,bo1wrsel,نورسال
Nursan,bo1wrsebo1,نورسان
Nursaç,bo1wrzexu3,نورصاچ
Nursel,bo1wrsl,نورسل
Nurselen,bo1wrslbo1,نورسلن
Nurseli,bo1wrsly,نورسلی
Nursema,bo1wrsme,نورسما
Nursen,bo1wrsbo1,نورسن
Nursenin,bo1wrsbo1ybo1,نورسنین
Nurser,bo1wrsr,نورسر
Nurseren,bo1wrsrbo1,نورسرن
Nursev,bo1wrsw,نورسو
Nurseven,bo1wrswbo1,نورسون
Nursevil,bo1wrswyl,نورسویل
Nursevim,bo1wrswym,نورسویم
Nursevin,bo1wrswybo1,نورسوین
Nursi,bo1wrsy,نورسی
Nursim,bo1wrsym,نورسیم
Nursima,bo1wrsyme,نورسیما
Nursine,bo1wrsybo1h,نورسینه
Nursu,bo1wrzw,نورصو
Nursun,bo1wrsko3,نورسڭ
Nurtan,bo1wrbo2ebo1,نورتان
Nurtane,bo1wrdebo1h,نوردانه
Nurtaç,bo1wrbo2exu1,نورتاج
Nurtek,bo1wrbo2k,نورتک
Nurtekin,bo1wrbo2kybo1,نورتکین
Nurten,bo1wrbo2bo1,نورتن
Nurtop,bo1wrbo2wbu3,نورتوپ
Nurullah,bo1wrellh,نورالله
Nurver,bo1wrwyr,نورویر
Nurveren,bo1wrwrbo1,نورورن
Nurzat,bo1wrro1ed,نورزاد
Nurzen,bo1wrro1bo1,نورزن
Nurzer,bo1wrro1r,نورزر
Nurâlem,bo1wr aelm,نور عالم
Nurçin,bo1wrxu3ybo1,نورچین
Nuröz,bo1wrwro1,نوروز
Nurışık,bo1wr eyso3yfo2,نور ایشیق
Nurşah,bo1wrso3eh,نورشاه
Nurşen,bo1wrso3bo1,نورشن
Nusaybin,bo1zbu2bu1bo1,نصيبن
Nusayrî,bo1zbu2ry,نصيری
Nusret,bo1zrbo2,نصرت
Nusrettin,bo1zreldybo1,نصرالدین
Nutku,bo1tfo2y,نطقی
Nuyan,bo1wyebo1,نویان
Nuşabe,bo1wso3ebu1h,نوشابه
Nuşin,bo1wso3ybo1,نوشین
Nüket,bo1kd,نکد
Nükhet,bo1khbo2,نکهت
Nüvide,bo1wydh,نویده
Nüvit,bo1wwyd,نووید
Nüzhet,bo1ro1hbo2,نزهت
