
Pabuçcuoğlu,bu3ebu1wxu3xu1y ewao1ly,پابوچجی اوغلی
Prusya,bu3rwsbu2e,پروسيا
Pulat,bu3wled,پولاد
Pullu,bu3wllw,پوللو
Pullu,bu3wlly,پوللی
Pulur,bu3wlwr,پولور
Punar,bu3wko3er,پوڭار
Purut,bu3wrwt,پوروط
Pülümür,bu3lwmr,پلومر
Pürdeloğlu,bu3wrdl ewao1ly,پوردل اوغلی
Püren,bu3wrbo1,پورن
Pürfer,bu3wrfo1r,پورفر
Pürçek,bu3rxu3k,پرچک
Pürşan,bu3rso3ebo1,پرشان
Pürşen,bu3rso3bo1,پرشن
Pütün,bu3wbo2wbo1,پوتون
Pütürge,bu3bo2wrkh,پتورکه
Pınar,bu3yko3er,پیڭار
Pınarbaşı,bu3bu2ko3erbu1eso3y,پيڭارباشی
Pınarbaşı,bu3yko3erbu1eso3y,پیڭارباشی
Pırlanta,bu3yrlebo1bo2h,پیرلانته
Pırıl,bu3yryl,پیریل
Pırıltı,bu3yrylbo2y,پیریلتی
Pıtrak,bu3ybo2rfo2,پیترق
Pıtırca,bu3ybo2yrxu1h,پیتیرجه
