
Tabak,tbu1efo2,طباق
Tanman,bo2ebo1mebo1,تانمان
Tanpınar,bo2ebo1bu3ybo1er,تانپینار
Tanpınar,bo2ebo1bu3yko3er,تانپیڭار
Tanpınar,teko3 bu3yko3er,طاڭ پیڭار
Tanrı,teko3ry,طاڭری
Tanrıdağ,bo2bo1ko7ry teao1,تنگری طاغ
Tanrıdağ,bo2eko3ry teao1,تاڭری طاغ
Tanrıkorur,bo2eko3ry fo2wrwr,تاڭری قورور
Tanrıkul,bo2eko3ryfo2wl,تاڭریقول
Tanrıkulu,bo2bo1ko7ry fo2wly,تنگری قولی
Tanrıkulu,bo2eko3ry fo2wly,تاڭری قولی
Tanrıkulu,bo2eko3ryfo2wlw,تاڭریقولو
Tanrısever,bo2eko3ry swr,تاڭری سور
Tanrıverdi,bo2eko3ry wrdy,تاڭری وردی
Tanrıyar,bo2eko3ry yer,تاڭری یار
Tanrıöver,bo2eko3ry eo5wwr,تاڭری أوور
Tanrıöver,bo2eko3ry ewwr,تاڭری اوور
Tansal,bo2ebo1sel,تانسال
Tansan,bo2ebo1sebo1,تانسان
Tansel,bo2ebo1sl,تانسل
Tanseli,teko3 sly,طاڭ سلی
Tansen,bo2ebo1sbo1,تانسن
Tanser,bo2ebo1sr,تانسر
Tanses,teko3 ss,طاڭ سس
Tansev,bo2ebo1sw,تانسو
Tanseven,bo2ebo1swbo1,تانسون
Tansever,bo2ebo1swr,تانسور
Tansoy,bo2ebo1zwy,تانصوی
Tansu,tebo1zw,طانصو
Tansuk,bo2ebo1zwfo2,تانصوق
Tansuğ,tebo1swao1,طانسوغ
Tansuğ,tebo1zw,طانصو
Tansı,bo2ebo1zy,تانصی
Tansık,bo2ebo1zyfo2,تانصیق
Tansığ,bo2ebo1zyao1,تانصیغ
Tantan,bo2ebo1bo2ebo1,تانتان
Tantuğ,bo2ebo1bo2wao1,تانتوغ
Tantürk,bo2ebo1 bo2rk,تان ترک
Tanuğur,bo2ebo1 ewao1wr,تان اوغور
Tanver,bo2ebo1wr,تانور
Tanyel,bo2ebo1yl,تانیل
Tanyeli,bo2ebo1 yly,تان یلی
Tanyeli,bo2ebo1yly,تانیلی
Tanyeli,teko3 yly,طاڭ یلی
Tanyer,bo2ebo1yr,تانیر
Tanyeri,bo2ebo1yry,تانیری
Tanyeri,teko3yry,طاڭیری
Tanyol,bo2ebo1ywl,تانیول
Tanyolaç,bo2ebo1ywlexu3,تانیولاچ
Tanyolu,bo2ebo1ywlw,تانیولو
Tanyu,bo2ebo1yw,تانیو
Tanyu,tebo1yw,طانیو
Tanyücel,bo2ebo1 ywxu1l,تان یوجل
Tanyüz,bo2ebo1ywro1,تانیوز
Tanyıldız,bo2ebo1yyldyro1,تانییلدیز
Tanyıldız,teko3yyldyro1,طاڭییلدیز
Tanzer,bo2ebo1ro1r,تانزر
Tanören,bo2ebo1 ewrbo1,تان اورن
Tanöver,bo2ebo1 eo5wwr,تان أوور
Tanöver,tebo1eo5wwr,طانأوور
Tanöver,teko3 eo5wwr,طاڭ أوور
Tanık,tebo1yfo2,طانیق
Tanıl,tebo1yl,طانیل
Tanın,tebo1ybo1,طانین
Tanır,tebo1yr,طانیر
Tanırcan,tebo1yrxu1ebo1,طانیرجان
Tanırer,tebo1yreo5r,طانیرأر
Tanış,bo2ebo1so3,تانش
Tapduk,bo2ebu3dwfo2,تاپدوق
Tapgaç,bo2ebu3ao1exu3,تاپغاچ
Taplı,bo2ebu3ly,تاپلی
Taptas,bo2ebu1tes,تابطاس
Taptuk,bo2ebu3bo2wfo2,تاپتوق
Tapık,bo2ebu3yfo2,تاپیق
Tapınç,bo2ebu3ybo1xu3,تاپینچ
Tarakçıoğlu,trefo2xu1y ewao1ly,طراقجی اوغلی
Taran,terebo1,طاران
Tarancı,bo2erebo1xu1y,تارانجی
Taranoğlu,terebo1 ewao1ly,طاران اوغلی
Taray,terey,طارای
Tarcan,bo2erxu1ebo1,تارجان
Tarcan,terxu1ebo1,طارجان
Tardu,terdw,طاردو
Tarduk,terdwfo2,طاردوق
Targan,terao1ebo1,طارغان
Tarhan,bo2erxo1ebo1,تارخان
Tarhan,terxo1ebo1,طارخان
Tarhan,trxebo1,طرحان
Tarhan,trxo1ebo1,طرخان
Tarhun,trxo1wbo1,طرخون
Tarik,bo2erk,تارک
Tarik,bo2eryk,تاریک
Tarkan,bo2erfo2ebo1,تارقان
Tarman,bo2ermebo1,تارمان
Tarsus,trsws,طرسوس
Tartan,terbo2ebo1,طارتان
Tartış,terbo2yso3,طارتیش
Taru,bo2erw,تارو
Tarver,terwr,طارور
Tarçın,bo2erxu3ybo1,تارچین
Tarı,bo2ery,تاری
Tarık,teryfo2,طاریق
Tarık,tryfo2,طریق
Tarıkahya,bo2ery khye,تاری کهیا
Tarım,bo2erm,تارم
Tarım,terym,طاریم
Tarıman,bo2erymebo1,تاریمان
Tarımbike,terym bu1ykh,طاریم بیکه
Tarımcıoğlu,terymxu1y ewao1ly,طاریمجی اوغلی
Tarımer,bo2erym eo5r,تاریم أر
Tasvir,bo2zwyr,تصویر
Tatar,bo2ebo2er,تاتار
Tatarhan,bo2ebo2erxo1ebo1,تاتارخان
Tatarkan,bo2ebo2erfo2ebo1,تاتارقان
Tatlı,tebo2ly,طاتلی
Tatlıbal,tebo2ly bu1el,طاتلی بال
Tatlıoğlu,tebo2ly ewao1ly,طاتلی اوغلی
Tatu,tetw,طاطو
Tav,bo2ew,تاو
Tav,tew,طاو
Tavaslıoğlu,twesly ewao1ly,طواسلی اوغلی
Tavgaç,bo2ewao1exu3,تاوغاچ
Tavgaç,tewao1exu3,طاوغاچ
Tavlan,bo2ewlebo1,تاولان
Tavlı,bo2ewly,تاولی
Tavus,tews,طاوس
Tavuş,bo2ewwso3,تاووش
Tavşanlı,tewso3ebo1ly,طاوشانلی
Tay,bo2ey,تای
Tay,ty,طی
Taya,bo2eye,تایا
Tayak,bo2eyefo2,تایاق
Tayan,bo2eyebo1,تایان
Tayanç,teyebo1xu3,طایانچ
Tayaydın,tey eo6ydybo1,طای آیدین
Taybars,bo2eybu1ers,تایبارس
Taybek,bo2eybu1k,تایبک
Tayberk,bo2eybu1rk,تایبرک
Tayboğa,bo2eybu1wao1h,تایبوغه
Taycan,bo2eyxu1ebo1,تایجان
Taydaş,bo2eydeso3,تایداش
Taydemir,bo2eydmyr,تایدمیر
Tayfun,tyfo1wbo1,طیفون
Tayfur,tyfo1wr,طیفور
Taygan,bo2eyao1ebo1,تایغان
Taygan,teyao1ebo1,طایغان
Taygun,teyao1wbo1,طایغون
Tayguner,teyao1wbo1r,طایغونر
Tayhan,teyxo1ebo1,طایخان
Taykara,teyfo2ere,طایقارا
Taykoç,bo2eyfo2wxu3,تایقوچ
Taykurt,bo2eyfo2wrbo2,تایقورت
Taykut,bo2eyfo2wbo2,تایقوت
Tayla,bo2eyle,تایلا
Taylak,tylefo2,طیلاق
Taylan,bo2eylebo1,تایلان
Taylaner,bo2eylebo1r,تایلانر
Tayman,bo2eymebo1,تایمان
Taymaz,bo2eymero1,تایماز
Taypars,teybu3ers,طایپارس
Tayuk,bo2eywfo2,تایوق
Tayyar,tyer,طیار
Tayyibe,tybu1h,طیبه
Tayyip,tybu1,طیب
Tayşi,bo2eyso3y,تایشی
Taze,bo2ero1h,تازه
Tazegül,bo2ero1h ko7l,تازه گل
Taç,bo2exu1,تاج
Taçeser,bo2exu1 ebo3r,تاج اثر
Taçkın,bo2exu3fo2ybo1,تاچقین
Taçlı,bo2exu3ly,تاچلی
Taçlıyıldız,bo2exu3ly yyldyro1,تاچلی ییلدیز
Taçnur,bo2exu3bo1wr,تاچنور
Tağ,bo2eao1,تاغ
Tağalp,bo2eao1 eo6lbu3,تاغ آلپ
Tağar,bo2eao1er,تاغار
Tağay,bo2eao1ey,تاغای
Tağman,bo2eao1mebo1,تاغمان
Taş,teso3,طاش
Taşan,teso3ebo1,طاشان
Taşangil,teso3ebo1ko7yl,طاشانگیل
Taşar,teso3er,طاشار
Taşar,tso3er,طشار
Taşboğa,tso3bu1wao1h,طشبوغه
Taşbudak,tso3bu1wdefo2,طشبوداق
Taşcan,tso3xu1ebo1,طشجان
Taşdemir,tso3dmyr,طشدمیر
Taşdöven,tso3dwko7bo1,طشدوگن
Taşel,tso3 eo5l,طش أل
Taşer,teso3r,طاشر
Taşer,tso3 eo5r,طش أر
Taşgan,tso3ao1ebo1,طشغان
Taşhan,tso3xo1ebo1,طشخان
Taşkan,tso3fo2ebo1,طشقان
Taşkapılı,tes fo2ebu3yly,طاس قاپیلی
Taşkent,teso3kbo1d,طاشکند
Taşkent,tso3kbo1bo2,طشکنت
Taşkesenlioğlu,tesksbo1ly ewao1ly,طاسکسنلی اوغلی
Taşköprü,teso3kwbu3ry,طاشکوپری
Taşkın,teso3fo2ybo1,طاشقین
Taşkın,tso3fo2ybo1,طشقین
Taşkınel,tso3fo2ybo1 eo5l,طشقین أل
Taşkıner,tso3fo2ybo1 eo5r,طشقین أر
Taşkıran,teso3fo2yrebo1,طاشقیران
Taşkıran,tso3fo2yrebo1,طشقیران
Taşlı,teso3ly,طاشلی
Taştan,tso3bo2ebo1,طشتان
Taştekin,tso3bo2kybo1,طشتکین
Taşçı,teso3xu1y,طاشجی
Taşçıoğlu,teso3xu1y ewao1ly,طاشجی اوغلی
Teber,bo2bu1r,تبر
Teberdar,bo2bu1rder,تبردار
Teberhun,bo2bu1rxo1wbo1,تبرخون
Teberrük,bo2bu1rk,تبرک
Tebessüm,bo2bu1sm,تبسم
Tebrik,bo2bu1ryk,تبریک
Tecelli,bo2xu1ly,تجلی
Tecen,bo2xu1bo1,تجن
Tecer,bo2xu1r,تجر
Teceren,bo2xu1rbo1,تجرن
Tecim,bo2xu1ym,تجیم
Tecimen,bo2xu1ymbo1,تجیمن
Tecimer,bo2xu1ymr,تجیمر
Tecir,bo2xu1yr,تجیر
Tecirli,bo2xu1yrly,تجیرلی
Tedü,bo2dw,تدو
Tefenni,bo2fo1bo1bo1y,تفننی
Tegin,bo2ko7ybo1,تگین
Tek,bo2k,تک
Tekal,bo2keo6l,تکآل
Tekalp,bo2keo6lbu3,تکآلپ
Tekand,bo2kebo1d,تکاند
Tekant,bo2kebo1bo2,تکانت
Tekay,bo2key,تکای
Tekbay,tkbu1ey,طکبای
Tekbek,bo2kbu1k,تکبک
Tekbey,bo2kbu1ko7,تکبگ
Tekbir,bo2kbu1yr,تکبیر
Tekcan,bo2kxu1ebo1,تکجان
Tekdal,bo2kdel,تکدال
Tekdoğan,bo2ktwao1ebo1,تکطوغان
Teke,bo2kh,تکه
Tekebay,bo2kh bu1ey,تکه بای
Tekebaş,bo2kh bu1eso3,تکه باش
Tekebey,bo2kh bu1ko7,تکه بگ
Tekecan,bo2kh xu1ebo1,تکه جان
Tekeli,bo2kh ly,تکه لی
Tekelioğlu,bo2kh ly ewao1ly,تکه لی اوغلی
Teker,bo2kr,تکر
Tekeş,bo2kso3,تکش
Tekgül,bo2kko7l,تکگل
Tekil,bo2kyl,تکیل
Tekin,bo2kybo1,تکین
Tekinal,bo2kybo1eo6l,تکینآل
Tekinalp,bo2kybo1 eo6lbu3,تکین آلپ
Tekinalp,bo2kybo1eo6lbu3,تکینآلپ
Tekinay,bo2kybo1eo6y,تکینآی
Tekindağ,bo2kybo1deao1,تکینداغ
Tekindağ,bo2kybo1teao1,تکینطاغ
Tekinel,bo2kybo1 eo5l,تکین أل
Tekiner,bo2kybo1 eo5r,تکین أر
Tekiner,bo2kybo1r,تکینر
Tekinhan,bo2kybo1xo1ebo1,تکینخان
Tekinsoy,bo2kybo1zwy,تکینصوی
Tekir,bo2kyr,تکیر
Tekirdağ,bo2kbu2rdeao1y,تکيرداغی
Tekiz,bo2kyro1,تکیز
Tekiş,bo2kyso3,تکیش
Tekmil,bo2kmyl,تکمیل
Tekmile,bo2kmylh,تکمیله
Teknur,bo2kbo1wr,تکنور
Tekok,bo2k ewfo2,تک اوق
Tekol,bo2k ewl,تک اول
Teksel,bo2ksl,تکسل
Teksen,bo2ksbo1,تکسن
Teksoy,bo2kzwy,تکصوی
Tekyay,bo2kyey,تکیای
Tekçe,bo2kxu3h,تکچه
Teköktem,bo2k ewkbo2m,تک اوکتم
Tekön,bo2k eo5wko3,تک أوڭ
Tekön,bo2kwbo1,تکون
Teköz,bo2k ewro1,تک اوز
Teközer,bo2k ewro1r,تک اوزر
Tekün,bo2kwbo1,تکون
Tekünlü,bo2kwbo1lw,تکونلو
Tekşen,bo2kso3bo1,تکشن
Telek,bo2lk,تلک
Telim,bo2lym,تلیم
Telimer,bo2lymr,تلیمر
Teliorman,bo2ly ewrmebo1,تلی اورمان
Telli,bo2lly,تللی
Telli,bo2ly,تلی
Telliağaoğlu,bo2lly eo6ao1e ewao1ly,تللی آغا اوغلی
Tellibey,bo2ly bu1ko7,تلی بگ
Telmize,bo2lmro1h,تلمزه
Telvin,bo2lwybo1,تلوین
Temel,bo2ml,تمل
Temelli,bo2mlly,تمللی
Temelli,bo2mly,تملی
Temenni,bo2mbo1y,تمنی
Temime,bo2mymh,تمیمه
Temir,bo2myr,تمیر
Temirbay,bo2myrbu1ey,تمیربای
Temircan,bo2myrxu1ebo1,تمیرجان
Temirhan,bo2myrxo1ebo1,تمیرخان
Temirkan,bo2myrfo2ebo1,تمیرقان
Temirkut,bo2myrfo2wbo2,تمیرقوت
Temirtaş,bo2myrtso3,تمیرطش
Temiz,bo2myro1,تمیز
Temizalp,bo2myro1 eo6lbu3,تمیز آلپ
Temizcan,bo2myro1 xu1ebo1,تمیز جان
Temizel,bo2myro1eo5l,تمیزأل
Temizer,bo2myro1eo5r,تمیزأر
Temizhan,bo2myro1xo1ebo1,تمیزخان
Temizkal,bo2myro1fo2el,تمیزقال
Temizkan,bo2myro1fo2ebo1,تمیزقان
Temizol,bo2myro1ewl,تمیزاول
Temizsan,bo2myro1sebo1,تمیزسان
Temizsoy,bo2myro1zwy,تمیزصوی
Temizöz,bo2myro1ewro1,تمیزاوز
Temre,bo2mrh,تمره
Temren,bo2mrbo1,تمرن
Temuçin,bo2mwxu3ybo1,تموچین
Temürhan,bo2mwrxo1ebo1,تمورخان
Temürlenk,bo2mwrlbo1k,تمورلنک
Temürşah,bo2mwrso3eh,تمورشاه
Tenay,bo2bo1 eo6y,تن آی
Tendü,bo2bo1dw,تندو
Tendübay,bo2bo1dwbu1ey,تندوبای
Tendürek,bo2bo1dwrk,تندورک
Tenekeci,bo2bo1kh xu1y,تنکه جی
Tengir,bo2bo1ko7yr,تنگیر
Tengirşenk,bo2bo1ko7yrso3bo1k,تنگیرشنک
Tengiz,bo2bo1ko7yro1,تنگیز
Tengizalp,bo2bo1ko7yro1eo6lbu3,تنگیزآلپ
Tenigül,bo2bo1y ko7l,تنی گل
Tennur,bo2bo1wr,تنور
Tennure,bo2bo1wrh,تنوره
Tenvir,bo2bo1wyr,تنویر
Teoman,bo2bo5wmebo1,تئومان
Tepedelen,bo2bu3h dlbo1,تپه دلن
Tepegöz,bo2bu3h ko7wro1,تپه گوز
Tepel,bo2bu3l,تپل
Tepeyran,bo2bu3yrebo1,تپیران
Tepir,bo2bu3yr,تپیر
Terafu,bo2refo1a,ترافع
Tercan,bo2rxu1ebo1,ترجان
Terek,bo2rk,ترک
Terem,bo2rm,ترم
Terim,bo2rym,تریم
Terken,bo2rkbo1,ترکن
Terlan,bo2rlebo1,ترلان
Terme,bo2rmh,ترمه
Termen,bo2rmbo1,ترمن
Terzi,bo2rro1y,ترزی
Terzioğlu,bo2rro1y ewao1ly,ترزی اوغلی
Tetik,bo2bo2yk,تتیک
Tetiker,bo2bo2yk eo5r,تتیک أر
Tevekkül,bo2wkl,توکل
Tevfik,bo2wfo1yfo2,توفیق
Tevfika,bo2wfo1yfo2h,توفیقه
Tevhiddin,bo2wxd eldybo1,توحد الدین
Tevhide,bo2wxydh,توحیده
Tevhit,bo2wxyd,توحید
Tevil,bo2eo5wyl,تأویل
Tevir,bo2wyr,تویر
Tevrat,bo2wrebo2,تورات
Tevs,bo2ws,توس
Tevsen,bo2wsbo1,توسن
Teymur,bo2ymwr,تیمور
Tez,bo2ro1,تز
Tezal,bo2to1el,تظال
Tezalp,bo2ro1eo6lbu3,تزآلپ
Tezay,bo2ro1ey,تزای
Tezcan,bo2ro1xu1ebo1,تزجان
Tezcanlı,bo2ro1xu1ebo1ly,تزجانلی
Tezel,bo2ro1l,تزل
Tezelli,bo2ro1elly,تزاللی
Tezemir,bo2ro1eo5mr,تزأمر
Tezer,bo2ro1r,تزر
Tezeren,bo2ro1rbo1,تزرن
Tezerol,bo2ro1rwl,تزرول
Tezgül,bo2ro1ko7l,تزگل
Tezkan,bo2ro1fo2ebo1,تزقان
Tezmen,bo2ro1mbo1,تزمن
Tezok,bo2ro1wfo2,تزوق
Tezol,bo2ro1wl,تزول
Tezveren,bo2ro1wrbo1,تزورن
Teşrif,bo2so3ryfo1,تشریف
Teşrife,bo2so3ryfo1h,تشریفه
Tibet,bo2bu2bu1bo2,تيبت
Tibet,bo2ybu1bo2,تیبت
Ticen,bo2yxu1bo1,تیجن
Tigrel,bo2yko7rl,تیگرل
Tijen,bo2yro3bo1,تیژن
Tilbe,bo2ylbu1h,تیلبه
Tilmaç,bo2ylmexu3,تیلماچ
Timisi,bo2ymysy,تیمیسی
Timur,bo2ymwr,تیمور
Timurcan,bo2ymwrxu1ebo1,تیمورجان
Timurhan,bo2ymwrxo1ebo1,تیمورخان
Timurkan,bo2ymwrfo2ebo1,تیمورقان
Timurlenk,bo2ymwrlbo1k,تیمورلنک
Timuroğlu,bo2ymwr ewao1ly,تیمور اوغلی
Timurtaş,bo2ymwrteso3,تیمورطاش
Timurtaş,bo2ymwrtso3,تیمورطش
Timuröz,bo2ymwr ewro1,تیمور اوز
Timuçin,bo2ymwxu3ybo1,تیموچین
Tin,bo2ybo1,تین
Tiner,bo2ybo1r,تینر
Tinkut,bo2ybo1fo2wbo2,تینقوت
Tipi,bo2ybu3y,تیپی
Tiraje,bo2yrero3h,تیراژه
Tirali,bo2yraly,تیرعلی
Tire,bo2bu2rh,تيره
Tiritoğlu,bo2rybo2 ewao1ly,تریت اوغلی
Tiryaki,bo2ryeky,تریاکی
Tiryakioğlu,bo2ryeky ewao1ly,تریاکی اوغلی
Titiz,bo2ybo2yro1,تیتیز
Titizer,bo2ybo2yro1eo5r,تیتیزأر
Tiyanşan,bo2yyebo1 so3ebo1,تییان شان
Tiğin,bo2yko7ybo1,تیگین
Tiğrel,bo2yko7rl,تیگرل
Tlabar,tlebu1er,طلابار
Togan,twao1ebo1,طوغان
Togay,twao1ey,طوغای
Tok,twfo2,طوق
Tokal,twfo2eo6l,طوقآل
Tokalan,twfo2 eo6lebo1,طوق آلان
Tokalp,twfo2eo6lbu3,طوقآلپ
Tokar,twfo2er,طوقار
Tokat,twfo2ebo2,طوقات
Tokat,twfo2ed,طوقاد
Tokay,twfo2ey,طوقای
Tokcan,twfo2xu1ebo1,طوقجان
Tokdemir,twfo2dmyr,طوقدمیر
Tokel,twfo2 eo5l,طوق أل
Toker,twfo2 eo5r,طوق أر
Toker,twfo2r,طوقر
Tokgöz,twfo2ko7wro1,طوقگوز
Tokhan,twfo2xo1ebo1,طوقخان
Tokkan,twfo2fo2ebo1,طوققان
Tokmakçıoğlu,twfo2mefo2xu1y ewao1ly,طوقماقجی اوغلی
Tokoğlu,twfo2 ewao1ly,طوق اوغلی
Toksarı,twfo2zery,طوقصاری
Tokta,twfo2bo2e,طوقتا
Toktahan,twfo2bo2exo1ebo1,طوقتاخان
Toktamış,twfo2bo2emso3,طوقتامش
Toktar,twfo2bo2er,طوقتار
Toktaş,twfo2tso3,طوقطش
Toktimur,twfo2bo2ymwr,طوقتیمور
Toktuğ,twfo2bo2wao1,طوقتوغ
Toku,twfo2w,طوقو
Tokuz,bo2wfo2wro1,توقوز
Tokuz,twfo2ro1,طوقز
Tokuzer,bo2wfo2ero1eo5r,توقازأر
Tokuztuğ,bo2wfo2wro1bo2wao1,توقوزتوغ
Tokuş,twfo2wso3,طوقوش
Tokuşhan,twfo2wso3xo1ebo1,طوقوشخان
Tokyay,twfo2yey,طوقیای
Tokyürek,twfo2ywrk,طوقیورک
Tokyüz,twfo2ywro1,طوقیوز
Toköz,twfo2 ewro1,طوق اوز
Toközlü,twfo2 eo5wro1ly,طوق أوزلی
Tol,twl,طول
Tola,twle,طولا
Tola,twlh,طوله
Tolay,twley,طولای
Tolga,twlao1h,طولغه
Tolgahan,twlao1h xo1ebo1,طولغه خان
Tolgan,twlao1ebo1,طولغان
Tolgay,twlao1ey,طولغای
Tolgunay,twlao1wbo1ey,طولغونای
Tolon,twlwbo1,طولون
Tolonay,twlwbo1eo6y,طولونآی
Tolonbay,twlwbo1bu1ey,طولونبای
Tolun,twlwbo1,طولون
Tolunay,twlwbo1eo6y,طولونآی
Tolunbay,twlwbo1bu1ey,طولونبای
Tolunbike,twlwbo1 bu1ykh,طولون بیکه
Toluntiğin,twlwbo1bo2yko7ybo1,طولونتیگین
Tombuş,twmbu1wso3,طومبوش
Tomris,twmrys,طومریس
Tomurcuk,twmwrxu1fo2,طومورجق
Toner,twbo1r,طونر
Tongal,twbo1ao1el,طونغال
Tongar,twbo1ao1er,طونغار
Tongur,twbo1ao1wr,طونغور
Tonguç,twbo1ao1wxu3,طونغوچ
Tontoş,twbo1bo2wso3,طونتوش
Topa,bo2wbu3h,توپه
Topak,bo2wbu3efo2,توپاق
Topaktaş,twbu3efo2teso3,طوپاقطاش
Topal,twbu3el,طوپال
Topala,twbu3elh,طوپاله
Topaler,twbu3elr,طوپالر
Topaloğlu,twbu3el ewao1ly,طوپال اوغلی
Topay,twbu3ey,طوپای
Topaz,twbu3ero1,طوپاز
Topaç,bo2wbu3exu3,توپاچ
Topaç,twbu3exu3,طوپاچ
Topbaş,twbu3bu1eso3,طوپباش
Topdemir,bo2wbu3dmyr,توپدمیر
Topel,bo2wbu3 eo5l,توپ أل
