
Maarif,maerfo1,معارف
Medeni,mdbo1y,مدنی
Medet,mdd,مدد
Medide,mdydh,مدیده
Medih,mdx,مدح
Mediha,mdyxh,مدیحه
Medine,mdybo1h,مدینه
Medit,mdyd,مدید
Mefhar,mfo1xo1r,مفخر
Mefharet,mfo1xo1rbo2,مفخرت
Mefkûre,mfo1kwrh,مفکوره
Meftun,mfo1bo2wbo1,مفتون
Meftune,mfo1bo2wbo1h,مفتونه
Mehabet,mhebu1bo2,مهابت
Mehcur,mhxu1wr,مهجور
Mehcure,mhxu1wrh,مهجوره
Mehdi,mhdy,مهدی
Mehdiye,mhdyh,مهدیه
Mehip,mhybu1,مهیب
Mehir,mhyr,مهیر
Mehlika,mhlfo2e,مهلقا
Mehmed,mxmd,محمد
Mehmet,mxmd,محمد
Mehmetali,mxmd aly,محمد علی
Mehmetçik,mxmdxu3yk,محمدچیک
Mehpare,mhbu3erh,مهپاره
Mehru,mhrw,مهرو
Mehtap,mhbo2ebu1,مهتاب
Mehti,mhdy,مهدی
Mehtiye,mhbo2yh,مهتیه
Mehveş,mhwso3,مهوش
Mekin,mkybo1,مکین
Mekke,mkh,مکه
Mekki,mky,مکی
Melda,mlde,ملدا
Melek,mlk,ملک
Meleknaz,mlkbo1ero1,ملکناز
Meleknur,mlkbo1wr,ملکنور
Melekper,mlkbu3r,ملکپر
Melekru,mlkrw,ملکرو
Melekşah,mlkso3eh,ملکشاه
Melen,mlbo1,ملن
Melih,mlyx,ملیح
Meliha,mlyxh,ملیحه
Melik,mlk,ملک
Melik,mlyk,ملیک
Melike,mlykh,ملیکه
Melikhan,mlkxo1ebo1,ملکخان
Melikşah,mlkso3eh,ملکشاه
Melis,mlys,ملیس
Melisa,mlyse,ملیسا
Melissa,mlyse,ملیسا
Meliz,mlyro1,ملیز
Melodi,mlwdy,ملودی
Meltem,mlbo2m,ملتم
Melâhat,mlexbo2,ملاحت
Melûl,mlwl,ملول
Memduh,mmdwx,ممدوح
Memduha,mmdwxh,ممدوحه
Memecan,mmh xu1ebo1,ممه جان
Memik,mmyk,ممیک
Memiş,mmyso3,ممیش
Memişoğlu,myso3 ewao1ly,میش اوغلی
Memnun,mmbo1wbo1,ممنون
Memnune,mmbo1wbo1h,ممنونه
Memo,mmw,ممو
Memun,meo5mwbo1,مأمون
Menaf,mbo1efo1,مناف
Mencik,mbo1xu1k,منجک
Menderes,mbo1drs,مندرس
Menekşe,mbo1kso3h,منکشه
Menemencioğlu,mbo1h mbo1xu1y ewao1ly,منه منجی اوغلی
Menevşe,mbo1wso3h,منوشه
Mengi,mbo1ko7y,منگی
Mengilibörü,mbo1ko7yly bu1wrw,منگیلی بورو
Mengli,mbo1ko7ly,منگلی
Mengûş,mbo1ko7wso3,منگوش
Mengü,mbo1ko7w,منگو
Mengüalp,mbo1ko7w eo6lbu3,منگو آلپ
Mengübay,mbo1ko7wbu1ey,منگوبای
Mengüberti,mbo1ko7wbu1rdy,منگوبردی
Mengücek,mbo1ko7wxu1k,منگوجک
Mengüer,mbo1ko7w eo5r,منگو أر
Mengütay,mbo1ko7wbo2ey,منگوتای
Mengütaş,mbo1ko7wtso3,منگوطش
Mengütekin,mbo1ko7wbo2kybo1,منگوتکین
Mengüç,mbo1ko7wxu3,منگوچ
Mennan,mbo1ebo1,منان
Mensup,mbo1swbu1,منسوب
Mensur,mbo1bo3wr,منثور
Mensure,mbo1zwrh,منصوره
Menteş,mbo1bo2so3,منتش
Menteşe,mbo1bo2so3h,منتشه
Menteşeoğlu,mbo1bo2so3h ewao1ly,منتشه اوغلی
Menteşoğlu,mbo1bo2so3 ewao1ly,منتش اوغلی
Menzir,mbo1ro1yr,منزیر
Menzur,mbo1do1wr,منذور
Menzure,mbo1ro1wrh,منزوره
Menşur,mbo1so3wr,منشور
Menşure,mbo1so3wrh,منشوره
MerAl,mrel,مرال
Meram,mrem,مرام
Mercan,mrxu1ebo1,مرجان
Mercimekoğlu,mrxu1mk ewao1ly,مرجمک اوغلی
Merdan,mrdebo1,مردان
Merdanoğlu,mrdebo1 ewao1ly,مردان اوغلی
Merdi,mrdy,مردی
Mergen,mrko7bo1,مرگن
Mergube,mrao1wbu1h,مرغوبه
Mergup,mrao1wbu1,مرغوب
Merih,mryxo1,مریخ
Meriç,mryxu1,مریج
Meriç,mryxu3,مریچ
Mersin,mrsybo1,مرسین
Mersinli,mrsybo1ly,مرسینلی
Mert,mrd,مرد
Mertel,mrbo2l,مرتل
Merter,mrbo2r,مرتر
Mertkal,mrdfo2el,مردقال
Mertkan,mrdfo2ebo1,مردقان
Mertkol,mrdfo2wl,مردقول
Mertol,mrbo2wl,مرتول
Merttürk,mrdbo2rk,مردترک
Merve,mrwh,مروه
Meryem,mrbu2m,مريم
Meryem,mrym,مریم
Meryemana,mrbu2m eo6bo1e,مريم آنا
Merzifon,mrro1bu2fo1wbo1,مرزيفون
Merziye,mrro1yh,مرزیه
Merzuk,mrro1wfo2,مرزوق
Merzuka,mrro1fo2h,مرزقه
Mesadet,msedbo2,مسادت
Mescur,msxu1wr,مسجور
Meserret,msrbo2,مسرت
Mesih,msbu2x,مسيح
Mesih,msyx,مسیح
Mesrur,msrwr,مسرور
Mesrure,mbo3rwrh,مثروره
Mestan,msbo2ebo1,مستان
Mestinaz,msbo2 bo1ero1,مست ناز
Mestur,msbo2wr,مستور
Mesture,msbo2wrh,مستوره
Mesude,msawdh,مسعوده
Mesure,mswrh,مسوره
Mesut,msawd,مسعود
Mes’ûdiye,msawdbu2h,مسعوديه
Met,mbo2,مت
Mete,mbo2h,مته
Metehan,mbo2h xo1ebo1,مته خان
Methiye,mdxyh,مدحیه
Metin,mbo2ybo1,متین
Metine,mbo2ybo1h,متینه
Metiner,mbo2ybo1 eo5r,متین أر
Metiner,mbo2ybo1r,متینر
Metinkaya,mbo2ybo1 fo1eye,متین فایا
Meva,mwe,موا
Mevcude,mwxu1wdh,موجوده
Mevcut,mwxu1wd,موجود
Mevdut,mwdwbo2,مودوت
Mevhibe,mwhbu1h,موهبه
Mevlide,mwldh,مولده
Mevlit,mwld,مولد
Mevlâ,mwle,مولا
Mevlâna,mwlebo1h,مولانه
Mevlûde,mwlwdh,مولوده
Mevlût,mwlwd,مولود
Mevlüde,mwldh,مولده
Mevsim,mwsym,موسیم
Mevzun,mwro1wbo1,موزون
Mevzune,mwro1wbo1h,موزونه
Meyil,myl,میل
Meymun,mymwbo1,میمون
Meymune,mymwbo1h,میمونه
Meyransa,myrebo1se,میرانسا
MeyyAl,myel,میال
Mezarcı,mro1erxu1y,مزارجی
Mezide,mro1ydh,مزیده
Mezit,mro1yd,مزید
Meziyet,mro1ybo2,مزیت
Mezun,meo5do1wbo1,مأذون
Meşahir,mso3ehr,مشاهر
Meşale,mso3alh,مشعله
Meşhur,mso3hwr,مشهور
Meşkûr,mso3kwr,مشکور
Meşkûre,mso3kwrh,مشکوره
Meşru,mso3rwa,مشروع
Me’cuc,meo5xu1wxu1,مأجوج
Midhat,mdxbo2,مدحت
Midilli,mdlly,مدللی
Midyat,mdbu2ebo2,مديات
Mihalıççık,mbu2xo1elxu3xu3fo2,ميخالچچق
Mihin,mhybo1,مهین
Mihine,mhybo1h,مهینه
Mihman,mhmebo1,مهمان
Mihri,mhry,مهری
Mihriban,mhrbu1ebo1,مهربان
Mihrican,mhrxu1ebo1,مهرجان
Mihrimah,mhrmeh,مهرماه
Mihrinaz,mhrbo1ero1,مهرناز
Mihrinisa,mhrbo1se,مهرنسا
Mihrinur,mhrbo1wr,مهرنور
Mihriye,mhryh,مهریه
Mihrişah,mhrso3eh,مهرشاه
Mikâil,mykebo5l,میکائل
Milli,mly,ملی
Milâs,mbu2les,ميلاس
Mimaroğlu,mamer ewao1ly,معمار اوغلی
Mimoza,mymwro1h,میموزه
Mina,mbo1e,منا
Mina,mybo1y,مینی
Mine,mybo1h,مینه
Minnet,mbo1bo2,منت
Mir,myr,میر
Miran,myrebo1,میران
Miranmir,myrebo1myr,میرانمیر
Miras,myrebo3,میراث
Mirat,mreo5ho2,مرأة
Mirat,myrebo2,میرات
Miray,myrey,میرای
Miraç,marexu3,معراچ
Mircan,myrxu1ebo1,میرجان
Mirhan,myrxo1ebo1,میرخان
Mirkelam,myrklem,میرکلام
Mirkelamoğlu,myrklem ewao1ly,میرکلام اوغلی
Mirkelâm,myrklem,میرکلام
Mirnur,myrbo1wr,میرنور
Mirrih,mryx,مریح
Mirza,myrro1e,میرزا
Mirzaoğlu,myrro1e ewao1ly,میرزا اوغلی
Mirzat,mrzed,مرصاد
Mirzat,myrro1ebo2,میرزات
Misal,mbo3el,مثال
Miski,msky,مسکی
Miskoye,mysfo2wyh,میسقویه
Misli,mbo3ly,مثلی
Mithat,mdxbo2,مدحت
Miyase,myesh,میاسه
Mocan,mwxo1ebo1,موخان
Mocan,mwxu1ebo1,موجان
Molaoğlu,mwle ewao1ly,مولا اوغلی
Mollaoğlu,mle ewao1ly,ملا اوغلی
Molu,mwlw,مولو
Mora,mwrh,موره
Moran,mwrebo1,موران
Moran,mwrh bo1,موره ن
Moray,mwrey,مورای
Morgil,mwrko7yl,مورگیل
Morgül,mwrko7l,مورگل
Morkaya,mwrfo2eye,مورقایا
Morova,mwr ewwh,مور اووه
Moroğlu,mwr ewao1ly,مور اوغلی
Moshos,mwzxo1wz,موصخوص
Moshos,mwzxwz,موصحوص
Moğol,mao1wl,مغول
Moğolistan,mao1wlsbo2ebo1,مغولستان
Moğultay,mwao1wlbo2ey,موغولتای
Muadelet,maedlbo2,معادلت
Muallim,malm,معلم
Muallâ,male,معلا
Muammer,mamr,معمر
Muarra,mare,معرا
Muattar,matr,معطر
Muazzam,mato1m,معظم
Muazzez,maro1ro1,معزز
Mubahat,mbu1exebo2,مباحات
Mucide,mwxu1dh,موجده
Mucip,mwxu1bu1,موجب
Mucit,mwxu1d,موجد
Mucize,mxu1yro1h,مجیزه
Mucur,mwxu1wr,موجور
Mudanya,mdebo1bu2h,مدانيه
Mudurnu,mdrbo1y,مدرنی
Muhabbet,mxbu1bo2,محبت
Muhacir,mhexu1r,مهاجر
Muhaddere,mxo1drh,مخدره
Muhammed,mxmd,محمد
Muhammedî,mxmdy,محمدی
Muhammet,mxmd,محمد
Muhar,mxr,محر
Muharrem,mxrm,محرم
Muhibbe,mxbu1h,محبه
Muhibbi,mxbu1y,محبی
Muhiddin,mxy eldybo1,محی الدین
Muhip,mxbu1,محب
Muhittin,mxy eldybo1,محی الدین
Muhlis,mxo1ls,مخلس
Muhlis,mxo1lz,مخلص
Muhlise,mxo1lsh,مخلسه
Muhsin,mxsbo1,محسن
Muhsine,mxsbo1h,محسنه
Muhtar,mxo1bo2er,مختار
Muhterem,mxbo2rm,محترم
Muhteşem,mxbo2so3m,محتشم
Muhyi,mxyy,محیی
Muin,maybo1,معین
Muine,maybo1h,معینه
Mukaddem,mfo2dm,مقدم
Mukadder,mfo2dr,مقدر
Mukaddes,mfo2ds,مقدس
Mukbil,mfo2bu1l,مقبل
Mukbile,mfo2bu1lh,مقبله
Mukerrem,mkrm,مکرم
Mukim,mfo2ym,مقیم
Mukime,mfo2ymh,مقیمه
Muktedir,mfo2bo2dr,مقتدر
Mumcu,mwmxu1y,مومجی
Mumcuoğlu,mwmxu1y ewao1ly,مومجی اوغلی
Munar,mwbo1er,مونار
Mungan,mbo1ao1ebo1,منغان
Mungan,mwbo1ao1ebo1,مونغان
Munis,mwbo1s,مونس
Munise,mwbo1sh,مونسه
Murat,mred,مراد
Murathan,mredxo1ebo1,مرادخان
Muren,mwrbo1,مورن
Mursaloğlu,mwrsh ewao1ly,مورسه اوغلی
Murtaza,mrbo2zo1y,مرتضی
Murâdiye,mredbu2h,مراديه
Musa,mwsy,موسی
Musaddık,mzdfo2,مصدق
Musafat,mzefo1ebo2,مصافات
Musaffa,mzfo1e,مصفا
Musaoğlu,mwse ewao1ly,موسا اوغلی
Muslih,mzlx,مصلح
Muslihe,mzlxh,مصلحه
Muslihiddin,mzlx eldybo1,مصلح الدین
Mustafa,mztfo1e,مصطفا
Mustafa,mztfo1y,مصطفی
Mustafaoğlu,mztfo1e ewao1ly,مصطفا اوغلی
Musuloğlu,mwzl ewao1ly,موصل اوغلی
Mut,mbo2,مت
Mut,mwt,موط
Mutahhar,mthr,مطهر
Mutarra,mtry,مطری
Mutasım,mabo2zm,معتصم
Muteber,mabo2bu1r,معتبر
Mutena,mabo2bo1y,معتنی
Muti,maty,معطی
Mutia,mtyah,مطیعه
Mutki,mwtky,موطکی
Mutlu,mwbo2lw,موتلو
Mutlualp,mwbo2lw eo6lbu3,موتلو آلپ
Mutluay,mwbo2lweo6y,موتلوآی
Mutlubay,mwbo2lw bu1ey,موتلو بای
Mutluer,mwbo2lweo5r,موتلوأر
Mutlugil,mwbo2lw ko7yl,موتلو گیل
Mutlugün,mwbo2lwkwbo1,موتلوکون
Mutluhan,mwbo2lwxo1ebo1,موتلوخان
Mutluk,mwbo2lwfo2,موتلوق
Mutlukan,mwbo2lwfo2ebo1,موتلوقان
Mutlukhan,mwbo2lwfo2xo1ebo1,موتلوقخان
Mutlutekin,mwbo2lwbo2kybo1,موتلوتکین
Mutluğ,mwbo2lwao1,موتلوغ
Mutman,mwtmebo1,موطمان
Mutuk,mwtwfo2,موطوق
Mutver,mbo2wr,متور
Mutâbık,mtebu1fo2,مطابق
Muvaffak,mwfo1fo2,موفق
Muvahhide,mwxdh,موحده
Muvahhit,mwxd,موحد
Muvakkar,mwfo2r,موقر
Muzaffar,mto1fo1r,مظفر
Muzaffer,mto1fo1r,مظفر
Muğdat,mwao1ded,موغداد
Muğisuddin,mwao1ybo3 eldybo1,موغیث الدین
Muğla,mao1lh,مغله
Muş,mwso3,موش
Muşkara,mwso3fo2rh,موشقره
Muşkara,mwso3kerh,موشکاره
Muştu,mwso3bo2w,موشتو
Muştubey,mwso3bo2w bu1ko7,موشتو بگ
Möhördaroğlu,mhrder ewao1ly,مهردار اوغلی
Möhördaroğlu,mwhwrder ewao1ly,موهوردار اوغلی
Mübahat,mbu1ehebo2,مباهات
Mübarek,mbu1erk,مبارک
Mübareke,mbu1erkh,مبارکه
Mübeccel,mbu1xu1l,مبجل
Müberra,mbu1re,مبرا
Mübeyyen,mbu1ybo1,مبین
Mübin,mbu1ybo1,مبین
Mübine,mbu1ybo1h,مبینه
Mücahit,mxu1ehd,مجاهد
Mücahittin,mxu1eh eldybo1,مجاه الدین
Mücap,mxu1ebu1,مجاب
Müceddet,mxu1dbo2,مجدت
Mücellâ,mxu1le,مجلا
Mücessem,mxu1sm,مجسم
Mücevher,mxu1whr,مجوهر
Müderris,mdrs,مدرس
Müderrisoğlu,mdrs ewao1ly,مدرس اوغلی
Müdrik,mdrk,مدرک
Müdrike,mdrkh,مدرکه
Müeddep,mwdbu1,مودب
Müesser,mbo5bo3r,مئثر
Müeyyet,mwyd,موید
Müezzinoğlu,mwdo1bo1 ewao1ly,موذن اوغلی
Müferrih,mfo1rh,مفره
Müferrih,mfo1rx,مفرح
Müfide,mfo1ydh,مفیده
Müfit,mfo1yd,مفید
Müftü,mfo1bo2y,مفتی
Müftügil,mfo1bo2yko7yl,مفتیگیل
Müftüler,mfo1bo2ylr,مفتیلر
Müftüoğlu,mfo1bo2y ewao1ly,مفتی اوغلی
Müge,mwko7h,موگه
Müheyya,mhye,مهیا
Mühibe,mhybu1h,مهیبه
Mühip,mhybu1,مهیب
Mühto,mhbo2w,مهتو
Mühürdar,mhrder,مهردار
Müjdat,mro3ded,مژداد
Müjde,mro3dh,مژده
Müjgân,mro3ko7ebo1,مژگان
Mükerrem,mkrm,مکرم
Mükevven,mkwbo1,مکون
Mükremin,mkrmbo1,مکرمن
Mükrim,mkrm,مکرم
Mükrime,mkrmh,مکرمه
Mükrimin,mkrmbo1,مکرمن
Mükâfat,mkefo1ebo2,مکافات
Müldür,mldr,ملدر
Mülhim,mlhm,ملهم
Mülhime,mlhmh,ملهمه
Mülket,mlkbo2,ملکت
Mülâyim,mleym,ملایم
Mülâzım,mlero1m,ملازم
Mümin,mwmbo1,مومن
Mümine,mwmbo1h,مومنه
Müminhan,mwmbo1xo1ebo1,مومنخان
Mümtaz,mmbo2ero1,ممتاز
Mümtaze,mmbo2ero1,ممتاز
Münasip,mbo1esbu1,مناسب
Münci,mbo1xu1y,منجی
Münciye,mbo1xu1yh,منجیه
Münevver,mbo1wr,منور
Münibe,mbo1ybu1h,منیبه
Münif,mbo1yfo1,منیف
Münife,mbo1yfo1h,منیفه
Münim,mbo1ym,منیم
Münime,mbo1ymh,منیمه
Münip,mbo1ybu1,منیب
Münir,mbo1yr,منیر
Münire,mbo1yrh,منیره
Münteha,mbo1bo2he,منتها
Müren,mwrbo1,مورن
Müride,mrydh,مریده
Mürit,mryd,مرید
Mürsel,mrsl,مرسل
Mürüvvet,mrwbo2,مروت
Mürşide,mrso3ydh,مرشیده
Mürşit,mrso3d,مرشد
Müsemma,msme,مسما
Müsevver,mswr,مسور
Müslim,mslm,مسلم
Müslime,mslmh,مسلمه
Müslüm,mslm,مسلم
Müslüme,mslmh,مسلمه
Müstakim,msbo2fo2ym,مستقیم
Müstakime,msbo2fo2ym,مستقیم
Müstecap,msbo2xu1ebu1,مستجاب
Müstenir,msbo2bo1yr,مستنیر
Müstenire,msbo2bo1yrh,مستنیره
Müstesna,msbo2bo3bo1y,مستثنی
Müsteçaplıoğlu,msbo2xu1ebu1ly ewao1ly,مستجابلی اوغلی
Müveddet,mwdbo2,مودت
Müyesser,mysr,میسر
Müzahir,mto1ehr,مظاهر
Müzdat,mro1ded,مزداد
Müzehher,mro1hr,مزهر
Müzekker,mdo1kr,مذکر
Müzeyyen,mro1ybo1,مزین
Müçteba,mxu1bo2bu1e,مجتبا
Müşahit,mso3ehd,مشاهد
Müşerref,mso3rfo1,مشرف
Müşfik,mso3fo1fo2,مشفق
Müşfika,mso3fo1fo2h,مشفقه
Müşir,mso3ar,مشعر
Müşküle,mso3klh,مشکله
Müştak,mso3bo2efo2,مشتاق
Müşteba,mso3bo2bu1e,مشتبا
Müştehir,mso3bo2hr,مشتهر
Mıhcıoğlu,myxo1xu1y ewao1ly,میخجی اوغلی
Mıhçıoğlu,myxo1xu1y ewao1ly,میخجی اوغلی
Mısra,mzrea,مصراع
Mıstıkoğlu,mxtfo2 ewao1ly,محطق اوغلی
Mısır,mzr,مصر
Mısırlı,mzrly,مصرلی
Mızrak,mro1refo2,مزراق
