
H,h x xo1,ه ح خ
Hatemî,xo1ebo2my,خاتمی
Hatiboğlu,xo1etbu1 ewao1ly,خاطب اوغلی
Hatice,xo1dyxu1h,خدیجه
Haticenur,xo1dyxu1h bo1wr,خدیجه نور
Hatif,hebo2fo1,هاتف
Hatife,hebo2fo1h,هاتفه
Hatim,xo1bo2ym,ختیم
Hatim,xo1ebo2m,خاتم
Hatime,xo1ebo2mh,خاتمه
Hatinoğlu,xo1etyko3 ewao1ly,خاطیڭ اوغلی
Hatip,xo1etbu1,خاطب
Hatip,xo1tybu1,خطیب
Hatipoğlu,xo1tybu1 ewao1ly,خطیب اوغلی
Hatko,xo1ebo2fo2w,خاتقو
Hattat,xo1tet,خطاط
Hattuza,xo1ebo2wro1e,خاتوزا
Hatun,xo1ebo2wbo1,خاتون
Hatunana,xo1ebo2wbo1eo6bo1h,خاتونآنه
Hatı,xo1ebo2y,خاتی
Hatıra,xo1etrh,خاطره
Hava,hwe,هوا
Haver,xo1ewr,خاور
Havi,xewy,حاوی
Havutça,xo1ewbo2xu3h,خاوتچه
Havva,xwe,حوا
Havva,xwec,حواء
Havza,xwzo1h,حوضه
Hayal,xo1yel,خیال
Hayalî,xo1yely,خیالی
Hayat,xyebo2,حیات
Hayati,xyebo2y,حیاتی
Haydar,xydr,حیدر
Haykır,heyfo2yr,هایقیر
Haymana,xebu2mebo1e,حايمانا
Hayrabolu,xo1bu2rh||bu1wlyy,خيره‌بولیی
Hayran,xyrebo1,حیران
Hayrani,xyrebo1y,حیرانی
Hayret,xyrbo2,حیرت
Hayrettin,xo1yr eldybo1,خیر الدین
Hayri,xo1yry,خیری
Hayriye,xo1yryh,خیریه
Hayrullah,xo1yrellh,خیرالله
Hayrunnisa,xo1yrelbo1se,خیرالنسا
Hayrünnisa,xo1yrelbo1se,خیرالنسا
Hayır,xo1yr,خیر
Hayırgül,xo1yrko7l,خیرگل
Hayırlıoğlu,xo1yrewao1ly,خیراوغلی
Hazal,xro1el,حزال
Hazan,hro1ebo1,هزان
Hazan,xo1ro1ebo1,خزان
Hazar,xzo1r,حضر
Hazel,xo1ro1l,خزل
Hazer,xdo1r,حذر
Hazime,hezo1mh,هاضمه
Hazin,xro1ybo1,حزین
Hazine,xo1ro1ybo1h,خزینه
Hazinedar,xo1ro1ybo1h der,خزینه دار
Haznedar,xo1ro1bo1h der,خزنه دار
Hazret,xzo1rbo2,حضرت
Hazretleri,xzo1rbo2lry,حضرتلری
Hazık,xedo1fo2,حاذق
Hazım,xero1m,حازم
Haşim,heso3m,هاشم
Haşimi,heso3my,هاشمی
Haşimoğlu,heso3m ewao1ly,هاشم اوغلی
Haşmet,xso3mbo2,حشمت
Haşmetlû,xso3mbo2lw,حشمتلو
Haşmettin,xso3m eldybo1,حشم الدین
Hediye,hdyh,هدیه
Hekim,hkym,هکیم
Hekimhan,xkbu2m||xo1ebo1,حکيم‌خان
Helvacıoğlu,xlwexu1y ewao1ly,حلواجی اوغلی
Hemdem,hmdm,همدم
Hemiş,hmyso3,همیش
Hemta,hmbo2e,همتا
Hendek,hbo1dk,هندک
Hendek,xo1bo1dk,خندک
Heper,hbu3r,هپر
Hepgül,hbu3ko7l,هپگل
Hepyener,hbu3 yko3r,هپ یڭر
Hepyüksel,hbu3 ywksl,هپ یوکسل
Hepşen,hbu3so3bo1,هپشن
Herkmen,hrkmbo1,هرکمن
Heves,hws,هوس
Heybeliada,hkbu2h||ly eo6th,هکيه‌لی آطه
Heybet,hybu1bo2,هیبت
Heyecan,hyxu1ebo1,هیجان
Hezarfen,hro1erfo1bo1,هزارفن
Hicabi,xxu1ebu1y,حجابی
Hicap,xxu1ebu1,حجاب
Hicran,hxu1rebo1,هجران
Hicret,hxu1rbo2,هجرت
Hidayet,hdeybo2,هدایت
Hidayettin,hdebu2 eldybo1,هداي الدین
Hikmet,xkmbo2,حکمت
Hikmettin,xkm eldybo1,حکم الدین
Hikmetullah,xkmho2 ellh,حکمة الله
Hilalci,hlelxu1y,هلالجی
Hilkat,xo1lfo2bo2,خلقت
Hilmi,xlmy,حلمی
Hilmiye,xlmyh,حلمیه
Hilâl,hlel,هلال
Hilâlî,hlely,هلالی
Himmet,hmbo2,همت
Himoğlu,hm ewao1ly,هم اوغلی
Hipokrat,xybu3wfo2rebo2,حیپوقرات
Hisar,xzer,حصار
Hitam,xo1bo2em,ختام
Hitit,hybo2ybo2,هیتیت
Hiçerimez,hyxu3 erymro1,هیچ اریمز
Hiçsönmez,hyxu3 swbo1mro1,هیچ سونمز
Hiçyılmaz,hyxu3 yylmero1,هیچ ییلماز
Hoca,xo1wexu1h,خواجه
Hocaoğlu,xo1wexu1h ewao1ly,خواجه اوغلی
Hollanda,hwlebo1de,هولاندا
Hollandalı,hwlebo1dely,هولاندالی
Homriş,xo1wmryso3,خومریش
Homriş,xwmryso3,حومریش
Horasan,xo1resebo1,خراسان
Hortoğlu,xo1wrbo2 ewao1ly,خورت اوغلی
Hotar,xo1wter,خوطار
Hoşafcı,xo1wso3ebu1xu1y,خوشابجی
Hoşeda,xo1wso3 ede,خوش ادا
Hoşfidan,xo1wso3 fo1debo1,خوش فدان
Hoşgör,xo1wso3 ko7wr,خوش گور
Hoşkadem,xo1wso3 fo2dm,خوش قدم
Hoşnigâr,xo1wso3 bo1ko7er,خوش نگار
Hoşnur,xo1wso3bo1wr,خوشنور
Hoşnut,xo1wso3bo1wd,خوشنود
Hoşsel,xo1wso3sl,خوشسل
Hoşsen,xo1wso3sbo1,خوشسن
Hoşses,xo1wso3ss,خوشسس
Hoşsun,xo1wso3zwbo1,خوشصون
Hoşten,xo1wso3bo2bo1,خوشتن
Hoşver,xo1wso3 wyr,خوش ویر
Huban,xo1bu1ebo1,خبان
Huceste,xo1xu1sbo2h,خجسته
Hudayi,xo1deyy,خدایی
Hudâ,xo1de,خدا
Hulagu,xwleao1w,حولاغو
Hulki,xo1lky,خلکی
Hulkiye,xo1lfo2yh,خلقیه
Hulusi,xo1lwzy,خلوصی
Hulya,xo1wlye,خولیا
Hulûsi,xo1lwzy,خلوصی
Hun,xo1wbo1,خون
Hunalp,xo1wbo1 eo6lbu3,خون آلپ
Huri,xwry,حوری
Hurican,xwry xu1ebo1,حوری جان
Hurisel,xwrysl,حوریسل
Huriser,xwrysr,حوریسر
Huriye,xwryh,حوریه
Hurrem,xo1rm,خرم
Hurşide,xwrso3ydh,حورشیده
Hurşit,xo1rso3d,خرشد
Hurşit,xo1wrso3yd,خورشید
Huzur,xzo1wr,حضور
Hâkim,xekm,حاکم
Hâkime,xekmh,حاکمه
Hâlet,xelbo2,حالت
Hâlinur,xelybo1wr,حالینور
Hâlık,xo1elfo2,خالق
Höcek,hwxu1k,هوجک
Hüccet,xxu1bo2,حجت
Hüceste,xo1xu1sbo2h,خجسته
Hüdai,hdec,هداء
Hüdaioğlu,hdebo5y ewao1ly,هدائی اوغلی
Hüdavendigâr,xo1dewbo1dko7er,خداوندگار
Hüdavent,xo1dewbo1d,خداوند
Hüdaver,hdy wyr,هدی ویر
Hüdaverdi,hdewyrdy,هداویردی
Hüdayioğlu,hdebo5y ewao1ly,هدائی اوغلی
Hükminaz,xkm bo1ero1,حکم ناز
Hükmiye,xkmyh,حکمیه
Hükümdar,xkmder,حکمدار
Hülya,xo1wlye,خولیا
Hülâgü,hleko7w,هلاگو
Hüma,hme,هما
Hümayun,hmeywbo1,همایون
Hümeyra,xmyre,حمیرا
Hünal,hwbo1 eo6l,هون آل
Hünal,xo1wbo1el,خونال
Hüner,hbo1r,هنر
Hünkâr,xo1bo1ker,خنکار
Hür,xr,حر
Hüray,xwrey,حورای
Hürbey,xrbu1ko7,حربگ
Hürcan,xrxu1ebo1,حرجان
Hürdoğan,xrtwao1ebo1,حرطوغان
Hürgül,xrko7l,حرگل
Hürkal,xrfo2el,حرقال
Hürkan,xrfo2ebo1,حرقان
Hürmet,xrmbo2,حرمت
Hürmüz,hrmro1,هرمز
Hürnaz,xwrbo1ero1,حورناز
Hürol,xrwl,حرول
Hürrem,xo1rm,خرم
Hürriyet,xrybo2,حریت
Hürsel,xrsl,حرسل
Hürsen,xwrsbo1,حورسن
Hürsev,xrsw,حرسو
Hüryaşar,xryeso3er,حریاشار
Hürşen,xwrso3bo1,حورشن
Hüsam,xsem,حسام
Hüsamettin,xsm eldybo1,حسم الدین
Hüseyin,xsybo1,حسین
Hüseynabad,xsbu2bo1||eo6bu1ed,حسين‌آباد
Hüsman,hwsmebo1,هوسمان
Hüsman,xwsmebo1,حوسمان
Hüsmen,hwsmbo1,هوسمن
Hüsna,xsbo1e,حسنا
Hüsne,xsbo1h,حسنه
Hüsniye,xsbo1yh,حسنیه
Hüsnü,xsbo1w,حسنو
Hüsnügül,xsbo1y ko7l,حسنی گل
Hüsnügüzel,xsbo1 ko7wro1l,حسن گوزل
Hüsnühâl,xsbo1 xel,حسن حال
Hüsnüye,xsbo1yh,حسنیه
Hüsrev,xo1srw,خسرو
Hüsün,xsbo1,حسن
Hüveyda,hwyde,هویدا
Hüzzam,xro1em,حزام
HĀRİCÎ,xo1o4eru4xu1bu2,خَارِجي
HĀSSATEN,xo1o4ezo4o8ho2o44,خَاصَّةً
Hıdır,xo1dr,خدر
Hıdır,xo1zo1r,خضر
Hıfziye,xfo1to1yyh,حفظییه
Hıfzullah,xfo1to1 ellh,حفظ الله
Hıfzı,xfo1to1y,حفظی
Hıfzırrahman,xfo1to1 elrxmbo1,حفظ الرحمن
Hıncal,xybo1xu1el,حینجال
Hınıs,xo1bu2bo1z,خينص
Hıraman,xo1remebo1,خرامان
Hırfanoğlu,xo1yrfo1ebo1 ewao1ly,خیرفان اوغلی
Hırvat,xo1rwebo2,خروات
Hızal,xo1ro1el,خزال
Hızlan,xzo1lebo1,حضلان
Hızlı,xyro1ly,حیزلی
Hızlıer,xyro1ly eo5r,حیزلی أر
Hızır,xo1zo1r,خضر
