Abbas_'a,abu1o8esh,عبّاسه
Adıyaman,eo6dy||bu2emebo1,آدی‌يامان
Adışah,eo6dyso3eh,آدیشاه
Afacan,eo6fo1exu1ebo1,آفاجان
Afak,eo6fo1efo2,آفاق
Afer,eafo1r,اعفر
Afet,eafo1bo2,اعفت
Afet,eo6fo1bo2,آفت
Affan,afo1ebo1,عفان
Afi,afo1y,عفی
Afi,eo6fo1y,آفی
Afif,afo1yfo1,عفیف
Afife,afo1yfo1h,عفیفه
Afitap,eo6fo1bo2ebu1,آفتاب
Afiye,aefo1yyh,عافییه
Afiyet,aefo1ybo2,عافیت
Afra,afo1re,عفرا
Afra,eo6fo1re,آفرا
Afyon Karahisar,eo6fo1bu2wbo1 fo2rh||xzer,آفيون قره‌حصار
Afyonoğlu,efo1ywbo1 ewao1ly,افیون اوغلی
Afşar,eo6fo1so3er,آفشار
Afşin,eo6fo1so3ybo1,آفشین
Agil,eo6ao1yl,آغیل
Agun,eo6ao1wbo1,آغون
Aguş,eo6ao1wso3,آغوش
Agâh,eo6ko7eh,آگاه
Ahen,eo6hbo1,آهن
Ahenk,eo6hbo1k,آهنک
Ahfeş,eo6hfo1so3,آهفش
Ahi,eo6xo1y,آخی
Ahlat,eo6xo1let,آخلاط
Ahmet,exmd,احمد
Ahsen,exsbo1,احسن
Ahter,exo1bo2r,اختر
Ahu,eo6xo1w,آخو
Ahıska,eo6xo1sxo1h,آخسخه
Ahıskalıoğlu,eo6xo1sxo1ly ewao1ly,آخسخلی اوغلی
Ailesine,aebo5lsbo1h,عائلسنه
Aişe,aebo5so3h,عائشه
Ajda,ero3de,اژدا
Ajlan,eo6ro3lebo1,آژلان
Ak,eo6fo2,آق
Aka,eo6fo2e,آقا
Akabay,eo6fo2ebu1ey,آقابای
Akabey,eo6fo2ebu1ko7,آقابگ
Akad,eo6fo2ed,آقاد
Akadlı,eo6fo2edly,آقادلی
Akagün,eo6fo2eko7wbo1,آقاگون
Akagündüz,eo6fo2e ko7wbo1dwro1,آقا گوندوز
Akagündüz,eo6fo2eko7wbo1dwro1,آقاگوندوز
Akal,eafo2l,اعقل
Akal,efo2l,اقل
Akal,eo6fo2el,آقال
Akalan,eo6fo2elebo1,آقالان
Akalp,eo6fo2elbu3,آقالپ
Akaltan,eo6fo2elbo2ebo1,آقالتان
Akalın,eo6fo2elybo1,آقالین
Akan,eo6fo2ebo1,آقان
Akanay,eo6fo2ebo1ey,آقانای
Akaner,eo6fo2ebo1r,آقانر
Akansu,eo6fo2ebo1zw,آقانصو
Akant,eo6fo2ebo1bo2,آقانت
Akanyıldız,eo6fo2ebo1 yyldro1,آقان ییلدز
Akar,eo6fo2er,آقار
Akarca,eo6fo2erxu1h,آقارجه
Akarcalı,eo6fo2erxu1e ly,آقارجا لی
Akarsel,eo6fo2ersl,آقارسل
Akarsu,eo6fo2erzw,آقارصو
Akartuna,eo6fo2ertwbo1h,آقارطونه
Akartürk,eo6fo2erbo2wrk,آقارتورک
Akarçay,eo6fo2erxu3ey,آقارچای
Akasma,eo6fo2ezmh,آقاصمه
Akasoy,eo6fo2ezwy,آقاصوی
Akata,eo6fo2ebo2e,آقاتا
Akatay,eo6fo2ebo2ey,آقاتای
Akay,eo6fo2ey,آقای
Akaydın,eo6fo2eydybo1,آقایدین
Akaygen,eo6fo2eyko7bo1,آقایگن
Akağan,eo6fo2eao1ebo1,آقاغان
Akbaba,eo6fo2bu1ebu1e,آقبابا
Akbacı,eo6fo2bu1exu1y,آقباجی
Akbal,eo6fo2bu1el,آقبال
Akbaran,eo6fo2bu1erebo1,آقباران
Akbatu,eo6fo2bu1ebo2w,آقباتو
Akbatur,eo6fo2bu1etwr,آقباطور
Akbay,eo6fo2bu1ey,آقبای
Akbayar,eo6fo2bu1eyer,آقبایار
Akbaytogan,eo6fo2bu1ey twao1ebo1,آقبای طوغان
Akbaş,eo6fo2bu1eso3,آقباش
Akbaşak,eo6fo2bu1eso3efo2,آقباشاق
Akbaşlı,eo6fo2bu1eso3ly,آقباشلی
Akbek,eo6fo2bu1k,آقبک
Akbel,eo6fo2bu1l,آقبل
Akbet,eo6fo2bu1bo2,آقبت
Akbey,eo6fo2bu1ko7,آقبگ
Akbil,eo6fo2bu1yl,آقبیل
Akbilge,eo6fo2bu1ylko7h,آقبیلگه
Akbora,eo6fo2bu1wrh,آقبوره
Akboy,eo6fo2bu1wy,آقبوی
Akboğa,eo6fo2bu1wao1h,آقبوغه
Akbudun,eo6fo2bu1wdwbo1,آقبودون
Akbulut,eo6fo2bu1wlwt,آقبولوط
Akburak,eo6fo2bu1refo2,آقبراق
Akburç,eo6fo2bu1wrxu1,آقبورج
Akburçak,eo6fo2bu1wrxu3efo2,آقبورچاق
Akbuğ,eo6fo2bu1wao1,آقبوغ
Akbörü,eo6fo2bu1wrw,آقبورو
Akbıyıkoğlu,eo6fo2bu1yyfo2 ewao1ly,آقبییق اوغلی
Akcan,eo6fo2xu1ebo1,آقجان
Akcebe,eo6fo2xu1bu1h,آقجبه
Akcivan,eo6fo2xu1webo1,آقجوان
Akdal,eo6fo2del,آقدال
Akdamar,eo6fo2tmer,آقطمار
Akdarı,eo6fo2dery,آقداری
Akdağ Mâden,eo6fo2deao1||madbo1,آقداغ‌معدن
Akdağ,eo6fo2deao1,آقداغ
Akdağ,eo6fo2teao1,آقطاغ
Akdemir,eo6fo2dmyr,آقدمیر
Akdeniz,eo6fo2dko3ro1,آقدڭز
Akdes,eo6fo2ds,آقدس
Akdik,eo6fo2dyk,آقدیک
Akdiken,eo6fo2dykbo1,آقدیکن
Akdil,eo6fo2dl,آقدل
Akdil,eo6fo2dyl,آقدیل
Akdolun,eo6fo2twlwbo1,آقطولون
Akdora,eo6fo2dwre,آقدورا
Akdoru,eo6fo2dwry,آقدوری
Akdoruk,eo6fo2dwrwfo2,آقدوروق
Akdoruk,eo6fo2twrwfo2,آقطوروق
Akdoğ,eo6fo2twao1,آقطوغ
Akdoğan,eo6fo2twao1ebo1,آقطوغان
Akdoğanlı,eo6fo2twao1ebo1ly,آقطوغانلی
Akdoğdu,eo6fo2twao1dy,آقطوغدی
Akdoğmuş,eo6fo2twao1mso3,آقطوغمش
Akdoğu,eo6fo2twao1y,آقطوغی
Akduman,eo6fo2dwmebo1,آقدومان
Akdur,eo6fo2dwr,آقدور
Akdurmuş,eo6fo2twrmso3,آقطورمش
Akdöl,eo6fo2dwl,آقدول
Akel,eo6kl,آکل
Aker,eo6fo2 eo5r,آق أر
Aker,eo6fo2r,آقر
Akergin,eo6fo2 eo5rko7ybo1,آق أرگین
Akerman,eo6fo2 eo5rmebo1,آق أرمان
Akersan,eo6fo2 eo5rsebo1,آق أرسان
Akersoy,eo6fo2 eo5rzwy,آق أرصوی
Akgil,eo6fo2ko7yl,آقگیل
Akgiray,eo6fo2ko7yrey,آقگیرای
Akgöl,eo6fo2ko7wl,آقگول
Akgöze,eo6fo2ko7wro1h,آقگوزه
Akgöztürk,eo6fo2ko7wro1bo2wrk,آقگوزتورک
Akgül,eo6fo2ko7l,آقگل
Akgün,eo6fo2ko7wbo1,آقگون
Akgündüz,eo6fo2ko7wbo1dwro1,آقگوندوز
Akgüner,eo6fo2ko7wbo1r,آقگونر
Akgüney,eo6fo2ko7wbo1y,آقگونی
Akgüneş,eo6fo2ko7wbo1so3,آقگونش
Akgüngör,eo6fo2ko7wbo1ko7wr,آقگونگور
Akgür,eo6fo2ko7wr,آقگور
Akgüç,eo6fo2ko7wxu3,آقگوچ
Akhan,eo6fo2xo1ebo1,آقخان
Akhanım,eo6fo2xo1ebo1m,آقخانم
Akhisar,eo6fo2xser,آقحسار
Akhun,eo6fo2xo1wbo1,آقخون
Akibe,aefo2bu1h,عاقبه
Akide,afo2ydh,عقیده
Akif,aekfo1,عاکف
Akife,aekfo1h,عاکفه
Akifoğlu,aekfo1 ewao1ly,عاکف اوغلی
Akil,afo2yl,عقیل
Akile,eo6klh,آکله
Akinci,eo6fo2 eybo1xu1y,آق اینجی
Akip,ekybu3,اکیپ
Akipek,eo6fo2 eybu3k,آق ایپک
Akiş,eo6fo2yso3,آقیش
Akkadın,eo6fo2fo2edybo1,آققادین
Akkan,eo6fo2fo2ebo1,آققان
Akkar,eo6fo2fo2er,آققار
Akkaya,eo6fo2 fo2ye,آق قیا
Akkaya,eo6fo2fo2eye,آققایا
Akkaynak,eo6fo2fo2eybo1efo2,آققایناق
Akkaş,eo6fo2fo2eso3,آققاش
Akkemik,eo6fo2kmyk,آقکمیک
Akkerman,eo6fo2 krmebo1,آق کرمان
Akkerman,eo6fo2krmebo1,آقکرمان
Akkiraz,eo6fo2 kyrero1,آق کیراز
Akkor,eo6fo2fo2wr,آققور
Akkoyun,eo6fo2fo2wywbo1,آققویون
Akkoyunlu,eo6fo2fo2wywbo1ly,آققویونلی
Akkoç,eo6fo2fo2wxu3,آققوچ
Akkurt,eo6fo2fo2wrbo2,آققورت
Akkutlu,eo6fo2fo2wbo2lw,آققوتلو
Akkuyaş,eo6fo2fo2wyeso3,آققویاش
Akkuyruk,eo6fo2||fo2wbu2rwfo2,آق‌قويروق
Akkuş,eo6fo2fo2wso3,آققوش
Akköprülü,eo6fo2 kwbu3ryly,آق کوپریلی
Akköz,eo6fo2kwro1,آقکوز
Akkılıç,eo6fo2fo2lyxu1,آققلیج
Akkın,eo6fo2fo2ybo1,آققین
Akkız,eo6fo2fo2yro1,آققیز
Aklan,eo6fo2lebo1,آقلان
Akman,eo6fo2mebo1,آقمان
Akmanalp,eo6fo2mebo1 eo6lbu3,آقمان آلپ
Akmaner,eo6fo2mebo1 eo5r,آقمان أر
Akmanlar,eo6fo2mebo1lr,آقمانلر
Akmansü,eo6fo2mebo1sw,آقمانسو
Akmaral,eo6fo2merel,آقمارال
Akmaç,eo6fo2mexu3,آقماچ
Akmeriç,eo6fo2mryxu3,آقمریچ
Akmumcu,eo6fo2mwmxu1y,آقمومجی
Aknoz,eo6fo2bo1wro1,آقنوز
Aknur,eo6fo2bo1wr,آقنور
Akol,eo6fo2wl,آقول
Akosman,eo6fo2 abo3mebo1,آق عثمان
Akova,eo6fo2wwh,آقووه
Akozan,eo6fo2 ewro1ebo1,آق اوزان
Akpay,eo6fo2bu3ey,آقپای
Akpolat,eo6fo2bu3wled,آقپولاد
Akpulat,eo6fo2bu3wled,آقپولاد
Akpınar,eo6fo2bu3yko3er,آقپیڭار
Aksak,eo6fo2sefo2,آقساق
Aksal,eo6fo2sel,آقسال
Aksal,eo6fo2zel,آقصال
Aksan,eo6fo2zebo1,آقصان
Aksaray,eo6fo2srey,آقسرای
Aksaraylı,eo6fo2sreyly,آقسرایلی
Aksarı,eo6fo2zery,آقصاری
Aksay,eo6fo2zey,آقصای
Akseki,eo6fo2sky,آقسکی
Aksel,eo6fo2sl,آقسل
Aksen,eo6fo2sbo1,آقسن
Akser,eo6fo2sr,آقسر
Akses,eo6fo2ss,آقسس
Akseven,eo6fo2swbo1,آقسون
Aksevil,eo6fo2swyl,آقسویل
Aksoley,eo6fo2zwly,آقصولی
Aksoy,eo6fo2zwy,آقصوی
Aksu,eo6fo2zw,آقصو
Aksun,eo6fo2zwbo1,آقصون
Aksuna,eo6fo2zwbo1e,آقصونا
Aksunar,eo6fo2zwbo1er,آقصونار
Aksuner,eo6fo2zwbo1r,آقصونر
Aksungur,eo6fo2zwbo1ao1wr,آقصونغور
Aksöyök,eo6fo2swywk,آقسویوک
Aksöz,eo6fo2swro1,آقسوز
Aksöğüt,eo6fo2swko7wbo2,آقسوگوت
Aksülün,eo6fo2swlwbo1,آقسولون
Aksünger,eo6fo2swbo1ko7r,آقسونگر
Aksüt,eo6fo2swbo2,آقسوت
Aksüyek,eo6fo2swyk,آقسویک
Aksın,eo6fo2zybo1,آقصین
Aktalay,eo6fo2bo2eley,آقتالای
Aktan,eo6fo2bo2ebo1,آقتان
Aktan,eo6fo2tebo1,آقطان
Aktar,eo6fo2bo2er,آقتار
Aktar,eo6fo2der,آقدار
Aktar,eo6fo2ter,آقطار
Aktay,eo6fo2bo2ey,آقتای
Aktaç,eo6fo2bo2exu3,آقتاچ
Aktaş,eo6fo2teso3,آقطاش
Aktekin,eo6fo2bo2kybo1,آقتکین
Aktemür,eo6fo2bo2mwr,آقتمور
Aktimur,eo6fo2bo2ymwr,آقتیمور
Aktin,eo6fo2bo2ybo1,آقتین
Aktolga,eo6fo2twlao1h,آقطولغه
Aktolun,eo6fo2twlwbo1,آقطولون
Aktulga,eo6fo2twlao1h,آقطولغه
Aktuna,eo6fo2twbo1e,آقطونا
Aktuna,eo6fo2twbo1h,آقطونه
Aktunç,eo6fo2bo2wbo1xu3,آقتونچ
Aktuğ,eo6fo2bo2wao1,آقتوغ
Aktün,eo6fo2bo2wbo1,آقتون
Aktürel,eo6fo2bo2wrl,آقتورل
Aktürk,eo6fo2bo2wrk,آقتورک
Aktı,eo6fo2dy,آقدی
Aktı,eo6fo2ty,آقطی
Akvarol,eo6fo2werwl,آقوارول
Akyazı,eo6fo2yero1y,آقیازی
Akyel,eo6fo2yl,آقیل
Akyipek,eo6fo2yybu3k,آقییپک
Akyiğit,eo6fo2yyko7ybo2,آقییگیت
Akyol,eo6fo2ywl,آقیول
Akyurt,eo6fo2ywrd,آقیورد
Akyön,eo6fo2ywbo1,آقیون
Akyürek,eo6fo2ywrk,آقیورک
Akyüz,eo6fo2ywro1,آقیوز
Akyıldız,eo6fo2yyldyro1,آقییلدیز
Akça,eo6fo2xu3h,آقچه
Akçaabat,eo6fo2xu3h||eo6bu1ed,آقچه‌آباد
Akçabay,eo6fo2xu3ebu1ey,آقچابای
Akçadağ,eo6fo2xu3h||deao1,آقچه‌داغ
Akçael,eo6fo2xu3h eo5l,آقچه أل
Akçagül,eo6fo2xu3eko7l,آقچاگل
Akçakan,eo6fo2xu3efo2ebo1,آقچاقان
Akçakaya,eo6fo2xu3efo2eye,آقچاقایا
Akçakoca,eo6fo2xu3exo1wexu1h,آقچاخواجه
Akçakıl,eo6fo2xu3efo2yl,آقچاقیل
Akçal,eo6fo2xu3el,آقچال
Akçalı,eo6fo2xu3ely,آقچالی
Akçalıoğlu,eo6fo2xu1ely ewao1ly,آقجالی اوغلی
Akçam,eo6fo2xu3em,آقچام
Akçan,eo6fo2xu3ebo1,آقچان
Akçaoğlu,eo6fo2xu3h ewao1ly,آقچه اوغلی
Akçasu,eo6fo2xu3h zw,آقچه صو
Akçatepe,eo6fo2xu3h bo2bu3h,آقچه تپه
Akçay,eo6fo2xu3ey,آقچای
Akçeel,eo6fo2xu3h eo5l,آقچه أل
Akçer,eo6fo2xu3r,آقچر
Akçin,eo6fo2xu3ybo1,آقچین
Akçit,eo6fo2xu3ybo2,آقچیت
Akçiçek,eo6fo2xu3yxu3k,آقچیچک
Akçora,eo6fo2xu3wre,آقچورا
Akçora,eo6fo2xu3wrh,آقچوره
Akçıl,eo6fo2xu3yl,آقچیل
Akçınar,eo6fo2xu3ybo1er,آقچینار
Akçığır,eo6fo2xu3yao1yr,آقچیغیر
Akönder,eo6fo2 ewko3dr,آق اوڭدر
Akören,eo6fo2 ewrbo1,آق اورن
Aköz,eo6fo2 ewro1,آق اوز
Aköz,eo6fo2wro1,آقوز
Akün,eo6fo2wbo1,آقون
Akünal,eo6fo2 ewbo1el,آق اونال
Aküzüm,eo6fo2wro1wm,آقوزوم
Akı,eo6fo2y,آقی
Akıalp,eo6fo2y eo6lbu3,آقی آلپ
Akıl,afo2l,عقل
Akılbek,afo2lbu1k,عقلبک
Akıllı,afo2lly,عقللی
Akıllıoğlu,aefo2lly ewao1ly,عاقللی اوغلی
Akıman,eo6fo2ymebo1,آقیمان
Akın,eo6fo2ybo1,آقین
Akınal,eo6fo2ybo1el,آقینال
Akınalp,eo6fo2ybo1 eo6lbu3,آقین آلپ
Akıncı,eo6fo2bo1xu1y,آقنجی
Akıncı,eo6fo2ybo1xu1y,آقینجی
Akıncıbay,eo6fo2ybo1xu1ybu1ey,آقینجیبای
Akıner,eo6fo2ybo1 eo5r,آقین أر
Akıneri,eo6fo2ybo1 eo5ry,آقین أری
Akıntan,eo6fo2ybo1teko3,آقینطاڭ
Akış,eo6fo2yso3,آقیش
Akışık,eo6fo2yso3yfo2,آقیشیق
Akşehir,eo6fo2so3hr,آقشهر
Akşemsettinoğlu,eo6fo2 so3ms eldybo1 ewao1ly,آق شمس الدین اوغلی
Akşener,eo6fo2so3bo1r,آقشنر
Akşit,eo6fo2so3ybo2,آقشیت
Akşın,eo6fo2so3ybo1,آقشین
Al,eo6l,آل
Ala,aly,علی
Ala,ealy,اعلی
Ala,eo6le,آلا
Alaaddin,aleceldybo1,علاءالدین
Alabay,eo6lebu1ey,آلابای
Alabaş,eo6lebu1eso3,آلاباش
Alabegim,eo6lebu1ko7ym,آلابگیم
Alabegüm,eo6lebu1ko7wm,آلابگوم
Alabezek,eo6lebu1ro1k,آلابزک
Alabora,eo6lebu1wre,آلابورا
Alaboyun,eo6lebu1wywbo1,آلابویون
Alaca,eo6lexu1e,آلاجا
Alacalı,eo6lexu1ely,آلاجالی
Alacan,eo6lexu1ebo1,آلاجان
Aladağ,eo6ledeao1,آلاداغ
Aladoğan,eo6letwao1ebo1,آلاطوغان
Alageyik,eo6leko7yyk,آلاگییک
Alagöz,eo6leko7wro1,آلاگوز
Alagün,eo6leko7wbo1,آلاگون
Alahan,eo6lexo1ebo1,آلاخان
Alakant,eo6lefo2ebo1bo2,آلاقانت
Alakoç,eo6lefo2wxu3,آلاقوچ
Alakurt,eo6lefo2wrbo2,آلاقورت
Alakuş,eo6lefo2wso3,آلاقوش
Alakız,eo6lefo2yro1,آلاقیز
Alan,eo6lebo1,آلان
Alanalp,eo6lebo1 eo6lbu3,آلان آلپ
Alanay,eo6lebo1eo6y,آلانآی
Alanbay,eo6lebo1bu1ey,آلانبای
Alaner,eo6lebo1r,آلانر
Alangoya,eo6lebo1ao1wyh,آلانغویه
Alangu,eo6lebo1ao1w,آلانغو
Alanur,eo6lebo1wr,آلانور
Alanya,eo6lebo1yh,آلانیه
Alapınar,eo6lebu3yko3er,آلاپیڭار
Alara,eo6lere,آلارا
Alat,eo6lebo2,آلات
Alatan,eo6lebo2ebo1,آلاتان
