fa'alane,fo1ao8elebo1h
fahr-i̇ alem,fo1o4xo1o0ru4 ao4elo4mo0
fahr-i alem,fo1o4xo1o0ru4 ao4elo4mo0
fahr-i âlem,fo1o4xo1o0ru4 ao4elo4mo0
fahr-i̇ beşer,fo1o4xo1o0ru4 bu1o4so3o4ro0
fahr-i beşer,fo1o4xo1o0ru4 bu1o4so3o4ro0
fahr-i,fo1xo1ru4
fahr-ı,fo1xo1ru4
fahri,fo1xo1ry
fahrî,fo1xo1ry
fahrı,fo1xo1ry
fahr-i̇ kai̇nat,fo1o4xo1o0ru4 ko4ebo5u4bo1o4ebo2o0
fahr-i kainat,fo1o4xo1o0ru4 ko4ebo5u4bo1o4ebo2o0
fahr-i kâinât,fo1o4xo1o0ru4 ko4ebo5u4bo1o4ebo2o0
fahrin,fo1xo1rko3
fahrın,fo1xo1rko3
fahriniz,fo1xo1ryko3ro1
fahr-i̇ ri̇salet,fo1o4xo1o0ru4 ru4so4elo4bo2o0
fahr-i risalet,fo1o4xo1o0ru4 ru4so4elo4bo2o0
fahr-i risâlet,fo1o4xo1o0ru4 ru4so4elo4bo2o0
fahriye,fo1xo1ryh
fahriye,fo1xo1ryh||
fahrle,fo1xo1rlh
fahrlenme,fo1xo1rlbo1mh
fahrleridir,fo1xo1rlrydr
fahrli,fo1xo1rly
fahrüddeveran,fo1xo1r eldo8wrebo1
fahr-üd,fo1xo1r el
fahr-ül,fo1xo1r el
fahşa,fo1xso3e
fahşâ,fo1xso3e
fahte,fo1exo1bo2h||
fâhte,fo1exo1bo2h
fahur,fo1xo1wr
fahûr,fo1xo1wr
fahurhane,fo1xo1wrebo1h||
fahûrhâne,fo1xo1wrebo1h
fahz,fo1xo1do1
faidebahş,fo1ebo5dh bu1xo1so3
fâidebahş,fo1ebo5dh bu1xo1so3
faidebahş,fo1eyo5dh||bu1xo1so3
faideden,fo1eyo5dh||dbo1
faideden hali,fo1ebo5dh dbo1 xo1ely
fâideden hâlî,fo1ebo5dh dbo1 xo1ely
faidedir,fo1eyo5dh||dr
faide etmek,fo1ebo5dh e
fâide etmek,fo1ebo5dh e
fa'ide,fo1ebo5dh||
fai̇de,fo1ebo5dh||
faide,fo1ebo5dh
faide,fo1ebo5dh||
fâ'ide,fo1ebo5dh
fâide,fo1ebo5dh
faide,fo1eyo5dh
faide görmek,fo1ebo5dh kwrmk
fâide görmek,fo1ebo5dh kwrmk
faide-i,fo1eyo5dh'u4
faidelendiği,fo1eyo5dh||lbo1dyko7y
faidelendiren,fo1eyo5dh||lbo1dyrbo1
faidelendirir,fo1eyo5dh||lbo1dyrr
faidelen,fo1ebo5dh<>lbo1
faidelenmek,fo1ebo5dh<>lbo1mk
fâidelenmek,fo1ebo5dh||lbo1mk
faidelerde,fo1eyo5dh||lrdh
faidelerden,fo1eyo5dh||lrdbo1
faidelerdir,fo1eyo5dh||lrdr
faidelere,fo1eyo5dh||lrh
faideler,fo1eyo5dh||lr
faideleri,fo1eyo5dh||lry
faidelerinde,fo1eyo5dh||lrbo1dh
faidelerinden,fo1eyo5dh||lrbo1dbo1
faidelerine,fo1eyo5dh||lrybo1h
faidelerin,fo1eyo5dh||lrko3
faidelerini,fo1eyo5dh||lrybo1y
faidelerinin,fo1eyo5dh||lrybo1ko3
faideleriyle,fo1eyo5dh||lrylh
faidelidir,fo1eyo5dh||lydr
fa'ideli,fo1ebo5dh lw
faideli,fo1ebo5dh lw
fâ'ideli,fo1ebo5dh lw
fâideli,fo1ebo5dh lw
faideli,fo1ebo5dh<>ly
fâideli,fo1ebo5dh||ly
faideli,fo1eyo5dh||ly
faideli olmak,fo1ebo5dh lwew
fâideli olmak,fo1ebo5dh lwew
faidemend,fo1eyo5dh||mbo1d
faidemend olmak,fo1ebo5dh mbo1d ew
fâidemend olmak,fo1ebo5dh mbo1d ew
faidemizi,fo1eyo5dh||mro1y
faidenin,fo1eyo5dh||bo1ko3
faideniz,fo1eyo5dh||ko3ro1
faide olmak,fo1ebo5dh ew
fâide olmak,fo1ebo5dh ew
faidesidir,fo1eyo5dh||sydr
faidesi,fo1eyo5dh||sy
faidesi müşahede olunmak,fo1ebo5dh sy mso3ehdh ewlbo1mfo2
fâidesi müşâhede olunmak,fo1ebo5dh sy mso3ehdh ewlbo1mfo2
faidesinden,fo1eyo5dh||sbo1dbo1
faidesine,fo1eyo5dh||sbo1h
faidesini,fo1eyo5dh||sbo1y
faidesi olmak,fo1ebo5dh sy ew
fâidesi olmak,fo1ebo5dh sy ew
faidesi var,fo1ebo5dh sy wer
fâidesi var,fo1ebo5dh sy wer
faidesizdir,fo1eyo5dh||sro1dr
faidesiz,fo1ebo5dh<>sro1
faidesiz,fo1ebo5dh sro1
fâidesiz,fo1ebo5dh||sro1
fâidesiz,fo1ebo5dh sro1
faidesiz,fo1eyo5dh||sro1
faidesizliği,fo1eyo5dh||sro1lko7y
faidesizlik,fo1ebo5dh<>sro1lk
fâidesizlik,fo1ebo5dh||sro1lk
faidesizlik,fo1eyo5dh||sro1lk
faidesizlikten,fo1eyo5dh||sro1lkdbo1
fâidesizlikten,fo1eyo5dh||sro1lkdbo1
fâide vermek,fo1ebo5dh wbu2rmk
faide vermek,fo1ebo5dh wyrmk
faideye,fo1eyo5dh||yh
faideyi,fo1eyo5dh||yy
faik,fo1ebo5fo2
faık,fo1ebo5fo2
fâik,fo1ebo5fo2
fâık,fo1ebo5fo2
faik,fo1eyo5fo2
fâik,fo1eyo5fo2
fai̇k,fo1o4ebo5u4fo2o0
faik,fo1o4ebo5u4fo2o0
fâik,fo1o4ebo5u4fo2o0
faikıyet,fo1ebo5fo2ybo2
fâikıyet,fo1ebo5fo2ybo2
faikiyet,fo1eyo5fo2ybo2
faikiyetini,fo1eyo5fo2ybo2bo1y
faikiyetle,fo1eyo5fo2ybo2lh
fâikiyyet,fo1ebo5fo2bu2bo2
faikiyyet,fo1ebo5fo2ybo2
fa'ik olmak,fo1ebo5fo2 ew
faik olmak,fo1ebo5fo2 ew
fâ'ik olmak,fo1ebo5fo2 ew
fâik olmak,fo1ebo5fo2 ew
faiktir,fo1eyo5fo2dr
fa'ikü-l-akran,fo1ebo5fo2 elefo2rebo1
fâ'ikü-l-akrân,fo1ebo5fo2 elefo2rebo1
fâildir,fo1ealdr
fâildirler,fo1ealdrlr
fâile,fo1ealh
fail,fo1eal
fâil,fo1eal
fai̇l,fo1o4eau4lo0
fail,fo1o4eau4lo0
fâil,fo1o4eau4lo0
fâil-i,fo1ealu4
fâili,fo1ealy
fai̇l-i̇ muhtar,fo1o4eau4lu4 mo9xo1o0bo2o4ero0
fail-i muhtar,fo1o4eau4lu4 mo9xo1o0bo2o4ero0
fâil-i muhtâr,fo1o4eau4lu4 mo9xo1o0bo2o4ero0
fâiline,fo1ealbo1h
fâil'in,fo1ealko3
fâilin,fo1ealko3
fâilini,fo1ealbo1y
fâilinin,fo1ealbo1ko3
fâiliyet,fo1ealybo2
fâiliyyet,fo1ealbu2bo2
failiyyet,fo1ealybo2
fâillere,fo1eallrh
fâiller,fo1eallr
fâillerinin,fo1eallrybo1ko3
fâilsin,fo1ealsko3
fâilsiz,fo1ealsro1
fâize vermek,fo1ebo5zo1h wbu2rmk
faize vermek,fo1ebo5zo1h wyrmk
fâize yatırmak,fo1ebo5zo1h bu2ebo2rmfo2
faize yatırmak,fo1ebo5zo1h yebo2rmfo2
faiz,fo1ebo5z
fâiz,fo1ebo5z
faiz,fo1ebo5zo1
fâiz,fo1ebo5zo1
faizin,fo1eyo5zo1ko3
faka,fo1efo2h
faka,fo1efo2h||
fâka,fo1efo2h
fakahet,fo1fo2ehbo2
fakâhet,fo1fo2ehbo2
fakat,fo1fo2t
fakat,fo1o4efo2o4bo2o0
fâkat,fo1o4efo2o4bo2o0
fâkatimdir,fo1efo2bo2mdr
fâkatını,fo1efo2bo2bo1y
fâkatlerin,fo1efo2bo2lrko3
fakazlı,fo1fo2ero1ly
fakd,fo1fo2d
fakd-ül,fo1fo2d el
fak,fo1efo2
fakîd,fo1fo2bu2d
fakid,fo1fo2yd
fakiha,fo1ekhh||
fâkiha,fo1ekhh
fakihe,fo1ekhh
faki̇he,fo1o4eku4ho4h||
fakihe,fo1o4eku4ho4h||
fâkihe,fo1o4eku4ho4h
fakiheler,fo1ekhh||lr
fakihelerle,fo1ekhh||lrlh
fakihesi,fo1ekhh||sy
fakîh,fo1fo2bu2h
fakih,fo1fo2yh
fakih,fo1fo2yh||
fakîh,fo1fo2yh
fakira,fo1fo2yre
fakiranedir,fo1fo2yrebo1h||dr
fakirane,fo1fo2yrebo1h
fakirâne,fo1o4fo2bu2ro4ebo1o4h
faki̇rane,fo1o4fo2۪yro4ebo1o4h||
fakirane,fo1o4fo2۪yro4ebo1o4h||
fakiraneleri,fo1fo2yrebo1h||lry
fakiranemde,fo1fo2yrebo1h||mdh
fakîrce,fo1fo2bu2rxu1h
fakirce,fo1fo2yrxu1h
fakirce,fo1fo2yrxu1h||
fakirde,fo1fo2yrdh
fakirden,fo1fo2yrdbo1
fakirdi,fo1fo2yrdy
fakirdir,fo1fo2yrdr
fakirdirler,fo1fo2yrdrlr
fakire,fo1fo2yrh
fakîr etmek,fo1fo2bu2re
fakir etmek,fo1fo2yre
fakir,fo1fo2bu2r
fakîr,fo1fo2bu2r
fakir,fo1fo2r
faki̇r,fo1fo2yr
fakir,fo1fo2yr
fakirhanede,fo1fo2yrxo1ebo1h||dh
fakirhâne,fo1fo2bu2rxo1ebo1h
fakirhane,fo1fo2yrxo1ebo1h||
fakirhâne,fo1fo2yrxo1ebo1h
fakirhanemize,fo1fo2yrxo1ebo1h||mro1h
fakirhaneye,fo1fo2yrxo1ebo1h||yh
fakir-i,fo1fo2yru4
fakîr-i,fo1fo2yru4
fakiri,fo1fo2yry
fakirim,fo1fo2yrm
fakirin,fo1fo2yrko3
fakirinizin,fo1fo2yryko3ro1ko3
fakiriz,fo1fo2yrro1
fakirle,fo1fo2yrlh
fakirlerdeki,fo1fo2yrlrdh||ky
fakirlere,fo1fo2yrlrh
fakirler,fo1fo2yrlr
fakirleri,fo1fo2yrlry
fakirlerine,fo1fo2yrlrybo1h
fakirlerin,fo1fo2yrlrko3
fakirliğimle,fo1fo2yrlko7mlh
fakîrlik,fo1fo2bu2rlfo2
fakirlik,fo1fo2yrlfo2
fakirlik,fo1fo2yrlk
fakirlikleri,fo1fo2yrlklry
fakirlikten,fo1fo2yrlkdbo1
fakirsin,fo1fo2yrsko3
fakirsiniz,fo1fo2yrsko3ro1
fakîr u bîkes,fo1fo2bu2rwbu1bu2ks
fakir u bikes,fo1fo2yrwbu1yks
fakir-ül,fo1fo2yr el
fakra,fo1fo2rh
fakrda,fo1fo2rdh
fakrdaki,fo1fo2rdh||ky
fakr'dan,fo1fo2rdbo1
fakrdan,fo1fo2rdbo1
fakr,fo1fo2r
fakr,fo1o4fo2o0ro0
fakr-ı,fo1fo2ru4
fakrı,fo1fo2ry
fakrıma,fo1fo2rymh
fakrimdir,fo1fo2rmdr
fakrime,fo1fo2rmh
fakrım,fo1fo2rm
fakrımı,fo1fo2rymy
fakrımız,fo1fo2rymro1
fakrımızın,fo1fo2rymro1ko3
fakrına,fo1fo2rybo1h
fakrında,fo1fo2rbo1dh
fakrın,fo1fo2rko3
fakrını,fo1fo2rybo1y
fakrınla,fo1fo2rko3lh
fakrıyla,fo1fo2rylh
fakriyle,fo1fo2rylh
fakrlarını,fo1fo2rlrybo1y
fakrlerini,fo1fo2rlrybo1y
fakr-pişe,fo1fo2rbu3yso3h
fakr-pîşe,fo1fo2rbu3yso3h
fakr u zaruret,fo1o4fo2o0ro9w zo1o4ro9wro4bo2o0
fakr u zarûret,fo1o4fo2o0ro9w zo1o4ro9wro4bo2o0
faktör,fo1ekbo2wr
fakülte,fo1ekwlbo2h
fakültelerinde,fo1ekwlbo2h||lrbo1dh
fakültesi,fo1ekwlbo2h||sy
fakültesi'nden,fo1ekwlbo2h||sbo1dbo1
fakültesinden,fo1ekwlbo2h||sbo1dbo1
fakültesine,fo1ekwlbo2h||sbo1h
fakültesi'ni,fo1ekwlbo2h||sbo1y
fala,fo1elh
falaka,fo1elefo2h<>
falaka,fo1elefo2h||
falaka,fo1lfo2h
falaka,fo1lfo2h||
falakalara,fo1lfo2h||lrh
falakalı,fo1lfo2h||ly
falcı,fo1elxu1y
falcılık,fo1elxu1ylfo2
fal,fo1el
fâl,fo1el
falic,fo1lxu1
fâlic,fo1lxu1
fâl-i,fo1elu4
falı,fo1ely
fâlik-ul,fo1elfo2 el
falname,fo1elbo1emh||
fâlnâme,fo1elbo1emh
falso,fo1elzw
falya deliği,fo1elbu2h dlbu2ky
falya deliği,fo1elyh dlyky
falya,fo1elbu2h
falya,fo1elyh||
fam,fo1em
fâm,fo1em
familya,fo1emylye
fanatik,fo1ebo1ebo2yk
fanatiklik,fo1ebo1ebo2yklk
fanatizm,fo1ebo1ebo2yro1m
fanela yorgan,fo1ebo1lh bu2wrao1ebo1
fanela yorgan,fo1ebo1lh ywrao1ebo1
fanfanböceği,fo1eko3||fo1eko3 bu1wxu1ko7y
fanfanböceği,fo1elo5o3<>fo1elo5o3 bu1wxu1ko7y
fanfan,fo1eko3||fo1eko3
fanfan,fo1elo5o3<>fo1elo5o3
fânide,fo1ebo1ydh
fânîde,fo1ebo1ydh
fânideki,fo1ebo1ydh||ky
fâniden,fo1ebo1ydbo1
fânîden,fo1ebo1ydbo1
fânidir,fo1ebo1ydr
fânîdir,fo1ebo1ydr
fânidirler,fo1ebo1ydrlr
fani,fo1ebo1bu2
fani̇,fo1ebo1y
fani,fo1ebo1y
fâni,fo1ebo1y
fânî,fo1ebo1y
fânî,fo1o4ebo1bu2
fani̇,fo1o4ebo1۪y
fani,fo1o4ebo1۪y
fâni-i,fo1ebo1yo5u4
fânî-i,fo1ebo1yo5u4
fanila,fo1ebo1lh
fanila,fo1ebo1lh||
fanilâ,fo1ebo1lh
fânilerde,fo1ebo1ylrdh
fânilerden,fo1ebo1ylrdbo1
fânilere,fo1ebo1ylrh
fâniler,fo1ebo1ylr
fânileri,fo1ebo1ylrko3
fânileri,fo1ebo1ylry
fânilerin,fo1ebo1ylrko3
fânîlerin,fo1ebo1ylrko3
fâniliği,fo1ebo1ylko7y
fâniliğinde,fo1ebo1ylko7bo1dh
fâniliğini,fo1ebo1ylko7bo1y
fânilik,fo1ebo1ylk
fânilikle,fo1ebo1ylklh
fâniliklerden,fo1ebo1ylklrdbo1
fânilikler,fo1ebo1ylklr
fânim,fo1ebo1ym
fâninin,fo1ebo1ybo1ko3
fâniyata,fo1ebo1yebo2h
fâniyat,fo1ebo1yebo2
fâniyatın,fo1ebo1yebo2ko3
fâniyatta,fo1ebo1yebo2dh
fâniyattan,fo1ebo1yebo2dbo1
fâniyede,fo1ebo1yh||dh
fâniyeden,fo1ebo1yh||dbo1
fâniye,fo1ebo1yh
fânîye,fo1o4ebo1u4bu2o4h
fani̇ye,fo1o4ebo1u4yo4h||
faniye,fo1o4ebo1u4yo4h||
fâniye-i,fo1ebo1yh'u4
fâniyenin,fo1ebo1yh||bo1ko3
fâniyesinin,fo1ebo1yh||sbo1ko3
fâniyeye,fo1ebo1yh||yh
fâniyeyi,fo1ebo1yh||yy
fâniyi,fo1ebo1y||yy
fâniyim,fo1ebo1y||ym
fâniyyeyi,fo1ebo1yh||yy
fantaziye,fo1ebo1tero1yh||
fantâziye,fo1ebo1tero1yh
fantaziyeler,fo1ebo1bo2ero1yh||lr
fantâziyeler,fo1ebo1bo2ero1yh||lr
fantaziyeleridir,fo1ebo1bo2ero1yh||lrydr
fantaziyelerindir,fo1ebo1bo2ero1yh||lrko3dr
fantaziyelerine,fo1ebo1bo2ero1yh||lrybo1h
fantaziyelerinin,fo1ebo1bo2ero1yh||lrybo1ko3
fantaziyesiyle,fo1ebo1tero1yh||sylh
fanus,fo1ebo1bo5s
fânûs,fo1ebo1bo5s
fanus,fo1ebo1ws
farabi,fo1erebu1y
farabî,fo1erebu1y
faraklit,fo1erfo2lyt
fâran,fo1erebo1
faraş,fo1ereso3
faraş,fo1reso3
faraza,fo1rzo1e
farazâ,fo1rzo1e
farazîdir,fo1rzo1ydr
farazî,fo1o4ro4zo1bu2
farazi̇,fo1o4ro4zo1۪y
farazi,fo1o4ro4zo1۪y
farazi,fo1rzo1y
farazî,fo1rzo1y
farazından,fo1rzo1bo1dbo1
farazînin,fo1ro4zo1ybo1ko3
faraziyat,fo1rzo1yebo2
faraziyede,fo1ro4zo1yh||dh
faraziyedir,fo1ro4zo1yh||dr
faraziye,fo1rzo1yh
faraziyeye,fo1ro4zo1yh||yh
faraziyeyi,fo1ro4zo1yh||yy
faraziyye,fo1rzo1bu2h
faraziyye,fo1rzo1yh
faraziyye,fo1rzo1yh||
fare,fo1erh
fare,fo1erh||
fâre,fo1erh
farenin,fo1erh||bo1ko3
farfara,fo1erfo1erc
farfara,fo1o4ero0fo1o4ero4h||
fârfâra,fo1o4ero0fo1o4ero4h
farfaralı,fo1rfo1rh||ly
farfaralık,fo1erfo1erclfo2
farfarası,fo1rfo1rh||sy
far,fo1er
fâr,fo1er
fârıd,fo1erzo1
farıd'ın,fo1erzo1ko3
fariğ,fo1erao1
fâriğ,fo1erao1
farig olmamak,fo1erao1 ewlmfo2mfo2
fârig olmamak,fo1erao1 ewlmfo2mfo2
farika,fo1erfo2h
farıka,fo1erfo2h||
fârika,fo1erfo2h
fârıka,fo1erfo2h
fari̇ka,fo1o4eru4fo2o4h||
farika,fo1o4eru4fo2o4h||
fârika,fo1o4eru4fo2o4h
farikalı,fo1erfo2h||ly
fârikasıdır,fo1erfo2h||sydr
farikası,fo1erfo2h||sy
farık,fo1erfo2
fârık,fo1erfo2
fârik-un,fo1erfo2||ٹ
faris,fo1ers
fâris,fo1ers
farisi,fo1ersy
farisî,fo1ersy
fârisî,fo1ersy
fârisî,fo1o4eru4sbu2
fari̇si̇,fo1o4eru4s۪y
farisi,fo1o4eru4s۪y
faris'in,fo1ersko3
farîza,fo1o4rbu2zo1o4h
fari̇za,fo1o4r۪yzo1o4h||
fariza,fo1o4r۪yzo1o4h||
fariza,fo1ryzo1h||
farîza,fo1ryzo1h
fariza-i,fo1ryzo1h'u4
farîza-i,fo1ryzo1h'u4
farizalarını,fo1ryzo1h||lrybo1y
farizayı,fo1ryzo1h||yy
farîze-i,fo1ryzo1h'u4
farkedemedim,fo1rfo2 eydh||mdm
farkedemezler,fo1rfo2 eydh||mro1lr
farkedemiyenler,fo1rfo2 eydh||mh||ybo1lr
farkedemiyor,fo1rfo2 eydh||myywr
farkeden,fo1rfo2 eydbo1
farkeder,fo1rfo2 eydr
farkedilir,fo1rfo2 eydylyr
farkedilmeyecek,fo1rfo2 eydylmyh||xu1k
farketmediğinden,fo1rfo2 eybo2mdyko7bo1dbo1
fark etmek,fo1rfo2 e
farketmek,fo1rfo2 eybo2mk
farketmeyecek,fo1rfo2 eybo2myh||xu1k
farketmeyen,fo1rfo2 eybo2mh||ybo1
farketmeyenler,fo1rfo2 eybo2mh||ybo1lr
farketmeyerek,fo1rfo2 eybo2myh||rk
farketmeyip,fo1rfo2 eybo2mh||ywbu1
farketmez,fo1rfo2 eybo2mro1
farketmezse,fo1rfo2 eybo2mro1sh
farketmiyerek,fo1rfo2 eybo2myh||rk
farketti,fo1rfo2 eybo2dy
farkettiği,fo1rfo2 eybo2dyko7y
farkettim,fo1rfo2 eybo2dm
fark,fo1rfo2
fark-ı,fo1rfo2u4
farkı,fo1rfo2y
farkım,fo1rfo2m
farkımız,fo1rfo2mro1
farkına,fo1rfo2bo1h
farkında,fo1rfo2bo1dh
farkındaki,fo1rfo2bo1dh||ky
farkından,fo1rfo2bo1dbo1
farkın,fo1rfo2ko3
farkını,fo1rfo2bo1y
farkının,fo1rfo2bo1ko3
farkı yok,fo1rfo2y bu2wfo2
farkı yok,fo1rfo2y ywfo2
farkla,fo1rfo2lh
farklar,fo1rfo2lr
farklarıdır,fo1rfo2lrydr
farkları,fo1rfo2lry
farklarına,fo1rfo2lrybo1h
farklarını,fo1rfo2lrybo1y
farklarının,fo1rfo2lrybo1ko3
farklıca,fo1rfo2lyxu1h
farklıca,fo1rfo2lyxu1h||
farklıdır,fo1rfo2lydr
farklı,fo1rfo2ly
farksızdır,fo1rfo2sro1dr
farksız,fo1rfo2sro1
farksızlık,fo1rfo2sro1lfo2
farmason,fo1ermezwbo1
farmason,fo1rmezwbo1
farmasonlara,fo1ermezwbo1lrh
farmasonlar,fo1ermezwbo1lr
farmasonluğu,fo1ermezwbo1lao1y
farmasonluk,fo1rmezwbo1lfo2
farsça,fo1ersxu1h
fars,fo1ers
fart,fo1rt
fart-ı,fo1rtu4
fart-i iffet,fo1rt afo1bo2
faruk,fo1erwfo2
farukî'den,fo1erwfo2ydbo1
farukîdir,fo1erwfo2ydr
farukî,fo1erwfo2y
farukî'nin,fo1erwfo2ybo1ko3
faruk-u,fo1erwfo2u4
faruk'un,fo1erwfo2ko3
farza,fo1rzo1e
farzâ,fo1rzo1e
farza,fo1rzo1h
farzda,fo1rzo1dh
farzdan,fo1rzo1dbo1
farzdır,fo1rzo1dr
farzedeceğiz,fo1rzo1 eydh||xu1ko7ro1
farzedelim,fo1rzo1 eydh||lm
farzederek,fo1rzo1 eydh||rk
farzeder,fo1rzo1 eydr
farzedersek,fo1rzo1 eydrsh||k
farzedildiği,fo1rzo1 eydyldyko7y
