Ubeyde,abu1ydh
Ulubay,ewlwbu1ey
Ulubek,ewlwbu1k
Uluberk,ewlwbu1rk
Ulubey,ewlwbu1ko7
Uluborlu,ewlwbu1wrlw
Uluca,ewlwxu1h
Uluçağ,ewlwxu3eao1
Ulucak,ewlwxu1efo2
Uluçam,ewlwxu3em
Ulucan,ewlwxu1ebo1
Uluçay,ewlwxu3ey
Uluç,ewlwxu3
Uluçkan,ewlwxu3fo2ebo1
Uludağ,ewlwdeao1
Uludağ,ewlwteao1
Uludoğan,ewlwtwao1ebo1
Uluer,ewlweo5r
Uluerkan,ewlwerkebo1
Ulu,ewlw
Ulufer,ewlwfo1r
Uluğbay,ewlwao1bu1ey
Uluğbey,ewlwao1 bu1ko7
Uluğ,ewlwao1
Uluhan,ewlwxo1ebo1
Ulukaan,ewlwfo2eeo6bo1
Ulukan,ewlwfo2ebo1
Ulukaya,ewlwfo2eye
Ulukışla,ewlwfo2bu2so3lh
Ulukut,ewlwfo2wbo2
Uluman,ewlwmebo1
Ulumeriç,ewlwmryxu3
Ulum,ewlwm
Ulun,alwbo1
Ulunay,ewlwbo1ey
Ulun,ewlwbo1
Uluöz,ewlwewro1
Ulupınar,ewlwbu3yko3er
Uluşahin,ewlwso3ehbo1
Ulusal,ewlwsel
Ulusan,ewlwse
Ulusan,ewlwsebo1
Uluşan,ewlwso3ebo1
Ulusay,ewlwzey
Ulus,ewlws
Ulusoy,ewlezwy
Ulusoy,ewlwzwy
Ulusu,ewlwzw
Ulutan,ewlwbo2ebo1
Ulutaş,ewlwtso3
Ulutay,ewlwbo2ey
Ulutekin,ewlwbo2kybo1
Ulutürk,ewlwbo2wrk
Ulvi,alwy
Ulviye,alwyh
Ulya,alye
Umaç,ewmexu3
Uma,ewme
Uma,ewmh
Umak,ewmefo2
Uman,amebo1
Umar,ewmer
Umay,ewmey
Umdu,ewmdw
Umman,amebo1
Umnise,ewmbo1ysh
Umran,amrebo1
Umu,ewmw
Umural,ewmwreo6l
Umuralp,ewmwreo6lbu3
Umurbay,ewmwrbu1ey
Umurbey,ewmwrbu1ko7
Umur,ewmwr
Umut,ewmwbo2
Umutlu,ewmwbo2ly
Unakıtan,ewbo1 eo6fo2ybo2ebo1
Unan,ewbo1ebo1
Unat,abo1ebo2
Uncu,ewbo1xu1y
Ungan,ewbo1ao1ebo1
Ural,ewrel
Uralp,ewreo6lbu3
Uraltan,ewreo6lbo2ebo1
Uraltay,ewreo6lbo2ey
Uram,arem
Uran,arebo1
Uran,ewrebo1
Ur,ar
Uras,arez
Uras,ewres
Uray,ewrey
Uraza,arezo1h
Uraz,arezo1
Uraz,ewrero1
Urazlı,arezo1ly
Urbeyi,ewrbu1ko7y
Ur,ewr
Urfa,ewrfo1e
urfa,ewrfo1h||
Urgun,ewrao1wbo1
Urhan,ewrxo1ebo1
Urı,ewry
Urkan,ewrfo2ebo1
Urla,ewrlh
Urluk,ewrlwfo2
Ursavaş,ewrzweso3
Uruk,arwfo2
Uruk,ewrwfo2
Urun,arwbo1
Urundu,ewrwbo1dw
Urun,ewrwbo1
Urungu,ewrwbo1ao1w
Uruş,arwso3
Uruş,ewrwso3
Uruz,arwzo1
Us,abo3
Uşak,aso3efo2
Usak,ewsh fo2
Uşak,ewso3efo2
Uşaklı,aso3efo2ly
Usalan,ewselebo1
Usal,ewsel
Usal,ewzel
Usalp,ewseo6lbu3
Usbay,ewsbu1ey
Usberk,ewsbu1rk
Usbey,ewsbu1ko7
User,ewsr
Us,ews
Us,ewz
Ushan,ewzxo1ebo1
Uskan,ewzfo2ebo1
Usluer,ewslw eo5r
Uslu,ewzlw
Uslu,ewzly
Usman,abo3mebo1
Uşşaklı,aso3efo2ly
Usta,ewsbo2h
Ustaoğlu,ewsbo2h ewao1ly
Usuk,aswfo2
Usum,aswm
Usumi,aswmy
Usun,abo3wbo1
Usunbike,abo3wbo1 bu1ykh
Usunbike,ewsbo1 bu1ykh
Utarit,aterd
Utkan,ewbo2fo2ebo1
Utku,ewbo2fo2w
Utman,ewbo2mebo1
Uyanık,ewyebo1fo2
Uyaralp,ewyereo6lbu3
Uyarel,ewyereo5l
Uyarer,ewyer eo5r
Uyar,ewyer
Uybadın,ewybu1edybo1
Uygan,ewyao1ebo1
Uygar,ewyao1er
Uygu,ewyao1w
Uygunel,ewyao1wbo1 eo5l
Uyguner,ewyao1wbo1 eo5r
Uygun,ewyao1wbo1
Uyguralp,ewyao1wr eo6lbu3
Uygur,ewyao1wr
Uysal,ewysel
Uytun,ewybo2wbo1
Uzalp,aro1eo6lbu3
Uzan,ewro1ebo1
Uzay,ewro1ey
Uzbay,aro1bu1ey
Uzcan,aro1xu1ebo1
Uzel,aro1eo5l
Uzel,ewro1l
Uzer,aro1eo5r
Uzer,ewro1r
Uz,ewro1
Uzgören,ewro1ko7wrbo1
Uzhan,ewro1xo1ebo1
Uzkan,ewro1fo2ebo1
Uzman,aro1mebo1
Uzmay,ewro1mey
Uzmen,ewro1mbo1
Uzsan,ewro1sebo1
Uzsoy,ewro1zwy
Uztan,ewro1bo2ebo1
Uztaş,ewro1tso3
Uztav,ewro1bo2ew
Uztay,ewro1bo2ey
Uztekin,ewro1bo2kybo1
Uztürk,ewro1 bo2wrk
Uzunçarşılı,ewro1wbo1 xu3erso3wly
Uzuner,ewro1wbo1r
Uzun,ewro1wbo1
Uzunhasan,ewro1wbo1 xsbo1
Uzunırmak,ewro1wbo1 eyrmefo2
Uzunkaya,ewro1wbo1fo2eye
Uzunköprü,ewro1wbo1||kwbu3ry
Uzunlar,ewro1wbo1lr
Uzunoğlu,ewro1wbo1 ewao1ly
