Maarif,maerfo1
Memun,meo5mwbo1
Menaf,mbo1efo1
Mencik,mbo1xu1k
Menderes,mbo1drs
Menekşe,mbo1kso3h
Menemencioğlu,mbo1h mbo1xu1y ewao1ly
Menevşe,mbo1wso3h
Mengilibörü,mbo1ko7yly bu1wrw
Mengi,mbo1ko7y
Mengli,mbo1ko7ly
Mengüalp,mbo1ko7w eo6lbu3
Mengübay,mbo1ko7wbu1ey
Mengüberti,mbo1ko7wbu1rdy
Mengücek,mbo1ko7wxu1k
Mengüç,mbo1ko7wxu3
Mengüer,mbo1ko7w eo5r
Mengü,mbo1ko7w
Mengûş,mbo1ko7wso3
Mengütaş,mbo1ko7wtso3
Mengütay,mbo1ko7wbo2ey
Mengütekin,mbo1ko7wbo2kybo1
Mennan,mbo1ebo1
Mensup,mbo1swbu1
Menşure,mbo1so3wrh
Mensure,mbo1zwrh
Mensur,mbo1bo3wr
Menşur,mbo1so3wr
Menteşe,mbo1bo2so3h
Menteşeoğlu,mbo1bo2so3h ewao1ly
Menteş,mbo1bo2so3
Menteşoğlu,mbo1bo2so3 ewao1ly
Menzir,mbo1ro1yr
Menzure,mbo1ro1wrh
Menzur,mbo1do1wr
MerAl,mrel
Meram,mrem
Mercan,mrxu1ebo1
Mercimekoğlu,mrxu1mk ewao1ly
Merdan,mrdebo1
Merdanoğlu,mrdebo1 ewao1ly
Merdi,mrdy
Mergen,mrko7bo1
Mergube,mrao1wbu1h
Mergup,mrao1wbu1
Meriç,mryxu1
Meriç,mryxu3
Merih,mryxo1
Mersinli,mrsybo1ly
Mersin,mrsybo1
Mertel,mrbo2l
Merter,mrbo2r
Mertkal,mrdfo2el
Mertkan,mrdfo2ebo1
Mertkol,mrdfo2wl
Mert,mrd
Mertol,mrbo2wl
Merttürk,mrdbo2rk
Merve,mrwh
Meryemana,mrbu2m eo6bo1e
Meryem,mrbu2m
Meryem,mrym
Merzifon,mrro1bu2fo1wbo1
Merziye,mrro1yh
Merzuka,mrro1fo2h
Merzuk,mrro1wfo2
Mesadet,msedbo2
Meşahir,mso3ehr
Meşale,mso3alh
Mescur,msxu1wr
Meserret,msrbo2
Meşhur,mso3hwr
meşihat,mso3yxo1bo2
Mesih,msbu2x
Mesih,msyx
Meşkûre,mso3kwrh
Meşkûr,mso3kwr
Meşru,mso3rwa
Mesrure,mbo3rwrh
Mesrur,msrwr
Mestan,msbo2ebo1
Mestinaz,msbo2 bo1ero1
Mesture,msbo2wrh
Mestur,msbo2wr
Mesude,msawdh
Mes’ûdiye,msawdbu2h
mes'ud,msawd
Mesure,mswrh
Mesut,msawd
Metehan,mbo2h xo1ebo1
Mete,mbo2h
Methiye,mdxyh
Metine,mbo2ybo1h
Metiner,mbo2ybo1 eo5r
Metiner,mbo2ybo1r
Metinkaya,mbo2ybo1 fo1eye
Metin,mbo2ybo1
Met,mbo2
Meva,mwe
Mevcude,mwxu1wdh
Mevcut,mwxu1wd
Mevdut,mwdwbo2
Mevhibe,mwhbu1h
Mevlâ,mwle
mevlâna,mwlebo1e
Mevlâna,mwlebo1h
Mevlide,mwldh
Mevlit,mwld
Mevlüde,mwldh
Mevlûde,mwlwdh
Mevlût,mwlwd
Mevsim,mwsym
Mevzune,mwro1wbo1h
Mevzun,mwro1wbo1
Meyil,myl
Meymune,mymwbo1h
Meymun,mymwbo1
Meyransa,myrebo1se
MeyyAl,myel
Mezarcı,mro1erxu1y
Mezide,mro1ydh
Mezit,mro1yd
Meziyet,mro1ybo2
Mezun,meo5do1wbo1
Midhat,mdxbo2
Midilli,mdlly
Midyat,mdbu2ebo2
Mihalıççık,mbu2xo1elxu3xu3fo2
Mıhcıoğlu,myxo1xu1y ewao1ly
Mıhçıoğlu,myxo1xu1y ewao1ly
Mihine,mhybo1h
Mihin,mhybo1
Mihman,mhmebo1
Mihriban,mhrbu1ebo1
Mihrican,mhrxu1ebo1
Mihrimah,mhrmeh
Mihri,mhry
Mihrinaz,mhrbo1ero1
Mihrinisa,mhrbo1se
Mihrinur,mhrbo1wr
Mihrişah,mhrso3eh
Mihriye,mhryh
Mikâil,mykebo5l
Milâs,mbu2les
milas,myles
Milli,mly
Mimaroğlu,mamer ewao1ly
Mimoza,mymwro1h
Mina,mbo1e
Mina,mybo1y
Mine,mybo1h
Minnet,mbo1bo2
Miraç,marexu3
Miranmir,myrebo1myr
Miran,myrebo1
Miras,myrebo3
Mirat,mreo5ho2
Mirat,myrebo2
Miray,myrey
Mircan,myrxu1ebo1
Mirhan,myrxo1ebo1
Mirkelam,myrklem
Mirkelâm,myrklem
Mirkelamoğlu,myrklem ewao1ly
Mir,myr
Mirnur,myrbo1wr
Mirrih,mryx
Mirza,myrro1e
Mirzaoğlu,myrro1e ewao1ly
Mirzat,mrzed
Mirzat,myrro1ebo2
Misal,mbo3el
Mısırlı,mzrly
mısır,mzr
Mısır,mzr
Miski,msky
Miskoye,mysfo2wyh
Misli,mbo3ly
Mısra,mzrea
Mıstıkoğlu,mxtfo2 ewao1ly
Mithat,mdxbo2
Miyase,myesh
Mızrak,mro1refo2
Mocan,mwxo1ebo1
Mocan,mwxu1ebo1
Moğolistan,mao1wlsbo2ebo1
Moğol,mao1wl
Moğultay,mwao1wlbo2ey
Möhördaroğlu,mhrder ewao1ly
Möhördaroğlu,mwhwrder ewao1ly
Molaoğlu,mwle ewao1ly
Mollaoğlu,mle ewao1ly
Molu,mwlw
Mora,mwrh
Moran,mwrebo1
Moran,mwrh bo1
Moray,mwrey
Morgil,mwrko7yl
Morgül,mwrko7l
Morkaya,mwrfo2eye
Moroğlu,mwr ewao1ly
Morova,mwr ewwh
Moshos,mwzxo1wz
Moshos,mwzxwz
Muadelet,maedlbo2
Muallâ,male
Muallim,malm
Muammer,mamr
Muarra,mare
Muattar,matr
muaz,maedo1
Muazzam,mato1m
Muazzez,maro1ro1
Mübahat,mbu1ehebo2
Mubahat,mbu1exebo2
Mübareke,mbu1erkh
Mübarek,mbu1erk
Mübeccel,mbu1xu1l
Müberra,mbu1re
Mübeyyen,mbu1ybo1
Mübine,mbu1ybo1h
Mübin,mbu1ybo1
Mücahit,mxu1ehd
Mücahittin,mxu1eh eldybo1
Mücap,mxu1ebu1
Müceddet,mxu1dbo2
Mücellâ,mxu1le
Mücessem,mxu1sm
Mücevher,mxu1whr
Mucide,mwxu1dh
Mucip,mwxu1bu1
Mucit,mwxu1d
Mucize,mxu1yro1h
Müçteba,mxu1bo2bu1e
Mucur,mwxu1wr
Mudanya,mdebo1bu2h
Müderris,mdrs
Müderrisoğlu,mdrs ewao1ly
Müdrike,mdrkh
Müdrik,mdrk
Mudurnu,mdrbo1y
Müeddep,mwdbu1
Müesser,mbo5bo3r
Müeyyet,mwyd
Müezzinoğlu,mwdo1bo1 ewao1ly
Müferrih,mfo1rh
Müferrih,mfo1rx
Müfide,mfo1ydh
Müfit,mfo1yd
Müftügil,mfo1bo2yko7yl
Müftüler,mfo1bo2ylr
Müftü,mfo1bo2y
Müftüoğlu,mfo1bo2y ewao1ly
Muğdat,mwao1ded
Müge,mwko7h
Muğisuddin,mwao1ybo3 eldybo1
Muğla,mao1lh
Muhabbet,mxbu1bo2
Muhacir,mhexu1r
Muhaddere,mxo1drh
muhakemat,mxekmebo2
Muhammedî,mxmdy
Muhammed,mxmd
Muhammet,mxmd
Muhar,mxr
Muharrem,mxrm
Müheyya,mhye
Muhibbe,mxbu1h
Muhibbi,mxbu1y
Mühibe,mhybu1h
Muhiddin,mxy eldybo1
Mühip,mhybu1
Muhip,mxbu1
Muhittin,mxy eldybo1
Muhlise,mxo1lsh
Muhlis,mxo1ls
Muhlis,mxo1lz
Muhsine,mxsbo1h
Muhsin,mxsbo1
Muhtar,mxo1bo2er
Muhterem,mxbo2rm
Muhteşem,mxbo2so3m
Mühto,mhbo2w
Mühürdar,mhrder
Muhyi,mxyy
Muine,maybo1h
Muin,maybo1
Müjdat,mro3ded
Müjde,mro3dh
Müjgân,mro3ko7ebo1
Mukaddem,mfo2dm
Mukadder,mfo2dr
Mukaddes,mfo2ds
Mükâfat,mkefo1ebo2
Mukbile,mfo2bu1lh
Mukbil,mfo2bu1l
Mukerrem,mkrm
Mükerrem,mkrm
Mükevven,mkwbo1
Mukime,mfo2ymh
Mukim,mfo2ym
Mükremin,mkrmbo1
Mükrime,mkrmh
Mükrimin,mkrmbo1
Mükrim,mkrm
Muktedir,mfo2bo2dr
Mülâyim,mleym
Mülâzım,mlero1m
Müldür,mldr
Mülhime,mlhmh
Mülhim,mlhm
Mülket,mlkbo2
Mumcu,mwmxu1y
Mumcuoğlu,mwmxu1y ewao1ly
Mümine,mwmbo1h
Müminhan,mwmbo1xo1ebo1
Mümin,mwmbo1
Mümtaze,mmbo2ero1
Mümtaz,mmbo2ero1
münacat,mbo1exu1ebo2
Munar,mwbo1er
Münasip,mbo1esbu1
Münci,mbo1xu1y
Münciye,mbo1xu1yh
Münevver,mbo1wr
Mungan,mbo1ao1ebo1
Mungan,mwbo1ao1ebo1
Münibe,mbo1ybu1h
Münife,mbo1yfo1h
Münif,mbo1yfo1
Münime,mbo1ymh
Münim,mbo1ym
Münip,mbo1ybu1
Münire,mbo1yrh
Münir,mbo1yr
Munise,mwbo1sh
Munis,mwbo1s
Münteha,mbo1bo2he
Murâdiye,mredbu2h
Murathan,mredxo1ebo1
Murat,mred
Muren,mwrbo1
Müren,mwrbo1
Müride,mrydh
Mürit,mryd
Mursaloğlu,mwrsh ewao1ly
Mürsel,mrsl
Mürşide,mrso3ydh
Mürşit,mrso3d
Murtaza,mrbo2zo1y
Mürüvvet,mrwbo2
Musaddık,mzdfo2
Musafat,mzefo1ebo2
Musaffa,mzfo1e
Müşahit,mso3ehd
Musa,mwsy
Musaoğlu,mwse ewao1ly
Müsemma,msme
Müşerref,mso3rfo1
Müsevver,mswr
Müşfika,mso3fo1fo2h
Müşfik,mso3fo1fo2
Müşir,mso3ar
Muşkara,mwso3fo2rh
Muşkara,mwso3kerh
Müşküle,mso3klh
Muslihe,mzlxh
Muslihiddin,mzlx eldybo1
Muslih,mzlx
Müslime,mslmh
Müslim,mslm
müslüman,mslmebo1
Müslüme,mslmh
Müslüm,mslm
Muş,mwso3
Mustafa,mztfo1e
Mustafa,mztfo1y
Mustafaoğlu,mztfo1e ewao1ly
Müstakime,msbo2fo2ym
Müstakim,msbo2fo2ym
Müştak,mso3bo2efo2
Müşteba,mso3bo2bu1e
Müsteçaplıoğlu,msbo2xu1ebu1ly ewao1ly
Müstecap,msbo2xu1ebu1
Müştehir,mso3bo2hr
Müstenire,msbo2bo1yrh
Müstenir,msbo2bo1yr
Müstesna,msbo2bo3bo1y
Muştubey,mwso3bo2w bu1ko7
Muştu,mwso3bo2w
Musuloğlu,mwzl ewao1ly
Mutâbık,mtebu1fo2
Mutahhar,mthr
Mutarra,mtry
Mutasım,mabo2zm
Muteber,mabo2bu1r
Mutena,mabo2bo1y
Mutia,mtyah
Muti,maty
Mutki,mwtky
Mutlualp,mwbo2lw eo6lbu3
Mutluay,mwbo2lweo6y
Mutlubay,mwbo2lw bu1ey
Mutluer,mwbo2lweo5r
Mutlugil,mwbo2lw ko7yl
Mutluğ,mwbo2lwao1
Mutlugün,mwbo2lwkwbo1
Mutluhan,mwbo2lwxo1ebo1
Mutlukan,mwbo2lwfo2ebo1
Mutlukhan,mwbo2lwfo2xo1ebo1
Mutluk,mwbo2lwfo2
Mutlu,mwbo2lw
Mutlutekin,mwbo2lwbo2kybo1
Mutman,mwtmebo1
Mut,mbo2
Mut,mwt
Mutuk,mwtwfo2
Mutver,mbo2wr
Muvaffak,mwfo1fo2
Muvahhide,mwxdh
Muvahhit,mwxd
Muvakkar,mwfo2r
Müveddet,mwdbo2
Müyesser,mysr
Muzaffar,mto1fo1r
Muzaffer,mto1fo1r
Müzahir,mto1ehr
Müzdat,mro1ded
Müzehher,mro1hr
Müzekker,mdo1kr
Müzeyyen,mro1ybo1
