Rabbani,rebu1ebo1y
Refhan,rfo1hebo1
Refia,rfo1yah
Refiğ,rfo1yao1
Refihe,rfo1yhh
Refih,rfo1yh
Refii,rfo1yay
Refika,rfo1yfo2h
Refik,rfo1yfo2
Refi,rfo1y
Refi,rfo1ya
Refiye,rfo1yh
Reftar,rfo1bo2er
Regaip,rao1ebo5bu1
Reha,rhe
Reha,rxo1e
Rehayeddin,rhey eldybo1
Rehber,rhbu1r
reisicumhur,ryo5ysu4||xu1mhwr
Reis,rbo5ys
Rekine,rkybo1h
Rekin,rkybo1
Remide,rmydh
Remzi,rmro1y
Remziye,rmro1yh
Renan,rbo1ebo1
Renda,rbo1dh
Renginar,rbo1ko7 bo1er
Rengin,rbo1ko7ybo1
Reşâdiye,rso3edbu2h
reşad,rso3ed
Resai,rsebo5y
Resane,rsebo1h
Reşa,rso3h
Reşat,rso3ed
Reset,rsbo2
Reşide,rso3ydh
Reside,rsydh
Reşididdin,rso3ydeldybo1
Reşid,rso3yd
Reşik,rso3yfo2
Reşit,rso3yd
Resmigül,rsm ko7l
Resmî,rsmy
Resmiye,rsmyh
Resmor,rsmwr
Re’sülayn,reo5selabu2bo1
Resulhan,rswlxo1ebo1
Resul,rswl
resulullah,rswl ello8o99h
Revan,rwebo1
Reviş,rwyso3
Revza,rwzo1h
Reyhan,ryxo1ebo1
Rey,ry
Reyyan,ryebo1
Reyya,rye
Rezan,rro1ebo1
Rezin,rro1ybo1
Rezzak,rro1efo2
Rezzan,rro1ebo1
Rical,rxu1el
rıdvan,rzo1webo1
Rıdvan,rzo1webo1
Rifat,rfo1abo2
Rıfat,rfo1abo2
Rıfkı,rfo1fo2y
Rıfkıye,rfo1fo2yyh
Rikap,rfo2ebu1
Rikap,rkebu1
Rikkat,rfo2bo2
Rindan,rbo1debo1
Risalet,rselbo2
Risalettin,rsel eldybo1
risâlet-ün-nur,rselho2 elbo1wr
Rıza,rzo1e
Rıza,rzo1y
Rize,rbu2ro1h
Rize,ryro1h
Rızkullah,rro1fo2 ellh
Rızvan,rzo1webo1
Romalı,rwmely
Romanyalı,rwmebo1bu2ely
Romanya,rwmebo1bu2e
Roma,rwme
Rona,rwbo1h
Rönesans,rwbo1h||sebo1s
Ruat,rwed
Rüçhan,rxu1xo1ebo1
Ruhani,rwxebo1y
Ruhan,rwxebo1
Ruhcan,rwxxu1ebo1
Ruhfeza,rwxfo1zo1e
Ruhinur,rwx bo1wr
Ruhi,rwxy
Ruhişen,rwx so3bo1
Ruhittin,rwx eldybo1
Ruhiye,rwxyh
Ruhsal,rwxsel
Ruhşan,rwxso3ebo1
Ruhsare,rwxserh
Ruhsar,rxo1ser
Ruhsat,rxo1zbo2
Ruhsen,rxsbo1
Ruhşen,rxso3bo1
Ruhugül,rwxw ko7l
Ruhullah,rwx ellh
Ruhunur,rwxwbo1wr
Rukiye,rfo2yh
Rüknettin,rkbo1 eldybo1
Rükni,rkbo1y
Rüknü,rkbo1w
Rüksan,rksebo1
Rümeysa,rmyze
rum,rwm
Rum,rwm
Runyun,rwbo1ywbo1
Ruşen,rwso3bo1
rus,rws
Rus,rws
Rüstem,rsbo2m
Rüştiye,rso3dyh
Rüştü,rso3bo2y
Rüsuhi,rswxo1y
Rusyalı,rwsbu2h||ly
rusya,rwsyh||
Rüveyda,rwyde
Rüveyde,rwydh
Rüveyha,rwyxh
Rüvide,rwydh
Rüya,rwye
Rüzgâr,rwro1ko7er
Ruziye,rwro1yh
