
ç,xu3,چ
çalmaktır,xu3elmfo2dr,چالمقدر
çalmalıyız,xu3elmely||yro1,چالمالی‌یز
çalmamak,xu3elmh||mfo2,چالمه‌مق
çalması,xu3elmesy,چالماسی
çalmasın,xu3elmesybo1,چالماسین
çalmasına,xu3elmesbo1h,چالماسنه
çalmayacağız,xu3elmyh||xu1ao1ro1,چالمیه‌جغز
çalmazsa,xu3elmero1sh,چالمازسه
çalmağa,xu3elmao1h,چالمغه
çalmış,xu3elmso3,چالمش
çalmışlar,xu3elmso3lr,چالمشلر
çalpare,xu3erbu3erh||,چارپاره‌
çalsa,xu3elsh,چالسه
çalsanız,xu3elsh||ko3ro1,چالسه‌ڭز
çalyaka,xu3el<>yefo2e,چال‌یاقا
çalyaka,xu3el||yefo2e,چال‌یاقا
çalçene,xu3el<>xu3lo5o3h||,چال‌چكه‌
çalçene,xu3el||xu3ko3h,چال‌چڭه
çalı,xu3ely,چالی
çalıfasülyesi,xu3ely fo1ezwlyh<>sy,چالی فاصولیه‌سی
çalıfasülyesi,xu3ely fo1ezwlyh||sy,چالی فاصولیه‌سی
çalık,xu3elfo2,چالق
çalık,xu3elyfo2,چالیق
çalıkavak,xu3ely fo2ewefo2,چالی قاواق
çalıkuşu,xu3ely fo2wso3y,چالی قوشی
çalılık,xu3elylfo2,چالیلق
çalım,xu3elym,چالیم
çalımlı,xu3elymly,چالیملی
çalın,xu3elybo1,چالین
çalınmadım,xu3elybo1medm,چالینمادم
çalınmak,xu3elbo1mfo2,چالنمق
çalınmak,xu3elybo1mfo2,چالینمق
çalınsa,xu3elybo1sh,چالینسه
çalınır,xu3elybo1yr,چالینیر
çalıp,xu3elwbu1,چالوب
çalıyor,xu3elyywr,چالییور
çalıyordum,xu3elyywrdm,چالییوردم
çalıyorum,xu3elyywrm,چالییورم
çalıçırpı,xu3ely<>xu3yrbu3y,چالی‌چیرپی
çalıçırpı,xu3ely||xu3yrbu3y,چالی‌چیرپی
çalış,xu3elso3,چالش
çalış,xu3elyso3,چالیش
çalışa çalışa toplamak,xu3elso3h xu3elso3h twbu3lemfo2,چالشه چالشه طوپلامق
çalışabildiği,xu3elyso3h||bu1yldyko7y,چالیشه‌بیلدیگی
çalışabildiğim,xu3elyso3h||bu1yldyko7m,چالیشه‌بیلدیگم
çalışabilen,xu3elyso3h||bu1ylbo1,چالیشه‌بیلن
çalışabilir,xu3elyso3h||bu1ylyr,چالیشه‌بیلیر
çalışabiliriz,xu3elyso3h||bu1ylyrro1,چالیشه‌بیلیرز
çalışabilirler,xu3elyso3h||bu1ylyrlr,چالیشه‌بیلیرلر
çalışabilirsin,xu3elyso3h||bu1ylyrsko3,چالیشه‌بیلیرسڭ
çalışacak,xu3elyso3h||xu1fo2,چالیشه‌جق
çalışacaklar,xu3elyso3h||xu1fo2lr,چالیشه‌جقلر
çalışacaklardır,xu3elyso3h||xu1fo2lrdr,چالیشه‌جقلردر
çalışacaklarını,xu3elyso3h||xu1fo2lrybo1y,چالیشه‌جقلرینی
çalışacaksınız,xu3elyso3h||xu1fo2sko3ro1,چالیشه‌جقسڭز
çalışacaktı,xu3elyso3h||xu1fo2dy,چالیشه‌جقدی
çalışacaktım,xu3elyso3h||xu1fo2dm,چالیشه‌جقدم
çalışacaktır,xu3elyso3h||xu1fo2dr,چالیشه‌جقدر
çalışacağı,xu3elyso3h||xu1ao1y,چالیشه‌جغی
çalışacağım,xu3elyso3h||xu1ao1m,چالیشه‌جغم
çalışacağımız,xu3elyso3h||xu1ao1mro1,چالیشه‌جغمز
çalışacağımıza,xu3elyso3h||xu1ao1mro1h,چالیشه‌جغمزه
çalışacağına,xu3elyso3h||xu1ao1bo1h,چالیشه‌جغنه
çalışacağını,xu3elyso3h||xu1ao1bo1y,چالیشه‌جغنی
çalışacağınızdan,xu3elyso3h||xu1ao1ko3ro1dbo1,چالیشه‌جغڭزدن
çalışacağız,xu3elyso3h||xu1ao1ro1,چالیشه‌جغز
çalışalım,xu3elyso3h||lm,چالیشه‌لم
çalışamadım,xu3elyso3h||mdm,چالیشه‌مدم
çalışamadığıma,xu3elyso3h||mdyao1mh,چالیشه‌مدیغمه
çalışamadığımdan,xu3elyso3h||mdyao1mdbo1,چالیشه‌مدیغمدن
çalışamadığının,xu3elyso3h||mdyao1bo1ko3,چالیشه‌مدیغنڭ
çalışamaz,xu3elyso3h||mero1,چالیشه‌ماز
çalışamaz,xu3elyso3h||mro1,چالیشه‌مز
çalışamıyacağım,xu3elyso3h||myh||xu1ao1m,چالیشه‌میه‌جغم
çalışamıyor,xu3elyso3h||myywr,چالیشه‌مییور
çalışan,xu3elyso3ebo1,چالیشان
çalışanadır,xu3elyso3ebo1h||dr,چالیشانه‌در
çalışanda,xu3elyso3ebo1dh,چالیشانده
çalışanlar,xu3elyso3ebo1lr,چالیشانلر
çalışanlara,xu3elyso3ebo1lrh,چالیشانلره
çalışanlardan,xu3elyso3ebo1lrdbo1,چالیشانلردن
çalışanlardanım,xu3elyso3ebo1lrdh||bo1m,چالیشانلرده‌نم
çalışanlardır,xu3elyso3ebo1lrdr,چالیشانلردر
çalışanlarla,xu3elyso3ebo1lrlh,چالیشانلرله
çalışanları,xu3elyso3ebo1lry,چالیشانلری
çalışanların,xu3elyso3ebo1lrko3,چالیشانلرڭ
çalışanı,xu3elyso3ebo1y,چالیشانی
çalışarak,xu3elyso3h||rfo2,چالیشه‌رق
çalışayım,xu3elyso3h||ym,چالیشه‌یم
çalışdığımı,xu3elyso3dyao1my,چالیشدیغمی
çalışkan,xu3elso3fo2ebo1,چالشقان
çalışkan,xu3elyso3fo2ebo1,چالیشقان
çalışkan,xu3lso3fo2ebo1,چلشقان
çalışkandır,xu3elyso3fo2ebo1dr,چالیشقاندر
çalışkanlar,xu3elyso3fo2ebo1lr,چالیشقانلر
çalışkanlardan,xu3elyso3fo2ebo1lrdbo1,چالیشقانلردن
çalışkanlarla,xu3elyso3fo2ebo1lrlh,چالیشقانلرله
çalışkanları,xu3elyso3fo2ebo1lry,چالیشقانلری
çalışkanların,xu3elyso3fo2ebo1lrko3,چالیشقانلرڭ
çalışkanlarına,xu3elyso3fo2ebo1lrybo1h,چالیشقانلرینه
çalışkanlarından,xu3elyso3fo2ebo1lrbo1dbo1,چالیشقانلرندن
çalışkanlık,xu3elso3fo2ebo1lfo2,چالشقانلق
çalışkanlık,xu3elyso3fo2ebo1lfo2,چالیشقانلق
çalışkanı,xu3elyso3fo2ebo1y,چالیشقانی
çalışkanın,xu3elyso3fo2ebo1ko3,چالیشقانڭ
çalışma,xu3elyso3mh,چالیشمه
çalışma,xu3elyso3mh||,چالیشمه‌
çalışmada,xu3elyso3mh||dh,چالیشمه‌ده
çalışmadan,xu3elyso3mh||dbo1,چالیشمه‌دن
çalışmadım,xu3elyso3mdm,چالیشمدم
çalışmadığı,xu3elyso3mdyao1y,چالیشمدیغی
çalışmadığım,xu3elyso3mdyao1m,چالیشمدیغم
çalışmadığımdan,xu3elyso3mdyao1mdbo1,چالیشمدیغمدن
çalışmadığın,xu3elyso3mdyao1ko3,چالیشمدیغڭ
çalışmak,xu3elso3mfo2,چالشمق
çalışmak,xu3elyso3mfo2,چالیشمق
çalışmakla,xu3elyso3mfo2lh,چالیشمقله
çalışmakta,xu3elyso3mfo2dh,چالیشمقده
çalışmaktadır,xu3elyso3mfo2dh||dr,چالیشمقده‌در
çalışmaktadırlar,xu3elyso3mfo2dh||drlr,چالیشمقده‌درلر
çalışmaktan,xu3elyso3mfo2dbo1,چالیشمقدن
çalışmaktır,xu3elyso3mfo2dr,چالیشمقدر
çalışmalar,xu3elyso3mh||lr,چالیشمه‌لر
çalışmaları,xu3elyso3mh||lry,چالیشمه‌لری
çalışmalarıdır,xu3elyso3melrydr,چالیشمالریدر
çalışmalarımızı,xu3elyso3melrymro1y,چالیشمالریمزی
çalışmaların,xu3elyso3melrko3,چالیشمالرڭ
çalışmalarına,xu3elyso3melrybo1h,چالیشمالرینه
çalışmalarını,xu3elyso3melrybo1y,چالیشمالرینی
çalışmalarının,xu3elyso3melrybo1ko3,چالیشمالرینڭ
çalışmalarınız,xu3elso3melryko3ro1,چالشمالریڭز
çalışmalarınızla,xu3elyso3melryko3ro1lh,چالیشمالریڭزله
çalışmalı,xu3elyso3mely,چالیشمالی
çalışmalıdır,xu3elyso3melydr,چالیشمالیدر
çalışmalıyız,xu3elyso3mly||yro1,چالیشملی‌یز
çalışmam,xu3elyso3mem,چالیشمام
çalışmamak,xu3elyso3memfo2,چالیشمامق
çalışmamakla,xu3elyso3memfo2lh,چالیشمامقله
çalışmamalı,xu3elyso3memly,چالیشماملی
çalışmamanız,xu3elyso3memko3ro1,چالیشمامڭز
çalışmamı,xu3elyso3memy,چالیشمامی
çalışmamız,xu3elyso3memro1,چالیشمامز
çalışmamıza,xu3elyso3memro1h,چالیشمامزه
çalışmanın,xu3elyso3mebo1ko3,چالیشمانڭ
çalışmanız,xu3elyso3meko3ro1,چالیشماڭز
çalışmanıza,xu3elyso3meko3ro1h,چالیشماڭزه
çalışmanızdan,xu3elyso3meko3ro1dbo1,چالیشماڭزدن
çalışmanızı,xu3elyso3meko3ro1y,چالیشماڭزی
çalışmasalar,xu3elyso3mesh||lr,چالیشماسه‌لر
çalışması,xu3elyso3mesy,چالیشماسی
çalışmasıdır,xu3elyso3mesydr,چالیشماسیدر
çalışmasına,xu3elyso3mesbo1h,چالیشماسنه
çalışmasından,xu3elyso3mesbo1dbo1,چالیشماسندن
çalışmasını,xu3elyso3mesbo1y,چالیشماسنی
çalışmasının,xu3elyso3mesbo1ko3,چالیشماسنڭ
çalışmasıyla,xu3elyso3mesylh,چالیشماسیله
çalışmaya,xu3elyso3mao1h,چالیشمغه
çalışmayacaktı,xu3elyso3myh||xu1fo2dy,چالیشمیه‌جقدی
çalışmayalım,xu3elyso3myh||lm,چالیشمیه‌لم
çalışmayan,xu3elyso3myebo1,چالیشمیان
çalışmayı,xu3elyso3meyy,چالیشمایی
çalışmayınız,xu3elyso3meyko3ro1,چالیشمایڭز
çalışmayıp,xu3elyso3meywbu1,چالیشمایوب
çalışmaz,xu3elyso3mero1,چالیشماز
çalışmazsa,xu3elyso3mero1sh,چالیشمازسه
çalışmazsam,xu3elyso3mero1sh||m,چالیشمازسه‌م
çalışmazsan,xu3elyso3mero1sh||ko3,چالیشمازسه‌ڭ
çalışmazsanız,xu3elyso3mero1sh||ko3ro1,چالیشمازسه‌ڭز
çalışmağa,xu3elyso3mao1h,چالیشمغه
çalışmıyor,xu3elyso3myywr,چالیشمییور
çalışmıyorsun,xu3elyso3myywrsko3,چالیشمییورسڭ
çalışmıyorum,xu3elyso3myywrm,چالیشمییورم
çalışmış,xu3elyso3mso3,چالیشمش
çalışmışlar,xu3elyso3mso3lr,چالیشمشلر
çalışmışlara,xu3elyso3mso3lrh,چالیشمشلره
çalışmışlardı,xu3elyso3mso3lrdy,چالیشمشلردی
çalışmışlardır,xu3elyso3mso3lrdr,چالیشمشلردر
çalışmıştım,xu3elyso3mso3dm,چالیشمشدم
çalışmıştır,xu3elyso3mso3dr,چالیشمشدر
çalışmışım,xu3elyso3mso3m,چالیشمشم
çalışmışız,xu3elyso3mso3ro1,چالیشمشز
çalışsa,xu3elyso3sh,چالیشسه
çalışsak,xu3elyso3sh||fo2,چالیشسه‌ق
çalışsalar,xu3elyso3sh||lr,چالیشسه‌لر
çalışsan,xu3elyso3sh||ko3,چالیشسه‌ڭ
çalışsanız,xu3elyso3sh||ko3ro1,چالیشسه‌ڭز
çalışsın,xu3elyso3sybo1,چالیشسین
çalışsınlar,xu3elyso3sybo1lr,چالیشسینلر
çalıştı,xu3elyso3dy,چالیشدی
çalıştık,xu3elyso3dfo2,چالیشدق
çalıştıkları,xu3elyso3dfo2lry,چالیشدقلری
çalıştıklarına,xu3elyso3dfo2lrybo1h,چالیشدقلرینه
çalıştıklarından,xu3elyso3dfo2lrbo1dbo1,چالیشدقلرندن
çalıştıklarını,xu3elyso3dfo2lrybo1y,چالیشدقلرینی
çalıştıksa,xu3elyso3dfo2sh,چالیشدقسه
çalıştıkça,xu3elyso3dfo2xu1h,چالیشدقجه
çalıştılar,xu3elyso3dylr,چالیشدیلر
çalıştım,xu3elyso3dm,چالیشدم
çalıştınız,xu3elyso3dyko3ro1,چالیشدیڭز
çalıştır,xu3elyso3dyr,چالیشدیر
çalıştıracak,xu3elyso3dyrh||xu1fo2,چالیشدیره‌جق
çalıştıracağız,xu3elyso3dyrh||xu1ao1ro1,چالیشدیره‌جغز
çalıştıramazlar,xu3elyso3dyremero1lr,چالیشدیرامازلر
çalıştıran,xu3elyso3dyrebo1,چالیشدیران
çalıştırana,xu3elyso3dyrebo1h,چالیشدیرانه
çalıştırdı,xu3elyso3dyrdy,چالیشدیردی
çalıştırdılar,xu3elyso3dyrdylr,چالیشدیردیلر
çalıştırdığı,xu3elyso3dyrdyao1y,چالیشدیردیغی
çalıştırmak,xu3elso3drmfo2,چالشدرمق
çalıştırmak,xu3elyso3dyrmfo2,چالیشدیرمق
çalıştırmaları,xu3elyso3dyrmelry,چالیشدیرمالری
çalıştırmalarında,xu3elyso3dyrmelrbo1dh,چالیشدیرمالرنده
çalıştırmasıdır,xu3elyso3dyrmsydr,چالیشدیرمسیدر
çalıştırmasına,xu3elyso3dyrmesbo1h,چالیشدیرماسنه
çalıştırmasıyla,xu3elyso3dyrmesylh,چالیشدیرماسیله
çalıştırmaya,xu3elyso3dyrmao1h,چالیشدیرمغه
çalıştırmıyor,xu3elyso3dyrmyywr,چالیشدیرمییور
çalıştırsa,xu3elyso3dyrsh,چالیشدیرسه
çalıştırsan,xu3elyso3dyrsh||ko3,چالیشدیرسه‌ڭ
çalıştırsın,xu3elyso3dyrsybo1,چالیشدیرسین
çalıştırılamadım,xu3elyso3dyrylh||mdm,چالیشدیریله‌مدم
çalıştırılan,xu3elyso3dyrylebo1,چالیشدیریلان
çalıştırılarak,xu3elyso3dyrylerfo2,چالیشدیریلارق
çalıştırıldı,xu3elyso3dyryldy,چالیشدیریلدی
çalıştırıldık,xu3elyso3dyryldfo2,چالیشدیریلدق
çalıştırıldıkları,xu3elyso3dyryldfo2lry,چالیشدیریلدقلری
çalıştırıldım,xu3elyso3dyryldm,چالیشدیریلدم
çalıştırılmadık,xu3elyso3dyrylmdfo2,چالیشدیریلمدق
çalıştırılmasaydım,xu3elyso3dyrylmesh eydm,چالیشدیریلماسه ایدم
çalıştırılması,xu3elyso3dyrylmesy,چالیشدیریلماسی
çalıştırılmışız,xu3elyso3dyrylmso3ro1,چالیشدیریلمشز
çalıştırılırsa,xu3elyso3dyrylyrsh,چالیشدیریلیرسه
çalıştırılıyor,xu3elyso3dyrylyywr,چالیشدیریلییور
çalıştırılıyorlar,xu3elyso3dyrylyywrlr,چالیشدیریلییورلر
çalıştırır,xu3elyso3dyrr,چالیشدیرر
çalıştırırdı,xu3elyso3dyrrdy,چالیشدیرردی
çalıştırıyor,xu3elyso3dyryywr,چالیشدیرییور
çalıştırıyorum,xu3elyso3dyryywrm,چالیشدیرییورم
çalıştırıyoruz,xu3elyso3dyryywrro1,چالیشدیرییورز
çalıştığı,xu3elyso3dyao1y,چالیشدیغی
çalıştığım,xu3elyso3dyao1m,چالیشدیغم
çalıştığımdan,xu3elyso3dyao1mdbo1,چالیشدیغمدن
çalıştığımı,xu3elyso3dyao1my,چالیشدیغمی
çalıştığımız,xu3elyso3dyao1mro1,چالیشدیغمز
çalıştığımıza,xu3elyso3dyao1mro1h,چالیشدیغمزه
çalıştığımızı,xu3elyso3dyao1mro1y,چالیشدیغمزی
çalıştığın,xu3elyso3dyao1ko3,چالیشدیغڭ
çalıştığına,xu3elyso3dyao1bo1h,چالیشدیغنه
çalıştığından,xu3elyso3dyao1bo1dbo1,چالیشدیغندن
çalıştığını,xu3elyso3dyao1bo1y,چالیشدیغنی
çalıştığınız,xu3elyso3dyao1ko3ro1,چالیشدیغڭز
çalıştığınıza,xu3elyso3dyao1ko3ro1h,چالیشدیغڭزه
çalışıl,xu3elyso3yl,چالیشیل
çalışıldı,xu3elyso3yldy,چالیشیلدی
çalışıldıkça,xu3elyso3ldfo2xu1h,چالیشلدقجه
çalışıldığı,xu3elyso3ldyao1y,چالیشلدیغی
çalışıldığımız,xu3elyso3ldyao1mro1,چالیشلدیغمز
çalışıldığını,xu3elyso3yldyao1bo1y,چالیشیلدیغنی
çalışılmak,xu3elyso3ylmfo2,چالیشیلمق
çalışılmaktadır,xu3elyso3ylmfo2dh||dr,چالیشیلمقده‌در
çalışılmasa,xu3elyso3lmesh,چالیشلماسه
çalışılması,xu3elyso3ylmesy,چالیشیلماسی
çalışılmasını,xu3elyso3ylmesbo1y,چالیشیلماسنی
çalışılmayarak,xu3elyso3ylmyh||rfo2,چالیشیلمیه‌رق
çalışılmış,xu3elyso3ylmso3,چالیشیلمش
çalışılırsa,xu3elyso3lyrsh,چالیشلیرسه
çalışılıyor,xu3elyso3lyywr,چالیشلییور
çalışılıyordu,xu3elyso3ylyywrdy,چالیشیلییوردی
çalışın,xu3elyso3ko3,چالیشڭ
çalışınız,xu3elyso3ko3ro1,چالیشڭز
çalışıp,xu3elyso3wbu1,چالیشوب
çalışır,xu3elyso3yr,چالیشیر
çalışırdı,xu3elyso3yrdy,چالیشیردی
çalışırdım,xu3elyso3yrdm,چالیشیردم
çalışırken,xu3elyso3yrkbo1,چالیشیرکن
çalışırlar,xu3elyso3yrlr,چالیشیرلر
çalışırsan,xu3elyso3yrsh||ko3,چالیشیرسه‌ڭ
çalışırsın,xu3elyso3yrsko3,چالیشیرسڭ
çalışırım,xu3elyso3yrm,چالیشیرم
çalışırız,xu3elyso3yrro1,چالیشیرز
çalışıyor,xu3elyso3yywr,چالیشییور
