
o aralık,ewl erelfo2,اول ارالق
okumayınız,ewfo2wmeyko3ro1,اوقومایڭز
okumayıp,ewfo2wmeywbu1,اوقومایوب
okumaz,ewfo2wmero1,اوقوماز
okumazsa,ewfo2wmero1sh,اوقومازسه
okumağa,ewfo2wmao1h,اوقومغه
okumuyordum,ewfo2wmyywrdm,اوقومییوردم
okumuş,ewfo2wmso3,اوقومش
okumuşlar,ewfo2wmso3lr,اوقومشلر
okumuşlardır,ewfo2wmso3lrdr,اوقومشلردر
okumuşsam,ewfo2wmso3sh||m,اوقومشسه‌م
okumuşsun,ewfo2wmso3sko3,اوقومشسڭ
okumuşsunuzdur,ewfo2wmso3sko3ro1dr,اوقومشسڭزدر
okumuştu,ewfo2wmso3dy,اوقومشدی
okumuştum,ewfo2wmso3dm,اوقومشدم
okumuştur,ewfo2wmso3dr,اوقومشدر
okumuşum,ewfo2wmso3m,اوقومشم
okumıyarak,ewfo2wmyerfo2,اوقومیارق
okun,ewfo2ko3,اوقڭ
okun,ewfo2wbo1,اوقون
okunabilen,ewfo2wbo1h||bu1ylebo1,اوقونه‌بیلان
okunabilir,ewfo2wbo1h||bu1ylyr,اوقونه‌بیلیر
okunacak,ewfo2wbo1h||xu1fo2,اوقونه‌جق
okunacaktır,ewfo2wbo1h||xu1fo2dr,اوقونه‌جقدر
okunacağı,ewfo2wbo1h||xu1ao1y,اوقونه‌جغی
okunacağını,ewfo2wbo1h||xu1ao1bo1y,اوقونه‌جغنی
okunaklı,ewfo2wbo1efo2lw,اوقوناقلو
okunaklı,ewfo2wbo1efo2ly,اوقوناقلی
okunan,ewfo2wbo1ebo1,اوقونان
okundu,ewfo2wbo1dy,اوقوندی
okundukça,efo2wbo1dfo2xu1h,اقوندقجه
okunduğu,ewfo2wbo1dyao1y,اوقوندیغی
okunduğuna,ewfo2wbo1dyao1bo1h,اوقوندیغنه
okunduğundan,ewfo2wbo1dyao1bo1dbo1,اوقوندیغندن
okunmadığından,ewfo2wbo1mdyao1bo1dbo1,اوقونمدیغندن
okunmak,ewfo2wbo1mfo2,اوقونمق
okunmakla,ewfo2wbo1mfo2lh,اوقونمقله
okunmakta,ewfo2wbo1mfo2dh,اوقونمقده
okunmaktadır,ewfo2wbo1mfo2dh||dr,اوقونمقده‌در
okunmalı,ewfo2wbo1mely,اوقونمالی
okunmalıdır,ewfo2wbo1mh||lydr,اوقونمه‌لیدر
okunmamak,ewfo2wbo1memfo2,اوقونمامق
okunmamalı,ewfo2wbo1memly,اوقونماملی
okunmaması,ewfo2wbo1memsy,اوقونمامسی
okunmamış,ewfo2wbo1memso3,اوقونمامش
okunması,ewfo2wbo1mesy,اوقونماسی
okunmasıdır,ewfo2wbo1mesydr,اوقونماسیدر
okunmasına,ewfo2wbo1mesbo1h,اوقونماسنه
okunmasında,ewfo2wbo1mesbo1dh,اوقونماسنده
okunmasını,ewfo2wbo1mesbo1y,اوقونماسنی
okunmasının,ewfo2wbo1mesbo1ko3,اوقونماسنڭ
okunmasıyla,ewfo2wbo1mesylh,اوقونماسیله
okunmaya,ewfo2wbo1meyh,اوقونمایه
okunmayacak,ewfo2wbo1myh||xu1fo2,اوقونمیه‌جق
okunmayan,ewfo2wbo1myebo1,اوقونمیان
okunmayanlar,ewfo2wbo1myebo1lr,اوقونمیانلر
okunmaz,ewfo2wbo1mero1,اوقونماز
okunmağa,ewfo2wbo1mao1h,اوقونمغه
okunmuyor,ewfo2wbo1myywr,اوقونمییور
okunmuş,ewfo2bo1mso3,اوقنمش
okunmuş,ewfo2wbo1mso3,اوقونمش
okunsa,ewfo2wbo1sh,اوقونسه
okunsun,ewfo2wbo1swbo1,اوقونسون
okununca,ewfo2wbo1bo1xu1h,اوقوننجه
okunup,ewfo2wbo1wbu1,اوقونوب
okunur,ewfo2wbo1wr,اوقونور
okunurken,ewfo2wbo1wrkbo1,اوقونورکن
okunursa,ewfo2wbo1wrsh,اوقونورسه
okunuyor,ewfo2wbo1wywr,اوقونویور
okunuşudur,ewfo2wbo1wso3ydr,اوقونوشیدر
okunuşunda,ewfo2wbo1wso3bo1dh,اوقونوشنده
okur,ewfo2wr,اوقور
okur-yazar,ewfo2wr yero1er,اوقور یازار
okurdu,ewfo2wrdy,اوقوردی
okurduk,ewfo2wrdfo2,اوقوردق
okurdum,ewfo2wrdm,اوقوردم
okurken,ewfo2wrkbo1,اوقورکن
okurlar,ewfo2wrlr,اوقورلر
okursa,ewfo2wrsh,اوقورسه
okursak,ewfo2wrsh||fo2,اوقورسه‌ق
okursam,ewfo2wrsh||m,اوقورسه‌م
okursanız,ewfo2wrsh||ko3ro1,اوقورسه‌ڭز
okursunuz,ewfo2wrsko3ro1,اوقورسڭز
okuruz,ewfo2wrro1,اوقورز
okuryazar,ewfo2wrbu2ero1er,اوقوريازار
okuryazar,ewfo2wryero1er,اوقوریازار
okusa,ewfo2wsh,اوقوسه
okusam,ewfo2wsh||m,اوقوسه‌م
okusan,ewfo2wsh||ko3,اوقوسه‌ڭ
okusanız,ewfo2wsh||ko3ro1,اوقوسه‌ڭز
okusun,ewfo2wswbo1,اوقوسون
okusunlar,ewfo2wswbo1lr,اوقوسونلر
okut,ewfo2wbo2,اوقوت
okutacak,ewfo2wbo2h||xu1fo2,اوقوته‌جق
okutacaksın,ewfo2wbo2h||xu1fo2sko3,اوقوته‌جقسڭ
okutacağınıza,ewfo2wbo2h||xu1ao1ko3ro1h,اوقوته‌جغڭزه
okutan,ewfo2wbo2ebo1,اوقوتان
okutarak,ewfo2wbo2h||rfo2,اوقوته‌رق
okutmak,ewfo2wbo2mfo2,اوقوتمق
okutmakla,ewfo2wbo2mfo2lh,اوقوتمقله
okutmakta,ewfo2wbo2mfo2dh,اوقوتمقده
okutmaktır,ewfo2wbo2mfo2dr,اوقوتمقدر
okutmam,ewfo2wbo2mem,اوقوتمام
okutmamak,ewfo2wbo2memfo2,اوقوتمامق
okutmanı,ewfo2wbo2meko3y,اوقوتماڭی
okutmanın,ewfo2wbo2mebo1ko3,اوقوتمانڭ
okutması,ewfo2wbo2mesy,اوقوتماسی
okutmasına,ewfo2wbo2mesbo1h,اوقوتماسنه
okutmasını,ewfo2wbo2msbo1y,اوقوتمسنی
okutmasıyla,ewfo2wbo2mesylh,اوقوتماسیله
okutmayı,ewfo2wbo2mao1y,اوقوتمغی
okutmazsak,ewfo2wbo2mero1sh||fo2,اوقوتمازسه‌ق
okutmağa,ewfo2wbo2mao1h,اوقوتمغه
okutmuş,ewfo2wbo2mso3,اوقوتمش
okutmuşlardır,ewfo2wbo2mso3lrdr,اوقوتمشلردر
okutsunlar,ewfo2wbo2swbo1lr,اوقوتسونلر
okuttuklarını,ewfo2wbo2dfo2lrybo1y,اوقوتدقلرینی
okuttular,ewfo2wbo2dylr,اوقوتدیلر
okutturabilir,ewfo2wbo2dyrh||bu1ylyr,اوقوتدیره‌بیلیر
okutturacak,ewfo2wbo2dyrh||xu1fo2,اوقوتدیره‌جق
okutturacağım,ewfo2wbo2dyrh||xu1ao1m,اوقوتدیره‌جغم
okutturan,ewfo2wbo2dyrebo1,اوقوتدیران
okutturarak,ewfo2wbo2dyrh||rfo2,اوقوتدیره‌رق
okutturdu,ewfo2wbo2dyrdy,اوقوتدیردی
okutturduğu,ewfo2wbo2dyrdyao1y,اوقوتدیردیغی
okutturmadığı,ewfo2wbo2dyrmdyao1y,اوقوتدیرمدیغی
okutturmak,ewfo2wbo2dyrmfo2,اوقوتدیرمق
okutturması,ewfo2wbo2dyrmesy,اوقوتدیرماسی
okutturmasın,ewfo2wbo2dyrmesybo1,اوقوتدیرماسین
okutturmasının,ewfo2wbo2dyrmesbo1ko3,اوقوتدیرماسنڭ
okutturmasıyla,ewfo2wbo2dyrmesylh,اوقوتدیرماسیله
okutturmağa,ewfo2wbo2dyrmao1h,اوقوتدیرمغه
okutturmuş,ewfo2wbo2dyrmso3,اوقوتدیرمش
okuttursa,ewfo2wbo2dyrsh,اوقوتدیرسه
okuttursanız,ewfo2wbo2dyrsh||ko3ro1,اوقوتدیرسه‌ڭز
okutturulan,ewfo2wbo2dyrylebo1,اوقوتدیریلان
okutturulmakla,ewfo2wbo2dyrylmfo2lh,اوقوتدیریلمقله
okutturulmakta,ewfo2wbo2dyrylmfo2dh,اوقوتدیریلمقده
okutturulması,ewfo2wbo2dyrylmesy,اوقوتدیریلماسی
okutturulmasının,ewfo2wbo2dyrylmesbo1ko3,اوقوتدیریلماسنڭ
okutturulur,ewfo2wbo2dyrylyr,اوقوتدیریلیر
okutturup,ewfo2wbo2dyrwbu1,اوقوتدیروب
okutturur,ewfo2wbo2dyrr,اوقوتدیرر
okutturursanız,ewfo2wbo2dyrrsh||ko3ro1,اوقوتدیررسه‌ڭز
okuttururum,ewfo2wbo2dyryrm,اوقوتدیریرم
okutturuyor,ewfo2wbo2dyryywr,اوقوتدیرییور
okutturuyorlar,ewfo2wbo2dyryywrlr,اوقوتدیرییورلر
okuttuğu,ewfo2wbo2dyao1y,اوقوتدیغی
okutulan,ewfo2wbo2ylebo1,اوقوتیلان
okutulmasında,ewfo2wbo2ylmesbo1dh,اوقوتیلماسنده
okutulmaya,ewfo2wbo2ylmao1h,اوقوتیلمغه
okutun,ewfo2wbo2ko3,اوقوتڭ
okutup,ewfo2wbo2wbu1,اوقوتوب
okutur,ewfo2wbo2wr,اوقوتور
okuturdu,ewfo2wbo2wrdy,اوقوتوردی
okutuyor,ewfo2wbo2wywr,اوقوتویور
okuya,ewfo2wyh,اوقویه
okuyabildim,ewfo2wyh||bu1yldm,اوقویه‌بیلدم
okuyabilecek,ewfo2wyh||bu1ylh||xu1k,اوقویه‌بیله‌جک
okuyabilen,ewfo2wyh||bu1ylbo1,اوقویه‌بیلن
okuyabilir,ewfo2wyh||bu1ylyr,اوقویه‌بیلیر
okuyabilirim,ewfo2wyh||bu1ylyrm,اوقویه‌بیلیرم
okuyabiliriz,ewfo2wyh||bu1ylyrro1,اوقویه‌بیلیرز
okuyabilirler,ewfo2wyh||bu1ylyrlr,اوقویه‌بیلیرلر
okuyabilirsin,ewfo2wyh||bu1ylyrsko3,اوقویه‌بیلیرسڭ
okuyabilirsiniz,ewfo2wyh||bu1ylyrsko3ro1,اوقویه‌بیلیرسڭز
okuyabilmek,ewfo2wyh||bu1ylmk,اوقویه‌بیلمک
okuyabilmenin,ewfo2wyh||bu1ylmh||bo1ko3,اوقویه‌بیلمه‌نڭ
okuyabilseniz,ewfo2wyh||bu1ylsh||ko3ro1,اوقویه‌بیلسه‌ڭز
okuyacak,ewfo2wyh||xu1fo2,اوقویه‌جق
okuyacaklardı,ewfo2wyh||xu1fo2lrdy,اوقویه‌جقلردی
okuyacaklardır,ewfo2wyh||xu1fo2lrdr,اوقویه‌جقلردر
okuyacaklarını,ewfo2wyh||xu1fo2lrybo1y,اوقویه‌جقلرینی
okuyacaksın,ewfo2wyh||xu1fo2sko3,اوقویه‌جقسڭ
okuyacağı,ewfo2wyh||xu1ao1y,اوقویه‌جغی
okuyacağım,ewfo2wyh||xu1ao1m,اوقویه‌جغم
okuyacağınız,ewfo2wyh||xu1ao1ko3ro1,اوقویه‌جغڭز
okuyacağız,ewfo2wyh||xu1ao1ro1,اوقویه‌جغز
okuyalım,ewfo2wyelm,اوقویالم
okuyamadı,ewfo2wyh||mdy,اوقویه‌مدی
okuyamadıkları,ewfo2wyh||mdfo2lry,اوقویه‌مدقلری
okuyamadım,ewfo2wyh||mdm,اوقویه‌مدم
okuyamamasıyla,ewfo2wyememsylh,اوقویامامسیله
okuyamamış,ewfo2wyememso3,اوقویامامش
okuyamaz,ewfo2wyemero1,اوقویاماز
okuyamıyorsak,ewfo2wyh||myywrsh||fo2,اوقویه‌مییورسه‌ق
okuyamıyorsan,ewfo2wyh||myywrsh||ko3,اوقویه‌مییورسه‌ڭ
okuyamıyorsun,ewfo2wyh||myywrsko3,اوقویه‌مییورسڭ
okuyamıyorum,ewfo2wyh||myywrm,اوقویه‌مییورم
okuyan,ewfo2wyebo1,اوقویان
okuyana,ewfo2wyebo1h,اوقویانه
okuyanlar,ewfo2wyebo1lr,اوقویانلر
okuyanlara,ewfo2wyebo1lrh,اوقویانلره
okuyanlarca,ewfo2wyebo1lrxu1h,اوقویانلرجه
okuyanlarda,ewfo2wyebo1lrdh,اوقویانلرده
okuyanlardan,ewfo2wyebo1lrdbo1,اوقویانلردن
okuyanları,ewfo2wyebo1lry,اوقویانلری
okuyanların,ewfo2wyebo1lrko3,اوقویانلرڭ
okuyanı,ewfo2wyebo1y,اوقویانی
okuyanın,ewfo2wyebo1ko3,اوقویانڭ
okuyarak,ewfo2wyh||rfo2,اوقویه‌رق
okuyayım,ewfo2wyh||ym,اوقویه‌یم
okuyor,ewfo2wywr,اوقویور
okuyordu,ewfo2wywrdy,اوقویوردی
okuyorduk,ewfo2wywrdfo2,اوقویوردق
okuyordular,ewfo2wywrdylr,اوقویوردیلر
okuyordum,ewfo2wywrdm,اوقویوردم
okuyordunuz,ewfo2wywrdyko3ro1,اوقویوردیڭز
okuyorlar,ewfo2wywrlr,اوقویورلر
okuyorlardı,ewfo2wywrlrdy,اوقویورلردی
okuyormuşuz,ewfo2wywrmso3ro1,اوقویورمشز
okuyorsun,ewfo2wywrsko3,اوقویورسڭ
okuyorsunuz,ewfo2wywrsko3ro1,اوقویورسڭز
okuyorum,ewfo2wywrm,اوقویورم
okuyoruz,ewfo2wywrro1,اوقویورز
okuyucu,ewfo2wbu2xu1y,اوقويجی
okuyucu,ewfo2wywxu1y,اوقویوجی
okuyucu,ewfo2wyxu1y,اوقویجی
okuyuculara,ewfo2wywxu1ylrh,اوقویوجیلره
okuyucuları,ewfo2wywxu1ylry,اوقویوجیلری
okuyucularımıza,ewfo2wywxu1ylrymro1h,اوقویوجیلریمزه
okuyucuların,ewfo2wywxu1ylrko3,اوقویوجیلرڭ
okuyucularına,ewfo2wywxu1ylrybo1h,اوقویوجیلرینه
okuyucularını,ewfo2wywxu1ylrybo1y,اوقویوجیلرینی
okuyucularının,ewfo2wywxu1ylrybo1ko3,اوقویوجیلرینڭ
okuyucunun,ewfo2wywxu1ybo1ko3,اوقویوجینڭ
okuyucusu,ewfo2wywxu1ysy,اوقویوجیسی
okuyucusunu,ewfo2wywxu1ysbo1y,اوقویوجیسنی
okuyun,ewfo2wyko3,اوقویڭ
okuyunca,ewfo2wybo1xu1h,اوقوینجه
okuyunuz,ewfo2wyko3ro1,اوقویڭز
okuyup,ewfo2wywbu1,اوقویوب
okuyuver,ewfo2wywwyr,اوقویوویر
okuyuvermek,ewfo2wywwyrmk,اوقویوویرمک
okuyuş,ewfo2wyso3,اوقویش
okuyuşlarımda,ewfo2wywso3lrmdh,اوقویوشلرمده
okuyuşta,ewfo2wywso3dh,اوقویوشده
okuyuşumda,ewfo2wywso3mdh,اوقویوشمده
okyanus'u,ewfo2yebo1wsy,اوقیانوسی
okyanus,efo2bu2ebo1ws,اقيانوس
okyanus,efo2yebo1ws,اقیانوس
okyanus,ewfo2bu2ebo1ws,اوقيانوس
okyanus,ewfo2yebo1ws,اوقیانوس
okyanusu,ewfo2yebo1wsy,اوقیانوسی
okyanusya,ewfo2yebo1wsye,اوقیانوسیا
okıyye,eo9wfo2yo8h,اُوقیّه
okıyyeyi,ewfo2yo8h||yy,اوقیّه‌یی
okşa,ewfo2so3e,اوقشا
okşadı,ewfo2so3edy,اوقشادی
okşadım,ewfo2so3edm,اوقشادم
okşadığı,ewfo2so3edyao1y,اوقشادیغی
okşadığını,ewfo2so3edyao1bo1y,اوقشادیغنی
okşamadır,ewfo2so3emh||dr,اوقشامه‌در
okşamak,ewfo2so3emfo2,اوقشامق
okşamak,ewxo1so3emfo2,اوخشامق
okşamakla,ewfo2so3emfo2lh,اوقشامقله
okşamaktan,ewfo2so3emfo2dbo1,اوقشامقدن
okşamaktır,ewfo2so3emfo2dr,اوقشامقدر
okşamalar,ewfo2so3emelr,اوقشامالر
okşamaları,ewfo2so3emelry,اوقشامالری
okşaması,ewfo2so3emesy,اوقشاماسی
okşamasına,ewfo2so3emesbo1h,اوقشاماسنه
okşamasını,ewfo2so3emesbo1y,اوقشاماسنی
okşamaya,ewfo2so3emh||yh,اوقشامه‌یه
okşamış,ewfo2so3emso3,اوقشامش
okşandığı,ewfo2so3ebo1dyao1y,اوقشاندیغی
okşanılmaz,ewfo2so3ebo1ylmero1,اوقشانیلماز
okşar,ewfo2so3er,اوقشار
okşasa,ewfo2so3esh,اوقشاسه
okşayacak,ewfo2so3eyh||xu1fo2,اوقشایه‌جق
okşayan,ewfo2so3eyebo1,اوقشایان
okşayarak yalvarmak,ewxo1so3ebu2h rfo2 bu2elwermfo2,اوخشايه رق يالوارمق
okşayarak yalvarmak,ewxo1so3eyh rfo2 yelwermfo2,اوخشایه رق یالوارمق
okşayarak,ewfo2so3eyh||rfo2,اوقشایه‌رق
okşayıcı,ewfo2so3eyxu1y,اوقشایجی
okşayıp,ewfo2so3eywbu1,اوقشایوب
