
ş,so3,ش
şaheseridir,so3eh eo5bo3rydr,شاه أثریدر
şaheserin,so3eh eo5bo3rko3,شاه أثرڭ
şaheserler,so3eh eo5bo3rlr,شاه أثرلر
şaheserlerinden,so3eh eo5bo3rlrbo1dbo1,شاه أثرلرندن
şahi,so3ehy,شاهی
şahid olmak,so3ehdew,شاهداو
şahid,so3ehd,شاهد
şahid-i ezeli,so3o4ehu4du4 eo4ro1o4lu4y,شَاهِدِ اَزَلِی
şahid-i sadık,so3o4ehu4du4 zo4edu4fo2o0,شَاهِدِ صَادِقْ
şahid-i sādık,so3o4ehu4du4 zo4edu4fo2o0,شَاهِدِ صَادِقْ
şahid-i zur,so3ehdro1wr,شاهدزور
şahid-i,so3ehdu4,شاهدِ
şahid-zor,so3ehdro1wr,شاهدزور
şahid-ül-ayn,so3ehd elaybo1,شاهد العین
şahiddir,so3ehddr,شاهددر
şahiddirler,so3ehddrlr,شاهددرلر
şahide,so3ehdh,شاهده
şahidi,so3ehdy,شاهدی
şahididir,so3ehdydr,شاهدیدر
şahidim,so3ehdm,شاهدم
şahidimiz,so3ehdmro1,شاهدمز
şahidin,so3ehdko3,شاهدڭ
şahidiyiz,so3ehdy||yro1,شاهدی‌یز
şahidiz,so3ehdro1,شاهدز
şahidle,so3ehdlh,شاهدله
şahidler,so3ehdlr,شاهدلر
şahidlerden,so3ehdlrdbo1,شاهدلردن
şahidlerdir,so3ehdlrdr,شاهدلردر
şahidleri,so3ehdlry,شاهدلری
şahidleridir,so3ehdlrydr,شاهدلریدر
şahidlerimin,so3ehdlrymko3,شاهدلریمڭ
şahidlerimiz,so3ehdlrymro1,شاهدلریمز
şahidlerin,so3ehdlrko3,شاهدلرڭ
şahidlerinden,so3ehdlrbo1dbo1,شاهدلرندن
şahidlerinizi,so3ehdlryko3ro1y,شاهدلریڭزی
şahidleriz,so3ehdlrro1,شاهدلرز
şahidlik,so3ehdlk,شاهدلک
şahidliği,so3ehdlko7y,شاهدلگی
şahidsiz,so3ehdsro1,شاهدسز
şahidü-l-ayn,so3ehdelaybo1,شاهدالعین
şahika,so3ehfo2h,شاهقه
şahika,so3ehfo2h||,شاهقه‌
şahika,so3o4ehu4fo2o4h||,شَاهِقَه‌
şahika-i,so3ehfo2hu4,شاهقهِ
şahikalar,so3ehfo2h||lr,شاهقه‌لر
şahikalarından,so3ehfo2h||lrbo1dbo1,شاهقه‌لرندن
şahikasına,so3ehfo2h||sbo1h,شاهقه‌سنه
şahikasının,so3ehfo2h||sbo1ko3,شاهقه‌سنڭ
şahikayı,so3ehfo2h||yy,شاهقه‌یی
şahin,so3ehbu2bo1,شاهين
şahin,so3ehybo1,شاهین
şahinin,so3ehbo1ko3,شاهنڭ
şahis,so3xo1z,شخص
şahit,so3ehd,شاهد
şahitler,so3ehdlr,شاهدلر
şahitleriz,so3ehdlrro1,شاهدلرز
şahittir,so3ehddr,شاهددر
şahittirler,so3ehddrlr,شاهددرلر
şahi̇d,so3ehd,شاهد
şahi̇d-i̇ ezeli̇,so3o4ehu4du4 eo4ro1o4lu4y,شَاهِدِ اَزَلِی
şahi̇d-i̇ sadik,so3o4ehu4du4 zo4edu4fo2o0,شَاهِدِ صَادِقْ
şahi̇d-i̇ sādik,so3o4ehu4du4 zo4edu4fo2o0,شَاهِدِ صَادِقْ
şahi̇ka,so3o4ehu4fo2o4h||,شَاهِقَه‌
şahkar,so3ehker,شاهکار
şahlan,so3exo1lebo1,شاخلان
şahlanan,so3ehlebo1ebo1,شاهلانان
şahlanmak,so3exo1lebo1mfo2,شاخلانمق
şahlanmış,so3ehlebo1mso3,شاهلانمش
şahları,so3ehlry,شاهلری
şahların,so3ehlrko3,شاهلرڭ
şahlarının,so3ehlrybo1ko3,شاهلرینڭ
şahm,so3o4xo0mo0,شَحْمْ
şahm,so3xm,شحم
şahm-pare,so3xm||bu3erh,شحم‌پاره
şahmerdan,so3ehmrdebo1,شاهمردان
şahname,so3ehbo1emh||,شاهنامه‌
şahne,so3xbo1h,شحنه
şahne,so3xbo1h||,شحنه‌
şahnişin,so3ehbo1so3ybo1,شاهنشین
şahnişîn,so3ehbo1so3bu2bo1,شاهنشين
şahrah,so3ehreh||,شاهراه‌
şahrahına,so3eh||rehbo1h,شاه‌راهنه
şahreg,so3ehrko7,شاهرگ
şahrâh-ı,so3eh||rehu4,شاه‌راهِ
şahs,so3xo1z,شخص
şahs-i ma'nevi̇,so3o4xo1o0zu4 mo4ao0bo1o4wy,شَخْصِ مَعْنَوی
şahs-i ma'nevî,so3o4xo1o0zu4 mo4ao0bo1o4wbu2,شَخْصِ مَعْنَوي
şahs-i vahid,so3o4xo1o0zu4 wo4exu4do0,شَخْصِ وَاحِدْ
şahs-i vahi̇d,so3o4xo1o0zu4 wo4exu4do0,شَخْصِ وَاحِدْ
şahs-ı ma'nevi,so3o4xo1o0zu4 mo4ao0bo1o4wy,شَخْصِ مَعْنَوی
şahs-ı ma'nevî,so3o4xo1o0zu4 mo4ao0bo1o4wbu2,شَخْصِ مَعْنَوي
şahs-ı vahid,so3o4xo1o0zu4 wo4exu4do0,شَخْصِ وَاحِدْ
şahs-ı,so3xo1zu4,شخصِ
şahsa,so3xo1zh,شخصه
şahsan,so3xo1zeo44,شخصاً
şahsar,so3exo1ser,شاخسار
şahsen,so3xo1ze,شخصا
şahsen,so3xo1zo44e,شخصًا
şahsi,so3xo1zy,شخصی
şahsiyat,so3xo1zyebo2,شخصیات
şahsiyatla,so3xo1zyebo2lh,شخصیاتله
şahsiyatı,so3xo1zyebo2y,شخصیاتی
şahsiyatın,so3xo1zyebo2ko3,شخصیاتڭ
şahsiye,so3xo1zyh,شخصیه
şahsiye-i,so3xo1zyhu4,شخصیهِ
şahsiyece,so3xo1zyh||xu1h,شخصیه‌جه
şahsiyede,so3xo1zyh||dh,شخصیه‌ده
şahsiyedeki,so3xo1zyh||dh||ky,شخصیه‌ده‌کی
şahsiyedir,so3xo1zyh||dr,شخصیه‌در
şahsiyelerinde,so3xo1zyh||lrbo1dh,شخصیه‌لرنده
şahsiyelerinden,so3xo1zyh||lrbo1dbo1,شخصیه‌لرندن
şahsiyelerini,so3xo1zyh||lrybo1y,شخصیه‌لرینی
şahsiyeme,so3xo1zyh||mh,شخصیه‌مه
şahsiyemi,so3xo1zyh||my,شخصیه‌می
şahsiyemize,so3xo1zyh||mro1h,شخصیه‌مزه
şahsiyenin,so3xo1zyh||bo1ko3,شخصیه‌نڭ
şahsiyenizi,so3xo1zyh||ko3ro1y,شخصیه‌ڭزی
şahsiyesi,so3xo1zyh||sy,شخصیه‌سی
şahsiyesinde,so3xo1zyh||sbo1dh,شخصیه‌سنده
şahsiyesinden,so3xo1zyh||sbo1dbo1,شخصیه‌سندن
şahsiyesine,so3xo1zyh||sbo1h,شخصیه‌سنه
şahsiyesini,so3xo1zyh||sbo1y,شخصیه‌سنی
şahsiyesinin,so3xo1zyh||sbo1ko3,شخصیه‌سنڭ
şahsiyesiyle,so3xo1zyh||sylh,شخصیه‌سیله
şahsiyet,so3xo1zbu2bo2,شخصيت
şahsiyet,so3xo1zybo2,شخصیت
şahsiyet-i ademiyet,so3o4xo1o0zu4yo4bo2u4 eo6do4mu4yo4bo2o0,شَخْصِیَتِ آدَمِیَتْ
şahsiyet-i âdemiyet,so3o4xo1o0zu4bu2o4bo2u4 eo6do4mu4bu2o4bo2o0,شَخْصِيَتِ آدَمِيَتْ
şahsiyet-i,so3xo1zybo2u4,شخصیتِ
şahsiyete,so3xo1zybo2h,شخصیته
şahsiyeti,so3xo1zybo2y,شخصیتی
şahsiyetidir,so3xo1zybo2ydr,شخصیتیدر
şahsiyetim,so3xo1zybo2m,شخصیتم
şahsiyetime,so3xo1zybo2mh,شخصیتمه
şahsiyetimi,so3xo1zybo2my,شخصیتمی
şahsiyetimin,so3xo1zybo2mko3,شخصیتمڭ
şahsiyetimle,so3xo1zybo2mlh,شخصیتمله
şahsiyetin,so3xo1zybo2ko3,شخصیتڭ
şahsiyetinde,so3xo1zybo2bo1dh,شخصیتنده
şahsiyetinden,so3xo1zybo2bo1dbo1,شخصیتندن
şahsiyetine,so3xo1zybo2bo1h,شخصیتنه
şahsiyetini,so3xo1zybo2bo1y,شخصیتنی
şahsiyetinin,so3xo1zybo2bo1ko3,شخصیتنڭ
şahsiyetiniz,so3xo1zybo2ko3ro1,شخصیتڭز
şahsiyetinizin,so3xo1zybo2ko3ro1ko3,شخصیتڭزڭ
şahsiyetiyle,so3xo1zybo2ylh,شخصیتیله
şahsiyetle,so3xo1zybo2lh,شخصیتله
şahsiyetler,so3xo1zybo2lr,شخصیتلر
şahsiyetlerden,so3xo1zybo2lrdbo1,شخصیتلردن
şahsiyetlere,so3xo1zybo2lrh,شخصیتلره
şahsiyetleri,so3xo1zybo2lry,شخصیتلری
şahsiyetlerin,so3xo1zybo2lrko3,شخصیتلرڭ
şahsiyetlerine,so3xo1zybo2lrybo1h,شخصیتلرینه
şahsiyetlerle,so3xo1zybo2lrlh,شخصیتلرله
şahsiyetsizliği,so3xo1zybo2sro1lko7y,شخصیتسزلگی
şahsiyette,so3xo1zybo2dh,شخصیتده
şahsiyetti,so3xo1zybo2dy,شخصیتدی
şahsiyettir,so3xo1zybo2dr,شخصیتدر
şahsiyeye,so3xo1zyh||yh,شخصیه‌یه
şahsiyeyi,so3xo1zyh||yy,شخصیه‌یی
şahsiyle,so3xo1zylh,شخصیله
şahsiyledir,so3xo1zylh||dr,شخصیله‌در
şahsiyye,so3xo1zyh,شخصیه
şahsiyye-i,so3xo1zyhu4,شخصیهِ
şahsiyyedir,so3xo1zyh||dr,شخصیه‌در
şahsiyyesine,so3xo1zyh||sbo1h,شخصیه‌سنه
şahsiyyesini,so3xo1zyh||sbo1y,شخصیه‌سنی
şahsiyyesiyle,so3xo1zyh||sylh,شخصیه‌سیله
şahsiyât,so3xo1zbu2ebo2,شخصيات
şahsi̇yet-i̇ ademi̇yet,so3o4xo1o0zu4yo4bo2u4 eo6do4mu4yo4bo2o0,شَخْصِیَتِ آدَمِیَتْ
şahsî,so3xo1zy,شخصی
şahsîsinden,so3xo1zysbo1dbo1,شخصیسندن
şahsîsine,so3xo1zysbo1h,شخصیسنه
şahsîsini,so3xo1zysbo1y,شخصیسنی
şahsüvar,so3eh swer,شاه سوار
şahsı,so3xo1zy,شخصی
şahsım,so3xo1zm,شخصم
şahsıma,so3xo1zmh,شخصمه
şahsımadır,so3xo1zmh||dr,شخصمه‌در
şahsımda,so3xo1zmdh,شخصمده
şahsımdaki,so3xo1zmdh||ky,شخصمده‌کی
şahsımdan,so3xo1zmdbo1,شخصمدن
şahsımla,so3xo1zmlh,شخصمله
şahsımı,so3xo1zmy,شخصمی
şahsımın,so3xo1zmko3,شخصمڭ
şahsımız,so3xo1zmro1,شخصمز
şahsımıza,so3xo1zmro1h,شخصمزه
şahsın,so3xo1zko3,شخصڭ
şahsına,so3xo1zbo1h,شخصنه
şahsında,so3xo1zbo1dh,شخصنده
şahsından,so3xo1zbo1dbo1,شخصندن
şahsını,so3xo1zbo1y,شخصنی
şahsının,so3xo1zbo1ko3,شخصنڭ
şahsınıza,so3xo1zko3ro1h,شخصڭزه
şahsıyla,so3xzylh,شحصیله
şahtan,so3ehdbo1,شاهدن
şahvar,so3ehwer,شاهوار
şahzade,so3ehro1edh||,شاهزاده‌
şahâdet için imzâ koymak,so3hedbo2 ebu2xu3wbo1 emzo1efo2wmfo2,شهادت ايچون امضاقومق
şahâdet parmağı,so3hedbo2 bu3rmao1y,شهادت پرمغی
şahâdet,so3hedbo2,شهادت
şahâdetname,so3hedbo2 bo1emh,شهادت نامه
şahı,so3ehy,شاهی
şahımerdan,so3eh mrdebo1,شاه مردان
şahın,so3ehko3,شاهڭ
şahıs,so3xo1z,شخص
şahısla,so3xo1zlh,شخصله
şahıslar,so3xo1zlr,شخصلر
şahıslara,so3xo1zlrh,شخصلره
şahıslardan,so3xo1zlrdbo1,شخصلردن
şahıslardır,so3xo1zlrdr,شخصلردر
şahısları,so3xo1zlry,شخصلری
şahıslarımızla,so3xo1zlrymro1lh,شخصلریمزله
şahısların,so3xo1zlrko3,شخصلرڭ
şahıslarına,so3xo1zlrybo1h,شخصلرینه
şahıslarında,so3xo1zlrbo1dh,شخصلرنده
şahıslarından,so3xo1zlrbo1dbo1,شخصلرندن
şahıslarını,so3xo1zlrybo1y,شخصلرینی
şahıslarının,so3xo1zlrybo1ko3,شخصلرینڭ
şahıslarınızda,so3xo1zlryko3ro1dh,شخصلریڭزده
şahısperest,so3xo1z||bu3rsbo2,شخص‌پرست
şahısta,so3xo1zdh,شخصده
şahıstaki,so3xo1zdh||ky,شخصده‌کی
şahıstan,so3xo1zdbo1,شخصدن
şahıstır,so3xo1zdr,شخصدر
şahısça,so3xo1zxu1h,شخصجه
şahıyla,so3ehylh,شاهیله
şaibe,so3ebo5bu1h||,شائبه‌
şaibe-i,so3eyo5bu1hu4,شائبهِ
şaibesinden,so3eyo5bu1h||sbo1dbo1,شائبه‌سندن
şaibesiz,so3eyo5bu1h||sro1,شائبه‌سز
şaika,so3eyo5fo2h,شائقه
şaikayı,so3eyo5fo2h||yy,شائقه‌یی
şair,so3ayr,شعیر
şair,so3ear,شاعر
şairan,so3earebo1,شاعران
şairane,so3earebo1h||,شاعرانه‌
şaire,so3earh||,شاعره‌
şairlik,so3earlk,شاعرلک
şairâne,so3earebo1h,شاعرانه
şak etmek,so3fo2 e,شق ا
şak,so3efo2,شاق
şak,so3fo2,شق
şaka etmek,so3fo2e e,شقا ا
şaka,so3efo2e,شاقا
şaka,so3efo2h,شاقه
şaka,so3fo2e,شقا
şakaayık,so3fo2ebo5fo2,شقائق
şakacı,so3efo2exu1y,شاقاجی
şakaik,so3fo2ebo5fo2,شقائق
şakaikünnuman a.),so3fo2ecfo2 elbo1amebo1,شقاءق النعمان
şakaikünnuman,so3fo2ecfo2 elbo1amebo1,شقاءق النعمان
şakai̇künnuman,so3fo2ecfo2 elbo1amebo1,شقاءق النعمان
şakak yeri,so3fo2fo2 bu2ry,شقق يری
şakak yeri,so3fo2fo2 yry,شقق یری
şakak,so3efo2efo2,شاقاق
şakak,so3fo2efo2,شقاق
şakak,so3fo2fo2,شقق
şakalaş,so3efo2eleso3,شاقالاش
şakalaşmak,so3efo2eleso3mfo2,شاقالاشمق
şakaya,so3efo2h||yh,شاقه‌یه
şakayı,so3efo2h||yy,شاقه‌یی
şakayık,so3fo2ebo5fo2,شقائق
şaki,so3eky,شاکی
şaki,so3fo2y,شقی
şaki,so3o4eku4y,شَاکِی
şaki,so3o4fo2y,شَقی
şakilerin,so3fo2ylrko3,شقیلرڭ
şakir,so3ekr,شاکر
şakir,so3o4eku4ro0,شَاکِرْ
şakird,so3ekrd,شاکرد
şakirddir,so3ekrddr,شاکرددر
şakirde,so3ekrdh,شاکرده
şakirdi,so3ekrdy,شاکردی
şakirdidir,so3ekrdydr,شاکردیدر
şakirdimle,so3ekrdmlh,شاکردمله
şakirdin,so3ekrdko3,شاکردڭ
şakirdinde,so3ekrdbo1dh,شاکردنده
şakirdinden,so3ekrdbo1dbo1,شاکردندن
şakirdine,so3ekrdybo1h,شاکردینه
şakirdini,so3ekrdybo1y,شاکردینی
şakirdinin,so3ekrdybo1ko3,شاکردینڭ
şakirdiniz,so3ekrdyko3ro1,شاکردیڭز
şakirdiyim,so3ekrdy||ym,شاکردی‌یم
şakirdiyle,so3ekrdylh,شاکردیله
şakirdiyye akçesi,so3ekrdyh efo2xu3h sy,شاکردیه اقچه سی
şakirdler,so3ekrdlr,شاکردلر
şakirdlerde,so3ekrdlrdh,شاکردلرده
şakirdlerdeki,so3ekrdlrdh||ky,شاکردلرده‌کی
şakirdlerden,so3ekrdlrdbo1,شاکردلردن
şakirdlerdir,so3ekrdlrdr,شاکردلردر
şakirdlere,so3ekrdlrh,شاکردلره
şakirdleri,so3ekrdlry,شاکردلری
şakirdleridir,so3ekrdlrydr,شاکردلریدر
şakirdleridirler,so3ekrdlrydrlr,شاکردلریدرلر
şakirdlerim,so3ekrdlrm,شاکردلرم
şakirdlerin,so3ekrdlrko3,شاکردلرڭ
şakirdlerince,so3ekrdlrbo1xu1h,شاکردلرنجه
şakirdlerinde,so3ekrdlrbo1dh,شاکردلرنده
şakirdlerindeki,so3ekrdlrbo1dh||ky,شاکردلرنده‌کی
şakirdlerinden,so3ekrdlrbo1dbo1,شاکردلرندن
şakirdlerine,so3ekrdlrybo1h,شاکردلرینه
şakirdlerini,so3ekrdlrybo1y,شاکردلرینی
şakirdlerinin,so3ekrdlrybo1ko3,شاکردلرینڭ
şakirdlerisiniz,so3ekrdlrysko3ro1,شاکردلریسڭز
şakirdleriyiz,so3ekrdlry||yro1,شاکردلری‌یز
şakirdleriyle,so3ekrdlrylh,شاکردلریله
şakirdlik,so3ekrdlk,شاکردلک
şakirdliğe vermek,so3ekrd lkh wyrmk,شاکرد لکه ویرمک
şakirdliği,so3ekrdlko7y,شاکردلگی
şakirdliğine,so3ekrdlko7bo1h,شاکردلگنه
şakirdliğini,so3ekrdlko7bo1y,شاکردلگنی
şakirtlerin,so3ekrdlrko3,شاکردلرڭ
şakirü-n-nime,so3ekrelbo1amh||,شاکرالنعمه‌
şaki̇,so3o4eku4y,شَاکِی
şaki̇,so3o4fo2y,شَقی
şaki̇r,so3ekr,شاکر
şaki̇r,so3o4eku4ro0,شَاکِرْ
şaki̇rd,so3ekrd,شاکرد
şakk,so3fo2,شق
şakk,so3fo2o8,شقّ
şakk,so3o4fo2o0,شَقْ
şakk-i kamer,so3o4fo2u4o8 fo2o4mo4ro0,شَقِّ قَمَرْ
şakk-ul,so3fo2o8 el,شقّ ال
şakk-ı kamer,so3o4fo2u4o8 fo2o4mo4ro0,شَقِّ قَمَرْ
şakk-ı,so3fo2o8u4,شقِّ
şakkettiği,so3fo2o8 eybo2dyko7y,شقّ ایتدیگی
şakktan,so3fo2o8dbo1,شقّدن
şakkı,so3fo2o8y,شقّی
şakla,so3efo2le,شاقلا
şaklaban,so3efo2lebu1ebo1,شاقلابان
şaklabanlık,so3efo2lebu1ebo1lfo2,شاقلابانلق
şaklamak,so3efo2lemfo2,شاقلامق
şaklat,so3efo2lebo2,شاقلات
şaklatmak,so3efo2lebo2mfo2,شاقلاتمق
şakrak,so3efo2refo2,شاقراق
şakul,so3efo2wl,شاقول
şakul,so3ekwl,شاکول
şakulen,so3efo2wleo44,شاقولاً
şakuli,so3efo2wly,شاقولی
şakulla,so3efo2wlle,شاقوللا
şakullamak,so3efo2wllemfo2,شاقوللامق
şakâik,so3fo2ebo5fo2,شقائق
şakâikünnumân,so3fo2ecfo2 elbo1amebo1,شقاءق النعمان
şakî,so3fo2y,شقی
şakî,so3o4fo2bu2,شَقي
şakîleri,so3fo2ylry,شقیلری
şakîlerin,so3fo2ylrko3,شقیلرڭ
şakîlerinden,so3fo2ylrbo1dbo1,شقیلرندن
şakîlerinin,so3fo2ylrybo1ko3,شقیلرینڭ
şakûlî,so3efo2wly,شاقولی
şakı,so3efo2y,شاقی
şakımak,so3efo2bu2mfo2,شاقيمق
şakımak,so3efo2ymfo2,شاقیمق
şakır,so3efo2bu2rso3efo2bu2r,شاقيرشاقير
şakır,so3efo2yr,شاقیر
şakır,so3efo2yrso3efo2yr,شاقیرشاقیر
şakırda,so3efo2yrde,شاقیردا
şakırdamak,so3efo2bu2rdemfo2,شاقيردامق
şakırdamak,so3efo2yrdemfo2,شاقیردامق
şakırdat,so3efo2yrdebo2,شاقیردات
şakırdatmak,so3efo2bu2rdebo2mfo2,شاقيرداتمق
şakırdatmak,so3efo2yrdebo2mfo2,شاقیرداتمق
şakırdı,so3efo2bu2rdy,شاقيردی
şakırdı,so3efo2yrdy,شاقیردی
şakıy,so3fo2y,شقی
şakşak,so3efo2so3efo2,شاقشاق
şal,so3el,شال
şalgam,so3elao1em,شالغام
şalgam,so3lao1em,شلغام
şalgam,so3lao1m,شلغم
şali,so3ely,شالی
şalvar,so3elwer,شالوار
şalvar,so3lwer,شلوار
şalvarımı,so3elwerymy,شالواریمی
şam'a,so3emh,شامه
şam'da,so3emdh,شامده
şam'daki,so3emdh||ky,شامده‌کی
şam'ın,so3emko3,شامڭ
şam,so3em,شام
şam-ı,so3emu4,شامِ
şama,so3eme,شاما
şama,so3mah,شمعه
şama,so3mah||,شمعه‌
şamalı,so3emely,شامالی
şamalı,so3mah<>ly,شمعه‌لی
şamalı,so3mah||ly,شمعه‌لی
şamandıra,so3emebo1dbu2re,شامانديرا
şamandıra,so3emebo1dyre,شاماندیرا
şamandıra,so3mebo1drh,شماندره
şamandıra,so3mebo1drh||,شماندره‌
şamar atmak,so3merebo2mfo2,شماراتمق
şamar,so3emer,شامار
şamar,so3mer,شمار
şamata teli,so3mebo2h bo2ly,شماته تلی
şamata,so3emebo2e,شاماتا
şamata,so3mebo2h,شماته
şamata,so3mebo2h||,شماته‌
şamata,so3meth,شماطه
şamata,so3meth||,شماطه‌
şamatacı,so3emebo2exu1y,شاماتاجی
şamatacı,so3mebo2h xu1y,شماته جی
şamatalı,so3emebo2ely,شاماتالی
