daavat,dawebo2
daha alçak,dhe elxu3fo2
daha aşağı,dhe eso3eao1y
daha az,dhe ero1
daha beter,dhe bu1bo2r
daha beter etmek,dhebu1bo2re
daha bir yoluna koymak,dhebu1rbu2wlbo1h fo2wmfo2
daha bir yoluna koymak,dhebu1rywlbo1h fo2wmfo2
daha çok,dhexu3wfo2
daha,dehe
daha,dhe
daha fena,dhefo1bo1e
daha fena etmek,dhefo1bo1e e
daha güzel,dhe kwro1l
daha iyi,dhe ebu2w
daha iyi,dhe eyw
daha küçük,dhekxu3wk
daha okumak,dhe ewfo2wmfo2
daha ötede,dhe ewbo2h dh
daha ötede,dhe ewbo2h dh||
daha öteye,dhe ewbo2h bu2h
daha öteye,dhe ewbo2h yh||
daha sonra,dhezkrh
daha sonra,dhezkrh||
daha uzak,dhe ewro1efo2
daha uzun,dhe ewro1wbo1
daha vakit var,dhewfo2bo2 wer
daha ziyâde,dhero1bu2edh
daha ziyade,dhero1yedh||
dahdoh,deh<>deh||
dahdoh,deh||deh
dâhi,dehbu2
dahi̇,dehy
dahi,dehy
dâhi,dehy
dâhî,dehy
dâhîdir,dehydr
dahi,dxo1bu2
dahî,dxo1bu2
dahi̇,dxo1y
dahi,dxo1y
dâhî-i,dehyo5u4
dahilde,dexo1ldh
dâhilde,dexo1ldh
dâhildeki,dexo1ldh||ky
dâhilden,dexo1ldbo1
dâhildendir,dexo1ldbo1dr
dahi̇l,dexo1l
dahil,dexo1l
dâhil,dexo1l
dâhildir,dexo1ldr
dâhildirler,dexo1ldrlr
dahi̇l,do4exo1u4lo0
dahil,do4exo1u4lo0
dâhil,do4exo1u4lo0
dahîl,dxo1yl
dahile,dexo1lh||
dâhile,dexo1lh
dahilen,dexo1le
dâhilen,dexo1le
dahilen,dexo1leo44
dâhilen,dexo1leo44
dâhîler,dehylr
dâhîlerden,dehylrdbo1
dâhîleri,dehylry
dâhîlerimizi,dehylrymro1y
dâhîlerin,dehylrko3
dâhîlerinden,dehylrbo1dbo1
dâhîlerindir,dehylrko3dr
dâhîlerini,dehylrybo1y
dahil etmek,dexo1l e
dâhil etmek,dexo1l e
dâhil-i,dexo1lu4
dahili,dexo1ly
dâhilî,dexo1ly
dâhilî,do4exo1u4lbu2
dahi̇li̇,do4exo1u4l۪y
dahili,do4exo1u4l۪y
dâhilî-haricî,dexo1ly xo1erxu1y
dahilik,dehylk
dâhilik,dehylk
dâhilim,dexo1lm
dâhilimin,dexo1lmko3
dahilinde,dexo1lbo1dh
dahilinde,dexo1lbo1dh||
dâhilinde,dexo1lbo1dh
dâhilindedir,dexo1lbo1dh||dr
dâhilindeki,dexo1lbo1dh||ky
dâhilinden,dexo1lbo1dbo1
dâhiline,dexo1lbo1h
dâhilinin,dexo1lbo1ko3
dâhilîsidir,dexo1lysydr
dâhilîsinden,dexo1lysbo1dbo1
dâhiliyeden,dexo1lyh||dbo1
dâhiliye,dexo1lbu2h
dahiliye,dexo1lyh||
dâhiliye,dexo1lyh
dâhiliyenin,dexo1lyh||bo1ko3
dâhiliyesini,dexo1lyh||sbo1y
dâhiliye vekâleti,do4exo1u4lu4bu2o4h wo4ko4elo4bo2u4bu2
dahi̇li̇ye vekaleti̇,do4exo1u4lu4yo4h wo4ko4elo4bo2u4y
dahiliye vekaleti,do4exo1u4lu4yo4h wo4ko4elo4bo2u4y
dâhiliye vekîli,do4exo1u4lu4bu2o4h wo4ku4bu2lu4
dahi̇li̇ye veki̇li̇,do4exo1u4lu4yo4h wo4ku4ylu4
dahiliye vekili,do4exo1u4lu4yo4h wo4ku4ylu4
dâhiliyeye,dexo1lyh||yh
dâhiliyeyi,dexo1lyh||yy
dâhiliz,dexo1lro1
dahil olmak,dexo1l ew
dâhil olmak,dexo1l ew
dâhilse,dexo1lsh
dâhilsiniz,dexo1lsko3ro1
dâhînin,dehy||bo1ko3
dâhîsi,dehysy
dâhîsinin,dehysbo1ko3
dâhiyane,dehyebo1h
dâhiye,dehbu2h
dahiye,dehyh||
dâhîye,dehy||yh
dâhiye,do4ehu4bu2o4h
dahi̇ye,do4ehu4yo4h||
dahiye,do4ehu4yo4h||
dâhiye-i,dehyh||'u4
dâhiyeler,dehyh||lr
dâhi-yi,dehyo5u4
dâhî-yi,dehyo5u4
dâhîyi,dehy||yy
dahl,dxo1l
dahli,dxo1ly
dahlim,dxo1lm
dahli olmak,dxo1ly ew
dahme,zo1xo1mh
dahme,zo1xo1mh||
dai,deabu2
da'i,deay
da’i,deay
dai̇,deay
dai,deay
dâ'î,deay
dâî,deay
daîdir,deaydr
dâîdir,deaydr
dâ'î,do4eabu2
da'i̇,do4ea۪y
da'i,do4ea۪y
dâî-i,deayo5u4
dâîleri,deaylry
daima aç,debo5me exu1
dâimâ aç,debo5me exu1
da'ima,debo5me
daima,debo5me
dâ'imâ,debo5me
dâimâ,debo5me
daima,deyo5me
dâima,deyo5me
daima hasta,debo5me xo1sbo2h||
dâima hasta,debo5me xo1sbo2h
daimane,deyo5mebo1h
dâimâne,deyo5mebo1h
dâimâ uyur olan tenbel,debo5me ewbu2wrewlebo1 bo2bo1bu1l
daima uyur olan tenbel,debo5me ewywrewlebo1 bo2bo1bu1l
dai̇m,debo5m
daim,debo5m
dâim,debo5m
daim,deyo5m
dâim,deyo5m
daim'dir,deyo5mdr
daimdir,deyo5mdr
daimdirler,deyo5mdrlr
daimede,deyo5mh||dh
daimeden,deyo5mh||dbo1
daime,deyo5mh
dâime,deyo5mh
daimenin,deyo5mh||bo1ko3
dâimenin,deyo5mh||bo1ko3
daimesi,deyo5mh||sy
daimesine,deyo5mh||sbo1h
daimeye,deyo5mh||yh
dâimeye,deyo5mh||yh
daimeyi,deyo5mh||yy
daimi,debo5my
dâimî,debo5my
daim-i,deyo5mu4
dâim-i,deyo5mu4
daimi,deyo5my
daimî,deyo5my
daimîdir,deyo5mydr
daimîdirler,deyo5mydrlr
dâimîdirler,deyo5mydrlr
daimîlikten,deyo5mylkdbo1
daimîsi,deyo5mysy
daimîsine,deyo5mysbo1h
daimîye,deyo5my||yh
dâimîye,deyo5my||yh
daimîyi,deyo5my||yy
daimleştirecek,deyo5mlso3dyrh||xu1k
daim olmak,debo5m ew
dâim olmak,debo5m ew
daim-üt,deyo5m el
daim-üt-tecellî,deyo5m elbo2xu1ly
dai̇r,debo5r
dair,debo5r
dâir,debo5r
dair,deyo5r
dairdi,deyo5rdy
dairdir,deyo5rdr
dâirdir,deyo5rdr
da'ire,debo5rh||
dai̇re,debo5rh||
daire,debo5rh
daire,debo5rh||
dâ'ire,debo5rh
dâire,debo5rh
dairede,deyo5rh||dh
dairedeki,deyo5rh||dh||ky
dairedekilere,deyo5rh||dh||kylrh
daireden,deyo5rh||dbo1
daire,deyo5rh
dairedir,deyo5rh||dr
daire-i,deyo5rh||'u4
dâire-i,deyo5rh||'u4
daire-i hükumet,debo5rhcxkwmbo2
dâire-i hükûmet,debo5rhcxkwmbo2
daire-i nısf-ı nehar,debo5rh bo1zfo1 bo1her
dâire-i nısf-ı nehâr,debo5rh bo1zfo1 bo1her
dairelerde,deyo5rh||lrdh
dairelerdeki,deyo5rh||lrdh||ky
dairelerden,deyo5rh||lrdbo1
daireler,deyo5rh||lr
dairelere,deyo5rh||lrh
daireleri,deyo5rh||lry
dairelerince,deyo5rh||lrbo1xu1h
dairelerinde,deyo5rh||lrbo1dh
dâirelerinde,deyo5rh||lrbo1dh
dairelerinden,deyo5rh||lrbo1dbo1
dairelerin,deyo5rh||lrko3
dâirelerin,deyo5rh||lrko3
dairelerine,deyo5rh||lrybo1h
dairelerini,deyo5rh||lrybo1y
dairelerinin,deyo5rh||lrybo1ko3
dairelerle,deyo5rh||lrlh
dairemizde,deyo5rh||mro1dh
dairemiz,deyo5rh||mro1
dairemize,deyo5rh||mro1h
dairende,deyo5rh||ko3dh
dairenin,deyo5rh||bo1ko3
daireniz,deyo5rh||ko3ro1
dairenize,deyo5rh||ko3ro1h
dairenizin,deyo5rh||ko3ro1ko3
dairenmadar,debo5re meder
dâirenmâdâr,debo5re meder
dairesi,deyo5rh||sy
dairesidir,deyo5rh||sydr
dairesi'nde,deyo5rh||sbo1dh
dairesinde,deyo5rh||sbo1dh
dâiresinde,deyo5rh||sbo1dh
dairesindedir,deyo5rh||sbo1dh||dr
dairesindeki,deyo5rh||sbo1dh||ky
dairesindekini,deyo5rh||sbo1dh||kbo1y
dairesinden,deyo5rh||sbo1dbo1
dairesindeyim,deyo5rh||sbo1dh||ym
dairesindeyiz,deyo5rh||sbo1dh||yro1
dairesine,deyo5rh||sbo1h
dairesini,deyo5rh||sbo1y
dairesinin,deyo5rh||sbo1ko3
dairesiyle,deyo5rh||sylh
dairevari,deyo5rh||wery
dairevi,debo5rwy
dâirevî,debo5rwy
dairevî,deyo5rh||wy
daireye,deyo5rh||yh
daireyi,deyo5rh||yy
dairezen,debo5rh ro1bo1
dâirezen,debo5rh ro1bo1
dâîsi,deaysy
dâisidir,deaysydr
dâîsidir,deaysydr
daiyane,deayebo1h
dâiyane,deayebo1h
dâiye,deabu2h
daiye,deayh||
daiye-i,deayh||'u4
daiyelerinden,deayh||lrbo1dbo1
dâiyesiyle,deayh||sylh
dâî-yi,deayu4
dâîyi,deay||yy
dakayık,dfo2eyfo2
dakâyık,dfo2eyfo2
dak,dfo2
daki,dh||ky
dakikacık,dfo2yfo2h||xu1fo2
dakikada,dfo2yfo2h||dh
dakikadaki,dfo2yfo2h||dh||ky
dakikadan,dfo2yfo2h||dbo1
dakîka,dfo2bu2fo2h
dakika,dfo2yfo2h
dakika,dfo2yfo2h||
dakîka,dfo2yfo2h
dakikadır,dfo2yfo2h||dr
dakika-i,dfo2yfo2h||'u4
dakikalara,dfo2yfo2h||lrh
dakikalarda,dfo2yfo2h||lrdh
dakikalar,dfo2yfo2h||lr
dakikaları,dfo2yfo2h||lry
dakikalarında,dfo2yfo2h||lrbo1dh
dakikalarını,dfo2yfo2h||lrybo1y
dakikalarının,dfo2yfo2h||lrybo1ko3
dakikalık,dfo2yfo2h||lfo2
dakikam,dfo2yfo2h||m
dakikamızı,dfo2yfo2h||mro1y
dakikası,dfo2yfo2h||sy
dakikasına,dfo2yfo2h||sbo1h
dakikasında,dfo2yfo2h||sbo1dh
dakikasıyla,dfo2yfo2h||sylh
dakikaya,dfo2yfo2h||yh
dakikayı,dfo2yfo2h||yy
dakik,dfo2bu2fo2
dakîk,dfo2bu2fo2
daki̇k,dfo2yfo2
dakik,dfo2yfo2
dakîk,do4fo2bu2fo2o0
daki̇k,do4fo2۪yfo2o0
dakik,do4fo2۪yfo2o0
dakik-i,dfo2yfo2
dakikin,dfo2yfo2ko3
dakikleriyle,dfo2yfo2lrylh
dakiktir,dfo2yfo2dr
dakka,dfo2o8h
dakk etmek,dfo2 e
dakk-ı,dfo2o8u4
daktilo,defo2bo2ylw
daktiloğraf,defo2bo2ylwao1refo1
daktilografi,defo2bo2ylwao1refo1y
dakyanus,defo2yebo1ws
dalacak,telexu1fo2
dala,dele
dal'a,delh
dala,delh
dalak,delefo2
dalak,dlefo2
dalak,telefo2
dalalâtın,zo1lelebo2ko3
dalalât,zo1lelebo2
dalalet-âlûd,zo1lelbo2||eo6lwd
dalâlet-âlûd,zo1lelbo2||eo6lwd
dalaletçe,zo1lelbo2xu1h
dalalete,zo1lelbo2h
dalâlete,zo1lelbo2h
dalaletidir,zo1lelbo2ydr
dalâlet-i fenniye,zo1o4lo4elo4bo2u4 fo1o4bo1u4o8bu2o4h
dalalet-i̇ fenni̇ye,zo1o4lo4elo4bo2u4 fo1o4bo1u4o8yo4h||
dalalet-i fenniye,zo1o4lo4elo4bo2u4 fo1o4bo1u4o8yo4h||
dalaletimden,zo1lelbo2mdbo1
dalaletimiz,zo1lelbo2mro1
dalaletim,zo1lelbo2m
dalaletince,zo1lelbo2bo1xu1h
dalaletindendir,zo1lelbo2bo1dbo1dr
dalaletinden,zo1lelbo2bo1dbo1
dalâletinden,zo1lelbo2bo1dbo1
dalaletinde,zo1lelbo2bo1dh
dalaletindir,zo1lelbo2ko3dr
dalâletindir,zo1lelbo2ko3dr
dalaletine,zo1lelbo2bo1h
dalaletinin,zo1lelbo2bo1ko3
dalaletini,zo1lelbo2bo1y
dalâletini,zo1lelbo2bo1y
dalaletin,zo1lelbo2ko3
dalâletin,zo1lelbo2ko3
dalaletiyle,zo1lelbo2ylh
dalalet-i,zo1lelbo2u4
dalaleti,zo1lelbo2y
dalâleti,zo1lelbo2y
dalaletkâraneden,zo1lelbo2kerebo1h||dbo1
dalaletlerden,zo1lelbo2lrdbo1
dalaletlere,zo1lelbo2lrh
dalaletlerinde,zo1lelbo2lrbo1dh
dalaletlerine,zo1lelbo2lrybo1h
dalaletlerinin,zo1lelbo2lrybo1ko3
dalaletlerini,zo1lelbo2lrybo1y
dalaletlerin,zo1lelbo2lrko3
dalaletleriyle,zo1lelbo2lrylh
dalaletleri,zo1lelbo2lry
dalaletler,zo1lelbo2lr
dalaletle,zo1lelbo2lh
dalâletle,zo1lelbo2lh
dalaletli,zo1lelbo2ly
dalalet-pişe,zo1lelbo2||bu3yso3h
dalalet-pîşe,zo1lelbo2||bu3yso3h
dalalettedir,zo1lelbo2dh||dr
dalaletteki,zo1lelbo2dh||ky
dalaletten,zo1lelbo2dbo1
dalâletten,zo1lelbo2dbo1
dalalette,zo1lelbo2dh
dalâlette,zo1lelbo2dh
dalalettir,zo1lelbo2dr
dalâlettir,zo1lelbo2dr
dalalet,zo1lelbo2
dalâlet,zo1lelbo2
dalalet,zo1o4lo4elo4bo2o0
dalâlet,zo1o4lo4elo4bo2o0
dalale,zo1lelh
dalal,zo1lel
dalâl,zo1lel
dalamak,delemfo2
dalamak,telemfo2
dalanlara,telebo1lrh
dalan,telebo1
dalarak,telerfo2
dalarlar,telerlr
dalaşmak,teleso3mfo2
dalaş,teleso3
dala,tele
dal-budak,del bu1wdefo2
dal-budaklar,del bu1wdefo2lr
dalbudak,tel bu1wdefo2
daldan,deldbo1
daldan yetiştirmek,deldbo1 bu2bo2so3drmk
daldan yetiştirmek,deldbo1 ybo2so3drmk
dal,del
dâl,del
daldığı,teldyao1y
daldılar,teldylr
daldım,teldm
daldır,deldr
daldır,deldyr
daldırdın,teldyrdko3
daldırma,deldyrmh
daldırma,deldyrmh||
daldırmak,deldrmfo2
daldırmak,deldyrmfo2
daldırmak,teldrmfo2
daldı,teldy
dalga,delao1e
dalgakıran,delao1efo2yrebo1
dalga köpüğü,telao1h kbu3wky
dalgalanacak,telao1h||lebo1h||xu1fo2
dalgalanan,telao1h||lebo1ebo1
dalgalan,delao1elebo1
dalgalandır,delao1elebo1dyr
dalgalandırıyordu,telao1elebo1dyryywrdy
dalgalandırmak,delao1elebo1dyrmfo2
dalgalanmak,delao1elebo1mfo2
dalgalanmak,telao1h||lebo1mfo2
dalgalanmaları,telao1h||lebo1mh||lry
dalgalara,telao1h||lrh
dalgalarına,telao1h||lrybo1h
dalgalarından,telao1h||lrbo1dbo1
dalgalarının,telao1h||lrybo1ko3
dalgalarını,telao1h||lrybo1y
dalgaların,telao1h||lrko3
dalgaların yürüyüp çekilmesi,telao1h lrk bu2wrwbu2wbu1 xu3klmsy
dalgaların yürüyüp çekilmesi,telao1h lrk ywrwywbu1 xu3klmsy
dalgaları,telao1h||lry
dalgalar,telao1h||lr
dalgalatmak,telao1h lbo2mfo2
dalgalı,delao1ely
dalgalı,telao1h lw
dalgalı,telao1h||ly
dalga,telao1h
dalga,telao1h||
dalgıç,delao1bu2xu3
dalgıç,delao1yxu1
dalgıç,delao1yxu3
dalgıçlar,delao1yxu1lr
dalgıçları,delao1yxu1lry
dalgın,delao1bu2bo1
dalgın,delao1ybo1
dalgınlık,delao1ybo1lfo2
dalgın,telao1ybo1
dalgın,telfo2ybo1
dalı,dely
dalıdır,delydr
dalına binmek,delbo1h bu1bo1mk
dalına,delbo1h
dalınca,telybo1xu1h
dalında,delbo1dh
dalındaki,delbo1dh||ky
dalından,delbo1dbo1
dalın,delko3
dalını,delbo1y
dalının,delbo1ko3
dalıp,telwbu1
dalış,delso3
dalıyla,delylh
dalıyorlar,telyywrlr
dalıyor,telyywr
dalıyorum,telyywrm
dalkavuk,delfo2ewfo2
dalkavuk,delfo2ewwfo2
dalkavuklara,delfo2ewwfo2lrh
dalkavuklardır,delfo2ewwfo2lrdr
dalkavukları,delfo2ewwfo2lry
dalkavukların,delfo2ewwfo2lrko3
dalkavuklarının,delfo2ewwfo2lrybo1ko3
dalkavukluğa,delfo2ewwfo2lao1h
dalkavukluk,delfo2ewwfo2lfo2
dalkavukluk etmek,delfo2ewfo2lfo2 e
dalkavuk,telao1ewwfo2
dalkılıç,del fo2lyxu1
dallan,dellebo1
dallandır,dellebo1dyr
dallandırmak,dellebo1dyrmfo2
dallanmak,dellbo1mfo2
dallanmak,dellebo1mfo2
dallara,dellrh
dallarda,dellrdh
dallardaki,dellrdh||ky
dallar,dellr
dalları,dellry
dallarıdır,dellrydr
dalları hep budanmış ağaç,dellry hbu3 bu1wdebo1mso3 eao1exu1
dallarına,dellrybo1h
dallarında,dellrbo1dh
dallarından,dellrbo1dbo1
dalların,dellrko3
dallarını bir resme koymak,dellrbu2bo1y bu1rrsmh fo2wmfo2
dallarını bir resme koymak,dellrybo1y bu1rrsmh fo2wmfo2
dallarını,dellrybo1y
dallarının,dellrybo1ko3
dallarıyla,dellrylh
dallariyle,dellrylh
dall,del
dâll,del
dâlldir,delo8dr
dâlldır,zo1elo8dr
dâlleden,zo1elo8h||dbo1
dâlle-i,zo1elo8hu4||'
dâllenin,zo1elo8h||bo1ko3
dâlleye,zo1elo8h||yh
dalle,zo1elh||
dâlle,zo1elh
dâlle,zo1elo8h
dallı,delly
dâllînden,zo1elo8ybo1dbo1
dâllînin,zo1elo8ybo1ko3
dâllînler,zo1elo8ybo1lr
dâllîn,zo1elo8ybo1
dâlliyet,delo8ybo2
dâllün,delo8||ٹ
dall,zo1el
dâll,zo1el
dâll,zo1elo8
dalmak,delmfo2
dalmakta,telmfo2dh
dalmak,telmfo2
dalmamak,telmh||mfo2
dalmamıştır,telmemso3dr
dalma,telmh
dalmış,telmso3
dalmıştım,telmso3dm
dalmıştır,telmso3dr
dalmıştı,telmso3dy
dal sürmek,del swrmk
dalyancı,delyebo1xu1y
dalyan,delbu2ebo1
dalyan,delyebo1
damacana,demexu1ebo1e
damacı,demexu1y
damad,demebo2
dâmâd,demebo2
damad,demed
