
v,w,و
vaftiz,wefo1bo2yro1,وافتیز
vagon,weao1wbo1,واغون
vagondur,weao1wbo1dr,واغوندر
vagonet,weao1wbo1h<>bo2,واغونه‌ت
vagonet,weao1wbo1h||bo2,واغونه‌ت
vagonları,weao1wbo1lry,واغونلری
vagonli,weao1wbo1<>ly,واغون‌لی
vagonli,weao1wbo1||ly,واغون‌لی
vagonluk,weao1wbo1lfo2,واغونلق
vah,weh,واه
vah,weh||,واه‌
vaha,wexh||,واحه‌
vahamet,wxembo2,وحامت
vahamet,wxo1embo2,وخامت
vahametli,wxo1embo2lw,وخامتلو
vahasreta,wexsrbo2e,واحسرتا
vahayfa,wexyfo1e,واحیفا
vahdani,wxdebo1y,وحدانی
vahdaniyet,wo4xo0do4ebo1u4yo4bo2o0,وَحْدَانِیَتْ
vahdaniyet,wxdebo1bu2bo2,وحدانيت
vahdaniyet,wxdebo1ybo2,وحدانیت
vahdaniyet-i ilahiye,wo4xo0do4ebo1u4yo4bo2u4 eu4lhu4yo4h||,وَحْدَانِیَتِ اِلهِیَه‌
vahdaniyet-i,wxdebo1ybo2u4,وحدانیتِ
vahdaniyete,wxdebo1ybo2h,وحدانیته
vahdaniyeti,wxdebo1ybo2y,وحدانیتی
vahdaniyetin,wxdebo1ybo2ko3,وحدانیتڭ
vahdaniyetinden,wxdebo1ybo2bo1dbo1,وحدانیتندن
vahdaniyetine,wxdebo1ybo2bo1h,وحدانیتنه
vahdaniyetini,wxdebo1ybo2bo1y,وحدانیتنی
vahdaniyetinin,wxdebo1ybo2bo1ko3,وحدانیتنڭ
vahdaniyette,wxdebo1ybo2dh,وحدانیتده
vahdaniyetteki,wxdebo1ybo2dh||ky,وحدانیتده‌کی
vahdaniyetten,wxdebo1ybo2dbo1,وحدانیتدن
vahdaniyettir,wxdebo1ybo2dr,وحدانیتدر
vahdaniyeyi,wxdebo1yh||yy,وحدانیه‌یی
vahdaniyyet,wxdebo1ybo2,وحدانیت
vahdani̇yet,wo4xo0do4ebo1u4yo4bo2o0,وَحْدَانِیَتْ
vahdani̇yet,wxdebo1ybo2,وحدانیت
vahdani̇yet-i̇ i̇lahi̇ye,wo4xo0do4ebo1u4yo4bo2u4 eu4lhu4yo4h||,وَحْدَانِیَتِ اِلهِیَه‌
vahdanî,wxdebo1y,وحدانی
vahde,wxdh,وحده
vahdehu,wo4xo0do4ho9,وَحْدَهُ
vahdet'i,wxdbo2y,وحدتی
vahdet,wo4xo0do4bo2o0,وَحْدَتْ
vahdet,wxdbo2,وحدت
vahdet-i idare,wo4xo0do4bo2u4 eu4do4ero4h||,وَحْدَتِ اِدَارَه‌
vahdet-i idâre,wo4xo0do4bo2u4 eu4do4ero4h,وَحْدَتِ اِدَارَه
vahdet-i kalem,wo4xo0do4bo2u4 fo2o4lo4mo0,وَحْدَتِ قَلَمْ
vahdet-i mes'ele,wo4xo0do4bo2u4 mo4so0bo5o4lo4h,وَحْدَتِ مَسْئَلَه
vahdet-i mes'ele,wo4xo0do4bo2u4 mo4so0bo5o4lo4h||,وَحْدَتِ مَسْئَلَه‌
vahdet-i nev'iye,wo4xo0do4bo2u4 bo1o4wo0au4bu2o4h,وَحْدَتِ نَوْعِيَه
vahdet-i nev'iye,wo4xo0do4bo2u4 bo1o4wo0au4yo4h||,وَحْدَتِ نَوْعِیَه‌
vahdet-i saltanat,wo4xo0do4bo2u4 so4lo0to4bo1o4bo2o0,وَحْدَتِ سَلْطَنَتْ
vahdet-i,wxdbo2u4,وحدتِ
vahdet-i̇ i̇dare,wo4xo0do4bo2u4 eu4do4ero4h||,وَحْدَتِ اِدَارَه‌
vahdet-i̇ kalem,wo4xo0do4bo2u4 fo2o4lo4mo0,وَحْدَتِ قَلَمْ
vahdet-i̇ mes'ele,wo4xo0do4bo2u4 mo4so0bo5o4lo4h||,وَحْدَتِ مَسْئَلَه‌
vahdet-i̇ nev'i̇ye,wo4xo0do4bo2u4 bo1o4wo0au4yo4h||,وَحْدَتِ نَوْعِیَه‌
vahdet-i̇ saltanat,wo4xo0do4bo2u4 so4lo0to4bo1o4bo2o0,وَحْدَتِ سَلْطَنَتْ
vahdet-ül,wxdbo2 el,وحدت ال
vahdet-üş,wxdbo2 el,وحدت ال
vahdete,wxdbo2h,وحدته
vahdeti,wxdbo2y,وحدتی
vahdetimiz,wxdbo2mro1,وحدتمز
vahdetimizde,wxdbo2mro1dh,وحدتمزده
vahdetimizi,wxdbo2mro1y,وحدتمزی
vahdetin,wxdbo2ko3,وحدتڭ
vahdetine,wxdbo2bo1h,وحدتنه
vahdetini,wxdbo2bo1y,وحدتنی
vahdetinin,wxdbo2bo1ko3,وحدتنڭ
vahdetinizi,wxdbo2ko3ro1y,وحدتڭزی
vahdetiyle,wxdbo2ylh,وحدتیله
vahdetle,wxdbo2lh,وحدتله
vahdetler,wxdbo2lr,وحدتلر
vahdetlerdir,wxdbo2lrdr,وحدتلردر
vahdetleri,wxdbo2lry,وحدتلری
vahdetlerini,wxdbo2lrybo1y,وحدتلرینی
vahdette,wxdbo2dh,وحدتده
vahdettedir,wxdbo2dh||dr,وحدتده‌در
vahdetteki,wxdbo2dh||ky,وحدتده‌کی
vahdetten,wxdbo2dbo1,وحدتدن
vahdettir,wxdbo2dr,وحدتدر
vahdettirler,wxdbo2drlr,وحدتدرلر
vahdâniyet,wo4xo0do4ebo1u4bu2o4bo2o0,وَحْدَانِيَتْ
vahdâniyet,wxdebo1bu2bo2,وحدانيت
vahdâniyet-i ilâhiye,wo4xo0do4ebo1u4bu2o4bo2u4 eu4lhu4bu2o4h,وَحْدَانِيَتِ اِلهِيَه
vahdâniyyet,wxdebo1bu2bo2,وحدانيت
vahdâniyyet,wxdebo1ybo2,وحدانیت
vahdâniyyet-i,wxdebo1ybo2u4,وحدانیتِ
vahdâniyyete,wxdebo1ybo2h,وحدانیته
vahdâniyyetin,wxdebo1ybo2ko3,وحدانیتڭ
vahdâniyyetinden,wxdebo1ybo2bo1dbo1,وحدانیتندن
vahdâniyyetine,wxdebo1ybo2bo1h,وحدانیتنه
vahdâniyyetinin,wxdebo1ybo2bo1ko3,وحدانیتنڭ
vahdâniyyetten,wxdebo1ybo2dbo1,وحدانیتدن
vahdânî,wxdebo1y,وحدانی
vahi,wehy,واهی
vahi,wo4ehy,وَاهی
vahib-ül-hayat,wehbu1 elxyebo2h||,واهب الحیاته‌
vahid,wexd,واحد
vahid,wo4exu4do0,وَاحِدْ
vahid,wxyd,وحید
vahim,wehbu2m,واهيم
vahim,wehym,واهیم
vahim,wo4xo1ymo0,وَخیمْ
vahim,wxo1bu2m,وخيم
vahim,wxo1ym,وخیم
vahime,wehmh||,واهمه‌
vahimesi,wehmh||sy,واهمه‌سی
vahiy,wo4xu4bu2o0,وَحِيْ
vahiy,wo4xu4yo0,وَحِیْ
vahiy,wxbu2,وحي
vahiy,wxy,وحی
vahiyde,wxydh,وحیده
vahiydeki,wxydh||ky,وحیده‌کی
vahiyden,wxydbo1,وحیدن
vahiydir,wxydr,وحیدر
vahiyeden,wehyh||dbo1,واهیه‌دن
vahiyler,wxylr,وحیلر
vahiylerde,wxylrdh,وحیلرده
vahiylere,wxylrh,وحیلره
vahiylerin,wxylrko3,وحیلرڭ
vahi̇,wo4ehy,وَاهی
vahi̇d,wexd,واحد
vahi̇d,wo4exu4do0,وَاحِدْ
vahi̇m,wo4xo1ymo0,وَخیمْ
vahi̇m,wxo1ym,وخیم
vahi̇y,wo4xu4yo0,وَحِیْ
vahi̇y,wxy,وحی
vahy ile bildirmek,wxy ebu2lh bu1ldrmk,وحی ايله بلدرمک
vahy ile bildirmek,wxy eylh bu1ldrmk,وحی ایله بلدرمک
vahy tarikiyle bildirmek,wxy tryfo2ylh bu1ldrmk,وحی طریقیله بلدرمک
vahy tarîkiyle bildirmek,wxy trbu2fo2bu2lh bu1ldrmk,وحی طريقيله بلدرمک
vahy,wxy,وحی
vahy-i rabbani,wo4xo0yu4 ro4bu1o4o8ebo1y,وَحْیِ رَبَّانی
vahy-i rabbânî,wo4xo0bu2u4 ro4bu1o4o8ebo1bu2,وَحْيِ رَبَّاني
vahy-i semavi,wo4xo0yu4 so4mo4ewy,وَحْیِ سَمَاوی
vahy-i semavî,wo4xo0bu2u4 so4mo4ewbu2,وَحْيِ سَمَاوي
vahy-i,wxyu4,وحیِ
vahy-i̇ rabbani̇,wo4xo0yu4 ro4bu1o4o8ebo1y,وَحْیِ رَبَّانی
vahy-i̇ semavi̇,wo4xo0yu4 so4mo4ewy,وَحْیِ سَمَاوی
vahydir,wxydr,وحیدر
vahye,wxyh,وحیه
vahyeden,wxy eydbo1,وحی ایدن
vahyen,wxyo44e,وحیًا
vahyet,wxy eybo2,وحی ایت
vahyetmek,wxy ebu2bo2mk,وحی ايتمک
vahyetmek,wxy eybo2mk,وحی ایتمک
vahyimle,wxymlh,وحیمله
vahyin,wxyko3,وحیڭ
vahyolunan,wxy ewlwbo1ebo1,وحی اولونان
vahâ,wexh,واحه
vahâmet,wxembo2,وحامت
vahâmet,wxo1embo2,وخامت
vahâmetli,wxo1embo2lw,وخامتلو
vahîd,wxbu2d,وحيد
vahîd,wxyd,وحید
vahîdüddin,wxyd eldo8ybo1,وحید الدّین
vahîm,wo4xo1bu2mo0,وَخيمْ
vahîm,wxo1bu2m,وخيم
vahîm,wxo1ym,وخیم
vahîmdir,wxo1ymdr,وخیمدر
vahîmesidir,wxo1ymh||sydr,وخیمه‌سیدر
vahîmesindendir,wxo1ymh||sbo1dbo1dr,وخیمه‌سندندر
vahş,wxso3,وحش
vahşet,wo4xo0so3o4bo2o0,وَحْشَتْ
vahşet,wxso3bo2,وحشت
vahşet-engiz,wxso3bo2||eo5bo1ko7yro1,وحشت‌أنگیز
vahşet-i,wxso3bo2u4,وحشتِ
vahşet-âbâd,wxso3bo2||eo6bu1ed,وحشت‌آباد
vahşete,wxso3bo2h,وحشته
vahşetengiz,wxso3bo2 ebo1ko7yro1,وحشت انگیز
vahşetengiz,wxso3bo2||eo5bo1ko7yro1,وحشت‌أنگیز
vahşetengîz,wxso3bo2 ebo1ko7bu2ro1,وحشت انگيز
vahşetgâh,wxso3bo2ko7eh,وحشتگاه
vahşetgâhtır,wxso3bo2ko7ehdr,وحشتگاهدر
vahşetgâhımda,wxso3bo2ko7ehmdh,وحشتگاهمده
vahşeti,wxso3bo2y,وحشتی
vahşetin,wxso3bo2ko3,وحشتڭ
vahşetinde,wxso3bo2bo1dh,وحشتنده
vahşetinden,wxso3bo2bo1dbo1,وحشتندن
vahşetine,wxso3bo2bo1h,وحشتنه
vahşetini,wxso3bo2bo1y,وحشتنی
vahşetinizden,wxso3bo2ko3ro1dbo1,وحشتڭزدن
vahşetinizi,wxso3bo2ko3ro1y,وحشتڭزی
vahşetle,wxso3bo2lh,وحشتله
vahşetler,wxso3bo2lr,وحشتلر
vahşetlere,wxso3bo2lrh,وحشتلره
vahşetleri,wxso3bo2lry,وحشتلری
vahşetlerinde,wxso3bo2lrbo1dh,وحشتلرنده
vahşetlerle,wxso3bo2lrlh,وحشتلرله
vahşetli,wxso3bo2ly,وحشتلی
vahşetnak,wxso3bo2bo1ek,وحشتناک
vahşetnâk,wxso3bo2bo1ek,وحشتناک
vahşetsiz,wxso3bo2sro1,وحشتسز
vahşette,wxso3bo2dh,وحشتده
vahşetten,wxso3bo2dbo1,وحشتدن
vahşettir,wxso3bo2dr,وحشتدر
vahşetzar,wxso3bo2ro1er,وحشتزار
vahşetzâr,wxso3bo2ro1er,وحشتزار
vahşetâbâd,wxso3bo2||eo6bu1ed,وحشت‌آباد
vahşi adam,wxso3yedm,وحشیادم
vahşi,wxso3y,وحشی
vahşice,wxso3yxu1h,وحشیجه
vahşiden,wxso3ydbo1,وحشیدن
vahşiler,wxso3ylr,وحشیلر
vahşilerden,wxso3ylrdbo1,وحشیلردن
vahşileri,wxso3ylry,وحشیلری
vahşilerin,wxso3ylrko3,وحشیلرڭ
vahşilerle,wxso3ylrlh,وحشیلرله
vahşilik,wxso3ylk,وحشیلک
vahşiliğin,wxso3ylko7ko3,وحشیلگڭ
vahşinin,wxso3ybo1ko3,وحشینڭ
vahşisi,wxso3ysy,وحشیسی
vahşisin,wxso3ysko3,وحشیسڭ
vahşiyane,wo4xo0so3u4bu2o4ebo1o4h,وَحْشِيَانَه
vahşiyane,wo4xo0so3u4yo4ebo1o4h||,وَحْشِیَانَه‌
vahşiyane,wxso3yebo1h,وحشیانه
vahşiyane,wxso3yebo1h||,وحشیانه‌
vahşiyanede,wxso3yebo1h||dh,وحشیانه‌ده
vahşiyanelerini,wxso3yebo1h||lrybo1y,وحشیانه‌لرینی
vahşiyanesi,wxso3yebo1h||sy,وحشیانه‌سی
vahşiyaneye,wxso3yebo1h||yh,وحشیانه‌یه
vahşiyaneyi,wxso3yebo1h||yy,وحشیانه‌یی
vahşiye,wxso3yh,وحشیه
vahşiyenin,wxso3yh||bo1ko3,وحشیه‌نڭ
vahşiyeyi,wxso3yh||yy,وحشیه‌یی
vahşiyâne,wxso3bu2ebo1h,وحشيانه
vahşiyânede,wxso3yebo1h||dh,وحشیانه‌ده
vahşi̇yane,wo4xo0so3u4yo4ebo1o4h||,وَحْشِیَانَه‌
vahşî,wxso3y,وحشی
vahşîlik,wxso3bu2lk,وحشيلک
vaid,wad,وعد
vaid,wayd,وعید
vaidlerine,waydlrybo1h,وعیدلرینه
vaiz,weato1,واعظ
vaiz-i,weato1u4,واعظِ
vaizi,weato1y,واعظی
vaizin,weato1ko3,واعظڭ
vaizler,weato1lr,واعظلر
vaizlerden,weato1lrdbo1,واعظلردن
vaizlerdir,weato1lrdr,واعظلردر
vaizlere,weato1lrh,واعظلره
vaizleri,weato1lry,واعظلری
vaizlerimiz,weato1lrymro1,واعظلریمز
vaizlik,weato1lfo2,واعظلق
vaizlik,weato1lk,واعظلک
vaizliğe,weato1lko7h,واعظلگه
vaizliği,weato1lko7y,واعظلگی
vaizliğini,weato1lko7bo1y,واعظلگنی
vaizîn,weato1ybo1,واعظین
vajgun,wero3ko7wbo1,واژگون
vak'a,wfo2ah,وقعه
vak'a,wfo2ah||,وقعه‌
vak'a-i,wfo2ahu4,وقعهِ
vak'a-nüvislere,wfo2ah||bo1wyslrh,وقعه‌نویسلره
vak'ada,wfo2ah||dh,وقعه‌ده
vak'alar,wfo2ah||lr,وقعه‌لر
vak'aları,wfo2ah||lry,وقعه‌لری
vak'aların,wfo2ah||lrko3,وقعه‌لرڭ
vak'anüvis,wfo2ah bo1wys,وقعه نویس
vak'anüvisan,wfo2ah bo1wysebo1,وقعه نویسان
vak'anüvîsân,wfo2ah bo1wysebo1,وقعه نویسان
vak'anın,wfo2ah||bo1ko3,وقعه‌نڭ
vak'ası,wfo2ah||sy,وقعه‌سی
vak'asıdır,wfo2ah||sydr,وقعه‌سیدر
vak'asına,wfo2ah||sbo1h,وقعه‌سنه
vak'asında,wfo2ah||sbo1dh,وقعه‌سنده
vak'asından,wfo2ah||sbo1dbo1,وقعه‌سندن
vak'asıyla,wfo2ah||sylh,وقعه‌سیله
vak'aya,wfo2ah||yh,وقعه‌یه
vak'ayı,wfo2ah||yy,وقعه‌یی
vaka',wfo2ah,وقعه
vaka',wfo2ah||,وقعه‌
vakaayi,wfo2eya,وقایع
vakaayî,wfo2ebu2a,وقايع
vakai',wfo2ebo5a,وقائع
vakanüvis,wfo2ah bo1wbu2s,وقعه نويس
vakanüvis,wfo2ah bo1wys,وقعه نویس
vakar,wfo2er,وقار
vakar-ı,wfo2eru4,وقارِ
vakara,wfo2erh,وقاره
vakardır,wfo2erdr,وقاردر
vakaretli,wfo2erbo2lw,وقارتلو
vakarına,wfo2erybo1h,وقارینه
vakarını,wfo2erybo1y,وقارینی
vakayi',wfo2eya,وقایع
vakayi,wfo2eya,وقایع
vakayi’,wfo2eya,وقایع
vakayî,wfo2ebu2a,وقايع
vakf sahibi,wfo2fo1 zexbu1y,وقف صاحبی
vakf sâhibi,wfo2fo1 zexbu1y,وقف صاحبی
vakf,wfo2fo1,وقف
vakf-ı meşrut,wfo2fo1 mso3rwt,وقف مشروط
vakf-ı meşrût,wfo2fo1 mso3rwt,وقف مشروط
vakf-ı,wfo2fo1u4,وقفِ
vakfa,wfo2fo1h,وقفه
vakfe,wfo2fo1h,وقفه
vakfe,wfo2fo1h||,وقفه‌
vakfedeceğim,wfo2fo1 eydh||xu1ko7m,وقف ایده‌جگم
vakfeden,wfo2fo1 eydbo1,وقف ایدن
vakfedenlerin,wfo2fo1 eydbo1lrko3,وقف ایدنلرڭ
vakfedilmez,wfo2fo1 eydylmro1,وقف ایدیلمز
vakfedilmezse,wfo2fo1 eydylmro1sh,وقف ایدیلمزسه
vakfedilmiş,wfo2fo1 eydylmso3,وقف ایدیلمش
vakfedilse,wfo2fo1 eydylsh,وقف ایدیلسه
vakfedip,wfo2fo1 eydwbu1,وقف ایدوب
vakfediyor,wfo2fo1 eydyywr,وقف ایدییور
vakfegah,wfo2fo1h ko7eh||,وقفه گاه‌
vakfegâh,wfo2fo1h ko7eh,وقفه گاه
vakfeli,wfo2fo1h||ly,وقفه‌لی
vakfen,wfo2fo1o44e,وقفًا
vakfet,wfo2fo1 eybo2,وقف ایت
vakfetmek,wfo2fo1 ebu2bo2mk,وقف ايتمک
vakfetmek,wfo2fo1 eybo2mk,وقف ایتمک
vakfetmeliyiz,wfo2fo1 eybo2mh||ly||yro1,وقف ایتمه‌لی‌یز
vakfetmemiz,wfo2fo1 eybo2mh||mro1,وقف ایتمه‌مز
vakfetmiş,wfo2fo1 eybo2mso3,وقف ایتمش
vakfetmişim,wfo2fo1 eybo2mso3m,وقف ایتمشم
vakfetmişiz,wfo2fo1 eybo2mso3ro1,وقف ایتمشز
vakfetmişler,wfo2fo1 eybo2mso3lr,وقف ایتمشلر
vakfetmişlerdir,wfo2fo1 eybo2mso3lrdr,وقف ایتمشلردر
vakfetmişti,wfo2fo1 eybo2mso3dy,وقف ایتمشدی
vakfetsek,wfo2fo1 eybo2sh||k,وقف ایتسه‌ک
vakfettim,wfo2fo1 eybo2dm,وقف ایتدم
vakfiye,wfo2fo1bu2h,وقفيه
vakfiye,wfo2fo1yh||,وقفیه‌
vakfiyem,wfo2fo1yh||m,وقفیه‌م
vakfiyye,wfo2fo1bu2h,وقفيه
vakfiyye,wfo2fo1yh||,وقفیه‌
vakfolduğundan,wfo2fo1 ewldyao1bo1dbo1,وقف اولدیغندن
vakfolsa,wfo2fo1 ewlsh,وقف اولسه
vakfıkebir,wfo2fo1 kbu1yr,وقف کبیر
vaki olmak,wefo2a ew,واقع او
vaki' olmak,wefo2a ew,واقع او
vaki',wefo2a,واقع
vaki',wo4efo2u4ao0,وَاقِعْ
vaki'-i hal,wefo2a xel,واقع حال
vaki'-ül,wefo2a el,واقع ال
vaki'de,wefo2adh,واقعده
vaki'deki,wefo2adh||ky,واقعده‌کی
vaki'dir,wefo2adr,واقعدر
vaki'i,wefo2ay,واقعی
vaki,wefo2a,واقع
vaki,wefo2y,واقی
vakia mutabik,wo4efo2u4ao4h mo9to4ebu1u4fo2o0,وَاقِعَه مُطَابِقْ
vakia,wefo2ah,واقعه
vakia,wefo2ah||,واقعه‌
vakia,wo4efo2u4ao4h||,وَاقِعَه‌
vakif,wo4efo2u4fo1o0,وَاقِفْ
vakif,wo4fo2u4fo1o0,وَقِفْ
vakit gaib (kayıp) etmek,wfo2bo2 ao1ebo5bu1 e,وقت غائب ا
vakit geçirmek,wfo2bo2 kxu3wrmk,وقت کچورمک
vakit gâib (kayıp) etmek,wfo2bo2 ao1ebo5bu1 e,وقت غائب ا
vakit kazanmak,wfo2bo2 fo2ro1ebo1mfo2,وقت قزانمق
vakit tayin etmek,wfo2bo2 bo2ayybo1 e,وقت تعیین ا
vakit tayîn etmek,wfo2bo2 bo2abu2bu2bo1 e,وقت تعيين ا
vakit çok,wfo2bo2 xu3wfo2,وقت چوق
vakit,wfo2bo2,وقت
vakit-bevakit,wfo2bo2 bu1wfo2bo2,وقت بوقت
vakitki,wfo2bo2ky,وقتکی
vakitler,wfo2bo2lr,وقتلر
vakitlerde,wfo2bo2lrdh,وقتلرده
vakitlere,wfo2bo2lrh,وقتلره
vakitleri,wfo2bo2lry,وقتلری
vakitleridir,wfo2bo2lrydr,وقتلریدر
vakitlerimizde,wfo2bo2lrymro1dh,وقتلریمزده
vakitlerimizi,wfo2bo2lrymro1y,وقتلریمزی
vakitlerin,wfo2bo2lrko3,وقتلرڭ
vakitlerinde,wfo2bo2lrbo1dh,وقتلرنده
vakitlerini,wfo2bo2lrybo1y,وقتلرینی
vakitlerinin,wfo2bo2lrybo1ko3,وقتلرینڭ
vakitli vaktinde,wfo2bo2lw wfo2bo2bo1dh,وقتلو وقتنده
vakitli vaktinde,wfo2bo2lw wfo2bo2bo1dh||,وقتلو وقتنده‌
vakitli,wfo2bo2ly,وقتلی
vakitsiz ölüm,wfo2bo2sro1ewlm,وقتسزاولم
vakitsiz,wfo2bo2sro1,وقتسز
vakitte,wfo2bo2dh,وقتده
vakitteki,wfo2bo2dh||ky,وقتده‌کی
vakitten,wfo2bo2dbo1,وقتدن
vakittir,wfo2bo2dr,وقتدر
vakittirler,wfo2bo2drlr,وقتدرلر
vakiyye,wfo2bu2h,وقيه
vakiyye,wfo2yh||,وقیه‌
vaki̇',wefo2a,واقع
vaki̇',wo4efo2u4ao0,وَاقِعْ
vaki̇t,wfo2bo2,وقت
vakkas,wfo2o8ez,وقّاص
vakt,wfo2bo2,وقت
vakt-i kerahet,wo4fo2o0bo2u4 ko4ro4eho4bo2o0,وَقْتِ کَرَاهَتْ
vakt-i kerâhet,wo4fo2o0bo2u4 ko4ro4eho4bo2o0,وَقْتِ کَرَاهَتْ
vakt-i,wfo2bo2u4,وقتِ
vakt-i̇ kerahet,wo4fo2o0bo2u4 ko4ro4eho4bo2o0,وَقْتِ کَرَاهَتْ
vakt-üz,wfo2bo2 el,وقت ال
vakta ki,wo4fo2o0bo2o4eku4h||,وَقْتَاکِه‌
vakta ki̇,wo4fo2o0bo2o4eku4h||,وَقْتَاکِه‌
vakta,wfo2bo2e,وقتا
vaktaki,wfo2bo2e kh,وقتا که
vaktaki,wfo2bo2ekh||,وقتاکه‌
vakte,wfo2bo2h,وقته
vakten min-el-evkat,wfo2bo2eo44 mbo1 elewfo2ebo2,وقتاً من الاوقات
vakten min-el-evkât,wfo2bo2eo44 mbo1 elewfo2ebo2,وقتاً من الاوقات
vakti gelmeden,wfo2bo2y klmdbo1,وقتی کلمدن
vakti hali olan,wfo2bo1y xo1ely ewlebo1,وقنی خالی اولان
vakti hâlî olan,wfo2bo1y xo1ely ewlebo1,وقنی خالی اولان
vakti,wfo2bo2y,وقتی
vakti-vaktine,wfo2bo2y wfo2bo2bo1h,وقتی وقتنه
vaktidir,wfo2bo2ydr,وقتیدر
vaktim,wfo2bo2m,وقتم
vaktimi,wfo2bo2my,وقتمی
vaktimin,wfo2bo2mko3,وقتمڭ
vaktimiz,wfo2bo2mro1,وقتمز
vaktimizde,wfo2bo2mro1dh,وقتمزده
vaktimizi,wfo2bo2mro1y,وقتمزی
vaktin,wfo2bo2ko3,وقتڭ
vaktinde,wfo2bo2bo1dh,وقتنده
vaktinde,wfo2bo2bo1dh||,وقتنده‌
vaktindeki,wfo2bo2bo1dh||ky,وقتنده‌کی
vaktinden evvel,wfo2bo2bo1dbo1 ewl,وقتندن اول
vaktinden,wfo2bo2bo1dbo1,وقتندن
vaktine dikkat etmek,wfo2bo2bo1h dfo2bo2 e,وقتنه دقت ا
vaktine,wfo2bo2bo1h,وقتنه
vaktini tutmak,wfo2bo2bo1y twbo2mfo2,وقتنی طوتمق
vaktini,wfo2bo2bo1y,وقتنی
vaktinin,wfo2bo2bo1ko3,وقتنڭ
vaktiniz,wfo2bo2ko3ro1,وقتڭز
vaktinizde,wfo2bo2ko3ro1dh,وقتڭزده
vaktiye-i,wfo2bo2yhu4,وقتیهِ
vaktiyle,wfo2bo2ylh,وقتیله
vaktâ ki,wo4fo2o0bo2o4eku4h,وَقْتَاکِه
vaktâ,wfo2bo2e,وقتا
vaktâki,wfo2bo2e kh,وقتا که
vaktâki,wfo2bo2ekh,وقتاکه
vaktî,wfo2bo2y,وقتی
vakum,wefo2wm,واقوم
