a'cam,eo5axu1em,أعجام
a'ref,eo5arfo1,أعرف
a'râb,earebu1,اعراب
a'râbî,earebu1y,اعرابی
a'râz,earezo1,اعراض
a'sab,eazebu1,اعصاب
a'sab,eo5azebu1,أعصاب
a'sab-i muharrike,eo4ao0zo4ebu1u4 mo9xo4ru4o8ko4h,اَعْصَابِ مُحَرِّکَه
a'sab-i muharri̇ke,eo4ao0zo4ebu1u4 mo9xo4ru4o8ko4h||,اَعْصَابِ مُحَرِّکَه‌
a'sab-ı muharrike,eo4ao0zo4ebu1u4 mo9xo4ru4o8ko4h,اَعْصَابِ مُحَرِّکَه
a'sab-ı muharrike,eo4ao0zo4ebu1u4 mo9xo4ru4o8ko4h||,اَعْصَابِ مُحَرِّکَه‌
a'sab-ı,eo5azebu1u4,أعصابِ
a'sab_a,eo5azebu1h,أعصابه
a'sab_ları,eo5azebu1lry,أعصابلری
a'sab_ına,eo5azebu1bo1h,أعصابنه
a'sab_ından,eo5azebu1bo1dbo1,أعصابندن
a'sar,eazer,اعصار
a'sar,eo4ao0zo4ero0,اَعْصَارْ
a'sar,eo5azer,أعصار
a'sar-ı,eo5azeru4,أعصارِ
a'sar_da,eo5azerdh,أعصارده
a'sarnişin,eo5azerbo1so3ybo1,أعصارنشین
a'sarnişîn,eo5azerbo1so3ybo1,أعصارنشین
a'sar_ı,eo5azery,أعصاری
a'sar_ın,eo5azerko3,أعصارڭ
a'sâb,eazebu1,اعصاب
a'sâr,eazer,اعصار
a'sâr,eo4ao0zo4ero0,اَعْصَارْ
a'sâr-ı,eo5azeru4,أعصارِ
a'sâr_ın,eo6azerko3,آعصارڭ
a'tayna_da,eo4ao0to4yo0bo1o4edh,اَعْطَیْنَاده
a'tayna_nın,eo4ao0to4yo0bo1o4ebo1ko3,اَعْطَیْنَانڭ
a'tayna_yı,eo4ao0to4yo0bo1o4eyy,اَعْطَیْنَایی
a'tayna,eo4ao0to4yo0bo1o4e,اَعْطَیْنَا
a'taynake_deki,eo4ao0to4yo0bo1o4eko4 dhky,اَعْطَیْنَاکَ دهکی
a'taynake-l,eo4ao0to4yo0bo1eko4 el,اَعْطَیْناکَ ال
a'vec,eawxu1,اعوج
a'ver,eawr,اعور
a'ver,eo5awr,أعور
a'yad,eayed,اعیاد
a'yan,eayebo1,اعیان
a'yan,eo5ayebo1,أعیان
a'yâd,eabu2ed,اعياد
a'yân,eabu2ebo1,اعيان
a'yân-ı,eo5ayebo1u4,أعیانِ
a'yün,eabu2bo1,اعين
a'yün,eaybo1,اعین
a'za,eazo1e,اعضا
a'za,eo4ao0zo1o4e,اَعْضَا
a'za,eo5azo1e,أعضا
a'za-i,eo5azo1ecu4,أعضاءِ
a'za-yı,eo5azo1eyu4,أعضایِ
a'za_dan,eo5azo1edbo1,أعضادن
a'za_lar,eo5azo1elr,أعضالر
a'za_lardaki,eo5azo1elrdh||ky,أعضالرده‌کی
a'za_ları,eo5azo1elry,أعضالری
a'za_ların,eo5azo1elrko3,أعضالرڭ
a'za_larına,eo5azo1elrybo1h,أعضالرینه
a'za_larında,eo5azo1elrbo1dh,أعضالرنده
a'za_larındaki,eo5azo1elrbo1dh||ky,أعضالرنده‌کی
a'za_larından,eo5azo1elrbo1dbo1,أعضالرندن
a'za_larını,eo5azo1elrybo1y,أعضالرینی
a'za_larıyla,eo5azo1elrylh,أعضالریله
a'za_lığı,eo5azo1elao1y,أعضالغی
a'za_lığında,eo5azo1elao1bo1dh,أعضالغنده
a'zam,eato1m,اعظم
a'zam,eo4ao0to1o4mo0,اَعْظَمْ
a'zam,eo5ato1m,أعظم
a'zam-ün,eo5ato1m el,أعظم ال
a'zam-üş,eo5ato1m el,أعظم ال
a'zam-ı,eo5ato1mu4,أعظمِ
a'zam_a,eo5ato1mh,أعظمه
a'zam_da,eo5ato1mdh,أعظمده
a'zam_daki,eo5ato1mdh||ky,أعظمده‌کی
a'zam_dan,eo5ato1mdbo1,أعظمدن
a'zam_dır,eo5ato1mdr,أعظمدر
a'zami,eo4ao0to1o4mo0y,اَعْظَمْی
a'zami,eo5ato1my||,أعظمی‌
a'zamiye,eo5ato1myh||,أعظمیه‌
a'zamiyesinin,eo5ato1myh||sbo1ko3,أعظمیه‌سنڭ
a'zamiyet,eo5ato1mybo2,أعظمیت
a'zami̇,eo4ao0to1o4mo0y,اَعْظَمْی
a'zam_la,eo5ato1mlh,أعظمله
a'zam_ları,eo5ato1mlry,أعظملری
a'zam_larından,eo5ato1mlrbo1dbo1,أعظملرندن
a'zam_larındandır,eo5ato1mlrbo1dbo1dr,أعظملرندندر
a'zam_larının,eo5ato1mlrybo1ko3,أعظملرینڭ
a'zam_lık,eo5ato1mlfo2,أعظملق
a'zamî,eo4ao0to1o4mo0bu2,اَعْظَمْي
a'zamî,eo5ato1my,أعظمی
a'zamî_si,eo5ato1mysy,أعظمیسی
a'zamî_yi,eo5ato1my||yy,أعظمی‌یی
a'zam_ı,eo5ato1my,أعظمی
a'zam_ıdır,eo5ato1mydr,أعظمیدر
a'zam_ım,eo5ato1mm,أعظمم
a'zam_ımıza,eo5ato1mmro1h,أعظممزه
a'zam_ın,eo5ato1mko3,أعظمڭ
a'zam_ına,eo5ato1mbo1h,أعظمنه
a'zam_ında,eo5ato1mko3dh,أعظمڭده
a'zam_ından,eo5ato1mbo1dbo1,أعظمندن
a'zam_ını,eo5ato1mbo1y,أعظمنی
a'zam_ının,eo5ato1mbo1ko3,أعظمنڭ
a'zam_ıyla,eo5ato1mylh,أعظمیله
a'za_nın,eo5azo1ebo1ko3,أعضانڭ
a'zası endamından hariç olan,eazo1esy ebo1dembo1dbo1 xu1erxu1 ewlebo1,اعضاسی اندامندن جارج اولان
a'za_sı,eo5azo1esy,أعضاسی
a'za_sına,eo5azo1esbo1h,أعضاسنه
a'za_sında,eo5azo1esbo1dh,أعضاسنده
a'za_sındaki,eo5azo1esbo1dh||ky,أعضاسنده‌کی
a'za_sından,eo5azo1esbo1dbo1,أعضاسندن
a'za_sını tefrik,eazo1esbo1y bo2fo1ryfo2,اعضاسنی تفریق ا
a'za_sını,eo5azo1esbo1y,أعضاسنی
a'za_sının,eo5azo1esbo1ko3,أعضاسنڭ
a'za_sıyla,eo5azo1esylh,أعضاسیله
a'zâ,eazo1e,اعضا
a'zâ,eo4ao0zo1o4e,اَعْضَا
a'zâsı endâmından hâriç olan,eazo1esy ebo1dembo1dbo1 xu1erxu1 ewlebo1,اعضاسی اندامندن جارج اولان
a'zâsına,eo5azo1esbo1h,أعضاسنه
a'zâsını tefrîk,eazo1esbo1y bo2fo1rbu2fo2,اعضاسنی تفريق ا
a'şak,eo5aso3fo2,أعشق
a'şar,easo3er,اعشار
a'şari,easo3ery,اعشاری
a'şâr,easo3er,اعشار
a'şârî,easo3ery,اعشاری
a,a,ع
a,bo5h,ئه
a,bo5h||,ئه‌
a,eo6,آ
a,h,ه
a,h||,ه‌
ab -ı abisteni,eo6bu1 eo6bu1sbo2bo1y,آب آبستنی
ab -ı adalet,eo6bu1 adelbo2,آب عدالت
ab -ı ahmer,eo6bu1 exmr,آب احمر
ab -ı ateşin,eo6bu1 eo6bo2so3ybo1,آب آتشین
ab -ı badereng,eo6bu1 bu1edh rbo1ko7,آب باده رنگ
ab -ı engur,eo6bu1 ebo1ko7wr,آب انگور
ab -ı kevser,eo6bu1 kwbo3r,آب کوثر
ab'ab,abu1aebu1,عبعاب
ab'âb,abu1aebu1,عبعاب
ab,ebu1,اب
ab,eo6bu1,آب
ab-i abi̇steni̇,eo6bu1 eo6bu1sbo2bo1y,آب آبستنی
ab-i adalet,eo6bu1 adelbo2,آب عدالت
ab-i ahmer,eo6bu1 exmr,آب احمر
ab-i ateşi̇n,eo6bu1 eo6bo2so3ybo1,آب آتشین
ab-i badereng,eo6bu1 bu1edh rbo1ko7,آب باده رنگ
ab-i engur,eo6bu1 ebo1ko7wr,آب انگور
ab-i harabat,eo6bu1 xo1rebu1ebo2,آب خرابات
ab-i kevser,eo6bu1 kwbo3r,آب کوثر
ab-ı abisteni,eo6bu1 eo6bu1sbo2bo1y,آب آبستنی
ab-ı adalet,eo6bu1 adelbo2,آب عدالت
ab-ı ahmer,eo6bu1 exmr,آب احمر
ab-ı ateşin,eo6bu1 eo6bo2so3ybo1,آب آتشین
ab-ı badereng,eo6bu1 bu1edh rbo1ko7,آب باده رنگ
ab-ı engur,eo6bu1 ebo1ko7wr,آب انگور
ab-ı harabat,eo6bu1 xo1rebu1ebo2,آب خرابات
ab-ı kevser,eo6bu1 kwbo3r,آب کوثر
ab-ı,eo6bu1u4,آبِ
aba',eo6bu1ec,آباء
aba,abu1e,عبا
aba,ebu1e,ابا
aba,eo6bu1e,آبا
aba,eo6bu1ec,آباء
abad,ebu1ed,اباد
abad,eo6bu1ed,آباد
abadan,abu1edbo1,عبادن
abadan,ebu1edebo1,ابادان
abadan,eo6bu1edebo1,آبادان
abadani,eo6bu1edebo1y,آبادانی
abadan_lık,eo6bu1edebo1lfo2,آبادانلق
abadi,eo6bu1edy,آبادی
abadile,ao4bu1eo4du4lo4h||,عَباَدِلَه‌
abadile-i,ao4bu1eo4du4lo4hu4,عَباَدِلَهِ
abadînin,eo6bu1edybo1ko3,آبادینڭ
abajur,eo6bu1ero3wr,آباژور
abaka,eo6bu1efo2h,آباقه
abaka,eo6bu1efo2h||,آباقه‌
abal,eo6bu1el,آبال
abamak,eo6bu1emfo2,آبامق
aban,eo6bu1ebo1,آبان
abandır,eo6bu1ebo1dyr,آباندیر
abandır_mak,eo6bu1ebo1dbu2rmfo2,آبانديرمق
abandır_mak,eo6bu1ebo1dyrmfo2,آباندیرمق
abani,eo6bu1ebo1y,آبانی
aban_la,eo6bu1ebo1le,آبانلا
aban_lamak,eo6bu1ebo1lemfo2,آبانلامق
aban_mak,ebu1ebo1mfo2,ابانمق
aban_mak,eo6bu1ebo1mfo2,آبانمق
abanoz,ebu1bo1ws,ابنوس
abanoz,eo6bu1ebo1wro1,آبانوز
abapuş,abu1ebu3wso3,عباپوش
abar,eo6bu1er,آبار
aba_sını,abu1esbo1y,عباسنی
abayı,abu1eyy,عبایی
aba’,eo6bu1ec,آباء
abcame,eo6bu1xu1emh||,آبجامه‌
abd,abu1d,عبد
abd,ao4bu1o0do0,عَبْدْ
abd-i külli,ao4bu1o0du4 ko9lu4o8y,عَبْدِ کُلِّی
abd-i küllî,ao4bu1o0du4 ko9lu4o8bu2,عَبْدِ کُلِّي
abd-i mahsŪs,ao4bu1o0du4 mo4xo1o0zo9wzo0,عَبْدِ مَخْصُوصْ
abd-i mahsūs,ao4bu1o0du4 mo4xo1o0zo9wzo0,عَبْدِ مَخْصُوصْ
abd-i mü'min,ao4bu1o0du4 mo9wo5o0mu4bo1o0,عَبْدِ مُؤْمِنْ
abd-i mükerrem,ao4bu1o0du4 mo9ko4ro4o8mo0,عَبْدِ مُکَرَّمْ
abd-i,abu1du4,عبدِ
abd-il,abu1d el,عبد ال
abd-i̇ külli̇,ao4bu1o0du4 ko9lu4o8y,عَبْدِ کُلِّی
abd-i̇ mahsūs,ao4bu1o0du4 mo4xo1o0zo9wzo0,عَبْدِ مَخْصُوصْ
abd-i̇ mü'mi̇n,ao4bu1o0du4 mo9wo5o0mu4bo1o0,عَبْدِ مُؤْمِنْ
abd-i̇ mükerrem,ao4bu1o0du4 mo9ko4ro4o8mo0,عَبْدِ مُکَرَّمْ
abd-ı,abu1du4,عبدِ
abdal,eo6bu1del,آبدال
abdal,eo6bu1o0do4elo0,آبْدَالْ
abdaliye,eo5bu1delyh||,أبدالیه‌
abdaliyye,eo5bu1delyh||,أبدالیه‌
abdal_lık,eo6bu1dellfo2,آبداللق
abdal_sı,eo6bu1delsy,آبدالسی
abdan,eo6bu1debo1,آبدان
abdar,ebu1der,ابدار
abdar,eo6bu1der,آبدار
abdarlık,eo6bu1derlfo2,آبدارلق
abd_de,abu1ddh,عبدده
abd_dir,abu1ddr,عبددر
abd_dirler,abu1ddrlr,عبددرلر
abd_e,abu1dh,عبده
abdendan,eo6bu1dbo1debo1,آبدندان
abdesane,eo6bu1dsbo2xo1ebo1h||,آبدستخانه‌
abdes_lik,eo6bu1dsbo2lk,آبدستلک
abdes_siz,eo6bu1dsbo2sro1,آبدستسز
abdest almak,ebu1dsbo2 elmfo2,ابدست المق
abdest,ebu1dsbo2,ابدست
abdest,eo6bu1dsbo2,آبدست
abdestan,eo6bu1dsbo2ebo1,آبدستان
abdesthane,ebu1dsbo2xo1ebo1h||,ابدستخانه‌
abdesthane,eo6bu1dsbo2xo1ebo1h||,آبدستخانه‌
abdesthâne,ebu1dsbo2xo1ebo1h,ابدستخانه
abdesthâne,eo6bu1dsbo2xo1ebo1h,آبدستخانه
abdest_i,eo6bu1dsbo2y,آبدستی
abdest_in,eo6bu1dsbo2ko3,آبدستڭ
abdest_ini,eo6bu1dsbo2ko3y,آبدستڭی
abdest_iyle,eo6bu1dsbo2ylh,آبدستیله
abdest_le,eo6bu1dsbo2lh,آبدستله
abdest_li,eo6bu1dsbo2ly,آبدستلی
abdest_lik,eo6bu1dsbo2lk,آبدستلک
abdest_siz,eo6bu1dsbo2sro1,آبدستسز
abdest_te,eo6bu1dsbo2dh,آبدستده
abdesâne,eo6bu1dsbo2xo1ebo1h,آبدستخانه
abdi,abu1dy,عبدی
abd_idir,abu1dydr,عبدیدر
abd_im,abu1dm,عبدم
abd_ime,abu1dymh,عبدیمه
abd_imin,abu1dymko3,عبدیمڭ
abd_imiz,abu1dymro1,عبدیمز
abd_in,abu1dko3,عبدڭ
abd_inden,abu1dbo1dbo1,عبدندن
abd_ine,abu1dybo1h,عبدینه
abd_ini,abu1dybo1y,عبدینی
abd_inim,abu1dyko3m,عبدیڭم
abd_inin,abu1dybo1ko3,عبدینڭ
abd_isin,abu1dysko3,عبدیسڭ
abd_iyete,abu1dybo2h,عبدیته
abd_iyetim,abu1dybo2m,عبدیتم
abd_iyetin,abu1dybo2ko3,عبدیتڭ
abd_iyetine,abu1dybo2ko3h,عبدیتڭه
abd_iyyetin,abu1dybo2ko3,عبدیتڭ
abd_iz,abu1dro1,عبدز
abd_lerine,abu1dlrybo1h,عبدلرینه
abdâl,eo6bu1o0do4elo0,آبْدَالْ
abdâliyye_den,eo5bu1delyh||dbo1,أبدالیه‌دن
abdâr,ebu1der,ابدار
abe,eo6bu1h||,آبه‌
abede,abu1dh,عبده
abede,abu1dh||,عبده‌
abede-i esnam,abu1dh ezbo1em,عبده اصنام
abede-i esnâm,abu1dh ezbo1em,عبده اصنام
abede-i evsan,abu1dh ewbo3ebo1,عبده اوثان
abede-i evsân,abu1dh ewbo3ebo1,عبده اوثان
abek,eo6bu1k,آبک
abes,abu1bo2,عبت
abes,abu1bo3,عبث
abes,ao4bu1o4bo3o0,عَبَثْ
abese,abu1s,عبس
abesiyet,abu1bo3ybo2,عبثیت
abesiyet,ao4bu1o4bo3u4bu2o4bo2o0,عَبَثِيَتْ
abesiyet,ao4bu1o4bo3u4yo4bo2o0,عَبَثِیَتْ
abesiyet-i,abu1bo3ybo2u4,عبثیتِ
abesiyet_e,abu1bo3ybo2h,عبثیته
abesiyet_i,abu1bo3ybo2y,عبثیتی
abesiyet_in,abu1bo3ybo2ko3,عبثیتڭ
abesiyet_le,abu1bo3ybo2lh,عبثیتله
abesiyet_ten,abu1bo3ybo2dbo1,عبثیتدن
abesiyyet,abu1bo3ybo2,عبثیت
abesiyyet-i,abu1bo3ybo2u4,عبثیتِ
abesiyyet_e,abu1bo3ybo2h,عبثیته
abesiyyet_i,abu1bo3ybo2y,عبثیتی
abesiyyet_le,abu1bo3ybo2lh,عبثیتله
abesiyyet_ten,abu1bo3ybo2dbo1,عبثیتدن
abesiyyun,abu1bo3ywbo1,عبثیون
abesi̇yet,ao4bu1o4bo3u4yo4bo2o0,عَبَثِیَتْ
abes_tir,abu1bo3dr,عبثدر
abgine,eo6bu1ko7ybo1h||,آبگینه‌
abgir,eo6bu1ko7yr,آبگیر
abgon,eo6bu1kwbo1,آبکون
abgun,eo6bu1ko7wbo1,آبگون
abher,abu1hr,عبهر
abhiz,eo6bu1xo1yro1,آبخیز
abhord,eo6bu1xo1wrd,آبخورد
abi,eo6bu1y,آبی
abid,abu1d,عبد
abid,abu1yd,عبید
abid,aebu1d,عابد
abidat,eo6bu1debo2,آبدات
abide,eo6bu1dh||,آبده‌
abide_leri,eo6bu1dh||lry,آبده‌لری
abide_nin,eo6bu1dh||bo1ko3,آبده‌نڭ
abide_sini,eo6bu1dh||sbo1y,آبده‌سنی
abidevi,eo6bu1dwy,آبدوی
abile,ebu1lh,ابله
abile,ebu1lh||,ابله‌
abile,eo6bu1lh||,آبله‌
abir,aebu1r,عابر
abisten,eo6bu1sbo2bo1,آبستن
abisten_gah,eo6bu1sbo2bo1ko7eh||,آبستنگاه‌
abişhor,eo6bu1so3xo1wr,آبشخور
abi̇d,aebu1d,عابد
abi̇dat,eo6bu1debo2,آبدات
abkar,eo6bu1ker,آبکار
abkeş,eo6bu1kso3,آبکش
abla,ebu1le,ابلا
abla,ebu1lh,ابله
abla,ebu1lh||,ابله‌
abla,eo6bu1le,آبلا
ablak,ebu1lfo2,ابلق
ablak,eo6bu1lefo2,آبلاق
abli,eo6bu1ly,آبلی
abloka,eo6bu1lwfo2h,آبلوقه
abloka,eo6bu1lwfo2h||,آبلوقه‌
abluka,ebu1lwfo2h,ابلوقه
abluka,ebu1lwfo2h||,ابلوقه‌
abluka,eo6bu1lwfo2h,آبلوقه
abluka,eo6bu1lwfo2h||,آبلوقه‌
abluka_ya,eo6bu1lwfo2h||yh,آبلوقه‌یه
abnos,eo6bu1bo1ws,آبنوس
abnus,eo6bu1bo1ws,آبنوس
abnusiyye,eo6bu1bo1wsyh||,آبنوسیه‌
abone,eo6bu1wbo1h,آبونه
abone,eo6bu1wbo1h||,آبونه‌
abone_ler,eo6bu1wbo1h||lr,آبونه‌لر
abone_lik,eo6bu1wbo1h||lk,آبونه‌لک
abrah,eo6bu1reh||,آبراه‌
abraş,ebu1rso3,ابرش
abraş,eo6bu1reso3,آبراش
abriz,eo6bu1ryro1,آبریز
abru,eo6bu1rw,آبرو
abruy,ebu1rwy,ابروی
abu,ebu1w,ابو
abu,eo6bu1w,آبو
abuk sabuk,eo6bu1wfo2||zebu1wfo2,آبوق‌صابوق
abuksabuk,eo6bu1wfo2 zebu1wfo2,آبوق صابوق
abur cubur,eo6bu1wrxu1bu1wr,آبورجبور
aburcubur,eo6bu1wr xu1wbu1wr,آبور جوبور
abus,abu1ws,عبوس
abus,ao4bu1o9wso0,عَبُوسْ
abyari,eo6bu1yery,آبیاری
abzih,eo6bu1ro1h||,آبزه‌
abâni,eo6bu1ebo1y,آبانی
abâpûş,abu1ebu3wso3,عباپوش
abâsı,abu1esy,عباسی
abâsını,abu1esbo1y,عباسنی
abâyı,abu1eyy,عبایی
abçin,eo6bu1xu3ybo1,آبچین
abîd,abu1bu2d,عبيد
abîdane,abu1ydebo1h,عبیدانه
abûs,abu1ws,عبوس
abûs,ao4bu1o9wso0,عَبُوسْ
abühava,eo6bu1 w hwe,آب و هوا
abıhayat,eo6bu1 xbu2ebo2,آب حيات
abıhayat,eo6bu1 xyebo2,آب حیات
abıru,eo6bu1rw,آبرو
abşar,eo6bu1so3er,آبشار
ab’ab,abu1aebu1,عبعاب
ac,aexu1,عاج
ac,eo6xu1,آج
acaba,axu1bu1e,عجبا
acabâ,axu1bu1e,عجبا
acaib şey,axu1ybu1 so3y,عجیب شی
acaib,axu1ebo5bu1,عجائب
acaib,axu1eyo5bu1,عجائب
acaib,axu1ybu1,عجیب
acaib-i,axu1eyo5bu1u4,عجائبِ
acaib-ül,axu1eyo5bu1 el,عجائب ال
acaib_ce,axu1eyo5bu1xu1h,عجائبجه
acaib_den,axu1eyo5bu1dbo1,عجائبدن
acaib_dendir,axu1eyo5bu1dbo1dr,عجائبدندر
acaib_dir,axu1eyo5bu1dr,عجائبدر
acaib_e,axu1eyo5bu1h,عجائبه
acaib_i,axu1eyo5bu1y,عجائبی
acaib_in,axu1eyo5bu1ko3,عجائبڭ
acaib_indendir,axu1eyo5bu1bo1dbo1dr,عجائبندندر
acaib_ine,axu1eyo5bu1bo1h,عجائبنه
acaib_ini,axu1eyo5bu1bo1y,عجائبنی
acaib_inin,axu1eyo5bu1bo1ko3,عجائبنڭ
acaib_iyle,axu1eyo5bu1ylh,عجائبیله
acaib_ler,axu1eyo5bu1lr,عجائبلر
acaib_lere,axu1eyo5bu1lrh,عجائبلره
acaib_leriyle,axu1eyo5bu1lrylh,عجائبلریله
acaip,axu1eyo5bu1,عجائب
acai̇b,axu1ebo5bu1,عجائب
acal,eo6xu1el,آجال
acaleten,axu1elho2,عجالة
acar,eo6xu1er,آجار
acar,exu1er,اجار
acayib,axu1bu2bu1,عجيب
acayib,axu1ebo5bu1,عجائب
acayib,axu1ybu1,عجیب
acayip tabiatlı,axu1bu2bu1 tbu1bu2abo2lw,عجيب طبيعتلو
acaîb şey,axu1bu2bu1 so3y,عجيب شی
acaîb,axu1bu2bu1,عجيب
acb,axu1bu1,عجب
acb-üz,axu1bu1 el,عجب ال
aceb,axu1bu1,عجب
aceba,axu1bu1e,عجبا
acebâ,axu1bu1e,عجبا
acele ettirmek,axu1lh ebu2bo2drmk,عجله ايتدرمک
acele ettirmek,axu1lh eybo2drmk,عجله ایتدرمک
acele ile,axu1lh ebu2lh,عجله ايله
acele ile,axu1lh eylh||,عجله ایله‌
acele,axu1lh,عجله
acele,axu1lh||,عجله‌
acele_ci,axu1lh||xu1y,عجله‌جی
acele_cileri,axu1lh||xu1ylry,عجله‌جیلری
