
p,bu3,پ
paha biçmeklik,bu1he bu1xu3mklk,بها بچمکلک
paha tayin etmek,bu1hebo2ayybo1 e,بهاتعیین ا
paha,bu1he,بها
paha,bu3he,پها
pahacı,bu3hexu1y,پهاجی
pahalan,bu3helebo1,پهالان
pahalanmak,bu3helebo1mfo2,پهالانمق
pahalaştırdı,bu3heleso3dyrdy,پهالاشدیردی
pahalı,bu1helw,بهالو
pahalı,bu1hely,بهالی
pahalı,bu3hely,پهالی
pahalıdır,bu1helydr,بهالیدر
pahalılaş,bu3helyleso3,پهالیلاش
pahalılaşmak,bu3helbu2leso3mfo2,پهاليلاشمق
pahalılaşmak,bu3helyleso3mfo2,پهالیلاشمق
pahalılık,bu1helwlfo2,بهالولق
pahalılık,bu1helylfo2,بهالیلق
pahalılık,bu3helbu2lfo2,پهاليلق
pahalılık,bu3helylfo2,پهالیلق
pahası inmek,bu3hesy ebo1mk,پهاسی انمک
pahasına,bu1hesbo1h,بهاسنه
pahaya çıkmış,bu3hebu2h xu3bu2fo2mso3,پهايه چيقمش
pahaya çıkmış,bu3heyh xu3yfo2mso3,پهایه چیقمش
pahâ biçmek,bu1hebu1xu3mk,بهابچمک
pahâ biçmeklik,bu1he bu1xu3mklk,بها بچمکلک
pahâ tayîn etmek,bu1hebo2abu2bu2bo1 e,بهاتعيين ا
pahâ,bu1he,بها
pak,bu3ek,پاک
pak,bu3o4eko0,پَاکْ
pak-damenlik,bu3ekdembo1lk,پاکدامنلک
pakbaz,bu3ekbu1ero1,پاکباز
pakdamen,bu3ek dembo1,پاک دامن
paket,bu3ekbo2,پاکت
paket,bu3ekh<>bo2,پاکه‌ت
paket,bu3ekh||bo2,پاکه‌ت
paketi,bu3ekbo2y,پاکتی
paketleri,bu3ekbo2lry,پاکتلری
paketleriyle,bu3ekbo2lrylh,پاکتلریله
paki,bu3eky,پاکی
pakistan'a,bu3eksbo2ebo1h,پاکستانه
pakistan'da,bu3eksbo2ebo1dh,پاکستانده
pakistan'daki,bu3eksbo2ebo1dh||ky,پاکستانده‌کی
pakistan'dan,bu3eksbo2ebo1dbo1,پاکستاندن
pakistan'la,bu3eksbo2ebo1lh,پاکستانله
pakistan'lara,bu3eksbo2ebo1lrh,پاکستانلره
pakistan'lı,bu3eksbo2ebo1ly,پاکستانلی
pakistan'ın,bu3eksbo2ebo1ko3,پاکستانڭ
pakistan,bu3eksbo2ebo1,پاکستان
pakistanlı,bu3eksbo2ebo1ly,پاکستانلی
pakistanlıdır,bu3eksbo2ebo1lydr,پاکستانلیدر
pakistanlılar,bu3eksbo2ebo1lylr,پاکستانلیلر
pakistanlıyım,bu3eksbo2ebo1ly||ym,پاکستانلی‌یم
pakize,bu3ekyro1h||,پاکیزه‌
paklığı,bu3eklko7y,پاکلگی
paktlar,bu3efo2bo2lr,پاقتلر
paktı,bu3efo2bo2y,پاقتی
pala,bu3ele,پالا
pala,bu3elh,پاله
pala,bu3elh||,پاله‌
palabıyık,bu3elebu1bu2bu2fo2,پالابييق
palabıyık,bu3elebu1yyfo2,پالابییق
palamar,bu3lemer,پلامار
palamud,bu3elemwd,پالامود
palamut,bu3lembu2d,پلاميد
palamut,bu3lemwt,پلاموط
palamut,bu3lemyd,پلامید
palan,bu3elebo1,پالان
palan,bu3lebo1,پلان
palanduz,bu3elebo1 dwro1,پالان دوز
palanga,bu3elebo1ao1e,پالانغا
palanga,bu3lbo1fo2h,پلنقه
palanga,bu3lbo1fo2h||,پلنقه‌
palanga,bu3lebo1fo2h,پلانقه
palanga,bu3lebo1fo2h||,پلانقه‌
palaska,bu3elesfo2e,پالاسقا
palaska,bu3elesfo2h,پالاسقه
palaska,bu3lesfo2h,پلاسقه
palaska,bu3lesfo2h||,پلاسقه‌
palaskalı,bu3elesfo2ely,پالاسقالی
palaskalık,bu3elesfo2elfo2,پالاسقالق
palaspandras,bu3eles bu3ebo1dres,پالاس پاندراس
palastrupa,bu3elestrwbu3h,پالاسطروپه
palastrupa,bu3elestrwbu3h||,پالاسطروپه‌
palavra,bu3elewre,پالاورا
palavracı,bu3elewrexu1y,پالاوراجی
palavralarla,bu3elewrelrlh,پالاورالرله
palaz,bu3elero1,پالاز
palazla,bu3elero1le,پالازلا
palazlamak,bu3elero1lemfo2,پالازلامق
paldırküldür,bu3eldbu2rkwldwr,پالديرکولدور
paldırküldür,bu3eldyrkwldwr,پالدیرکولدور
palet,bu3elh<>bo2,پاله‌ت
palet,bu3elh||bo2,پاله‌ت
palto,bu3elbo2w,پالتو
palto,bu3eltw,پالطو
paltonundur,bu3eltwbo1ko3dr,پالطونڭدر
paltoyu,bu3eltwyy,پالطویی
palu,bu3elw,پالو
paluze,bu3elwro1h||,پالوزه‌
palyaço,bu3elbu2exu3w,پالياچو
palyaço,bu3elyexu3w,پالیاچو
palyaçoluk,bu3elbu2exu3wlfo2,پالياچولق
palyaçoluk,bu3elyexu3wlfo2,پالیاچولق
palân,bu3lebo1,پلان
pamal,bu3emel,پامال
pamuk,bu3emwfo2,پاموق
pamuk-misal,bu3emwfo2||mbo3el,پاموق‌مثال
pamuklu hırka gibi dikmek,bu3emw fo2lwxo1rfo2h kbu1y dbu2kmk,پامو قلوخرقه کبی ديکمک
pamuklu hırka gibi dikmek,bu3emw fo2lwxo1rfo2h kbu1y dykmk,پامو قلوخرقه کبی دیکمک
pamuklu,bu3emwfo2ly,پاموقلی
pamuktan,bu3emwfo2dbo1,پاموقدن
pamukçu,bu3emwfo2xu1y,پاموقجی
pan,bu3ebo1,پان
panama,bu3ebo1eme,پاناما
panaroma,bu3ebo1wreme,پانوراما
panayır,bu3bo1ebu2r,پناير
panayır,bu3bo1eyr,پنایر
panayır,bu3ebo1ebu2r,پاناير
panayır,bu3ebo1eyr,پانایر
pancar,bu3ebo1xu1er,پانجار
pancur,bu3ebo1xu1wr,پانجور
pandispanya,bu3ebo1dbu2sbu3ebo1bu2e,پانديسپانيا
pandispanya,bu3ebo1dysbu3ebo1ye,پاندیسپانیا
pandomima,bu3ebo1dwmbu2me,پاندوميما
pandomima,bu3ebo1dwmyme,پاندومیما
panik,bu3ebo1bu2k,پانيک
panik,bu3ebo1yk,پانیک
pankreas,bu3ebo1fo2rh<>eo6s,پانقره‌آس
pankreas,bu3ebo1fo2rh||eo6s,پانقره‌آس
pansiyon,bu3ebo1sbu2wbo1,پانسيون
pansiyon,bu3ebo1sywbo1,پانسیون
pantalomba,bu3bo1telwmbu1h,پنطالومبه
pantalomba,bu3bo1telwmbu1h||,پنطالومبه‌
panteism,bu3ebo1bo2h<>bo5yro1m,پانته‌ئیزم
panteist,bu3ebo1bo2h<>bo5ysbo2,پانته‌ئیست
panteist,bu3ebo1bo2h||bo5bu2sbo2,پانته‌ئيست
panteon,bu3ebo1bo2h<>bo5wbo1,پانته‌ئون
panteon,bu3ebo1bo2h||bo5wbo1,پانته‌ئون
panteîsm,bu3ebo1bo2h||bo5bu2ro1m,پانته‌ئيزم
pantolon,bu3ebo1tlwbo1,پانطلون
pantolon,bu3ebo1twlwbo1,پانطولون
pantolonu,bu3ebo1twlwbo1y,پانطولونی
pantolonunu,bu3ebo1twlwbo1bo1y,پانطولوننی
pantufla,bu3ebo1bo2wfo1le,پانتوفلا
panturanism,bu3ebo1bo2wrebo1bu2ro1m,پانتورانيزم
panturanism,bu3ebo1bo2wrebo1yro1m,پانتورانیزم
panturanist,bu3ebo1bo2wrebo1bu2sbo2,پانتورانيست
panturanist,bu3ebo1bo2wrebo1ysbo2,پانتورانیست
pantürkist,bu3ebo1bo2wrkbu2sbo2,پانتورکيست
pantürkist,bu3ebo1bo2wrkysbo2,پانتورکیست
pantürkizm,bu3ebo1bo2wrkbu2ro1m,پانتورکيزم
pantürkizm,bu3ebo1bo2wrkyro1m,پانتورکیزم
panzehir,bu3ebo1ro1hr,پانزهر
panzehire,bu3ebo1ro1hrh,پانزهره
panzehiri,bu3ebo1ro1hry,پانزهری
panzehirin,bu3ebo1ro1hrko3,پانزهرڭ
panzehirleri,bu3ebo1ro1hrlry,پانزهرلری
papa,bu3ebu3e,پاپا
papadiya,bu3ebu3edbu2h,پاپاديه
papadiya,bu3ebu3edyh||,پاپادیه‌
papadiye,bu3ebu3edbu2h,پاپاديه
papadiye,bu3ebu3edyh||,پاپادیه‌
papalık,bu3ebu3elfo2,پاپالق
papara,bu3ebu3ere,پاپارا
papatya,bu3ebu3ebo2bu2h,پاپاتيه
papatya,bu3ebu3ebo2yh||,پاپاتیه‌
papatya,bu3ebu3edbu2h,پاپاديه
papaz,bu3ebu3ero1,پاپاز
papaz,bu3ebu3es,پاپاس
papaza,bu3ebu3esh,پاپاسه
papazlar sefareti,bu3ebu3eslrsfo1erbo2y,پاپاسلرسفارتی
papazlar sefâreti,bu3ebu3eslrsfo1erbo2y,پاپاسلرسفارتی
papazlara,bu3ebu3eslrh,پاپاسلره
papazları,bu3ebu3eslry,پاپاسلری
papazların,bu3ebu3eslrko3,پاپاسلرڭ
papazlarına,bu3ebu3eslrybo1h,پاپاسلرینه
papazlarından,bu3ebu3eslrbo1dbo1,پاپاسلرندن
papazlarının,bu3ebu3eslrybo1ko3,پاپاسلرینڭ
papazlık,bu3ebu3ero1lfo2,پاپازلق
papazlık,bu3ebu3eslfo2,پاپاسلق
papazı,bu3ebu3esy,پاپاسی
papazının,bu3ebu3esbo1ko3,پاپاسنڭ
papağan,bu3bu3ao1ebo1,پپغان
papağan,bu3ebu3eao1ebo1,پاپاغان
papağanları,bu3ebu3eao1ebo1lry,پاپاغانلری
papirüs,bu3ebu3bu2rws,پاپيروس
papirüs,bu3ebu3yrws,پاپیروس
papiyon,bu3ebu3bu2wbo1,پاپيون
papiyon,bu3ebu3ywbo1,پاپیون
papura,bu3ebu3wre,پاپورا
papuş,bu3ebu3wso3,پاپوش
papuşcu (papuccu),bu3ebu3wso3xu1y,پاپوشجی
papyekuşe,bu3ebu3bu2h||fo2wso3h,پاپيه‌قوشه
papyekuşe,bu3ebu3yh<>fo2wso3h||,پاپیه‌قوشه‌
par-par,bu3er bu3er,پار پار
para bulmak,bu3erh bu1wlmfo2,پاره بولمق
para harc etmek,bu3erh xo1rxu1 e,پاره خرج ا
para kaybetmiş,bu3erh ao1ebo5bu1 ebu2bo2mso3,پاره غائب ايتمش
para kaybetmiş,bu3erh ao1ebo5bu1 eybo2mso3,پاره غائب ایتمش
para yedirmek,bu3erh bu2drmk,پاره يدرمک
para yedirmek,bu3erh ydrmk,پاره یدرمک
para çekmecesi,bu3erh xu3kmxu1h sy,پاره چکمجه سی
para,bu3ere,پارا
para,bu3erh,پاره
para,bu3erh||,پاره‌
para,bu3o4ero4h,پَارَه
para,bu3o4ero4h||,پَارَه‌
paradan,bu3erh||dbo1,پاره‌دن
paradoks,bu3eredwfo2s,پارادوقس
paradır,bu3erh||dr,پاره‌در
parafe,bu3erefo1h,پارافه
parafe,bu3erefo1h||,پارافه‌
parafin,bu3erefo1bu2bo1,پارافين
parafin,bu3erefo1ybo1,پارافین
paragraf,bu3ereao1refo1,پاراغراف
parakete,bu3rekbo2h,پراکته
parakete,bu3rekbo2h||,پراکته‌
parala,bu3erele,پارالا
paraladı,bu3erh||ledy,پاره‌لادی
paralamak,bu3erelemfo2,پارالامق
paralamak,bu3erh lmk,پاره لمک
paralamakla,bu3erelemfo2lh,پارالامقله
paralan,bu3erelebo1,پارالان
paralanmak,bu3erelebo1mfo2,پارالانمق
paralanmak,bu3erh lbo1mk,پاره لنمک
paralanmış,bu3erelebo1mso3,پارالانمش
paralanış,bu3erh lbo1so3,پاره لنش
paralarla,bu3erh||lrlh,پاره‌لرله
paraları,bu3erh||lry,پاره‌لری
paralarımızı,bu3erh||lrymro1y,پاره‌لریمزی
paralı,bu3erely,پارالی
paralık,bu3erh||lfo2,پاره‌لق
paralıyor,bu3erh||lywr,پاره‌لیور
param,bu3erh||m,پاره‌م
paramdan,bu3erh||mdbo1,پاره‌مدن
paramla,bu3erh||mlh,پاره‌مله
paramparça,bu3erem<>bu3erxu3e,پارام‌پارچا
paramparça,bu3erem||bu3erxu3e,پارام‌پارچا
paramparça,bu3erh||m bu3erxu3h,پاره‌م پارچه
paramız,bu3erh||mro1,پاره‌مز
parantez,bu3erebo1bo2ro1,پارانتز
paranın,bu3erh||bo1ko3,پاره‌نڭ
parası,bu3erh||sy,پاره‌سی
parasından,bu3erh||sbo1dbo1,پاره‌سندن
parasını vermek,bu3erh sbo1y wbu2rmk,پاره سنی ويرمک
parasını vermek,bu3erh sbo1y wyrmk,پاره سنی ویرمک
parasını,bu3erh||sbo1y,پاره‌سنی
parasıyla,bu3resylh,پراسیله
parasız,bu3eresro1,پاراسز
parasız,bu3erh||sro1,پاره‌سز
parasızlık,bu3eresro1lfo2,پاراسزلق
parasızlıktan,bu3erh||sro1lfo2dbo1,پاره‌سزلقدن
paratoner,bu3erebo2wbo1h<>r,پاراتونه‌ر
paratoner,bu3erebo2wbo1h||r,پاراتونه‌ر
paravana,bu3erewebo1e,پاراوانا
paravanalar,bu3erewebo1h||lr,پاراوانه‌لر
paraya,bu3erh||yh,پاره‌یه
parayı,bu3erh||yy,پاره‌یی
parazit,bu3erero1bu2bo2,پارازيت
parazit,bu3erero1ybo2,پارازیت
paraşüt,bu3ereso3wbo2,پاراشوت
paraşütlerle,bu3ereso3wbo2lrlh,پاراشوتلرله
pardon,bu3erdwbo1,پاردون
pardotu,bu3erdy ewbo2y,پاردی اوتی
pardösü,bu3erdwsw,پاردوسو
pardösülük,bu3erdwswlk,پاردوسولک
pare (para),bu3erh||,پاره‌
pare pare,bu3erh bu3erh||,پاره پاره‌
pare,bu3erh||,پاره‌
pare,bu3o4ero4h,پَارَه
pare,bu3o4ero4h||,پَارَه‌
parelemek,bu3erh lmk,پاره لمک
parelenince,bu3erh||lbo1bo1xu1h,پاره‌لننجه
parelenmek,bu3erh lbo1mk,پاره لنمک
paris'e,bu3erysh,پاریسه
paris'te,bu3erysdh,پاریسده
paris,bu3erys,پاریس
park,bu3erfo2,پارق
parke,bu3erkh,پارکه
parke,bu3erkh||,پارکه‌
parla,bu3erle,پارلا
parladı,bu3erledy,پارلادی
parladıklarına,bu3erledfo2lrybo1h,پارلادقلرینه
parladılar,bu3erledylr,پارلادیلر
parladığı,bu3erledyao1y,پارلادیغی
parladığından,bu3erledyao1bo1dbo1,پارلادیغندن
parlak,bu3erlefo2,پارلاق
parlak,bu3rlefo2,پرلاق
parlaklara,bu3erlefo2lrh,پارلاقلره
parlaklarından,bu3erlefo2lrbo1dbo1,پارلاقلرندن
parlaklık,bu3erlefo2lfo2,پارلاقلق
parlaklıkla,bu3erlefo2lfo2lh,پارلاقلقله
parlaklığı,bu3erlefo2lao1y,پارلاقلغی
parlaklığına,bu3erlefo2lao1bo1h,پارلاقلغنه
parlaklığını,bu3erlefo2lao1bo1y,پارلاقلغنی
parlaklığıyla,bu3erlefo2lao1ylh,پارلاقلغیله
parlaksa,bu3erlefo2sh,پارلاقسه
parlaktır,bu3erlefo2dr,پارلاقدر
parlaktırlar,bu3erlefo2drlr,پارلاقدرلر
parlakça giyinmiş,bu3erlefo2xu1h kbu2bo1mso3,پارلاقجه کينمش
parlakça giyinmiş,bu3erlefo2xu1h kybo1mso3,پارلاقجه کینمش
parlakça,bu3erlefo2xu1h,پارلاقجه
parlakça,bu3erlefo2xu1h||,پارلاقجه‌
parlama,bu3erlemh,پارلامه
parlama,bu3erlemh||,پارلامه‌
parlamak,bu3erlemfo2,پارلامق
parlamakla,bu3erlemfo2lh,پارلامقله
parlamaları,bu3erlemelry,پارلامالری
parlaması,bu3erlemesy,پارلاماسی
parlamasın,bu3erlemesybo1,پارلاماسین
parlamasına,bu3erlemesbo1h,پارلاماسنه
parlamasını,bu3erlemesbo1y,پارلاماسنی
parlamasının,bu3erlemesbo1ko3,پارلاماسنڭ
parlamayacaktı,bu3erlemyh||xu1fo2dy,پارلامیه‌جقدی
parlamayı,bu3erlemeyy,پارلامایی
parlamağa,bu3erlemao1h,پارلامغه
parlamenter,bu3erlmebo1bo2h<>r,پارلمانته‌ر
parlamenter,bu3erlmebo1bo2h||r,پارلمانته‌ر
parlamento,bu3erlembo1bo2w,پارلامنتو
parlamış,bu3erlemso3,پارلامش
parlar,bu3erler,پارلار
parlarken,bu3erlerkbo1,پارلارکن
parlarlar,bu3erlerlr,پارلارلر
parlasın,bu3erlesybo1,پارلاسین
parlat,bu3erlebo2,پارلات
parlatacağız,bu3erlebo2exu1ao1ro1,پارلاتاجغز
parlatan,bu3erlebo2ebo1,پارلاتان
parlatarak,bu3erlebo2erfo2,پارلاتارق
parlatmak,bu3erlebo2mfo2,پارلاتمق
parlatması,bu3erlebo2mesy,پارلاتماسی
parlatmağa,bu3erlebo2mao1h,پارلاتمغه
parlatmış,bu3erlebo2mso3,پارلاتمش
parlattı,bu3erlebo2dy,پارلاتدی
parlattıracak,bu3erlebo2dyrh||xu1fo2,پارلاتدیره‌جق
parlattıran,bu3erlebo2dyrebo1,پارلاتدیران
parlattırdı,bu3erlebo2dyrdy,پارلاتدیردی
parlattırdınız,bu3erlebo2dyrdyko3ro1,پارلاتدیردیڭز
parlattırmaya,bu3erlebo2dyrmao1h,پارلاتدیرمغه
parlattırır,bu3erlebo2dyrr,پارلاتدیرر
parlattırıyor,bu3erlebo2dyryywr,پارلاتدیرییور
parlatır,bu3erlebo2yr,پارلاتیر
parlatıyor,bu3erlebo2yywr,پارلاتییور
parlayacak,bu3erleyh||xu1fo2,پارلایه‌جق
parlayacaklar,bu3erleyh||xu1fo2lr,پارلایه‌جقلر
parlayacaktır,bu3erleyh||xu1fo2dr,پارلایه‌جقدر
parlayacağı,bu3erleyh||xu1ao1y,پارلایه‌جغی
parlayacağına,bu3erleyh||xu1ao1bo1h,پارلایه‌جغنه
parlayacağını,bu3erleyh||xu1ao1bo1y,پارلایه‌جغنی
parlayan,bu3erleyebo1,پارلایان
parlayana,bu3erleyebo1h,پارلایانه
parlayıp,bu3erleywbu1,پارلایوب
parlayış,bu3erlebu2bu2so3,پارلاييش
parlayış,bu3erlebu2so3,پارلايش
parlayış,bu3erleyso3,پارلایش
parlayış,bu3erleyyso3,پارلاییش
parlağı,bu3erleao1y,پارلاغی
parlağıdır,bu3erleao1ydr,پارلاغیدر
parlağının,bu3erleao1bo1ko3,پارلاغنڭ
parler,bu3erlr,پارلر
parlâmento,bu3erlembo1bo2w,پارلامنتو
parlıyan,bu3erleyebo1,پارلایان
parlıyor,bu3erleywr,پارلایور
parlıyordu,bu3erleywrdy,پارلایوردی
parlıyorlar,bu3erleywrlr,پارلایورلر
parmak ile işaret etmek,bu3rmfo2 eylh eso3erbo2 e,پرمق ایله اشارت ا
parmak ile işâret etmek,bu3rmfo2 ebu2lh eso3erbo2 e,پرمق ايله اشارت ا
parmak kapı,bu3rmfo2 fo2bu3w,پرمق قپو
parmak vermek,bu3rmfo2 wbu2rmk,پرمق ويرمک
parmak vermek,bu3rmfo2 wyrmk,پرمق ویرمک
parmak çatırdatmak,bu3rmfo2 xu3ebo2rdebo2mfo2,پرمق چاترداتمق
parmak,bu3ermefo2,پارماق
parmak,bu3ermfo2,پارمق
parmak,bu3rmfo2,پرمق
parmakla,bu3ermfo2lh,پارمقله
parmaklamak,bu3rmfo2lmfo2,پرمقلمق
parmaklar,bu3ermfo2lr,پارمقلر
parmaklariyle,bu3ermfo2lrylh,پارمقلریله
parmaklarla,bu3ermfo2lrlh,پارمقلرله
parmakları,bu3ermfo2lry,پارمقلری
parmaklarıdır,bu3ermfo2lrydr,پارمقلریدر
parmaklarıma,bu3ermfo2lrymh,پارمقلریمه
parmaklarımız,bu3ermfo2lrymro1,پارمقلریمز
parmakların,bu3ermfo2lrko3,پارمقلرڭ
parmaklarındaki,bu3ermfo2lrko3dh||ky,پارمقلرڭده‌کی
parmaklarından,bu3ermfo2lrbo1dbo1,پارمقلرندن
parmaklarını,bu3ermfo2lrybo1y,پارمقلرینی
parmaklarının,bu3ermfo2lrybo1ko3,پارمقلرینڭ
parmaklarıyla,bu3ermfo2lrylh,پارمقلریله
parmaklık,bu3ermefo2lfo2,پارماقلق
parmaklık,bu3rmfo2lfo2,پرمقلق
parmaklıklarını,bu3ermfo2lfo2lrybo1y,پارمقلقلرینی
parmakçı,bu3ermefo2xu1y,پارماقجی
parmakçığı,bu3ermfo2xu1ao1y,پارمقجغی
parmağiyle,bu3ermao1ylh,پارمغیله
parmağı,bu3ermao1y,پارمغی
parmağımın,bu3ermao1mko3,پارمغمڭ
parmağın,bu3ermao1ko3,پارمغڭ
parmağına,bu3ermao1bo1h,پارمغنه
parmağından,bu3ermao1bo1dbo1,پارمغندن
parmağını,bu3ermao1bo1y,پارمغنی
parmağının,bu3ermao1bo1ko3,پارمغنڭ
parmağıyla,bu3ermao1ylh,پارمغیله
parmağıyle,bu3ermao1ylh,پارمغیله
parola,bu3erwlh,پاروله
parola,bu3erwlh||,پاروله‌
pars,bu3ers,پارس
parsa,bu3erse,پارسا
parsi,bu3ersy,پارسی
parti'den,bu3erbo2ydbo1,پارتیدن
parti'li,bu3erbo2yly,پارتیلی
parti'nin,bu3erbo2ybo1ko3,پارتینڭ
parti'ye,bu3erbo2y||yh,پارتی‌یه
parti'yi,bu3erbo2y||yy,پارتی‌یی
parti,bu3erbo2y,پارتی
particiler,bu3erbo2yxu1ylr,پارتیجیلر
particilerden,bu3erbo2yxu1ylrdbo1,پارتیجیلردن
particilik,bu3erbo2yxu1ylk,پارتیجیلک
partide,bu3erbo2ydh,پارتیده
partiler,bu3erbo2ylr,پارتیلر
partilerden,bu3erbo2ylrdbo1,پارتیلردن
partilerin,bu3erbo2ylrko3,پارتیلرڭ
partililerin,bu3erbo2ylylrko3,پارتیلیلرڭ
partimiz,bu3erbo2ymro1,پارتیمز
partimize,bu3erbo2ymro1h,پارتیمزه
partimizi,bu3erbo2ymro1y,پارتیمزی
partimizin,bu3erbo2ymro1ko3,پارتیمزڭ
partinin,bu3erbo2ybo1ko3,پارتینڭ
partisi'nin,bu3erbo2ysbo1ko3,پارتیسنڭ
partisi,bu3erbo2ysy,پارتیسی
partisidir,bu3erbo2ysydr,پارتیسیدر
partisinde,bu3erbo2ysbo1dh,پارتیسنده
partisine,bu3erbo2ysbo1h,پارتیسنه
partisinin,bu3erbo2ysbo1ko3,پارتیسنڭ
partiye,bu3erbo2y||yh,پارتی‌یه
partiyi,bu3erbo2y||yy,پارتی‌یی
partner,bu3erbo2bo1h<>r,پارتنه‌ر
partner,bu3erbo2bo1h||r,پارتنه‌ر
parça koymak,bu3erxu3h fo2wmfo2,پارچه قومق
parça parça etmek,bu3erxu3h bu3erxu3h e,پارچه پارچه ا
parça,bu2erxu3h,يارچه
parça,bu3erxu3e,پارچا
parça,bu3erxu3h,پارچه
parça,bu3erxu3h||,پارچه‌
parça,yerxu3h||,یارچه‌
parça-i,bu3erxu3hu4,پارچهِ
parçacı,bu3erxu3exu1y,پارچاجی
parçacık,bu3erxu3h||xu1fo2,پارچه‌جق
parçacığını,bu3erxu3h||xu1ao1bo1y,پارچه‌جغنی
parçada,bu3erxu3h||dh,پارچه‌ده
parçadaki,bu3erxu3h||dh||ky,پارچه‌ده‌کی
parçadan,bu3erxu3h||dbo1,پارچه‌دن
parçadır,bu3erxu3h||dr,پارچه‌در
parçakpurçak,bu3erxu3efo2<>bu3wrxu3efo2,پارچاق‌پورچاق
parçakpurçak,bu3erxu3efo2||bu3wrxu3efo2,پارچاق‌پورچاق
parçala,bu3erxu3ele,پارچالا
parçaladı,bu3erxu3h||ledy,پارچه‌لادی
parçaladığı,bu3erxu3h||ledyao1y,پارچه‌لادیغی
parçalamak,bu3erxu3elemfo2,پارچالامق
parçalamak,bu3erxu3h||lemfo2,پارچه‌لامق
parçalamaktan,bu3erxu3h||lemfo2dbo1,پارچه‌لامقدن
parçalamamak,bu3erxu3h||lememfo2,پارچه‌لامامق
parçalaması,bu3erxu3h||lemsy,پارچه‌لامسی
parçalamasına,bu3erxu3h||lemesbo1h,پارچه‌لاماسنه
parçalamayı,bu3erxu3h||lemeyy,پارچه‌لامایی
parçalamış,bu3erxu3h||lemso3,پارچه‌لامش
parçalamışlar,bu3erxu3h||lemso3lr,پارچه‌لامشلر
parçalan,bu3erxu3elebo1,پارچالان
parçalanabilir,bu3erxu3h||lebo1h||bu1ylyr,پارچه‌لانه‌بیلیر
parçalanacak,bu3erxu3h||lebo1h||xu1fo2,پارچه‌لانه‌جق
parçalanacaktır,bu3erxu3h||lebo1h||xu1fo2dr,پارچه‌لانه‌جقدر
parçalanacağı,bu3erxu3h||lebo1h||xu1ao1y,پارچه‌لانه‌جغی
parçalanan,bu3erxu3h||lebo1ebo1,پارچه‌لانان
