
c,xu1,ج
cali̇b-i̇ di̇kkat,xu1elbu1 dfo2bo2,جالب دقت
calud,xu1elwbo2,جالوت
cam geçirmek,xu1em kxu3wrmk,جام کچورمک
cam kaplamak,xu1em fo2ebu3lemfo2,جام قاپلامق
cam,xu1em,جام
cam-ı,xu1emu4,جامِ
cama,xu1emh,جامه
camadan,xu1emh<>debo1,جامه‌دان
camadan,xu1emh||debo1,جامه‌دان
cambaz,xu1ebo1bu1ero1,جانباز
cambazlık,xu1ebo1bu1ero1lfo2,جانبازلق
camcı macunu,xu1emxu1y maxu1wbo1y,جامجی معجونی
camcı macûnu,xu1emxu1y maxu1wbo1y,جامجی معجونی
camcı,xu1emxu1y,جامجی
camda çizmek,xu1emdh xu3bu2ro1mk,جامده چيزمک
camda çizmek,xu1emdh xu3yro1mk,جامده چیزمک
camdan,xu1emdbo1,جامدن
camdır,xu1emdr,جامدر
came,xu1emh||,جامه‌
camedan,xu1emh debo1,جامه دان
camegi,xu1emko7y,جامگی
camekan,xu1emkebo1,جامکان
camekân,xu1emkebo1,جامکان
camevi,xu1em<>ewy,جام‌اوی
camevi,xu1em||ewy,جام‌اوی
cameşuy,xu1emh so3wy,جامه شوی
camgöbeği,xu1em ko7wbu1ko7y,جام گوبگی
camgöz,xu1em<>ko7wro1,جام‌گوز
camgöz,xu1em||ko7wro1,جام‌گوز
cami',xu1ema,جامع
cami',xu1o4emu4ao0,جَامِعْ
cami,xu1ema,جامع
camia,xu1emah||,جامعه‌
camid,xu1emd,جامد
camidat,xu1emdebo2,جامدات
camidat-ı,xu1emdebo2u4,جامداتِ
camidata,xu1emdebo2h,جامداته
camidattaki,xu1emdebo2dh||ky,جامداتده‌کی
camidatı,xu1emdebo2y,جامداتی
camidden,xu1emddbo1,جامددن
camiddir,xu1emddr,جامددر
camiddirler,xu1emddrlr,جامددرلر
camide,xu1emdh,جامده
camide-i,xu1emdh||u4,جامده‌ِ
camideden,xu1emdh||dbo1,جامده‌دن
camidenin,xu1emdh||bo1ko3,جامده‌نڭ
camideye,xu1emdh||yh,جامده‌یه
camidi,xu1emdy,جامدی
camidin,xu1emdko3,جامدڭ
camidiyet,xu1emdybo2,جامدیت
camidler,xu1emdlr,جامدلر
camidlerden,xu1emdlrdbo1,جامدلردن
cami̇',xu1o4emu4ao0,جَامِعْ
cami’,xu1ema,جامع
camla,xu1emle,جاملا
camlamak,xu1emlemfo2,جاملامق
camlar,xu1emlr,جاملر
camlarda,xu1emlrdh,جاملرده
camların,xu1emlrko3,جاملرڭ
camlarını,xu1emlrybo1y,جاملرینی
camlat,xu1emlebo2,جاملات
camlatmak,xu1emlebo2mfo2,جاملاتمق
camlı,xu1emly,جاملی
camlık,xu1emlfo2,جاملق
camus (camış),xu1emws,جاموس
camus,xu1emws,جاموس
camuş,xu1emwso3,جاموش
camuşa,xu1emwso3h,جاموشه
camî'nin,xu1emy||bo1ko3,جامی‌نڭ
camî,xu1emy,جامی
camî-i,xu1emyo5u4,جامئِ
camûs (camış),xu1emws,جاموس
camı,xu1emy,جامی
camın,xu1emko3,جامڭ
camını,xu1embo1y,جامنی
can sıkıntısı,xu1ebo1 zbu2fo2bo1dbu2sy,جان صيقنديسی
can sıkıntısı,xu1ebo1 zyfo2bo1dysy,جان صیقندیسی
can vermek,xu1ebo1 wbu2rmk,جان ويرمک
can vermek,xu1ebo1 wyrmk,جان ویرمک
can çekişmek,xu1ebo1 xu3kso3mk,جان چکشمک
can,xu1ebo1,جان
can-ı,xu1ebo1u4,جانِ
cana,xu1ebo1e,جانا
canan,xu1ebo1ebo1,جانان
canana,xu1ebo1ebo1h,جانانه
canane,xu1ebo1ebo1h||,جانانه‌
cananı,xu1ebo1ebo1y,جانانی
cananımız,xu1ebo1ebo1mro1,جانانمز
cananımıza,xu1ebo1ebo1mro1h,جانانمزه
canavar,xu1ebo1ewer,جاناوار
canavara,xu1ebo1ewerh,جاناواره
canavarca,xu1ebo1ewerxu1h,جاناوارجه
canavarcasına,xu1ebo1ewerxu1h||sbo1h,جاناوارجه‌سنه
canavarcıklara,xu1ebo1ewerxu1fo2lrh,جاناوارجقلره
canavarda,xu1ebo1ewerdh,جاناوارده
canavardır,xu1ebo1ewerdr,جاناواردر
canavarlar,xu1ebo1ewerlr,جاناوارلر
canavarlara,xu1ebo1ewerlrh,جاناوارلره
canavarlardan,xu1ebo1ewerlrdbo1,جاناوارلردن
canavarları,xu1ebo1ewerlry,جاناوارلری
canavarların,xu1ebo1ewerlrko3,جاناوارلرڭ
canavarlarının,xu1ebo1ewerlrybo1ko3,جاناوارلرینڭ
canavarlaşmış,xu1bo1ewerleso3mso3,جناوارلاشمش
canavarlık,xu1ebo1ewerlfo2,جاناوارلق
canavarlığa,xu1ebo1ewerlao1h,جاناوارلغه
canavarvari,xu1bo1ewerwery,جناوارواری
canavarı,xu1ebo1ewery,جاناواری
canbahştır,xu1ebo1bu1xo1so3dr,جانبخشدر
canbaz,xu1ebo1bu1ero1,جانباز
canciğer,xu1ebo1<>xu1ko7r,جان‌جگر
canciğer,xu1ebo1||xu1ko7r,جان‌جگر
candan,xu1ebo1dbo1,جاندن
candar,xu1ebo1der,جاندار
candır,xu1ebo1dr,جاندر
canefza,xu1ebo1 efo1ro1e,جان افزا
canefşan,xu1ebo1 efo1so3ebo1,جان افشان
canefşân,xu1ebo1 efo1so3ebo1,جان افشان
caneriği,xu1ebo1 eryko7y,جان اریگی
canfersa,xu1ebo1 fo1rse,جان فرسا
canfes,xu1ebo1fo1s,جانفس
canfeza,xu1ebo1 fo1ro1e,جان فزا
canfeşan,xu1ebo1 fo1so3ebo1,جان فشان
cangüdaz,xu1ebo1 ko7dero1,جان گداز
cangılcungul,xu1ebo1ao1l xu1wbo1ao1wl,جانغل جونغول
canhıraş,xu1ebo1 xo1reso3,جان خراش
canhıraş,xu1ebo1xo1reso3,جانخراش
canhıraşanede,xu1ebo1xo1reso3ebo1h||dh,جانخراشانه‌ده
cani,xu1ebo1y,جانی
cani,xu1o4ebo1y,جَانی
canib,xu1ebo1bu1,جانب
canibdar,xu1ebo1bu1der,جانبدار
canibde,xu1ebo1bu1dh,جانبده
canibden,xu1ebo1bu1dbo1,جانبدن
canibinde,xu1ebo1bu1bo1dh,جانبنده
canibindeki,xu1ebo1bu1bo1dh||ky,جانبنده‌کی
canibinden,xu1ebo1bu1bo1dbo1,جانبندن
canibine,xu1ebo1bu1bo1h,جانبنه
canibini,xu1ebo1bu1bo1y,جانبنی
canibiyle,xu1ebo1bu1ylh,جانبیله
canibler,xu1ebo1bu1lr,جانبلر
caniler,xu1ebo1ylr,جانیلر
canilerden,xu1ebo1ylrdbo1,جانیلردن
canilere,xu1ebo1ylrh,جانیلره
canileri,xu1ebo1ylry,جانیلری
canilerin,xu1ebo1ylrko3,جانیلرڭ
caninin,xu1ebo1ybo1ko3,جانینڭ
caniyane,xu1ebo1yebo1h,جانیانه
caniyanede,xu1ebo1yebo1h||dh,جانیانه‌ده
caniye,xu1ebo1yh,جانیه
canişin,xu1ebo1so3ybo1,جانشین
cani̇,xu1o4ebo1y,جَانی
cankurtaran,xu1ebo1 fo2wrbo2erebo1,جان قورتاران
canla,xu1ebo1lh,جانله
canlan,xu1ebo1lebo1,جانلان
canlanacak,xu1ebo1lebo1exu1fo2,جانلاناجق
canlanacağına,xu1ebo1lebo1h||xu1ao1bo1h,جانلانه‌جغنه
canlandı,xu1ebo1lebo1dy,جانلاندی
canlandır,xu1ebo1lebo1dyr,جانلاندیر
canlandıran,xu1ebo1lebo1dyrebo1,جانلاندیران
canlandırarak,xu1ebo1lebo1dyrh||rfo2,جانلاندیره‌رق
canlandırmak,xu1ebo1lbo1drmfo2,جانلندرمق
canlandırmak,xu1ebo1lebo1dyrmfo2,جانلاندیرمق
canlandırmış,xu1ebo1lebo1dyrmso3,جانلاندیرمش
canlandırıp,xu1ebo1lebo1dyrwbu1,جانلاندیروب
canlandırır,xu1ebo1lebo1dyrr,جانلاندیرر
canlanmak,xu1ebo1lbo1mfo2,جانلنمق
canlanmak,xu1ebo1lebo1mfo2,جانلانمق
canlanmaları,xu1ebo1lebo1mh||lry,جانلانمه‌لری
canlansın,xu1ebo1lebo1sybo1,جانلانسین
canlanıp,xu1ebo1lebo1wbu1,جانلانوب
canlar,xu1ebo1lr,جانلر
canlara,xu1ebo1lrh,جانلره
canlariyle,xu1ebo1lrylh,جانلریله
canları,xu1ebo1lry,جانلری
canlarımızı,xu1ebo1lrymro1y,جانلریمزی
canların,xu1ebo1lrko3,جانلرڭ
canlarına,xu1ebo1lrybo1h,جانلرینه
canlarından,xu1ebo1lrbo1dbo1,جانلرندن
canlarını,xu1ebo1lrybo1y,جانلرینی
canlarıyla,xu1ebo1lrylh,جانلریله
canlı,xu1ebo1lw,جانلو
canlı,xu1ebo1ly,جانلی
canlılar,xu1ebo1lylr,جانلیلر
canlılara,xu1ebo1lylrh,جانلیلره
canlıya,xu1ebo1ly||yh,جانلی‌یه
cannisar,xu1ebo1 bo1bo3er,جان نثار
cansipar,xu1ebo1 sbu3er,جان سپار
cansiperane,xu1ebo1 sbu3rebo1h||,جان سپرانه‌
cansiperane,xu1ebo1sbu3erebo1h,جانسپارانه
cansitan,xu1ebo1 sbo2ebo1,جان ستان
cansın,xu1ebo1sko3,جانسڭ
cansız gibi,xu1ebo1sro1 kbu1y,جانسز کبی
cansız,xu1ebo1sro1,جانسز
cansızlar,xu1ebo1sro1lr,جانسزلر
cansızlara,xu1ebo1sro1lrh,جانسزلره
cansızlardan,xu1ebo1sro1lrdbo1,جانسزلردن
cansızlık,xu1ebo1sro1lfo2,جانسزلق
canvar,xu1ebo1wer,جانوار
canver,xu1ebo1 wr,جان ور
cançekişme,xu1ebo1 xu3kyso3mh,جان چکیشمه
canı istemek,xu1ebo1y esbo2mk,جانی استمک
canı pek,xu1ebo1y bu3k,جانی پک
canı sıkılmış,xu1ebo1y zbu2fo2lmso3,جانی صيقلمش
canı sıkılmış,xu1ebo1y zyfo2lmso3,جانی صیقلمش
canı çıkmak,xu1ebo1y xu3bu2fo2mfo2,جانی چيقمق
canı çıkmak,xu1ebo1y xu3yfo2mfo2,جانی چیقمق
canı,xu1ebo1y,جانی
canım,xu1ebo1m,جانم
canımdan,xu1ebo1mdbo1,جانمدن
canımla,xu1ebo1mlh,جانمله
canımı,xu1ebo1my,جانمی
canımın,xu1ebo1mko3,جانمڭ
canımız,xu1ebo1mro1,جانمز
canımızla,xu1ebo1mro1lh,جانمزله
canımızı,xu1ebo1mro1y,جانمزی
canımızın,xu1ebo1mro1ko3,جانمزڭ
canını almak,xu1ebo1bo1y elmfo2,جاننی المق
canını,xu1ebo1bo1y,جاننی
canınızın,xu1ebo1ko3ro1ko3,جانڭزڭ
canıyla,xu1ebo1ylh,جانیله
car,xu1er,جار
carcar,xu1er,جار
carcı,xu1erxu1y,جارجی
care'ın,fo2erko3,قارڭ
care,fo2er,قار
cari,xu1e,جا
cari,xu1eru4,جارِ
cari,xu1ery,جاری
cari,xu1o4ery,جَاری
caridir,xu1erydr,جاریدر
carih,xu1erx,جارح
cariha,xu1erxh||,جارحه‌
cariye,xu1eryh,جاریه
cariye,xu1eryh||,جاریه‌
cariyeyi,xu1eryh||yy,جاریه‌یی
cari̇,xu1o4ery,جَاری
carlayl,fo2erleyl,قارلایل
carlyle,fo2erleyl,قارلایل
carr,xu1er,جار
caru,xu1erw,جارو
carub,xu1erwbu1,جاروب
carî,xu1ery,جاری
carşeb,xu1erso3bu1,جارشب
cascavlak,xu1es<>xu1ewlefo2,جاس‌جاولاق
cascavlak,xu1es||xu1ewlefo2,جاس‌جاولاق
casiye,xu1ebo3yh,جاثیه
casus,xu1esws,جاسوس
casusa,xu1eswsh,جاسوسه
casusi,xu1eswsy,جاسوسی
casusla,xu1eswsle,جاسوسلا
casuslamak,xu1eswslemfo2,جاسوسلامق
casuslar,xu1eswslr,جاسوسلر
casuslara,xu1eswslrh,جاسوسلره
casusları,xu1eswslry,جاسوسلری
casusların,xu1eswslrko3,جاسوسلرڭ
casuslarının,xu1eswslrybo1ko3,جاسوسلرینڭ
casuslarıyla,xu1eswslrylh,جاسوسلریله
casusluk yapmak,xu1eswslfo2 e,جاسوسلق ا
casusluk,xu1eswslfo2,جاسوسلق
casusluktan,xu1eswslfo2dbo1,جاسوسلقدن
casusluğu,xu1eswslao1y,جاسوسلغی
casusun,xu1eswsko3,جاسوسڭ
cava'da,xu1ewedh,جاواده
cava,xu1ewe,جاوا
cavalacos,xu1ewelexu1ws,جاوالاجوس
cavid,xu1ewd,جاود
cavidan,xu1ewdebo1,جاودان
cavidani,xu1ewdebo1y,جاودانی
cavidanî,xu1ewdebo1y,جاودانی
cavla,xu1ewle,جاولا
cavlak,xu1ewlefo2,جاولاق
cavlamak,xu1ewlemfo2,جاولامق
cay,xu1ey,جای
cay-i sual,xu1ey swo5el,جای سؤال
caydır,xu1eydyr,جایدیر
caydırmak,xu1ebu2dbu2rmfo2,جايديرمق
caydırmak,xu1eydyrmfo2,جایدیرمق
caygah,xu1eyko7eh||,جایگاه‌
caygir olmak,xu1eykyrew,جایکیراو
cayi',xu1eya,جایع
cayi’,xu1eya,جایع
caymak,xu1ebu2mfo2,جايمق
caymak,xu1eymfo2,جایمق
caymam,xu1eymem,جایمام
caynişin,xu1eybo1so3ybo1,جاینشین
cayır,xu1ebu2bu2r,جايير
cayır,xu1eyyr,جاییر
cayırcayır,xu1ebu2bu2rxu1ebu2bu2r,جاييرجايير
cayırcayır,xu1eyyrxu1eyyr,جاییرجاییر
cayırda,xu1eyyr<>de,جاییر‌دا
cayırdamak,xu1ebu2bu2r||demfo2,جايير‌دامق
cayırdamak,xu1eyyr<>demfo2,جاییر‌دامق
cayırdat,xu1eyyr<>debo2,جاییر‌دات
cayırdatmak,xu1ebu2bu2r||debo2mfo2,جايير‌داتمق
cayırdatmak,xu1eyyr<>debo2mfo2,جاییر‌داتمق
cazbant,xu1ero1bu1ebo1d,جازباند
cazib,xu1edo1bu1,جاذب
cazib,xu1ero1bu1,جازب
cazibe,xu1edo1bu1h,جاذبه
cazibe,xu1edo1bu1h||,جاذبه‌
cazibe,xu1ero1bu1h||,جازبه‌
cazibe,xu1o4edo1u4bu1o4h||,جَاذِبَه‌
cazibe-i,xu1edo1bu1h||u4,جاذبه‌ِ
cazibedar,xu1edo1bu1h der,جاذبه دار
cazibedar,xu1edo1bu1h||der,جاذبه‌دار
cazibedara,xu1edo1bu1h||derh,جاذبه‌داره
cazibedarane,xu1edo1bu1h||derebo1h,جاذبه‌دارانه
cazibedardır,xu1edo1bu1h||derdr,جاذبه‌داردر
cazibedardırlar,xu1edo1bu1h||derdrlr,جاذبه‌داردرلر
cazibedarlara,xu1edo1bu1h||derlrh,جاذبه‌دارلره
cazibedarlık,xu1edo1bu1h||derlfo2,جاذبه‌دارلق
cazibedarlığı,xu1edo1bu1h||derlao1y,جاذبه‌دارلغی
cazibedarsa,xu1edo1bu1h||dersh,جاذبه‌دارسه
cazibedarı,xu1edo1bu1h||dery,جاذبه‌داری
cazibedarın,xu1edo1bu1h||derko3,جاذبه‌دارڭ
cazibedendir,xu1edo1bu1h||dbo1dr,جاذبه‌دندر
cazibekârane,xu1edo1bu1h||kerebo1h,جاذبه‌کارانه
cazibeler,xu1edo1bu1h||lr,جاذبه‌لر
cazibeleri,xu1edo1bu1h||lry,جاذبه‌لری
cazibelerin,xu1edo1bu1h||lrko3,جاذبه‌لرڭ
cazibeli,xu1edo1bu1h<>ly,جاذبه‌لی
cazibeli,xu1edo1bu1h||ly,جاذبه‌لی
cazibenin,xu1edo1bu1h||bo1ko3,جاذبه‌نڭ
cazibesi,xu1edo1bu1h||sy,جاذبه‌سی
cazibesinden,xu1edo1bu1h||sbo1dbo1,جاذبه‌سندن
cazibesine,xu1edo1bu1h||sbo1h,جاذبه‌سنه
cazibesinin,xu1edo1bu1h||sbo1ko3,جاذبه‌سنڭ
cazibesiyle,xu1edo1bu1h||sylh,جاذبه‌سیله
cazibeye,xu1edo1bu1h||yh,جاذبه‌یه
cazibeyi,xu1edo1bu1h||yy,جاذبه‌یی
cazibin,xu1edo1bu1ko3,جاذبڭ
cazibiyet,xu1edo1bu1ybo2,جاذبیت
cazibiyyet,xu1edo1bu1ybo2,جاذبیت
cazibler,xu1edo1bu1lr,جاذبلر
cazi̇be,xu1o4edo1u4bu1o4h||,جَاذِبَه‌
cağız,xu1ao1ro1,جغز
ca’l,xu1al,جعل
ca’li,xu1aly,جعلی
ce,xu1h,جه
ce,xu1h||,جه‌
ceb,xu1bu1,جب
ceb,xu1bu2bu1,جيب
ceb,xu1ybu1,جیب
cebabire,xu1bu1ebu1rh||,جبابره‌
cebanet,xu1bu1ebo1bo2,جبانت
cebanetin,xu1bu1ebo1bo2ko3,جبانتڭ
cebanettir,xu1bu1ebo1bo2dr,جبانتدر
cebbar'a,xu1bu1o8erh,جبّاره
cebbar'ın,xu1bu1o8erko3,جبّارڭ
cebbar,xu1bu1er,جبار
cebbar,xu1bu1o8er,جبّار
cebbar,xu1o4bu1o4o8ero0,جَبَّارْ
cebbar,xu1o4bu1o8eo4ro0,جَبّاَرْ
cebbar-ı,xu1bu1o8eru4,جبّارِ
cebbarane,xu1bu1o8erebo1h,جبّارانه
cebbardır,xu1bu1o8erdr,جبّاردر
cebbari,xu1bu1ery,جباری
cebbarlar,xu1bu1o8erlr,جبّارلر
cebbarları,xu1bu1o8erlry,جبّارلری
cebbarların,xu1bu1o8erlrko3,جبّارلرڭ
cebbarlığa,xu1bu1o8erlao1h,جبّارلغه
cebbarı,xu1bu1o8ery,جبّاری
cebbâr,xu1bu1er,جبار
cebbâr,xu1o4bu1o4o8ero0,جَبَّارْ
cebbâr,xu1o4bu1o8eo4ro0,جَبّاَرْ
cebbârî,xu1bu1ery,جباری
cebe-hane,xu1bu1h xo1ebo1h||,جبه خانه‌
cebe-hâne,xu1bu1h xo1ebo1h,جبه خانه
cebel'in,xu1bu1lko3,جبلڭ
cebel,xu1bu1l,جبل
cebel-i cudi,xu1o4bu1o4lu4 xu1o9wdu4,جَبَلِ جُودِ
cebel-i,xu1bu1lu4,جبلِ
cebel-i̇ cudi̇,xu1o4bu1o4lu4 xu1o9wdu4,جَبَلِ جُودِ
cebel-ül,xu1bu1l el,جبل ال
cebelibereket,xu1bu1l bu1rkbo2,جبل برکت
cebelikum,xu1bu1lfo2wm,جبلقوم
cebelin,xu1bu1lko3,جبلڭ
cebelleşmiş,xu1bu1llso3mso3,جبللشمش
ceberut,xu1bu1rwbo2,جبروت
ceberut-u,xu1bu1rwbo2u4,جبروتِ
ceberuta,xu1bu1rwbo2h,جبروته
ceberutiyet,xu1bu1rwbo2ybo2,جبروتیت
ceberutiyet-i,xu1bu1rwbo2ybo2u4,جبروتیتِ
ceberutlarını,xu1bu1rwbo2lrybo1y,جبروتلرینی
ceberuttan,xu1bu1rwbo2dbo1,جبروتدن
ceberutuna,xu1bu1rwbo2bo1h,جبروتنه
cebhane,xu1bu1xo1ebo1h||,جبخانه‌
cebhanelik,xu1bu1xo1ebo1h<>lk,جبخانه‌لک
cebhe,xu1bu1hh,جبهه
cebhe,xu1bu1hh||,جبهه‌
cebhe-i,xu1bu1hh||u4,جبهه‌ِ
cebhede,xu1bu1hh||dh,جبهه‌ده
cebhedir,xu1bu1hh||dr,جبهه‌در
cebheleri,xu1bu1hh||lry,جبهه‌لری
cebhelerinde,xu1bu1hh||lrbo1dh,جبهه‌لرنده
cebhemiz,xu1bu1hh||mro1,جبهه‌مز
cebhesi,xu1bu1hh||sy,جبهه‌سی
cebhesinde,xu1bu1hh||sbo1dh,جبهه‌سنده
cebhesinin,xu1bu1hh||sbo1ko3,جبهه‌سنڭ
cebheyi,xu1bu1hh||yy,جبهه‌یی
cebhâne,xu1bu1xo1ebo1h,جبخانه
cebhânelik,xu1bu1xo1ebo1h||lk,جبخانه‌لک
cebime,xu1ybu1mh,جیبمه
cebin,xu1bu1bu2bo1,جبين
cebin,xu1bu1ybo1,جبین
cebin,xu1o4bu1u4bu2bo1o0,جَبِينْ
cebin,xu1o4bu1u4ybo1o0,جَبِینْ
cebinde,xu1ybu1bo1dh,جیبنده
cebinden,xu1ybu1bo1dbo1,جیبندن
cebine koymak,xu1bu2bu1bo1h fo2wmfo2,جيبنه قومق
cebine koymak,xu1ybu1bo1h fo2wmfo2,جیبنه قومق
cebine,xu1ybu1bo1h,جیبنه
cebinizde,xu1ybu1ko3ro1dh,جیبڭزده
cebir,xu1bu1r,جبر
cebir,xu1o4bu1o0ro0,جَبْرْ
cebir,xu1o4bu1u4ro0,جَبِرْ
cebirdir,xu1bu1rdr,جبردر
cebirle,xu1bu1rlh,جبرله
cebi̇n,xu1o4bu1u4ybo1o0,جَبِینْ
cebi̇r,xu1o4bu1o0ro0,جَبْرْ
cebi̇r,xu1o4bu1u4ro0,جَبِرْ
cebr etmek,xu1bu1re,جبرا
cebr'e,xu1bu1rh,جبره
cebr'in,xu1bu1rko3,جبرڭ
cebr,xu1bu1r,جبر
cebr-i kat'i,xu1o4bu1o0ru4 fo2o4to0ay,جَبْرِ قَطْعی
cebr-i kat'î,xu1o4bu1o0ru4 fo2o4to0abu2,جَبْرِ قَطْعي
cebr-i keyfi,xu1o4bu1o0ru4 ko4yo0fo1y,جَبْرِ کَیْفی
cebr-i keyfî,xu1o4bu1o0ru4 ko4bu2o0fo1bu2,جَبْرِ کَيْفي
cebr-i nefs etmek,xu1bu1r bo1fo1s e,جبر نفس ا
cebr-i,xu1bu1ru4,جبرِ
cebr-i̇ kat'i̇,xu1o4bu1o0ru4 fo2o4to0ay,جَبْرِ قَطْعی
cebr-i̇ keyfi̇,xu1o4bu1o0ru4 ko4yo0fo1y,جَبْرِ کَیْفی
cebrail'den,xu1bu1reyo5yldbo1,جبرائیلدن
cebrail'i,xu1bu1reyo5yly,جبرائیلی
cebrail'in,xu1bu1reyo5ylko3,جبرائیلڭ
cebrail,xu1bu1rebo5yl,جبرائیل
cebrail,xu1bu1reyo5yl,جبرائیل
cebrederken,xu1bu1r eydrkbo1,جبر ایدرکن
cebrediyordum,xu1bu1r eydyywrdm,جبر ایدییوردم
cebren almak,xu1bu1reo44 elmfo2,جبراً المق
