
â'da,eade,اعدا
âdat-ı,aedebo2u4,عاداتِ
âdem'den,eo6dmdbo1,آدمدن
âdem'e,eo6dmh,آدمه
âdem'i,eo6dmy,آدمی
âdem'in,eo6dmko3,آدمڭ
âdem'le,eo6dmlh,آدمله
âdem'leri,eo6dmlry,آدملری
âdem,eo6dm,آدم
âdem-i,eo6dmu4,آدمِ
âdemden,eo6dmdbo1,آدمدن
âdeme,eo6dmh,آدمه
âdemhâr,eo6dm xo1wer,آدم خوار
âdemi,eo6dmy,آدمی
âdemin,eo6dmko3,آدمڭ
âdemiyet,edo4mu4bu2o4bo2o0,ادَمِيَتْ
âdemiyet,eo6dmbu2bo2,آدميت
âdemiyetin,eo6dmybo2ko3,آدمیتڭ
âdemiyetten,eo6dmybo2dbo1,آدمیتدن
âdemiyyet,eo6dmbu2bo2,آدميت
âdemiyân,eo6dmbu2ebo1,آدميان
âdemle,eo6dmlh,آدمله
âdemlerde,eo6dmlrdh,آدملرده
âdemleri,eo6dmlry,آدملری
âdemlerin,eo6dmlrko3,آدملرڭ
âdemoğlu,eo6dm ewao1ly,آدم اوغلی
âdemî,edmy,ادمی
âdemî,eo6dmy,آدمی
âdemîlere,eo6dmylrh,آدمیلره
âdet değil,aedbo2 dkl,عادت دکل
âdet edilmiş,aedbo2 ebu2dlmso3,عادت ايدلمش
âdet edinmek,aedbo2 ebu2dbo1mk,عادت ايدنمک
âdet hükmüne girmiş,aedbo2 xkmbo1h kbu2rmso3,عادت حکمنه کيرمش
âdet olan,aedbo2 ewlebo1,عادت اولان
âdet,aedbo2,عادت
âdet-i arziye,ao4edo4bo2u4 eo4ro0zo1u4bu2o4h,عَادَتِ اَرْضِيَه
âdet-i resmiyye,aedbo2 rsmbu2h,عادت رسميه
âdet-i,aedbo2u4,عادتِ
âdeta,aedbo2e,عادتا
âdete,aedbo2h,عادته
âdeten,adbo2e,عدتا
âdeten,aedho2o44,عادةً
âdeti,aedbo2y,عادتی
âdetidir,aedbo2ydr,عادتیدر
âdetim,aedbo2m,عادتم
âdetimden,aedbo2mdbo1,عادتمدن
âdetimdi,aedbo2mdy,عادتمدی
âdetime,aedbo2mh,عادتمه
âdetimi,aedbo2my,عادتمی
âdetimiz,aedbo2mro1,عادتمز
âdetimize,aedbo2mro1h,عادتمزه
âdetimle,aedbo2mlh,عادتمله
âdetin,aedbo2ko3,عادتڭ
âdetindendir,aedbo2bo1dbo1dr,عادتندندر
âdetine,aedbo2bo1h,عادتنه
âdetini,aedbo2bo1y,عادتنی
âdetinin,aedbo2bo1ko3,عادتنڭ
âdetiyle,aedbo2ylh,عادتیله
âdetle,aedbo2lh,عادتله
âdetler,aedbo2lr,عادتلر
âdetleri,aedbo2lry,عادتلری
âdetleridir,aedbo2lrydr,عادتلریدر
âdetlerin,aedbo2lrko3,عادتلرڭ
âdetlerinden,aedbo2lrbo1dbo1,عادتلرندن
âdetlerine,aedbo2lrybo1h,عادتلرینه
âdetlerini,aedbo2lrybo1y,عادتلرینی
âdetlerinin,aedbo2lrybo1ko3,عادتلرینڭ
âdetten,aedbo2dbo1,عادتدن
âdettir,aedbo2dr,عادتدر
âdetullah'a,aedbo2 ello8h||h,عادت اللّه‌ه
âdetullah,aedbo2 e||ellh,عادت ا‌الله
âdetullaha,aedbo2 ello8h||h,عادت اللّه‌ه
âdetullahtan,aedbo2 ello8h||dbo1,عادت اللّه‌دن
âdetullahın,aedbo2 ello8h||ko3,عادت اللّه‌ڭ
âdetullâh,ao4edo4bo2o9 ello8ho0,عَادَتُ اللّهْ
âdetâ,aedbo2e,عادتا
âdetçe,aedbo2xu1h,عادتجه
âdi,aedy,عادی
âdiden,aedydbo1,عادیدن
âdidir,aedydr,عادیدر
âdil'in,aedlko3,عادلڭ
âdil,aedl,عادل
âdil,ao4edu4lo0,عَادِلْ
âdil-i mutlak,ao4edu4lu4 mo9to0lo4fo2o0,عَادِلِ مُطْلَقْ
âdil-i,aedlu4,عادلِ
âdil-ül,aedl el,عادل ال
âdilane,aedlebo1h,عادلانه
âdilanesi,aedlebo1h||sy,عادلانه‌سی
âdilanesine,aedlebo1h||sbo1h,عادلانه‌سنه
âdilanesiyle,aedlebo1h||sylh,عادلانه‌سیله
âdilcevaz'lı,aedlxu1wero1ly,عادلجوازلی
âdilden,aedldbo1,عادلدن
âdildir,aedldr,عادلدر
âdildirler,aedldrlr,عادلدرلر
âdile,aedlh,عادله
âdile-i,aedlh||u4,عادله‌ِ
âdilenin,aedlh||bo1ko3,عادله‌نڭ
âdilenizde,aedlh||ko3ro1dh,عادله‌ڭزده
âdilenizden,aedlh||ko3ro1dbo1,عادله‌ڭزدن
âdilenize,aedlh||ko3ro1h,عادله‌ڭزه
âdilenizin,aedlh||ko3ro1ko3,عادله‌ڭزڭ
âdilesinde,aedlh||sbo1dh,عادله‌سنده
âdileye,aedlh||yh,عادله‌یه
âdileyi,aedlh||yy,عادله‌یی
âdileşir,aedylso3yr,عادیلشیر
âdileşirse,aedylso3yrsh,عادیلشیرسه
âdileşmiş,aedylso3mso3,عادیلشمش
âdileşti,aedylso3dy,عادیلشدی
âdileştirilmek,aedylso3dyrylmk,عادیلشدیریلمک
âdileştirir,aedylso3dyrr,عادیلشدیرر
âdileştiriyor,aedylso3dyryywr,عادیلشدیرییور
âdileştiriyorlar,aedylso3dyryywrlr,عادیلشدیرییورلر
âdileştirmek,aedylso3dyrmk,عادیلشدیرمک
âdileştirmekle,aedylso3dyrmklh,عادیلشدیرمکله
âdili,aedly,عادلی
âdilik,aedylk,عادیلک
âdilin,aedlko3,عادلڭ
âdiliyet,aedlybo2,عادلیت
âdiliyetin,aedlybo2ko3,عادلیتڭ
âdilâne,adlebo1h,عدلانه
âdilâne,aedlebo1h,عادلانه
âdilâne,ao4edu4lo4ebo1o4h,عَادِلَانَه
âdiyat,aedyebo2,عادیات
âdiyata,aedyebo2h,عادیاته
âdiye,aedyh,عادیه
âdiye-i,aedyh||u4,عادیه‌ِ
âdiyede,aedyh||dh,عادیه‌ده
âdiyenin,aedyh||bo1ko3,عادیه‌نڭ
âdiyesinde,aedyh||sbo1dh,عادیه‌سنده
âdiyeyi,aedyh||yy,عادیه‌یی
âdâb,edebu1,اداب
âdâb,eo6debu1,آداب
âdâb-i kur'âniye,edo4ebu1u4 fo2o9ro0eo6bo1u4bu2o4h,ادَابِ قُرْآنِيَه
âdâb-ı kur'âniye,edo4ebu1u4 fo2o9ro0eo6bo1u4bu2o4h,ادَابِ قُرْآنِيَه
âdâb-ı,eo6debu1u4,آدابِ
âdâba,eo6debu1h,آدابه
âdâbda,eo6debu1dh,آدابده
âdâbdan,eo6debu1dbo1,آدابدن
âdâbları,eo6debu1lry,آدابلری
âdâbı,eo6debu1y,آدابی
âdâbımıza,eo6debu1mro1h,آدابمزه
âdâbın,eo6debu1ko3,آدابڭ
âdâbına,eo6debu1bo1h,آدابنه
âdâbında,eo6debu1bo1dh,آدابنده
âdâbından,eo6debu1bo1dbo1,آدابندن
âdâbını,eo6debu1bo1y,آدابنی
âdâbının,eo6debu1bo1ko3,آدابنڭ
âdât,aedebo2,عادات
âdât,ao4edo4ebo2o0,عَادَاتْ
âdât-ı,aedebo2u4,عاداتِ
âdâta,aedebo2h,عاداته
âdâtullah,aedebo2 e||ellh,عادات ا‌الله
âdâtullaha,aedebo2 ello8h||h,عادات اللّه‌ه
âdâtullahın,aedebo2 ello8h||ko3,عادات اللّه‌ڭ
âdâtı,aedebo2y,عاداتی
âdâtın,aedebo2ko3,عاداتڭ
âdâtına,aedebo2bo1h,عاداتنه
âdâtını,aedebo2bo1y,عاداتنی
âdâtının,aedebo2bo1ko3,عاداتنڭ
âdî gün,aedy kwbo1,عادی کون
âdî,aedy,عادی
âdî,ao4edbu2,عَادي
âdîlik,aedbu2lk,عاديلک
âfak-ı,eo6fo1efo2u4,آفاقِ
âfat,eo6fo1ebo2,آفات
âfattan,eo6fo1ebo2dbo1,آفاتدن
âfatından,eo6fo1ebo2bo1dbo1,آفاتندن
âferin,eo6fo1rbu2bo1,آفرين
âferin,eo6fo1rybo1,آفرین
âferinini,eo6fo1rybo1ko3y,آفرینڭی
âferiniş,eo6fo1rbu2bo1so3,آفرينش
âferîde,eo6fo1rbu2dh,آفريده
âferîde,eo6fo1rydh,آفریده
âferîdgâr,eo6fo1rydko7er,آفریدگار
âferîn,efo1rbu2bo1,افرين
âferîn,eo6fo1rbu2bo1,آفرين
âferîn,eo6fo1rybo1,آفرین
âferînende,eo6fo1rbu2bo1dh,آفرينده
âferînende,eo6fo1rybo1bo1dh,آفریننده
âferîniş,eo6fo1rybo1so3,آفرینش
âfet,efo1bo2,افت
âfet,eo6fo1bo2,آفت
âfet-i cân,eo6fo1bo2 xu1ebo1,آفت جان
âfet-i devrân,eo6fo1bo2 dwrebo1,آفت دوران
âfetengîz,eo6fo1bo2 ebo1ko7bu2ro1,آفت انگيز
âfeti,eo6fo1bo2y,آفتی
âfetin,eo6fo1bo2ko3,آفتڭ
âfetinin,eo6fo1bo2bo1ko3,آفتنڭ
âfetler,eo6fo1bo2lr,آفتلر
âfetlerden,eo6fo1bo2lrdbo1,آفتلردن
âfetlerin,eo6fo1bo2lrko3,آفتلرڭ
âfetli,eo6fo1bo2ly,آفتلی
âfetresân,eo6fo1bo2 rsebo1,آفت رسان
âfetten,eo6fo1bo2dbo1,آفتدن
âfetzede,eo6fo1bo2 ro1dh,آفت زده
âfetzede,eo6fo1bo2||ro1dh,آفت‌زده
âfil,eo6fo1l,آفل
âfile,eo6fo1lh,آفله
âfilim,eo6fo1lm,آفلم
âfilîne,eo6fo1lybo1h,آفلینه
âfitab,eo6fo1bo2ebu1,آفتاب
âfitab-ı,eo6fo1bo2ebu1u4,آفتابِ
âfitabın,eo6fo1bo2ebu1ko3,آفتابڭ
âfitâb,efo1bo2ebu1,افتاب
âfitâb,eo6fo1bo2ebu1,آفتاب
âfitâbcemâl,eo6fo1bo2ebu1  xu1mel,آفتاب  جمال
âfitâbcemâl,eo6fo1bo2ebu1 xu1mel,آفتاب جمال
âfiyet,aefo1bu2bo2,عافيت
âfiyet,aefo1ybo2,عافیت
âfiyete,aefo1ybo2h,عافیته
âfiyeti,aefo1ybo2y,عافیتی
âfiyetim,aefo1ybo2m,عافیتم
âfiyetini,aefo1ybo2bo1y,عافیتنی
âfiyetiniz,aefo1ybo2ko3ro1,عافیتڭز
âfiyetinizden,aefo1ybo2ko3ro1dbo1,عافیتڭزدن
âfiyetinize,aefo1ybo2ko3ro1h,عافیتڭزه
âfiyetinizi,aefo1ybo2ko3ro1y,عافیتڭزی
âfiyetinizin,aefo1ybo2ko3ro1ko3,عافیتڭزڭ
âfiyetinizle,aefo1ybo2ko3ro1lh,عافیتڭزله
âfiyetle,aefo1ybo2lh,عافیتله
âfiyetler,aefo1ybo2lr,عافیتلر
âfiyette,aefo1ybo2dh,عافیتده
âfiyetten,aefo1ybo2dbo1,عافیتدن
âfiyyet,aefo1bu2bo2,عافيت
âftâb,eo6fo1bo2ebu1,آفتاب
âftâbe,eo6fo1bo2ebu1h,آفتابه
âftâbgîr,eo6fo1bo2ebu1ko7bu2r,آفتابگير
âftâbrû,eo6fo1bo2ebu1 rw,آفتاب رو
âftâbî,eo6fo1bo2ebu1y,آفتابی
âfv,afo1w,عفو
âfâhu,aefo1eh,عافاه
âfâk,efo1o4efo2o0,افَاقْ
âfâk,eo6fo1efo2,آفاق
âfâk-ı,eo6fo1efo2u4,آفاقِ
âfâka,eo6fo1efo2h,آفاقه
âfâkiye,eo6fo1efo2yh,آفاقیه
âfâkiyeye,eo6fo1efo2yh||yh,آفاقیه‌یه
âfâkta,eo6fo1efo2dh,آفاقده
âfâktan,eo6fo1efo2dbo1,آفاقدن
âfâkî,efo1o4efo2bu2,افَاقي
âfâkî,eo6fo1efo2y,آفاقی
âfâkî,eo6fo1eo4fo2u4bu2,آفاَقِي
âfâkîdir,eo6fo1efo2ydr,آفاقیدر
âfâkı,eo6fo1efo2y,آفاقی
âfâkın,eo6fo1efo2ko3,آفاقڭ
âfâkında,eo6fo1efo2bo1dh,آفاقنده
âfâkından,eo6fo1efo2bo1dbo1,آفاقندن
âfâkıye,eo6fo1efo2yh,آفاقیه
âfât,efo1o4ebo2o0,افَاتْ
âfât,eo6fo1ebo2,آفات
âfât-i semâviye,efo1o4ebo2u4 so4mo4ewu4bu2o4h,افَاتِ سَمَاوِيَه
âfât-ı semâviye,efo1o4ebo2u4 so4mo4ewu4bu2o4h,افَاتِ سَمَاوِيَه
âfât-ı,eo6fo1ebo2u4,آفاتِ
âfâta,eo6fo1ebo2h,آفاته
âfâtlar,eo6fo1ebo2lr,آفاتلر
âfâttan,eo6fo1ebo2dbo1,آفاتدن
âfâtı,eo6fo1ebo2y,آفاتی
âfâtın,eo6fo1ebo2ko3,آفاتڭ
âgeh,eo6ko7h,آگه
âgehî,eo6ko7hy,آگهی
âgâh,ekeh,اکاه
âgâh,eo6ko7eh,آگاه
âgâh,eo6ko7o4eho0,آگَاهْ
âgâhdırlar,eo6ko7ehdrlr,آگاهدرلر
âgâhî,eo6ko7ehy,آگاهی
âgîn,eo6ko7bu2bo1,آگين
âgûş,eo6ao1wso3,آغوش
âh u enîn,eo6ho9 w eo4bo1bu2bo1o0,آهُ و اَنينْ
âh ü zâr,eo6h w ro1er,آه و زار
âh'ı,eo6hy,آهی
âh,eo6h,آه
âhaliye,eo5hely||yh,أهالی‌یه
âhar,eo6xo1r,آخر
âhar,exo1o4ro0,اخَرْ
âhek,eo6hk,آهک
âhen,ehbo1,اهن
âhen,eo6hbo1,آهن
âhendil,eo6hbo1 dl,آهن دل
âheng,eo6hbo1ko7,آهنگ
âheng-i esvât,eo6hbo1ko7 ezwebo2,آهنگ اصوات
âheng-i,eo6hbo1ku4,آهنکِ
âhengdâr,eo6hbo1ko7der,آهنگدار
âhenger,ehbo1kr,اهنکر
âhenger,eo6hbo1ko7r,آهنگر
âhenggüzâr,eo6hbo1ko7 ko7do1er,آهنگ گذار
âhengi bozulmuş,ehbo1ky bu1wro1lmso3,اهنکی بوزلمش
âhenin,eo6hbo1ybo1,آهنین
âhenk etmek,ehbo1k e,اهنک ا
âhenk,ehbo1k,اهنک
âhenk,eo6hbo1k,آهنک
âhenk,eo6hbo1ko7,آهنگ
âhenkdâr,eo6hbo1ko7 der,آهنگ دار
âhenkeş,eo6hbo1kso3,آهنکش
âhenrüba,eo6hbo1 rbu1e,آهن ربا
âhensâ(y),eo6hbo1 sey,آهن سای
âhenîn,eo6hbo1bu2bo1,آهنين
âhenîn,eo6hbo1ybo1,آهنین
âhenîndil,eo6hbo1bu2bo1 dl,آهنين دل
âher,eo6xo1o4r,آخَر
âher,eo6xo1r,آخر
âherde,eo6xo1o4rdh,آخَرده
âhere,eo6xo1o4rh,آخَره
âheri,eo6xo1o4ry,آخَری
âherin,eo6xo1o4rko3,آخَرڭ
âherin,eo6xo1rbu2bo1,آخرين
âherle,eo6xo1o4rlh,آخَرله
âheste,eo6hsbo2h,آهسته
âhestegî,eo6hsbo2ko7y,آهستگی
âhir'in,eo6xo1rko3,آخرڭ
âhir'le,eo6xo1rlh,آخرله
âhir,eo6xo1r,آخر
âhir,exo1r,اخر
âhir,exo1u4ro0,اخِرْ
âhir-i kâr,eo6xo1r ker,آخر کار
âhir-i,eo6xo1ru4,آخرِ
âhir-il,eo6xo1r el,آخر ال
âhirbîn,eo6xo1rbu1bu2bo1,آخربين
âhirde,eo6xo1rdh,آخرده
âhirdeki,eo6xo1rdh||ky,آخرده‌کی
âhirdir,eo6xo1rdr,آخردر
âhire,eo6xo1rh,آخره
âhiren,eo6xo1rh||ko3,آخره‌ڭ
âhirenin,eo6xo1rh||bo1ko3,آخره‌نڭ
âhiret'e,eo6xo1rbo2h,آخرته
âhiret'te,eo6xo1rbo2dh,آخرتده
âhiret'ten,eo6xo1rbo2dbo1,آخرتدن
âhiret,eo6xo1rbo2,آخرت
âhiret,exo1rbo2,اخرت
âhirete,eo6xo1rbo2h,آخرته
âhireti,eo6xo1rbo2y,آخرتی
âhiretim,eo6xo1rbo2m,آخرتم
âhiretime,eo6xo1rbo2mh,آخرتمه
âhiretimi,eo6xo1rbo2my,آخرتمی
âhiretimiz,eo6xo1rbo2mro1,آخرتمز
âhiretimize,eo6xo1rbo2mro1h,آخرتمزه
âhiretimizi,eo6xo1rbo2mro1y,آخرتمزی
âhiretin,eo6xo1rbo2ko3,آخرتڭ
âhiretinden,eo6xo1rbo2bo1dbo1,آخرتندن
âhiretine,eo6xo1rbo2bo1h,آخرتنه
âhiretini,eo6xo1rbo2bo1y,آخرتنی
âhiretiniz,eo6xo1rbo2ko3ro1,آخرتڭز
âhiretinizi,eo6xo1rbo2ko3ro1y,آخرتڭزی
âhiretiyle,eo6xo1rbo2ylh,آخرتیله
âhiretle,eo6xo1rbo2lh,آخرتله
âhiretleri,eo6xo1rbo2lry,آخرتلری
âhiretlerine,eo6xo1rbo2lrybo1h,آخرتلرینه
âhiretlerini,eo6xo1rbo2lrybo1y,آخرتلرینی
âhiretlik,eo6xo1rbo2lk,آخرتلک
âhiretsiz,eo6xo1rbo2sro1,آخرتسز
âhirette,eo6xo1rbo2dh,آخرتده
âhirettedir,eo6xo1rbo2dh||dr,آخرتده‌در
âhiretteki,eo6xo1rbo2dh||ky,آخرتده‌کی
âhiretten,eo6xo1rbo2dbo1,آخرتدن
âhirettir,eo6xo1rbo2dr,آخرتدر
âhiri,eo6xo1ry,آخری
âhiriddevran,eo6xo1r eldo8o4wrebo1,آخر الدَّوران
âhiridir,eo6xo1rydr,آخریدر
âhirihi,eo6xo1rh,آخره
âhirihî,eo6xo1rh,آخره
âhirin,eo6xo1rko3,آخرڭ
âhirin,eo6xo1rybo1,آخرین
âhirinde,eo6xo1rbo1dh,آخرنده
âhirindedir,eo6xo1rbo1dh||dr,آخرنده‌در
âhirindeki,eo6xo1rbo1dh||ky,آخرنده‌کی
âhirinden,eo6xo1rbo1dbo1,آخرندن
âhirine,eo6xo1rybo1h,آخرینه
âhirini,eo6xo1rybo1y,آخرینی
âhiriyle,eo6xo1rylh,آخریله
âhirki,eo6xo1rky,آخرکی
âhirkâr,eo6xo1rker,آخرکار
âhirlerde,eo6xo1rlrdh,آخرلرده
âhirleri,eo6xo1rlry,آخرلری
âhirlerinde,eo6xo1rlrbo1dh,آخرلرنده
âhirlerindeki,eo6xo1rlrbo1dh||ky,آخرلرنده‌کی
âhirlerine,eo6xo1rlrybo1h,آخرلرینه
âhirzaman'ın,eo6xo1r ro1mebo1ko3,آخر زمانڭ
âhirzaman,eo6xo1r ro1mebo1,آخر زمان
âhirzamana,eo6xo1r ro1mebo1h,آخر زمانه
âhirzamanda,eo6xo1r ro1mebo1dh,آخر زمانده
âhirzamandaki,eo6xo1r ro1mebo1dh||ky,آخر زمانده‌کی
âhirzamandan,eo6xo1r ro1mebo1dbo1,آخر زماندن
âhirzamandır,eo6xo1r ro1mebo1dr,آخر زماندر
âhirzamanı,eo6xo1r ro1mebo1y,آخر زمانی
âhirzamanın,eo6xo1r ro1mebo1ko3,آخر زمانڭ
âhirîn,eo6xo1rybo1,آخرین
âhirîne,eo6xo1rybo1h,آخرینه
âhirîni,eo6xo1rybo1y,آخرینی
âhirülemr,eo6xo1relemr,آخرالامر
âhirüzzaman,eo6xo1r elro1o8mebo1,آخر الزّمان
âhiz,eo6xo1do1,آخذ
âhize,eo6xo1do1h,آخذه
âhize,exo1u4do1o4h,اخِذَه
âhizeler,eo6xo1do1h||lr,آخذه‌لر
âhizeleri,eo6xo1do1h||lry,آخذه‌لری
âhizelik,eo6xo1do1h||lk,آخذه‌لک
âhlar,eo6hlr,آهلر
âhlardan,eo6hlrdbo1,آهلردن
âhları,eo6hlry,آهلری
âhlarını,eo6hlryko3y,آهلریڭی
âhte,eo6xo1bo2h,آخته
âhubaba,eo6xo1w||bu1ebu1e,آخو‌بابا
âhududu,eo6hw||twdy,آهو‌طودی
âhund,eo6xo1wbo1d,آخوند
âhur,eo6xo1r,آخر
âhuvân,eo6hwebo1,آهوان
âhâd,eo6xed,آحاد
âhâd-ı,eo6xedu4,آحادِ
âhâddendir,eo6xeddbo1dr,آحاددندر
âhâdî,eo6xedy,آحادی
âhâdîdir,eo6xedydr,آحادیدر
âhâdîlerin,eo6xedylrko3,آحادیلرڭ
âhîhte,eo6hbu2xo1bo2h,آهيخته
âhû,ehw,اهو
