
b,bu1,ب
babalık,bu1ebu1elfo2,بابالق
babalıkla,bu1ebu1elfo2lh,بابالقله
babam,bu1ebu1em,بابام
babamdan,bu1ebu1emdbo1,بابامدن
babamla,bu1ebu1emlh,بابامله
babamın,bu1ebu1emko3,بابامڭ
baban,bu1ebu1eko3,باباڭ
babanın,bu1ebu1ebo1ko3,بابانڭ
babanızın,bu1ebu1eko3ro1ko3,باباڭزڭ
babası,bu1ebu1esy,باباسی
babasına,bu1ebu1esbo1h,باباسنه
babasından,bu1ebu1esbo1dbo1,باباسندن
babasını,bu1ebu1esbo1y,باباسنی
babasının,bu1ebu1esbo1ko3,باباسنڭ
babasısın,bu1ebu1esysko3,باباسیسڭ
babayane,bu1ebu1eyebo1h||,بابایانه‌
babayani,bu1ebu1eyebo1h||,بابایانه‌
babayiğit,bu1ebu1e<>yykybo2,بابا‌ییکیت
babayiğit,bu1ebu1e||yykybo2,بابا‌ییکیت
babayiğitlik,bu1ebu1e<>yykybo2lk,بابا‌ییکیتلک
babayiğitlik,bu1ebu1e||yykybo2lk,بابا‌ییکیتلک
babayâni,bu1ebu1eyebo1h,بابایانه
babda,bu1ebu1dh,بابده
babdaki,bu1ebu1dh||ky,بابده‌کی
babdan,bu1ebu1dbo1,بابدن
babil'in,bu1ebu1lko3,بابلڭ
babil,bu1ebu1l,بابل
babları,bu1ebu1lry,بابلری
bablarındaki,bu1ebu1lrbo1dh||ky,بابلرنده‌کی
babune,bu1ebu1wbo1h||,بابونه‌
babı,bu1ebu1y,بابی
babıali,bu1ebu1<>aely,باب‌عالی
babında,bu1ebu1bo1dh,بابنده
babından,bu1ebu1bo1dbo1,بابندن
babının,bu1ebu1bo1ko3,بابنڭ
bac,bu1exu1,باج
baca,bu1exu1e,باجا
baca,bu1exu1h,باجه
baca,bu1exu1h||,باجه‌
baca,bu1exu3h,باچه
baca,bu1exu3h||,باچه‌
bacak,bu1exu1efo2,باجاق
bacak,bu1xu1efo2,بجاق
bacakla,bu1exu1efo2lh,باجاقله
bacaklar,bu1exu1efo2lr,باجاقلر
bacaklarındaki,bu1exu1efo2lrbo1dh||ky,باجاقلرنده‌کی
bacaklarının,bu1exu1efo2lrybo1ko3,باجاقلرینڭ
bacaklı,bu1exu1efo2ly,باجاقلی
bacaksız,bu1exu1efo2sro1,باجاقسز
bacaksız,bu1exu1fo2sro1,باجقسز
bacaksızlık,bu1exu1efo2sro1lfo2,باجاقسزلق
bacanah,bu1exu1bo1exo1,باجناخ
bacanak,bu1exu1bo1efo2,باجناق
bacanak,bu1exu1ebo1efo2,باجاناق
bacanaklık,bu1exu1ebo1efo2lfo2,باجاناقلق
bacanakzade,bu1exu1bo1exo1ro1edh||,باجناخزاده‌
bacanakzâde,bu1exu1bo1exo1ro1edh,باجناخزاده
bacağı,bu1exu1eao1y,باجاغی
bacağına,bu1exu1eao1bo1h,باجاغنه
bacağını,bu1exu1eao1bo1y,باجاغنی
bacağıyla,bu1exu1eao1ylh,باجاغیله
bacenah,bu1exu1bo1ex,باجناح
bacgir,bu1exu1ko7yr,باجگیر
bacı,bu1exu1y,باجی
bad,bu1ed,باد
bad-averd,bu1edewrd,باداورد
bad-averde,bu1edewrdh||,باداورده‌
bad-nüma,bu1edbo1me,بادنما
bad-ı heva,bu1edhwe,بادهوا
bad-ı saba,bu1edzbu1e,بادصبا
badam,bu1edem,بادام
badana etmek,bu1edebo1h e,بادانه ا
badana vurmak,bu1edebo1h ewrmfo2,بادانه اورمق
badana,bu1edebo1e,بادانا
badana,bu1edebo1h,بادانه
badana,bu1edebo1h||,بادانه‌
badanacı,bu1edebo1exu1y,باداناجی
badanacılık,bu1edebo1exu1ylfo2,باداناجیلق
badanala,bu1edebo1ele,بادانالا
badanalamak,bu1edebo1elemfo2,بادانالامق
badanalı,bu1edebo1ely,بادانالی
badarak,bu1ederefo2,باداراق
badarak,bu1ederfo2,بادارق
badban,bu1edbu1ebo1,بادبان
badban-küşa-yı azimet olmak,bu1edbu1ebo1 kso3ey aro1ymbo2 ew,بادبان کشای عزیمت او
badbedest,bu1edbu1dsbo2,بادبدست
badbiz,bu1edbu1yro1,بادبیز
bade,bu1edh||,باده‌
bade-l-mevt,bu1adelmwbo2,بعدالموت
badefüruş,bu1edh fo1rwso3,باده فروش
badehar,bu1edh xo1wer,باده خوار
badehu,bu1adh||,بعده‌
badekeş,bu1edh kso3,باده کش
badem,bu1edem,بادام
badem,bu1edm,بادم
badema,bu1adme,بعدما
bademcik,bu1edmxu1k,بادمجک
bademi,bu1edmy,بادمی
bademiçi,bu1edm eyxu3y,بادم ایچی
bademlik,bu1edmlk,بادملک
bademyağı,bu1edmu4 yeao1y,بادمِ یاغی
badenuş,bu1edh bo1wso3,باده نوش
badi olmak,bu1edy ew,بادی او
badi,bu1edy,بادی
badiban,bu1edbu1ebo1,بادبان
badiban-küşa olmak,bu1edbu1ebo1kso3e ew,بادبانکشا او
badire,bu1edrh||,بادره‌
badisaba,bu1edzbu1e,بادصبا
badiya,bu1edbu2h,باديه
badiya,bu1edyh||,بادیه‌
badiye,bu1edyh||,بادیه‌
badiyede,bu1edyh||dh,بادیه‌ده
badiyetin,bu1edybo2ko3,بادیتڭ
badnüma,bu1edbo1me,بادنما
bafra,bu1efo1re,بافرا
bagaj,bu1eao1ero3,باغاژ
bagavî,bu1ao1wy,بغوی
bagl,bu1ao1l,بغل
bagy,bu1ao1y,بغی
bah,bu1eh||,باه‌
baha (paha),bu1he,بها
baha artmak,bu1he erbo2rmfo2,بها ارترمق
baha,bu1he,بها
baha,bu1o4ho4e,بَهَا
baha-i,bu1hecu4,بهاءِ
bahaber,bu1exo1bu1r,باخبر
bahadar,bu1heder,بهادار
bahadir,bu1o4ho4edu4ro0,بَهَادِرْ
bahadır kadın,bu1hedr fo2ery,بهادر قاری
bahadır,bu1hedr,بهادر
bahadır,bu1o4ho4edu4ro0,بَهَادِرْ
bahadırane,bu1hedrebo1h||,بهادرانه‌
bahadırları,bu1hedrlry,بهادرلری
bahadırlık,bu1hedrlfo2,بهادرلق
bahadırlığıyla,bu1hedrlao1ylh,بهادرلغیله
bahadırı,bu1hedry,بهادری
bahaeddin,bu1hec eldybo1,بهاء الدین
bahaiye'yi,bu1heyo5yh||yy,بهائیه‌یی
bahaiye,bu1heyo5yh,بهائیه
bahalı,bu1hely,بهالی
bahane bulmak,bu1hebo1h bu1wlmfo2,بهانه بولمق
bahane,bu1hebo1h,بهانه
bahane,bu1hebo1h||,بهانه‌
bahane-mahane,bu1hebo1h mhebo1h,بهانه مهانه
bahaneci,bu1hebo1h||xu1y,بهانه‌جی
bahanecu,bu1hebo1h xu1w,بهانه جو
bahanedir,bu1hebo1h||dr,بهانه‌در
bahanedirler,bu1hebo1h||drlr,بهانه‌درلر
bahaneler,bu1hebo1h||lr,بهانه‌لر
bahanelerden,bu1hebo1h||lrdbo1,بهانه‌لردن
bahanelerdir,bu1hebo1h||lrdr,بهانه‌لردر
bahanelere,bu1hebo1h||lrh,بهانه‌لره
bahaneleri,bu1hebo1h||lry,بهانه‌لری
bahaneleridir,bu1hebo1h||lrydr,بهانه‌لریدر
bahanelerine,bu1hebo1h||lrybo1h,بهانه‌لرینه
bahanelerini,bu1hebo1h||lrybo1y,بهانه‌لرینی
bahanelerinize,bu1hebo1h||lryko3ro1h,بهانه‌لریڭزه
bahaneleriyle,bu1hebo1h||lrylh,بهانه‌لریله
bahanelerle,bu1hebo1h||lrlh,بهانه‌لرله
bahaneli,bu1hebo1h||ly,بهانه‌لی
bahanesi,bu1hebo1h||sy,بهانه‌سی
bahanesinden,bu1hebo1h||sbo1dbo1,بهانه‌سندن
bahanesine,bu1hebo1h||sbo1h,بهانه‌سنه
bahanesini,bu1hebo1h||sbo1y,بهانه‌سنی
bahanesiyle,bu1hebo1h||sylh,بهانه‌سیله
bahaneye,bu1hebo1h||yh,بهانه‌یه
bahaneyi,bu1hebo1h||yy,بهانه‌یی
bahaneyle,bu1hebo1h||ylh,بهانه‌یله
bahar,bu1her,بهار
bahar-ı,bu1heru4,بهارِ
bahara,bu1herh,بهاره
baharat,bu1herebo2,بهارات
baharda,bu1herdh,بهارده
bahardaki,bu1herdh||ky,بهارده‌کی
bahardakiler,bu1herdh||kylr,بهارده‌کیلر
bahardakinin,bu1herdh||kybo1ko3,بهارده‌کینڭ
bahardan,bu1herdbo1,بهاردن
bahardandır,bu1herdbo1dr,بهاردندر
bahardır,bu1herdr,بهاردر
bahari,bu1hery,بهاری
bahariye,bu1heryh,بهاریه
bahariye,bu1heryh||,بهاریه‌
bahariyenin,bu1heryh||bo1ko3,بهاریه‌نڭ
baharken,bu1herkbo1,بهارکن
baharlar,bu1herlr,بهارلر
baharlara,bu1herlrh,بهارلره
baharlarda,bu1herlrdh,بهارلرده
baharları,bu1herlry,بهارلری
baharların,bu1herlrko3,بهارلرڭ
baharlarına,bu1herlrybo1h,بهارلرینه
baharlı,bu1herly,بهارلی
baharîde,bu1herydh,بهاریده
baharîden,bu1herydbo1,بهاریدن
baharı,bu1hery,بهاری
baharımızda,bu1herymro1dh,بهاریمزده
baharımızın,bu1herymro1ko3,بهاریمزڭ
baharın,bu1herko3,بهارڭ
baharına,bu1herybo1h,بهارینه
baharını,bu1herybo1y,بهارینی
bahası,bu1hesy,بهاسی
bahasıdır,bu1hesydr,بهاسیدر
bahasına,bu1hesbo1h,بهاسنه
bahasında,bu1hesbo1dh,بهاسنده
bahaya çıkmak,bu1heyh xu3yfo2mfo2,بهایه چیقمق
bahayim,bu1heym,بهایم
bahemdir,bu1ehmdr,باهمدر
bahid'den,bu1xo1yddbo1,بخیددن
bahid'e,bu1ehdh,باهده
bahid,bu1xo1yd,بخید
bahil,bu1xo1yl,بخیل
bahillik,bu1xo1yllk,بخیللک
bahir,bu1ehr,باهر
bahir,bu1o4ehu4ro0,بَاهِرْ
bahir,bu1o4xu4ro0,بَحِرْ
bahir,bu1xr,بحر
bahir-i,bu1ehru4,باهرِ
bahir-ül,bu1ehr el,باهر ال
bahirdir,bu1ehrdr,باهردر
bahire,bu1ehrh,باهره
bahire-i,bu1ehrh||u4,باهره‌ِ
bahired,bu1exo1rd,باخرد
bahiredir,bu1ehrh||dr,باهره‌در
bahirelerine,bu1ehrh||lrybo1h,باهره‌لرینه
bahirenin,bu1ehrh||bo1ko3,باهره‌نڭ
bahiresi,bu1ehrh||sy,باهره‌سی
bahiresine,bu1ehrh||sbo1h,باهره‌سنه
bahiresini,bu1ehrh||sbo1y,باهره‌سنی
bahiresinin,bu1ehrh||sbo1ko3,باهره‌سنڭ
bahiresiyle,bu1ehrh||sylh,باهره‌سیله
bahireye,bu1ehrh||yh,باهره‌یه
bahireyi,bu1ehrh||yy,باهره‌یی
bahiri,bu1ehry,باهری
bahirimiz,bu1ehrymro1,باهریمز
bahis,bu1ehbo3,باهث
bahis,bu1exbo3,باحث
bahis,bu1xbo3,بحث
bahisle,bu1xbo3lh,بحثله
bahisler,bu1xbo3lr,بحثلر
bahislerde,bu1xbo3lrdh,بحثلرده
bahislerden,bu1xbo3lrdbo1,بحثلردن
bahislerdir,bu1xbo3lrdr,بحثلردر
bahislere,bu1xbo3lrh,بحثلره
bahisleri,bu1xbo3lry,بحثلری
bahislerin,bu1xbo3lrko3,بحثلرڭ
bahislerinde,bu1xbo3lrbo1dh,بحثلرنده
bahislerinden,bu1xbo3lrbo1dbo1,بحثلرندن
bahislerine,bu1xbo3lrybo1h,بحثلرینه
bahisleriyle,bu1xbo3lrylh,بحثلریله
bahiste,bu1xbo3dh,بحثده
bahisten,bu1xbo3dbo1,بحثدن
bahistir,bu1xbo3dr,بحثدر
bahit'e,bu1xo1ybo2h,بخیته
bahit'ten,bu1xo1ybo2dbo1,بخیتدن
bahit,bu1xo1ybo2,بخیت
bahi̇r,bu1ehr,باهر
bahi̇r,bu1o4ehu4ro0,بَاهِرْ
bahi̇r,bu1o4xu4ro0,بَحِرْ
bahi̇s,bu1xbo3,بحث
bahname,bu1ehbo1emh||,باهنامه‌
bahnâme,bu1ehbo1emh,باهنامه
bahr -i ahdar,bu1xr exzo1r,بحر احضر
bahr -i ahmer,bu1xr exmr,بحر احمر
bahr -i hazer,bu1xr xo1ro1r,بحر خزر
bahr -i kulzum,bu1xr fo2lro1m,بحر قلزم
bahr -i muhit-i atlasi,bu1xr mxyt etlsy,بحر محیط اطلسی
bahr -i muhit-i kebir,bu1xr mxyt kbu1yr,بحر محیط کبیر
bahr -i mutavassıt,bu1xr mbo2wst,بحر متوسط
bahr -i siyah,bu1xr syeh||,بحر سیاه‌
bahr'de,bu1xrdh,بحرده
bahr,bu1xr,بحر
bahr-i ahdar,bu1xr exzo1r,بحر احضر
bahr-i ahmer,bu1o4xo0ru4 eo4xo0mo4ro0,بَحْرِ اَحْمَرْ
bahr-i ahmer,bu1xr exmr,بحر احمر
bahr-i hakikat,bu1o4xo0ru4 xo4fo2yfo2o4bo2o0,بَحْرِ حَقیقَتْ
bahr-i hakîkat,bu1o4xo0ru4 xo4fo2bu2fo2o4bo2o0,بَحْرِ حَقيقَتْ
bahr-i hazer,bu1xr xo1ro1r,بحر خزر
bahr-i kulzum,bu1xr fo2lro1m,بحر قلزم
bahr-i muhit,bu1o4xo0ru4 mo9xyto0,بَحْرِ مُحیطْ
bahr-i muhit-i atlasi,bu1xr mxyt etlsy,بحر محیط اطلسی
bahr-i muhit-i garbi,bu1o4xo0ru4 mo9xytu4 ao1o4ro0bu1y,بَحْرِ مُحیطِ غَرْبی
bahr-i muhit-i havai,bu1o4xo0ru4 mo9xytu4 ho4wo4ebo5y,بَحْرِ مُحیطِ هَوَائی
bahr-i muhit-i kebir,bu1xr mxyt kbu1yr,بحر محیط کبیر
bahr-i muhit-i şarki,bu1o4xo0ru4 mo9xytu4 so3o4ro0fo2y,بَحْرِ مُحیطِ شَرْقی
bahr-i muhît,bu1o4xo0ru4 mo9xbu2to0,بَحْرِ مُحيطْ
bahr-i muhît-i atlasî,bu1xr mxbu2t etlsy,بحر محيط اطلسی
bahr-i muhît-i garbî,bu1o4xo0ru4 mo9xbu2tu4 ao1o4ro0bu1bu2,بَحْرِ مُحيطِ غَرْبي
bahr-i muhît-i havaî,bu1o4xo0ru4 mo9xbu2tu4 ho4wo4ebo5bu2,بَحْرِ مُحيطِ هَوَائي
bahr-i muhît-i kebîr,bu1xr mxbu2t kbu1bu2r,بحر محيط کبير
bahr-i muhît-i şarkî,bu1o4xo0ru4 mo9xbu2tu4 so3o4ro0fo2bu2,بَحْرِ مُحيطِ شَرْقي
bahr-i mutavassit,bu1xr mbo2wst,بحر متوسط
bahr-i mutavassıt,bu1xr mbo2wst,بحر متوسط
bahr-i siyah,bu1xr syeh||,بحر سیاه‌
bahr-i siyâh,bu1xr sbu2eh,بحر سياه
bahr-i,bu1xru4,بحرِ
bahr-i̇ ahdar,bu1xr exzo1r,بحر احضر
bahr-i̇ ahmer,bu1o4xo0ru4 eo4xo0mo4ro0,بَحْرِ اَحْمَرْ
bahr-i̇ ahmer,bu1xr exmr,بحر احمر
bahr-i̇ haki̇kat,bu1o4xo0ru4 xo4fo2yfo2o4bo2o0,بَحْرِ حَقیقَتْ
bahr-i̇ hazer,bu1xr xo1ro1r,بحر خزر
bahr-i̇ kulzum,bu1xr fo2lro1m,بحر قلزم
bahr-i̇ muhi̇t,bu1o4xo0ru4 mo9xyto0,بَحْرِ مُحیطْ
bahr-i̇ muhi̇t-i̇ atlasi̇,bu1xr mxyt etlsy,بحر محیط اطلسی
bahr-i̇ muhi̇t-i̇ garbi̇,bu1o4xo0ru4 mo9xytu4 ao1o4ro0bu1y,بَحْرِ مُحیطِ غَرْبی
bahr-i̇ muhi̇t-i̇ havai̇,bu1o4xo0ru4 mo9xytu4 ho4wo4ebo5y,بَحْرِ مُحیطِ هَوَائی
bahr-i̇ muhi̇t-i̇ kebi̇r,bu1xr mxyt kbu1yr,بحر محیط کبیر
bahr-i̇ muhi̇t-i̇ şarki̇,bu1o4xo0ru4 mo9xytu4 so3o4ro0fo2y,بَحْرِ مُحیطِ شَرْقی
bahr-i̇ mutavassit,bu1xr mbo2wst,بحر متوسط
bahr-i̇ si̇yah,bu1xr syeh||,بحر سیاه‌
bahr-ül,bu1xr el,بحر ال
bahr-ı muhit,bu1xr mxyt,بحر محیط
bahr-ı muhît,bu1xr mxbu2t,بحر محيط
bahr-ı,bu1xru4,بحرِ
bahrde,bu1xrdh,بحرده
bahrden,bu1xrdbo1,بحردن
bahrdir,bu1xrdr,بحردر
bahrdır,bu1xrdr,بحردر
bahre,bu1xrh,بحره
bahren,bu1xreo44,بحراً
bahreyn-i,bu1xrybo1u4,بحرینِ
bahri'nin,bu1xrybo1ko3,بحرینڭ
bahri,bu1o4xo0ru4y,بَحْرِی
bahri,bu1xry,بحری
bahridir,bu1xrydr,بحریدر
bahrin,bu1xrko3,بحرڭ
bahrinde,bu1xrbo1dh,بحرنده
bahrinden,bu1xrbo1dbo1,بحرندن
bahrine,bu1xrybo1h,بحرینه
bahrinin,bu1xrybo1ko3,بحرینڭ
bahriye,bu1xryh,بحریه
bahriye,bu1xryh||,بحریه‌
bahriyeden,bu1xryh||dbo1,بحریه‌دن
bahriyeli,bu1xryh<>ly,بحریه‌لی
bahriyeli,bu1xryh||ly,بحریه‌لی
bahriyye feriki,bu1xryh fo1ryfo2y,بحریه فریقی
bahriyye ferîki,bu1xrbu2h fo1rbu2fo2y,بحريه فريقی
bahriyye kapısı,bu1xrbu2h fo2bu3wsy,بحريه قپوسی
bahriyye kapısı,bu1xryh fo2bu3wsy,بحریه قپوسی
bahriyye mülazımlığı talibi,bu1xryh mlero1mlao1y telbu1y,بحریه ملازملغی طالبی
bahriyye mülâzımlığı tâlibi,bu1xrbu2h mlero1mlao1y telbu1y,بحريه ملازملغی طالبی
bahriyye paşası,bu1xrbu2h bu3eso3esy,بحريه پاشاسی
bahriyye paşası,bu1xryh bu3eso3esy,بحریه پاشاسی
bahriyye tüfekçisi,bu1xrbu2h bo2fo1bo1kxu1bu2sy,بحريه تفنکجيسی
bahriyye tüfekçisi,bu1xryh bo2fo1bo1kxu1ysy,بحریه تفنکجیسی
bahriyye,bu1xrbu2h,بحريه
bahriyye,bu1xryh||,بحریه‌
bahri̇,bu1o4xo0ru4y,بَحْرِی
bahrler,bu1xrlr,بحرلر
bahrleri,bu1xrlry,بحرلری
bahrlerine,bu1xrlrybo1h,بحرلرینه
bahrî,bu1o4xo0ru4bu2,بَحْرِي
bahrî,bu1xry,بحری
bahrın,bu1xrko3,بحرڭ
bahrına,bu1xrybo1h,بحرینه
bahrında,bu1xrbo1dh,بحرنده
bahrının,bu1xrybo1ko3,بحرینڭ
bahs etmek,bu1xbo3 e,بحث ا
bahs tutmak,bu1xbo3 twbo2mfo2,بحث طوتمق
bahs,bu1xbo3,بحث
bahs-i,bu1xbo3u4,بحثِ
bahse,bu1xbo3h,بحثه
bahsedecek,bu1xbo3 eydh||xu1k,بحث ایده‌جک
bahsedeceği,bu1xbo3 eydh||xu1ko7y,بحث ایده‌جگی
bahsedeceğim,bu1xbo3 eydh||xu1ko7m,بحث ایده‌جگم
bahsedeceğimden,bu1xbo3 eydh||xu1ko7mdbo1,بحث ایده‌جگمدن
bahsedeceğimiz,bu1xbo3 eydh||xu1ko7mro1,بحث ایده‌جگمز
bahsedeceğiz,bu1xbo3 eydh||xu1ko7ro1,بحث ایده‌جگز
bahsedelim,bu1xbo3 eydh||lm,بحث ایده‌لم
bahseden,bu1xbo3 eydbo1,بحث ایدن
bahseder,bu1xbo3 eydr,بحث ایدر
bahsederek,bu1xbo3 eydh||rk,بحث ایده‌رک
bahsederken,bu1xbo3 eydrkbo1,بحث ایدرکن
bahsederler,bu1xbo3 eydrlr,بحث ایدرلر
bahsedersin,bu1xbo3 eydrsko3,بحث ایدرسڭ
bahsedeyim,bu1xbo3  eydh||ym,بحث  ایده‌یم
bahsedildi,bu1xbo3 eydyldy,بحث ایدیلدی
bahsedildiği,bu1xbo3 eydyldyko7y,بحث ایدیلدیگی
bahsedildiğinden,bu1xbo3 eydyldyko7bo1dbo1,بحث ایدیلدیگندن
bahsedilecek,bu1xbo3 eydylh||xu1k,بحث ایدیله‌جک
bahsedilecekti,bu1xbo3 eydylh||xu1kdy,بحث ایدیله‌جکدی
bahsedilen,bu1xbo3 eydylbo1,بحث ایدیلن
bahsedilir,bu1xbo3 eydylyr,بحث ایدیلیر
bahsedilirken,bu1xbo3 eydylyrkbo1,بحث ایدیلیرکن
bahsedilmedi,bu1xbo3 eydylmdy,بحث ایدیلمدی
bahsedilmekten,bu1xbo3 eydylmkdbo1,بحث ایدیلمکدن
bahsedilmesi,bu1xbo3 eydylmh||sy,بحث ایدیلمه‌سی
bahsedilmesinin,bu1xbo3 eydylmh||sbo1ko3,بحث ایدیلمه‌سنڭ
bahsedilmez,bu1xbo3 eydylmro1,بحث ایدیلمز
bahsedilmiş,bu1xbo3 eydylmso3,بحث ایدیلمش
bahsedilmişti,bu1xbo3 eydylmso3dy,بحث ایدیلمشدی
bahsedilmiştir,bu1xbo3 eydylmso3dr,بحث ایدیلمشدر
bahsedilse,bu1xbo3 eydylsh,بحث ایدیلسه
bahsedilsin,bu1xbo3 eydylswbo1,بحث ایدیلسون
bahsedip,bu1xbo3 eydwbu1,بحث ایدوب
bahsediyor,bu1xbo3 eydyywr,بحث ایدییور
bahsediyorken,bu1xbo3 eydyywrkbo1,بحث ایدییورکن
bahsediyorlar,bu1xbo3 eydyywrlr,بحث ایدییورلر
bahsediyorsun,bu1xbo3 eydyywrsko3,بحث ایدییورسڭ
bahsediyorsunuz,bu1xbo3 eydyywrsko3ro1,بحث ایدییورسڭز
bahsetmek,bu1xbo3 e,بحث ا
bahsetmek,bu1xbo3 eybo2mk,بحث ایتمک
bahsetmekle,bu1xbo3 eybo2mklh,بحث ایتمکله
bahsetmekliğime,bu1xbo3 eybo2mklko7mh,بحث ایتمکلگمه
bahsetmekte,bu1xbo3 eybo2mkdh,بحث ایتمکده
bahsetmekteyim,bu1xbo3 eybo2mkdh||ym,بحث ایتمکده‌یم
bahsetmeleri,bu1xbo3 eybo2mh||lry,بحث ایتمه‌لری
bahsetmemeleri,bu1xbo3 eybo2mh||mh||lry,بحث ایتمه‌مه‌لری
bahsetmemiş,bu1xbo3 eybo2mh||mso3,بحث ایتمه‌مش
bahsetmemişler,bu1xbo3 eybo2mh||mso3lr,بحث ایتمه‌مشلر
bahsetmesin,bu1xbo3 eybo2mh||sybo1,بحث ایتمه‌سین
bahsetmesinden,bu1xbo3 eybo2mh||sbo1dbo1,بحث ایتمه‌سندن
bahsetmeye,bu1xbo3 eybo2mko7h,بحث ایتمگه
bahsetmeyeceğiz,bu1xbo3 eybo2myh||xu1ko7ro1,بحث ایتمیه‌جگز
bahsetmeyi,bu1xbo3 eybo2mko7y,بحث ایتمگی
bahsetmeyişimizin,bu1xbo3 eybo2mh||yso3mro1ko3,بحث ایتمه‌یشمزڭ
bahsetmez,bu1xbo3 eybo2mro1,بحث ایتمز
bahsetmiyor,bu1xbo3 eybo2myywr,بحث ایتمییور
bahsetmiyorlar,bu1xbo3 eybo2myywrlr,بحث ایتمییورلر
bahsetmiş,bu1xbo3 eybo2mso3,بحث ایتمش
bahsetmişim,bu1xbo3 eybo2mso3m,بحث ایتمشم
bahsetmişiz,bu1xbo3 eybo2mso3ro1,بحث ایتمشز
bahsetmişler,bu1xbo3 eybo2mso3lr,بحث ایتمشلر
bahsetmişlerse,bu1xbo3 eybo2mso3lrsh,بحث ایتمشلرسه
bahsetmiştim,bu1xbo3 eybo2mso3dm,بحث ایتمشدم
bahsetmiştiniz,bu1xbo3 eybo2mso3dyko3ro1,بحث ایتمشدیڭز
bahsetmiştir,bu1xbo3 eybo2mso3dr,بحث ایتمشدر
bahsetse,bu1xbo3 eybo2sh,بحث ایتسه
bahsetsin,bu1xbo3 eybo2sybo1,بحث ایتسین
bahsetsinler,bu1xbo3 eybo2sybo1lr,بحث ایتسینلر
bahsetti,bu1xbo3 eybo2dy,بحث ایتدی
bahsettik,bu1xbo3 eybo2dk,بحث ایتدک
bahsettikleri,bu1xbo3 eybo2dklry,بحث ایتدکلری
bahsettiklerini,bu1xbo3 eybo2dklrybo1y,بحث ایتدکلرینی
bahsettiği,bu1xbo3 eybo2dyko7y,بحث ایتدیگی
bahsettiğim,bu1xbo3 eybo2dyko7m,بحث ایتدیگم
bahsettiğimiz,bu1xbo3 eybo2dyko7mro1,بحث ایتدیگمز
bahsettiğimizden,bu1xbo3 eybo2dyko7mro1dbo1,بحث ایتدیگمزدن
bahsettiğimize,bu1xbo3 eybo2dyko7mro1h,بحث ایتدیگمزه
bahsettiğin,bu1xbo3 eybo2dyko7ko3,بحث ایتدیگڭ
