
aba,eo6bu1e,آبا
aran,eo6rebo1,آران
aranıl,eo6rebo1yl,آرانیل
arat,eo6rebo2,آرات
arattır,eo6rebo2dyr,آراتدیر
araştır,eo6reso3dyr,آراشدیر
arlan,aerlebo1,عارلان
arpala,eo6rbu3ele,آرپالا
arsızlan,aersro1lebo1,عارسزلان
artdır,eo6rbo2dyr,آرتدیر
artdırıl,eo6rbo2dyryl,آرتدیریل
arttır,eo6rbo2dyr,آرتدیر
arttırıl,eo6rbo2dyryl,آرتدیریل
artır,eo6rbo2yr,آرتیر
arzet,arzo1 eybo2,عرض ایت
arzula,eo6rro1wle,آرزولا
arıkla,eo6ryfo2le,آریقلا
arıklan,eo6ryfo2lebo1,آریقلان
arıklat,eo6ryfo2lebo2,آریقلات
arıl,eo6ryl,آریل
arın,eo6rybo1,آرین
arıt,eo6rybo2,آریت
arşınla,eo6rso3ybo1le,آرشینلا
as,eo6z,آص
asdır,eo6zdyr,آصدیر
astarla,eo6sbo2erle,آستارلا
asıl,eo6zyl,آصیل
ateşle,eo6bo2so3l,آتشل
ateşlen,eo6bo2so3lbo1,آتشلن
ateşlendir,eo6bo2so3lbo1dyr,آتشلندیر
atfet,atfo1 eybo2,عطف ایت
atkıla,eo6bo2fo2yle,آتقیلا
atla,eo6bo2le,آتلا
atlandır,eo6bo2le||bo1dyr,آتلا‌ندیر
attır,eo6bo2dyr,آتدیر
atıl,eo6bo2yl,آتیل
atıştır,eo6bo2yso3dyr,آتیشدیر
avla,eo6wle,آولا
avlan,eo6wlebo1,آولان
avun,eo6wwbo1,آوون
avut,eo6wwbo1,آوون
avutdur,eo6wwbo2dr,آووتدر
avutul,eo6wwbo2l,آووتل
avuçla,eo6wwxu1le,آووجلا
ayakla,eo6ye||fo2le,آیا‌قلا
ayaklan,eo6yefo2lebo1,آیاقلان
ayaklandır,eo6ye||fo2lebo1dyr,آیا‌قلاندیر
ayar,eo6yer,آیار
ayart,eo6yerbo2,آیارت
ayartıl,eo6yerbo2l,آیارتل
ayazla,eo6yero1le,آیازلا
ayazlan,eo6yero1lebo1,آیازلان
ayazlat,eo6yero1lebo2,آیازلات
aydınla,eo6ydybo1le,آیدینلا
aydınlan,eo6ydybo1lebo1,آیدینلان
aydınlat,eo6ydybo1lebo2,آیدینلات
aydınlaş,eo6ydybo1leso3,آیدینلاش
aydınlaşdır,eo6ydybo1leso3dyr,آیدینلاشدیر
ayrıl,eo6yryl,آیریل
ayrılan,eo6yrylebo1,آیریلان
ayrılaş,eo6yryleso3,آیریلاش
ayıkla,eo6yfo2le,آیقلا
ayıl,eo6yyl,آییل
ayılt,eo6yylbo2,آییلت
ayıpla,aybu1le,عیبلا
ayıplan,aybu1lebo1,عیبلان
ayır,eo6yyr,آییر
azadla,eo6ro1edle,آزادلا
azal,eo6ro1el,آزال
azalt,eo6ro1elbo2,آزالت
azarla,eo6ro1erle,آزارلا
azarlan,eo6ro1erlebo1,آزارلان
azarlat,eo6ro1erlebo2,آزارلات
azdır,eo6ro1dyr,آزدیر
azdırıl,eo6ro1dyl,آزدیل
azlet,aro1l eybo2,عزل ایت
azımsa,eo6ro1mse,آزمسا
azırgan,eo6ro1yrao1ebo1,آزیرغان
azıt,eo6ro1ybo2,آزیت
aç,eo6xu3,آچ
açtır,eo6xu3dyr,آچدیر
açıkla,eo6xu1yfo2le,آجیقلا
açıl,eo6xu3l,آچل
ağalan,eo6ao1elebo1,آغالان
ağar,eo6ao1er,آغار
ağart,eo6ao1erbo2,آغارت
ağdalan,eo6ao1delebo1,آغدالان
ağdalaş,eo6ao1deleso3,آغدالاش
ağdır,eo6ao1dyr,آغدیر
ağla,eo6ao1le,آغلا
ağlat,eo6ao1lebo2,آغلات
ağlaş,eo6ao1leso3,آغلاش
ağrıt,eo6ao1rybo2,آغریت
ağıllan,eo6ao1yllebo1,آغیللان
ağırla,eo6ao1rle,آغرلا
ağırlan,eo6ao1rlebo1,آغرلان
ağırlat,eo6ao1rlebo2,آغرلات
ağırlaş,eo6ao1rleso3,آغرلاش
ağırlaştır,eo6ao1rleso3dyr,آغرلاشدیر
ağırşaklan,eo6ao1rso3efo2lebo1,آغرشاقلان
aşağıla,eo6so3eao1yle,آشاغیلا
aşla,eo6so3le,آشلا
aşlat,eo6so3lebo2,آشلات
aşıla,eo6so3yle,آشیلا
aşılan,eo6so3ylebo1,آشیلان
aşılat,eo6so3ylebo2,آشیلات
aşın,eo6so3ybo1,آشین
aşındır,eo6so3ybo1dyr,آشیندیر
aşır,eo6so3yr,آشیر
aşırt,eo6so3yrbo2,آشیرت
aşırıl,eo6so3yrl,آشیرل
acılan,eo6xu1ylebo1,آجیلان
acı_laş,eo6xu1yleso3,آجیلاش
acılaştı,eo6xu1yleso3dy,آجیلاشدی
acılaştıracak,eo6xu1yleso3dyrh||xu1fo2,آجیلاشدیره‌جق
acılaştırıyor,eo6xu1yleso3dyryywr,آجیلاشدیرییور
acılaşıyor,eo6xu1yleso3yywr,آجیلاشییور
afalla,eo6fo1elle,آفاللا
afallat,eo6fo1ellebo2,آفاللات
afallaş,eo6fo1ellso3,آفاللش
aksır,eo6fo2syr,آقسیر
aksırt,eo6fo2syrbo2,آقسیرت
