
kabalaş,fo2ebu1eleso3,قابالاش
kötüle,kwbo2wlh||,کوتوله‌
kötülen,kwbo2wlbo1,کوتولن
kötüleş,kwbo2wlso3,کوتولش
kötüleşdir,kwbo2wlso3dyr,کوتولشدیر
küflen,kwfo1lbo1,کوفلن
küflet,kwfo1lbo2,کوفلت
kükre,ko7wkrh||,گوکره‌
küre,kwrh||,کوره‌
kürele,kwrh||l,کوره‌ل
kürü,kwrw,کورو
küs,kws,کوس
küstür,kwsdyr,کوسدیر
kütle,kwbo2lh||,کوتله‌
kütürde,kwbo2wrdh||,کوتورده‌
küçükle,kwxu3wkl,کوچوکل
küçül,kwxu3wl,کوچول
küçült,kwxu3wlbo1,کوچولن
kılavuzla,fo2wleao1wro1le,قولاغوزلا
kıldır,fo2yldyr,قیلدیر
kıllan,fo2yllebo1,قیللان
kımılda,fo2ylmylde,قیلمیلدا
kımıldan,fo2ylmyldebo1,قیلمیلدان
kımıldat,fo2ylmyldebo2,قیلمیلدات
kınan,fo2ybo1ebo1,قینان
kınla,fo2ybo1le,قینلا
kıpırda,fo2ybu3rde,قیپردا
kıpırdan,fo2ybu3rdebo1,قیپردان
kıpırdat,fo2ybu3rdebo2,قیپردات
kırbaçla,fo2yrbu1exu1le,قیرباجلا
kırbaçlan,fo2yrbu1exu1lebo1,قیرباجلان
kırdır,fo2yrdyr,قیردیر
kırkla,fo2yrfo2le,قیرقلا
kırıl,fo2yryl,قیریل
kırıt,fo2yrbo2,قیرت
kıs,fo2yz,قیص
kısal,fo2yzel,قیصال
kısalt,fo2yzelbo2,قیصالت
kıskan,fo2yzfo2ebo1,قیصقان
kıskandır,fo2yzfo2ebo1dyr,قیصقاندیر
kıskanıl,fo2yzfo2ebo1yl,قیصقانیل
kıstır,fo2yzdyr,قیصدیر
kısıl,fo2yzyl,قیصیل
kıtlaş,fo2ybo2leso3,قیتلاش
kıvamlan,fo2wemlebo1,قواملان
kıvra,fo2ywre,قیورا
kıvran,fo2ywrebo1,قیوران
kıvrıl,fo2ywryl,قیوریل
kıvır,fo2ywyr,قیویر
kıvırt,fo2ywyrbo2,قیویرت
kıy,fo2yy,قیی
kıydır,fo2yydyr,قییدیر
kıyıl,fo2yyyl,قیییل
kızar,fo2yro1er,قیزار
kızart,fo2yro1erbo2,قیزارت
kızış,fo2yro1yso3,قیزیش
kışkırt,fo2yso3fo2yrbo2,قیشقیرت
kışlat,fo2yso3lebo2,قیشلات
