
yabala,yebu1h||le,یابه‌لا
yelkenlen,ylkbo1lbo1,یلکنلن
yelle,yllh||,یلله‌
yellen,yllbo1,یللن
yelpazele,ylbu3ero1h||l,یلپازه‌ل
yelpazelen,ylbu3ero1h||lbo1,یلپازه‌لن
yelten,ylbo2bo1,یلتن
yenil,ybo1yl,ینیل
yenil,ylo5o3l,یكل
yenil,ylo5o3yl,یكیل
yenile,ylo5o3ylh||,یكیله‌
yenilen,ylo5o3ylh||bo1,یكیله‌ن
yenilet,ylo5o3ylbo2,یكیلت
yerin,yrybo1,یرین
yerleş,yrlso3,یرلش
yerleşdir,yrlso3dyr,یرلشدیر
yerleşdiril,yrlso3dyrl,یرلشدیرل
yet,ybo2,یت
yetdir,ybo2dyr,یتدیر
yetiş,ybo2yso3,یتیش
yetişdir,ybo2yso3dr,یتیشدر
yeşer,yso3yr,یشیر
yeşillen,yso3yllbo1,یشیللن
yeşillendir,yso3yllbo1dyr,یشیللندیر
yit,yybo2,ییت
yitdir,yybo2dyr,ییتدیر
yoket,ywfo2 eybo2,یوق ایت
yokla,ywfo2le,یوقلا
yoklan,ywfo2lebo1,یوقلان
yoklat,ywfo2lebo2,یوقلات
yoklaşdır,ywfo2leso3dyr,یوقلاشدیر
yoldur,ywldyr,یولدیر
yolla,ywlle,یوللا
yolun,ywlwbo1,یولون
yon,ywbo1,یون
yonul,ywbo1l,یونل
yor,ywr,یور
yorganla,ywrao1ebo1le,یورغانلا
yorul,ywrwl,یورول
yosunlan,ywzwbo1lebo2,یوصونلات
yoğrul,ywao1rwl,یوغرول
yoğurt,ywao1wr,یوغور
yu,yw,یو
yum,ywm,یوم
yumakla,ywmefo2le,یوماقلا
yumaklan,ywmefo2lebo1,یوماقلان
yumrukla,ywmrwfo2le,یومروقلا
yumul,ywml,یومل
yumurtla,ywmwrtle,یومورطلا
yumurtlat,ywmwrtlebo2,یومورطلات
yumşa,ywmso3e,یومشا
yumşat,ywmso3ebo2,یومشات
yun,ywbo1,یون
yurtlan,ywrbo2lebo1,یورتلان
yurtlandır,ywrbo2lebo1dyr,یورتلاندیر
yut,ywbo2,یوت
yutdur,ywbo2dyr,یوتدیر
yutkun,ywbo2fo2wbo1,یوتقون
yutul,ywbo2l,یوتل
yuvala,ywwele,یووالا
yuvarla,ywwerle,یووارلا
yuvarlan,ywwerlebo1,یووارلان
yuvarlat,ywwerlebo2,یووارلات
yücel,ywxu1l,یوجل
yücelen,ywxu1h||lbo1,یوجه‌لن
yücelt,ywxu1h||lbo1,یوجه‌لن
yücelt,ywxu1lbo2,یوجلت
yükle,ywkl,یوکل
yüklen,ywklbo1,یوکلن
yüklet,ywklbo2,یوکلت
yüksel,ywksl,یوکسل
yükselt,ywkslbo2,یوکسلت
yüksü,ywksy,یوکسی
yünle,ywlo5o3l,یوكل
yüreklen,ywrklbo1,یورکلن
yüreklendir,ywklbo1dyr,یوکلندیر
yürü,ywrw,یورو
yürün,ywrwbo1,یورون
yürüt,ywrwbo2,یوروت
yürütül,ywrwdl,یورودل
yüzdür,ywro1dyr,یوزدیر
yüzle,ywro1l,یوزل
yüzleş,ywro1lso3,یوزلش
yüzleşdir,ywro1lso3dyr,یوزلشدیر
yüzver,ywro1wyr,یوزویر
yüzül,ywro1wl,یوزول
yık,yyfo2,ییق
yıka,yyfo2e,ییقا
yıkan,yyfo2ebo1,ییقان
yıkdır,yyfo2dyr,ییقدیر
yıkdırıl,yyfo2dyrl,ییقدیرل
yıkıl,yyfo2l,ییقل
yıldır,yyldyr,ییلدیر
yılla,yylle,ییللا
yılış,yylyso3,ییلیش
yırt,yyrbo2,ییرت
yırtıl,yyrbo2l,ییرتل
yırtın,yyrbo2bo1,ییرتن
yığ,yyao1,ییغ
yığdır,yyao1dyr,ییغدیر
yığıl,yyao1l,ییغل
