
badanala,bu1edebo1ele,بادانالا
bollat,bu1wllebo2,بوللات
bollaş,bu1wlleso3,بوللاش
borçlan,bu1wrxu1lebo1,بورجلان
boyala,bu1wyele,بویالا
boyalan,bu1wylebo1,بویلان
boyalat,bu1wyelebo2,بویالات
boyat,bu1wyebo2,بویات
boyla,bu1wyle,بویلا
boylan,bu1wylebo1,بویلان
bozar,bu1wro1er,بوزار
bozdur,bu1wro1dwr,بوزدور
bozul,bu1wro1wl,بوزول
bozuş,bu1wro1wso3,بوزوش
boğ,bu1wao1,بوغ
boğazla,bu1wao1ero1le,بوغازلا
boğul,bu1wao1wl,بوغول
boğuş,bu1wao1wso3,بوغوش
boğuşdur,bu1wao1wso3dwr,بوغوشدور
boşa,bu1wso3e,بوشا
boşal,bu1wso3el,بوشال
boşalt,bu1wso3elbo2,بوشالت
boşan,bu1wso3ebo1,بوشان
boşat,bu1wso3ebo2,بوشات
boşatıl,bu1wso3ebo2yl,بوشاتیل
boşla,bu1wso3le,بوشلا
budaklan,bu1wdefo2lebo1,بوداقلان
budan,bu1wdebo1,بودان
budat,bu1wdebo2,بودات
buhurla,bu1xo1wrle,بخورلا
bul,bu1wl,بول
bula,bu1wle,بولا
bulan,bu1wlebo1,بولان
bulandır,bu1wlebo1dyr,بولاندیر
bulaş,bu1wleso3,بولاش
bulaştır,bu1wleso3dyr,بولاشدیر
buldur,bu1wlwr,بولور
bulun,bu1wlwbo1,بولون
bulundur,bu1wlwbo1dwr,بولوندور
bulunul,bu1wlwbo1wl,بولونول
bulutlan,bu1wlwbo2lebo1,بولوتلان
buluşdur,bu1wlwso3dwr,بولوشدور
buna,bu1wbo1e,بونا
bunal,bu1wbo1el,بونال
bunalt,bu1wbo1elbo2,بونالت
burgula,bu1wrao1wle,بورغولا
burkul,bu1wrfo2wl,بورقول
buruş,bu1wrwso3,بوروش
buruşdur,bu1wrwso3dwr,بوروشدور
buzlan,bu1wro1lebo1,بوزلان
buğula,bu1wao1wle,بوغولا
buğulan,bu1wao1wlebo1,بوغولان
böceklen,bu1wxu1klh||bo1,بوجکله‌ن
böl,bu1wl,بول
bölün,bu1wlwbo1,بولون
bölüştür,bu1wlwso3dwr,بولوشدور
böğürt,bu1wko7wrbo2,بوگورت
bük,bu1wk,بوک
bükül,bu1wkwl,بوکول
bürü,bu1wrw,بورو
bürün,bu1wrwbo1,بورون
bütünle,bu1wbo2wbo1lh||,بوتونله‌
büyüklen,bu1wywklh||bo1,بویوکله‌ن
büyüle,bu1wywlh||,بویوله‌
büyülen,bu1wywlh||bo1,بویوله‌ن
büyüt,bu1wywbo2,بویوت
büz,bu1wro1,بوز
büzül,bu1wro1wl,بوزول
bık,bu1yfo2,بیق
bıkdır,bu1yfo2dyr,بیقدیر
bıkıl,bu1yfo2yl,بیقیل
bırak,bu1refo2,براق
bırakdır,bu1refo2dyr,براقدیر
bırakıl,bu1refo2yl,براقیل
bıyıklan,bu1yyfo2ylebo1,بییقیلان
bıçakla,bu1yxu3efo2le,بیچاقلا
