
sabahla,zbu1exle,صباحلا
sa’yet,say eybo2,سعی ایت
sebket,sbu1fo2 eybo2,سبق ایت
sek,sk,سک
sekdir,skdyr,سکدیر
selamla,slemle,سلاملا
selamlaş,slemleso3,سلاملاش
semir,smyr,سمیر
semirt,smyrbo2,سمیرت
sendele,sbo1dh||l,سنده‌ل
senetleş,sbo1dlso3,سندلش
serdet,srd eybo2,سرد ایت
serdir,srdyr,سردیر
seril,sryl,سریل
serinle,srybo1l,سرینل
serinlen,srybo1lbo1,سرینلن
serinlet,srybo1lbo2,سرینلت
serinleş,srybo1lso3,سرینلش
serp,srbu3,سرپ
serpdir,srbu3dyr,سرپدیر
serpil,srbu3yl,سرپیل
serpişdir,srbu3so3dyr,سرپشدیر
sersemle,srsmlh||,سرسمله‌
sertlen,srbo2llbo1,سرتللن
sertlendir,srbo2lbo1dyr,سرتلندیر
sertleş,srbo2lso3,سرتلش
sertleşdir,srbo2lso3dyr,سرتلشدیر
sesle,sslh||,سسله‌
setret,sbo2reybo2,سترایت
sev,sw,سو
sevdir,swdyr,سودیر
sevil,swyl,سویل
sevin,swybo1,سوین
sevindir,swybo1dyr,سویندیر
seviş,swyso3,سویش
sevket,swfo2 eybo2,سوق ایت
seyrekleş,sko7rklso3,سگرکلش
seyrekleştir,sko7rklso3dyr,سگرکلشدیر
seyret,syreybo2,سیرایت
sez,sro1,سز
sezdir,sro1dyrd,سزدیرد
sezil,sro1yl,سزیل
seç,sxu3,سچ
seçdir,sxu3dyr,سچدیر
seçil,sxu3l,سچل
seğir,sko7r,سگر
seğirt,sko7rbo2,سگرت
siftahla,sfo1bo2exle,سفتاحلا
siftin,syfo1bo2ybo1,سیفتین
sihirle,sxrl,سحرل
silahlandır,slexlebo1dyr,سلاحلاندیر
sildir,syldyr,سیلدیر
silin,sylbo1,سیلن
silk,sylk,سیلک
sin,syk,سیک
sindir,sybo1dyr,سیندیر
sindir,sylo5o3dyr,سیكدیر
sinirlen,sybo1yrlbo1,سینیرلن
sirkin,syrkybo1,سیرکین
sislen,syslh||bo1k,سیسله‌نک
siviş,sywyso3,سیویش
sivril,sywryl,سیوریل
sivrileş,sywrylso3,سیوریلش
sivrilt,sywrylbo2,سیوریلت
siyahlan,syehlebo1,سیاهلان
siyahlat,syehlebo2,سیاهلات
sok,zwfo2,صوق
sokdur,zwfo2dyr,صوقدیر
sokul,zwfo2wl,صوقول
sokuşdur,zwfo2wso3dyr,صوقوشدیر
soldur,zwldyr,صولدیر
solu,zwlw,صولو
solut,zwlwbo2,صولوت
somurt,zwmwrbo2,صومورت
sor,zwr,صور
sordur,zwrdwr,صوردور
sorul,zwrl,صورل
soruşdur,zwrwso3dyr,صوروشدیر
soyun,zwywbo1,صویون
soğu,zwao1w,صوغو
soğukla,zwao1wfo2le,صوغوقلا
soğut,zwao1wbo2,صوغوت
soğutul,zwao1wbo2yl,صوغوتیل
sula,zwle,صولا
sulan,zwlebo1,صولان
sulandır,zwlebo1dyr,صولاندیر
sulat,zwlebo2,صولات
sulhet,zlx eybo2,صلح ایت
sun,zwbo1,صون
sundur,zwbo1dr,صوندر
susa,zwze,صوصا
susat,zwsebo2,صوسات
susdur,zwzdyr,صوصدیر
sök,swk,سوک
sökül,swkwl,سوکول
sömür,swmwr,سومور
sön,swbo1,سون
sön,swko7wbo1,سوگون
söndür,swbo1dwr,سوندور
söndür,swko7wbo1dyr,سوگوندیر
söyle,swylh||,سویله‌
söylenil,swylh||bo1yl,سویله‌نیل
söylet,swylh||bo2,سویله‌ت
söyleş,swylh||so3,سویله‌ش
sözleş,zwro1lso3,صوزلش
söğdür,swko7dr,سوگدر
sümkür,swmkwr,سومکور
süpür,swbu3wr,سوپور
süpürt,swbu3wrbo2,سوپورت
süpürtül,swbu3wrl,سوپورل
sür,swr,سور
sürdür,swrdyr,سوردیر
sürgüle,swrko7wl,سورگول
sürt,swrbo2,سورت
sürtül,swrbo2l,سورتل
sürtün,swrbo2bo1,سورتن
sürükle,swrwkl,سوروکل
sürükle,swrwklbo1,سوروکلن
sürüklen,swrwklbo2,سوروکلت
sürün,swrwbo1,سورون
süründür,swrwbo1dyr,سوروندیر
sürüt,swrwbo2,سوروت
süslen,swslbo1,سوسلن
süz,swro1,سوز
süzdür,swro1dyr,سوزدیر
süzül,swro1wl,سوزول
sıklaş,zyfo2leso3,صیقلاش
sıklaşdır,zyfo2leso3dyr,صیقلاشدیر
sıkıl,zyfo2yl,صیقیل
sıkış,zyfo2yso3,صیقیش
sıkışdır,zyfo2yso3dyr,صیقیشدیر
sına,zybo1e,صینا
sınan,zybo1ebo1,صینان
sırala,zyrh||le,صیره‌لا
sıralan,zyrh||lebo1,صیره‌لان
sırtar,zyrbo2er,صیرتار
sırtla,zyrbo2le,صیرتلا
sırıt,zyrybo2,صیریت
sıvala,zywele,صیوالا
sıvan,zyao1ebo1,صیغان
sıvan,zywebo1,صیوان
sıvazla,zywero1le,صیوازلا
sıyrıl,zyyryl,صییریل
sıyır,zyyr,صییر
sız,zyro1,صیز
sızdır,zyyrdyr,صییردیر
sızlan,zyro1lebo1,صیزلان
sızlat,zyro1lebo2,صیزلات
sızır,zyro1yr,صیزیر
sıçra,zyxu3re,صیچرا
sıçrat,zyxu3rebo2,صیچرات
sığa,zyao1e,صیغا
sığdır,zyao1dyr,صیغدیر
sığın,zyao1ybo1,صیغین
sığış,zyao1yso3,صیغیش
sığışdır,zyao1yso3dyr,صیغیشدیر
