a,ه
ankebût,عنکبوت
ansamîmilkalb,عن صميم القلب
anûd,عنود
ap,آپ
ap,اپ
apaçık,اپ‌اچق
apalak,آپالاق
apansız,آپاكسز
apansız,اپ‌انسز
aparmak,آپارمق
aparmak,اپارمق
apartman,آپارتمان
apaz,آپاز
apazlama,آپازلامه
apazlamak,آپازلامق
apış,آپش
apış,آپيش
apışık,آپشيق
apışmak,آپشمق
apışmak,اپشمق
apıştırmak,آپشديرمق
apiko,آپيوقو
apiş,اپش
apşak,آپشاق
apul,آپول
apuş,آپوش
âr,عار
ara,آره
ârâ,آرا
ârâ',آراء
arab,عرب
a'râb,اعراب
araba,آرابه
arabacı,آرابه‌جى
arabacılık,آرابه‌جيلق
arabî,عربی
a'râbî,اعرابی
arâ'is,عرائس
arak,عرق
arakçîn,عرقچين
arakdâr,عرقدار
arakıyye,عرقيه
aral,آرال
aralanmak,"آرالانمق "
aralaşmak,آرالاشمق
aralatmak,آرالاتمق
aralık,آرالق
aralık,آره‌لق
ârâm,آرام
arama,آرامه
aramak,آرامق
ârâmbahş,آرام بخش
ârâmgah,آرامكاه
ârâmgâh,آرامگاه
ârâmiş,آرامش
ârâmsâz,"آرامساز "
ârâmsız,آرامسز
ârâmsızlık,آرامسزلق
aranılmak,آرانلمق
aranmak,آرانمق
ar'ar,عرعر
ararot,آراروت
arasta,آراسته
ârâste,آراسته
araştırmak,آراشديرمق
aratmak,آراتمق
arattırmak,آراتديرمق
arayıcı,آراييجى
ârâyiş,آرايش
ârâyiş,آرایش
araz,عرض
a'râz,اعراض
arâzî,اراضی
arbede,عربده
arbedecû,عربده جو
ard," آرد"
ârd,آرد
arda,آردا
arda,آرده
ardala,آرداله
ardbîz,آردبيز
ardıç,آرديج
ardın,آردين
arefe,عرفه
argaç,آرغاج
argaçlamak,آرغاجلامق
argalı," آرغالى"
argamak,آرغامق
argımak,آرغيمق
argın,آرغون
argın,آرغين
argıt,آرغيد
arı,آرى
arıg,آريغ
arık,آريق
arıklamak,آريقلامق
arıklanmak,آريقلانمق
arıklatmak,آريقلاتمق
arılmak,آريلمق
arımak,آريمق
arınmak,آرينمق
arış," آريش"
arış," آريش"
arış,آرش
arış,آرش
arıtmak,آريتمق
ârız,عارض
ârızî,عارضی
ârî,آری
ârî,عاری
ârif,عارف
âriyyet,عاریت
arîz,عریض
ark,آرق
arka,آرقه
arkadaş,آرقداش
arkadaş,آرقداشلق
arkalı,آرقه‌لى
arkalıç,آرقه‌ليج
arkalık,آرقه‌لق
arkurı,آرقورى
arma,آرمه
armador,آرمادور
armağan," آرمغان"
arman,آرمان
armoz,آرموز
armudî," آرمودى"
armut,آرمود
arnavut,آرناود
arnavutça,آرناودجه
arnavutluk,آرناودلق
arnika,آرنيقا
arpa,آرپا
arpa,آرپه
arpa suyu,آرپه‌صويى
arpacı,آرپه‌جى
arpacık,آرپه‌جق
arpağ,آرپاغ
arpağan,آرپاغان
arpağcı,آرپاغجى
arpalamak,آرپه‌لامق
arpalık,آرپه‌لق
arsa,عرصه
arsenik,آرسنيك
arslan,آرسلان
arslancı,آرسلانجى
arslanhane,آرسلانخانه
arslanlamak,آرسلانلامق
arş,آرش
arş,عرش
arşa,عرشه
arşın,آرشين
arşınlamak,"آرشينلامق "
arşınlık,آرشينلق
arşidük,آرشيدوق
art,آرت
artamak," آرتامق"
"artık ",آرتق
artık,آرتيق
artıklık,آرتيقلق
artma," آرتمه"
artmak,آرتمق
arttırılmak,آرتديرلمق
arttırmak," آرتديرمق"
arûs,عروس
arvana,آروانه
arya,آريا
arz,ارض
arz,عرض
arz,عرض
arzan,ارضا
arzıhâl,ارض حال
ârzû,آرزو
ârzûkeş," آرزوكش"
ârzûlamak,آرزولامق
ârzûlu,آرزولى
ârzûmend,آرزومند
asâ,عصا
âsâ,آسا
asab,عصب
a'sâb,اعصاب
asabî,عصبی
asabiyülmizac,عصبی المزاج
asabiyyet,عصبيت
âsaf,آصف
asâkir,عساکر
asalet,اثالت
asalet,اصالت
âsâm,آثام
asamm,اصم
âsân,آسان
a'sâr,اعصار
âsâr,آثار
âsâyiş,آسایش
asdika,اصدقا
asel,عسل
ases,عسس
asfer,اصفر
asgar,اصغر
asgarî,اصغری
ashâb,اصحاب
âsım,عاصم
asır ba'de asır,عصر بعد عصر
âsî,عاصی
âsîb,آسيب
asîl,اصيل
asîlzâde,اصيل زاده
âsim,آثم
asîr,عصير
âsitan,آستان
âsiyâ,آسيا
âsiyâb,آسياب
asker,عسکر
asl,اصل
asla,اصلا
aslî,اصلی
aslünesl,اصل و نسل
âsmân,آسمان
âsmânî,آسمانی
asnâm,اصنام
asr,عصر
asrî,عصری
assam,اثام
assar,اثار
assim,اثم
âstân,آستان
âstâne,آستانه
âster,آستر
âstîn,آستين
âsûde,آسوده
âsûdegî,آسودگی
âsûdehâtır,آسوده خاطر
âsüman,آسمان
âş,آش
âşâm,آشام
a'şâr,اعشار
a'şârî,اعشاری
aşer,عشر
aşere,عشره
aşhâne,آشخانه
âşık,عاشق
âşıkân,عاشقان
âşifte,آشفته
âşikâr,آشکار
âşikâre,آشکاره
âşina,آشنا
aşîr,عشير
âşir,عاشر
âşiren,عاشرا
âşiyân,آشيان
aşk,عشق
âşkâr,آشکار
âşkârâ,آشکارا
âşnâ,آشنا
âşnâyân,آشنایان
âşnâyî,آشنایی
âşpez,آشپز
aşre,عشره
âşûb,آشوب
âşûbengîz,آشوب انگيز
âşûrâ,عاشورا
âşüfte,آشفته
âşüftedil,آشفته دل
at,آت
ât,ات
ata,آتا
ata,اتا
atâ,عطاء
atâbahş,عطا بخش
atabey,اتابك
atak,آتاق
ataklık,آتاقلق
atâlet,عطالت
atalık,آتالق
atalık,اتالق
ataş,عطش
ataşe,آتاشه
atâyâ,عطایا
atebât,عتبات
atebe,عتبه
ateh,عته
aterina,آترينه
ateş,اتش
âteş,آتش
ateş balığı,آتش‌باليغى
ateş böceği,آتش‌بوجكى
âteşbâr,آتش بار
âteşbâz,آتشباز
ateşçi,آتشجى
ateşçilik,آتشجيلك
âteşdân,آتشدان
âteşdem,آتش دم
âteşefrûz,آتش افروز
âteşefşân,آتش‌افشان
âteşengîz,آتش‌انكيز
âteşfâm,آتش فام
âteşfeşân,آتش فشان
âteşfeşân,آتش‌فشان
âteşgâh,آتشگاه
âteşgede,آتشگده
âteşgîre,آتش گيره
âteşgûn,آتش گون
âteşhâne,آتشخانه
âteşî,آتشى
âteşî,آتشی
âteşîn,آتشين
âteşkâr,آتش کار
ateşkede,اتشكده
ateşlendirmek,آتشلنديرمك
ateşlenmek,آتشلنمك
ateşli,آتشلى
ateşlik,آتشلك
âteşmizâc,آتش مزاج
âteşnâk,آتشناك
âteşpâre,آتش پاره
âteşpâre,آتشپاره
ateşperest,اتشپرست
âteşperest,آتش پرست
âteşzebân,آتش‌زبان
atf,عطف
atfen,عطفا
atıcı,آتيجى
âtıf,عاطف
âtıfet,عاطفت
atık,آتيق
âtıl,عاطل
atılış," آتليش"
atılma,آتلمه
atılmak," آتلمق"
atılmak,اتلمق
atım,آتيم
atış,آتيش
atış,اتش
atışmak,آتيشمق
atıştırmak,آتشدرمق
atıştırmak,آتشديرمق
atıştırmak,آتيشديرمق
ati,اتى
âtî,آتى
âtî,آتی
atîk,عتيق
atîka,عتيقه
atîkiyyât,عتيقيات
at'ime,اطعمه
Atina,اتينا
âtiye,آتيه
âtiyen,آتيا
âtiyülbeyân,آتی البيان
âtiyüzzikr,آتی الذکر
atiyyât,عطيات
atkı,آتقى
atkı,اتقى
atkılamak,آتقيلامق
atlama,آتلامه
atlamak," آتلامق"
atlamak,آتلاتمق
atlamak,اتلامق
atlambaç,آتلامباج
atlandırmak," آتلانديرمق"
atlangıç," آتلانغيچ"
atlanmak,آتلانمق
atlanmak,اتلنمق
atlas,اطلس
atlayış,آتلايش
atlı,آتلو
atlı,آتلى
atlı,اتلو
atma,آتمه
atmaca,آتماجه
atmaca,اتمجه
atmak,آتمق
atmak,اتمق
atnâb,اطناب
ats,عطس
atse,عطسه
atş,عطش
atşân,عطشان
attar,عطار
attârî,عطاری
attırmak,آتديرمق
atûfet,عطوفت
avâid,عوائد
avâkıb,عواقب
avâlim,عوالم
avâm,عوام
avâmil,عوامل
avâmpesend,عوام پسند
avân,اوان
âvâre,آواره
âvâreser,آواره سر
avârız,عوارض
avârif,عوارف
âvâz,آواز
âvâze,آوازه
avdet,عودت
a'vec,اعوج
avene,عونه
a'ver,اعور
âvîze,آویزه
avn,عون
avrât,عورات
avret,عورت
âyâ,آیا
a'yâd,اعياد
ayân,عيان
a'yân,اعيان
ayâr,عيار
âyât,آیات
ayb,عيب
âyet,آیت
âyîn,آیين
âyine,آینه
âyînhân,آیين خوان
ayn,عين
aynen,عينا
ayniyye,عينيه
ayniyyet,عينيت
aynülyakîn,عين اليقين
ayş,عيش
a'yün,اعين
ayyâr,عيار
ayyârî,عياری
az,آز
a'zâ,اعضا
azab,عزب
azâb,عذاب
azâbengiz,عذاب انگيز
azacık,آزاجق
âzâd,آزاد
âzâde,آزاده
âzâdegi,آزادكى
âzâdî,آزادى
âzâdî,آزادی
azalmak,آزالمق
azaltmak,آزالتمق
a'zam,اعظم
azamet,عظمت
âzân,آذان
azar,آزار
âzâr,آزار
azarlamak,آزارلامق
azarlanmak,آزارلانمق
azarlatmak,آزارلاتمق
azarlayış,آزارلايش
âzâtlamak,آزادلامق
âzâtlı,آزادلى
âzâtlık,آزادلق
azcık,آزجق
azdâd,اضداد
âzer,آذر
âzerâsâ,آذرآسا
âzergede,آذركده
âzeri,آذرى
âzerperest,آذرپرست
azıcık," آزيجق"
azil,عزل
azîm,عظيم
âzim,عازم
azîmet,عزیمت
aziz,عزیز
azîzan,عزیزان
azîze,عزیزه
azl,عزل
azm,عزم
azm,عظم
âzmâyiş,آزمایش
âzmend,آزمند
azrâ,عذرا
azrâil,عزدائيل
azrar,اضرار
azulât,عضلات
âzürde,آزرده
bâ,با
baad,بعد
bab,باب
bâb,باب
bâbâ,بابا
bâbâyâne,بابایانه
bâbûne,بابونه
bâc,باج
bâcgîr,باجگير
bâd,باد
bâdâm,بادام
bâdbân,بادبان
bâdbedest,بادبدست
bâdbîz,بادبيز
ba'de,بعد
bâde,باده
bâdefürûş,باده فروش
bâdehâr,باده خوار
ba'dehu,بعده
bâdekeş,باده کش
ba'delmîlâd,بعدالميلاد
ba'demâ,بعدما
bâdenûş,باده نوش
ba'dezin,بعدازاین
bâdî,بادی
bâdire,بادره
bâdiye,بادیه
bâğ,باغ
bağal,بغل
bâğbân,باغبان
bâğçe,باغچه
bağçevan,باغچوان
bağteten,بغتة
bâh,باه
bahâ,بها
bâhaber,باخبر
bahâdar,بهادار
bahâdır,بهادر
bahâne,بهانه
bahânecû,بهانه جو
bahâr,بهار
bahârî,بهاری
bahâyim,بهایم
bahçıvan,باخچوان
bahîl,بخيل
bâhired,باخرد
bahis,بحث
bâhis,باحث
bahr,بحر
bahs,بحث
bahş,بخش
bahşâyiş,بخشایش
bahşiş,بخشش
baht,بخت
bahtiyârî,بختياری
bâhûr,باخور
bâhusus,باخصوص
baîd,بعيد
bâis,باعث
bâjurnal,باژورنال
bâk,باک
bakâyâ,بقایا
bakıyye,بقيه
bâkî,باقی
bâkir,باکر
bâkire,باکره
bâl,بال
bâlâ,بالا
bâlâbülend,بالابلند
bâlâhâne,بالاخانه
bâlâpervaz,بالاپرواز
bâliğ,بالغ
bâlîn,بالين
bâliş,بالش
bâm,بام
bâmazbata,بامضبطه
bâmdâd,بامداد
bâmukâvele,بامقاوله
bana,بكا
bâng,بانگ
bânû,بانو
bâr,بار
bârân,باران
bârapor,باراپور
bârber,باربر
bâre,باره
bârgâh,بارگاه
bârgîr,بارگير
bârî,باری
bârid,بارد
bârîk,باریک
bârika,بارقه
bâriz,بارز
bârû,بارو
bârver,بارور
ba's,بعث
basar,بصر
basîret,بصيرت
basît,بسيط
bassar,بصر
bast,بسط
ba'süba'delmevt,بعث بعد الموت
batâet,بطائت
bâtakrîr,باتقریر
batı,باتى
bâtıl,باطل
batın,بطن
bâtınen,باطنا
batî,بطی
batn,بطن
batt,بط
battal,بطال
bâvekar,باوقار
bâyi,بایع
bayrakdâr,بيدقدار
baytâr,بيطار
bâz,باز
ba'zan,بعضا
bazargâh,بازارگاه
bazen,بعضا
bazı,بعض
bâzî,بازی
bâzîçe,بازیچه
bâzû,بازو
bebr,ببر
becâ,بجا
becâyiş,بجایش
beççe,بچه
bed,بد
bed',بدء
bedahd,بدعهد
bedâheten,بداهة
bedahlâk,بداخلاق
bedâvâz,بدآواز
bedâvet,بداوت
bedâyi',بدایع
bedbaht,بدبخت
bedbîn,بدبين
bedbû,بدبو
bedcins,بدجنس
bedçeşm,بدچشم
beddil,بددل
bedduâ,بددعا
bedelât,بدلات
beden,بدن
bedendîş,بداندیش
bedenen,بدنا
bedestân,بزستان
bedevî,بدوی
bedeviyyet,بدویت
bedfercâm,بدفرجام
bedgû,بدگو
bedgüher,بدگهر
bedhâh,بدخواه
bedhû,بدخو
bedî',بدیع
bedîa,بدیعه
bedîhe,بدیهه
bedîhî,بدیهی
bedkâr,بدکار
bedlikâ,بدلقا
bedmâye,بدمایه
bedmest,بدمست
bedmestî,بدمستی
bedmihr,بدمهر
bednâm,بدنام
bednigâh,بدنگاه
bednihâd,بدنهاد
bedr,بدر
bedre,بدره
bedreftâr,بدرفتار
bedreka,بدرقه
bedrûd,بدرود
bedsigâl,بدسگال
bedsîret,بدسيرت
bedsirişt,بدسرشت
bedter,بدتر
bedtıynet,بدطينت
bedzebân,بدزبان
bedzehre,بدزهره
beg,بك
begâyet,بغایت
beğ,بك
behâ,بها
behbûd,بهبود
behcet,بهجت
behem,بهم
behemehâl,بهه حال
beher,بهر
behic,بهيج
behîmî,بهيمی
behîmiyyet,بهيميت
behişt,بهشت
behiştî,بهشتی
behiyye,بهيه
behmân,بهمان
behre,بهره
behremend,بهرمند
beht,بهت
bekâ,بقا
bekâm,بکام
bekâya,بقایا
bekrî,بکری
beksimat,بکسمات
bel,بل
bel',بلع
belâ,بلا
belâ,بلی
belâdet,بلادت
belâdîde,بلادیده
belâgat,بلاغت
belâhet,بلاهت
belâyâ,بلایا
belde,بلده
beled,بلد
beledî,بلدی
belediyye,بلدیه
belî,بلی
belîğ,بليغ
beliyyât,بليات
belki,بلکه
belût,بلوط
benâdir,بنادر
benâm,بنام
benân,بنان
benât,بنات
bend,بند
bende,بنده
bendegân,بندگان
bendegî,بندگی
bendehâne,بنده خانه
bender,بندر
bendergâh,بندرگاه
bendezâde,بنده زاده
benefşe,بنفشه
benefşî,بنفشی
beng,بنگ
bengî,بنگی
benî,بنی
bennâ,بناء
benû,بنو
ber,بر
berâber,برابر
berâberî,برابری
berâ'et,برائت
berâhîn,براهين
berâyı,برای
berbâd,برباد
bercâ,برجا
berceste,برجسته
berd,برد
berde,برده
berdevâm,بردوام
berdülacuz,بردالعجوز
bere,بره
berehne,برهنه
berekât,برکات
bereket,برکت
berevât,بروات
berf,برف
berfîn,برفين
berg,برگ
bergüzâr,برگذار
bergüzide,بركزيده
berhâne,برخانه
berhayât,برحيات
berhürdâr,برخوردار
berî,بری
berîd,برید
berîn,برین
berk,برق
berkarâr,برقرار
berkemâl,بزکمال
bermâh,برماه
bermûcib-i,برموجب
bermu'tâd,برمعتاد
bernâ,برنا
berpâ,برپا
berr,بر
berrak,براق
berren,برا
berrî,بری
bersâbık,برسابق
bertaraf,برطرف
berter,برتر
berterîn,برترین
bervech-i,بروجه
berzah,برزخ
berzger,برزگر
bes,بس
be's,بأس
besâ,بسا
besâtîn,بساتين
besend,بسند
besende,بسنده
beserüçeşm,بسر و چشم
besî,بسی
besîm,بسيم
beste,بسته
bestekâr,بسته کار
bestenigâr,بسته نگار
beşâret,بشارت
beşer,بشر
beşere,بشره
beşerî,بشری
beşeriyyât,بشریات
beşeriyyet,بشریت
beşîr,بشير
beşûş,بشوش
beşûşâne,بشوشانه
betâet,بطائت
beter,بدتر
bevl,بول
bevlî,بولی
bevliyye,بوليه
bevvâb,بواب
bevvâbîn,بوابين
bey,بك
bey',بيع
beyâbân,بيابان
beyân,بيان
beyânât,بيانات
beyânnâme,بيان نامه
beyâz,بياض
beyhûde,بيهوده
beyn,بين
beynelmilel,بين الملل
beyn-i,بين
beynülmilel,بين الملل
beyt,بىت
beyt,بيت
beytâr,بيطار
beytullah,بيت الله
beytûtet,بيتوتت
beytülmal,بيت المال
beyzâ,بيضا
beyze,بيضه
beyzî,بيضی
beze,بزه
bezekâr,بزه کار
bezir,بذر
bezirgân,بازرگان
bezistân,بزستان
bezle,بذله
bezlegû,بذله گو
bezm,بزم
bezmgâh,بزمگاه
bezzaz,بزبز
bîaman,بی امان
bîâr,بی عار
bîbahâ,بی بها
bîbedel,بی بدل
bîbehre,بی بهره
