âbâ,eo6bu1ec
beht,bu1o4ho0bo2o0
bel',bu1o4lo0ao0
belâgat,bu1o4lo4eao1o4bo2o0
belîğ,bu1o4lbu2ao1o0
benî-âdem,bu1o4bo1bu2 eo6do4mo0
berât,bu1o4ro4ebo2o0
berây-ı ma'lûmât,bu1o4ro4ebu2u4 mo4ao0lo9wmo4ebo2o0
berd,bu1o4ro0do0
berî,bu1o4rbu2
berk,bu1o4ro0fo2o0
berk-i zâil,bu1o4ro0fo2u4 ro1o4ebo5u4lo0
berr,bu1o4ro0
berrî,bu1o4ru4o8bu2
berriye,bu1o4ru4o8bu2o4h
bertaraf,bu1o4ro0to4ro4fo1o0
berzah,bu1o4ro0ro1o4xo1o0
besmele,bu1o4so0mo4lo4h
beşâret,bu1o4so3o4ero4bo2o0
beşâret-i gaybiye,bu1o4so3o4ero4bo2u4 ao1o4bu2o0bu1u4bu2o4h
beşâret-i semâviye,bu1o4so3o4ero4bo2u4 so4mo4ewu4bu2o4h
beşer,bu1o4so3o4ro0
beşeriyet,bu1o4so3o4ru4bu2o4bo2o0
bevl,bu1o4wo0lo0
beyân,bu1o4bu2o4ebo1o0
beyânât,bu1o4bu2o4ebo1o4ebo2o0
beyânât-ı medhiye,bu1o4bu2o4ebo1o4ebo2u4 mo4do0xu4bu2o4h
beyânnâme,bu1o4bu2o4ebo1o0bo1o4emo4h
beyhûde,bu1o4bu2o0ho9wdo4h
beynelmilel,bu1o4bu2o0bo1o4 elo0mu4lo4lo0
bîçâre,bu1bu2xu3o4ero4h
bidâyet,bu1u4do4ebu2o4bo2o0
bid'at,bu1u4do0ao4bo2o0
bî-günâh,bu1bu2 ko7o9bo1o4eho0
bî-haber,bu1bu2 xo1o4bu1o4ro0
bihakkın,bu1u4xo4fo2u44o8
bil'âhire,bu1u4elo0exo1u4ro4h
bilâ-istisnâ,bu1u4lo4e eu4so0bo2u4bo3o0bo1o4e
bilcümle,bu1u4elo0xu1o9mo0lo4h
bilfiil,bu1u4elo0fo1u4au4lo0
bilhak,bu1u4elo0xo4fo2o0
bilhassa,bu1u4elo0xo1o4ezo4o8h
bil'icmâ',bu1u4elo0eu4xu1o0mo4eao0
bil'iltizâm,bu1u4elo0eu4lo0bo2u4ro1o4emo0
bil'îmân,bu1u4elo0ebu2mo4ebo1o0
bil'isti'dâd,bu1u4elo0eu4so0bo2u4ao0do4edo0
bil'istihkĀk,bu1u4elo0eu4so0bo2u4xo0fo2o4efo2o0
bil'iştiyâk,bu1u4elo0eu4so3o0bo2u4bu2o4efo2o0
bil'ittifâk,bu1u4elo0eu4bu2u4o8fo1o4efo2o0
bilkuvve,bu1u4elo0fo2o9wo4o8h
bilvasıta,bu1u4elo0wo4esu4to4h
bil'umûm,bu1u4elo0ao9mo9wmo0
bil'akis,bu1u4elo0ao4ku4so0
binâ,bu1u4bo1o4e
binâen,bu1u4bo1o4eco44
binâenaleyh,bu1u4bo1o4eco44 ao4lo4bu2o0ho0
binniyet,bu1u4elbo1u4o8bu2o4bo2o0
binniyye,bu1u4elbo1u4o8bu2o4h
birâder,bu1u4ro4edo4ro0
birader-i misâlî,bu1u4ro4edo4ru4 mu4bo3o4elu4bu2
bismillâh,bu1u4so0mu4 ello8ho0
bittecrübe,bu1u4elbo2o4o8xu1o0ro9bu1o4h
bittasavvur,bu1u4elbo2o4o8zo4wo9o8ro0
bîtaraf,bu1bu2 to4ro4fo1o0
bizâtihî,bu1u4do1o4ebo2u4h
bizzât,bu1u4eldo1o4o8ebo2o0
bolşevik,bu1o9wlo0so3o4wu4bu2ko0
bolşevizm,bu1o9wlo0so3o4wu4bu2ro1u4mo0
bülend,bu1o9lo4bo1o0do0
büryân,bu1u4ro0bu2o4ebo1o0
bu'd,bu1o9ao0do0
bu'diyet,bu1o9ao0du4bu2o4bo2o0
buhrân,bu1o9xo0ro4ebo1o0
buhrân-ı rûhî,bu1o9xo0ro4ebo1u4 ro9wxbu2
buhul,bu1o9xo1o0lo0
burhân,bu1o9ro0ho4ebo1o0
burhân-ı bâhir,bu1o9ro0ho4ebo1u4 bu1o4ehu4ro0
burhân-ı küllî,bu1o9ro0ho4ebo1u4 ko9lu4o8bu2
burhân-ı mâddî,bu1o9ro0ho4ebo1u4 mo4edu4o8bu2
burhân-ı neyyir,bu1o9ro0ho4ebo1u4 bo1o4bu2u4o8ro0
burhân-ı nûr-efşân,bu1o9ro0ho4ebo1u4 bo1o9wro0 eo4fo1o0so3o4ebo1o0
burhân-ı sĀtı',bu1o9ro0ho4ebo1u4 so4etu4ao0
burhân-ı vahdâniyet,bu1o9ro0ho4ebo1u4 wo4xo0do4ebo1u4bu2o4bo2o0
burhân-ı yakînî,bu1o9ro0ho4ebo1u4 bu2o4fo2u4bu2bo1u4bu2
burhan-ı a'zam,bu1o9ro0ho4ebo1u4 eo4ao0to1o4mo0
burjuva,bu1o9wro0ro3o9wwo4h
burak,bu1o9ro4efo2o0
butlân,bu1o9to0lo4ebo1o0
ba'demâ,bu1o4ao0do4mo4e
bahâ,bu1o4ho4e
bahâdır,bu1o4ho4edu4ro0
bahir,bu1o4xu4ro0
bahrî,bu1o4xo0ru4bu2
bahr-i hakîkat,bu1o4xo0ru4 xo4fo2bu2fo2o4bo2o0
bahr-i muhît,bu1o4xo0ru4 mo9xbu2to0
bahr-i muhît-i garbî,bu1o4xo0ru4 mo9xbu2tu4 ao1o4ro0bu1bu2
bahr-i muhît-i havaî,bu1o4xo0ru4 mo9xbu2tu4 ho4wo4ebo5bu2
bahr-i muhît-i şarkî,bu1o4xo0ru4 mo9xbu2tu4 so3o4ro0fo2bu2
bahr-i ahmer,bu1o4xo0ru4 eo4xo0mo4ro0
bahş,bu1o4xo0so3o0
baht,bu1o4xo1o0bo2o0
bahtiyar,bu1o4xo1o0bo2u4bu2o4ero0
banknot,bu1o4ebo1o0fo2o0bo1o9wto0
basîr,bu1o4zbu2ro0
basîret,bu1o4zbu2ro4bo2o0
basît,bu1o4su4bu2to0
bast,bu1o4so0to0
bast-ı zaman,bu1o4so0tu4 ro1o4mo4ebo1o0
basar,bu1o4zo4ro0
başvekâlet,bu1o4eso3o0 wo4ko4elo4bo2o0
batın,bu1o4tu4bo1o0
batman,bu1o4eto0mo4ebo1o0
battâl,bu1o4to4o8elo0
câiz,xu1o4ebo5u4ro1o0
câmi',xu1o4emu4ao0
câni,xu1o4ebo1bu2
cârî,xu1o4erbu2
câzibe,xu1o4edo1u4bu1o4h
cebbâr,xu1o4bu1o4o8ero0
cebbâr,xu1o4bu1o8eo4ro0
cebel-i cudi,xu1o4bu1o4lu4 xu1o9wdu4
cebin,xu1o4bu1u4bu2bo1o0
cebir,xu1o4bu1u4ro0
cebir,xu1o4bu1o0ro0
cebren,xu1o4bu1o0ro44e
cebrî,xu1o4bu1o0ru4bu2
cebr-i keyfî,xu1o4bu1o0ru4 ko4bu2o0fo1bu2
cebr-i kat'î,xu1o4bu1o0ru4 fo2o4to0abu2
cedvel,xu1o4do0wo4lo0
cefâ,xu1o4fo1o4e
cehâlet,xu1o4ho4elo4bo2o0
cehil,xu1o4hu4lo0
cehl-i azîm,xu1o4ho0lu4 ao4to1u4bu2mo0
celâl,xu1o4lo4elo0
celâlî,xu1o4lo4elbu2
celb,xu1o4lo0bu1o0
celb-i dikkat,xu1o4lo0bu1u4 du4fo2o4o8bo2o0
celîl,xu1o4lu4bu2lo0
cem',xu1o4mo0ao0
cem',xu1o4mo0ao0
cemâdât,xu1o4mo4edo4ebo2o0
cemâl,xu1o4mo4elo0
cemâlî,xu1o4mo4elbu2
cemâl-i kemâl,xu1o4mo4elu4 ko4mo4elo0
cemâl-i mutlak,xu1o4mo4elu4 mo9to0lo4fo2o0
cemâl-i rahmet,xu1o4mo4elu4 ro4xo0mo4bo2o0
cemâl-i sûret,xu1o4mo4elu4 zo9wro4bo2o0
cemâat-i müslimîn,xu1o4mo4eao4bo2u4 mslmbu2bo1
cemâat-i uzmâ,xu1o4mo4eao4bo2u4 ao9to1o0mo4e
cemâat-i azîme,xu1o4mo4eao4bo2u4 ao4to1bu2mo4h
cemîl,xu1o4mbu2lo0
cemîl-i zülcelâl,xu1o4mbu2lu4 do1o9welo0xu1o4lo4elo0
cem'iyet,xu1o4mo0au4bu2o4bo2o0
cenâb-ı hak,xu1o4bo1eo4bu1u4 xo4fo2o0
cenâb-ı hakîm-i rahîm,xu1o4bo1o4ebu1u4 xo4kbu2mu4 ro4xbu2mo0
cenâh,xu1o4bo1o4exo0
cerbeze,xu1o4ro0bu1o4ro1o4h
cereyân,xu1o4ro4bu2o4ebo1o0
cereyân,xu1o4ro4bu2o4ebo1o0
cereyân-ı dalâlet,xu1o4ro4bu2o4ebo1u4 zo1o4leo4lo4bo2o0
cerh,xu1o4ro0xo0
cerîde,xu1o4rbu2do4h
cerîha,xu1o4rbu2xo4h
cesâmet,xu1o4so4emo4bo2o0
cesed-i misâlî,xu1o4so4du4 mu4bo3o4elu4bu2
cesed-i necmî,xu1o4so4du4 bo1o4xu1o0mu4bu2
cesîm,xu1o4sbu2mo0
cevâb-ı müskit,xu1o4wo4ebu1u4 mo9so0ku4bo2o0
cevâhir,xu1o4wo4ehu4ro0
cevâz,xu1o4wo4ero1o0
cevelân,xu1o4wo4lo4ebo1o0
cevher,xu1o4wo0ho4ro0
cevherî,xu1o4wo0hrbu2
cevher-i ferd,xu1o4wo0ho4ru4 fo1o4ro0do0
cevher-i ruh,xu1o4wo0ho4ru4 ro9wxo0
cevvâl,xu1o4wo4o8elo0
cevv-i hava,xu1o4wu4o8 ho4wo4e
cevv-i semâ,xu1o4wu4o8 so4mo4e
cezâ,xu1o4ro1o4e
cezâ-yı amel,xu1o4ro1o4ebu2u4 ao4mo4lo0
cezb,xu1o4do1o0bu1o0
cezbe,xu1o4do1o0bu1o4h
cezîre,xu1o4ro1bu2ro4h
cezm,xu1o4ro1o0mo0
ceza',xu1o4u4ro1o4ao0
cibilliyet,xu1u4bu1u4lu4o8bu2o4bo2o0
cidâl,xu1u4do4elo0
cîfe,xu1u4bu2fo1o4h
cifir,xu1u4fo1u4ro0
cihet,xu1u4ho4bo2o0
cihet-i fark,xu1u4ho4bo2u4 fo1o4ro0fo2o0
cihet-i lezzet,xu1u4ho4bo2u4 lo4do1o4o8bo2o0
cihet-i vahdet,xu1u4ho4bo2u4 wo4xo0do4bo2o0
cihangîr,xu1u4ho4ebo1o0ko7bu2r
cilve,xu1u4lo0wo4h
cilveger,xu1u4lo0wo4h
cilve-i cemâl,xu1u4lo0wo4u4 xu1o4mo4elo0
cilve-i cemâl ve kemâl,xu1u4lo0wo4u4 xu1o4mo4elo0 wo4 ko4mo4elo0
cilve-i ehadiyet,xu1u4lo0wo4u4 eo4xo4du4bu2o4bo2o0
cilve-i inâyet,xu1u4lo0wo4u4 au4bo1o4ebu2o4bo2o0
cilve-i inâyet-i rabbâniye,xu1u4lo0wo4u4 au4bo1o4ebu2o4bo2u4 ro4bu1o4o8ebo1u4bu2o4h
cilve-i kudret-i rabbâniye,xu1u4lo0wo4u4 fo2o9do0ro4bo2u4 ro4bu1o4o8ebo1u4bu2o4h
cilve-i rahmet,xu1u4lo0wo4u4 ro4xo0mo4bo2o0
cilve-i vahdet,xu1u4lo0wo4u4 wo4xo0do4bo2o0
cilve-i a'zam,xu1u4lo0wo4u4 eo4ao0to1o4mo0
cinnet-i muvakkata,xu1u4bo1o4o8bo2u4 mo9wo4fo2o4o8bo2o4h
cins-i cezâ,xu1bo1o0su4 xu1o4ro1o4e
cirim,xu1u4ru4mo0
cismânî,xu1u4so0mo4ebo1bu2
cismen,xu1u4so0mo44e
cism-i zîhayât,xu1u4so0mu4 do1u4bu2 xo4bu2o4ebo2o0
cüdâ,xu1o9do4e
cümle,xu1o9mo0lo4h
cümûdiye,xu1o9mo9wdu4bu2o4h
cür'et,xu1o9ro0bo5o4bo2o0
cürüm,xu1o9ro9mo0
cüz,xu1o9ro1o0
cüz',xu1o9ro1o0wo5o0
cüz',xu1o9ro1o0wo5o0
cüz'î,xu1o9ro1o0wo5bu2
cüz'î,xu1o9ro1o0wo5bu2
cüz'î hâtırât,xu1o9ro1o0bo5bu2 xo1o4etu4ro4ebo2o0
cüz'-i ihtiyârî,xu1o9ro1o0cu4 eu4xo1o0bo2u4bu2o4erbu2
cüz'iyât,xu1o9ro1o0bo5u4bu2o4ebo2o0
cüz'iyet,xu1o9ro1o0bo5u4bu2o4bo2o0
cüz'î-yi müşahhas,xu1o9ro1o0bo5u4bu2 bu2u4 mo9so3o4xo1o4o8zo0
cumhûr,xu1o9mo0ho9wro0
cumhûr-u avâm,xu1o9mo0ho9wro9 ao4wo4emo0
cadde-i kübrâ-yı kur'âniye,xu1o4edo4o8u4 ko9bu1o0ro4ebu2u4 fo2o9ro0eo6bo1u4bu2o4h
çendan,xu3o4bo1o0do4ebo1o0
çeşm-i dil,xu3o4so3o0mu4 du4lo0
çeşm-i akıl,xu3o4so3o0mu4 ao4fo2u4lo0
çevik çalak,xu3o4wbu2ko0 xu3o4elo4eko0
çilehâne,xu3u4lo4h xo1o4ebo1o4h
çin-i cebîn,xu3u4bu2bo1u4 xu1o4bu1u4bu2bo1o0
dâhil,do4exo1u4lo0
dâhilî,do4exo1u4lbu2
dâhiliye vekâleti,do4exo1u4lu4bu2o4h wo4ko4elo4bo2u4bu2
dâhiliye vekîli,do4exo1u4lu4bu2o4h wo4ku4bu2lu4
dâhiye,do4ehu4bu2o4h
dâ'î,do4eabu2
dâm,do4emo0
dâr,do4ero0
dâr-ı âhiret,deo4ru4 eo4xo1u4ro4bo2o0
dâr-ı cezâ,do4eru4 xu1o4ro1o4e
dâr-ı elem,do4eru4 eo4lo4mo0
dâr-ı fânî,do4eru4 fo1o4ebo1bu2
dâr-ı imtihân,do4eru4 eu4mo0bo2u4xo4ebo1o0
dâr-ı mücâzât,do4eru4 mo9xu1o4ero1o4ebo2o0
dâr-ı saâdet,do4eru4 so4ao4edo4bo2o0
dâr-ı saadet,do4eru4 so4ao4edo4bo2o0
dâr-ı teklîf,do4eru4 bo2o4ko0lu4bu2fo1o0
dâüssıla,do4eco9 elzu4o8lo4h
de'b-i edeb,do4eo5o0bu1u4 eo4do4bu1o0
deccâl,do4xu1o4o8elo0
def',do4fo1o0ao0
def'î,do4fo1o0abu2
def'-i belâ,do4fo1o0au4 bu1o4lo4e
define,do4fo1bu2bo1o4h
defter-i kebîr,do4fo1o0bo2o4ru4 ko4bu1u4bu2ro0
defter-i a'mâl,do4fo1o0bo2o4ru4 eo4ao0mo4elo0
def'aten,do4fo1o0ao4ho2o44
def'aten,do4fo1o0ao4ho2o44
dehĀlet,do4xo1o4elo4bo2o0
dehâ-yı fennî,do4ho4ebu2u4 fo1o4bo1u4o8bu2
dehrî,do4ho0rbu2
delâlet,do4lo4elo4bo2o0
delâlet-i kelâm,do4lo4elo4bo2u4 ko4leo4mo0
delâlet-i zımniye,do4lo4elo4bo2u4 zo1u4mo0bo1u4bu2o4h
delîl,do4lu4bu2lo0
delîl-i azhar,do4lu4bu2lu4 eo4to1o0ho4ro0
dem,do4mo0
demâdem,do4mo4edo4mo0
demdeme-i nebât,do4mo0do4mo4u4 bo1o4bu1o4ebo2o0
denî,do4bo1bu2
deniyet-i hâzıra,do4bo1u4bu2o4bo2u4 xo4ezo1u4ro4h
derbend,do4ro0bu1o4bo1o0do0
derc,do4ro0xu1o0
derd-i maîşet,do4ro0du4 mo4abu2so3o4bo2o0
derece-i kudret ve hikmet,do4ro4xu1o4u4 fo2o9do0ro4bo2o0 w xu4ko0mo4bo2o0
derece-i sadâkat,do4ro4xu1o4u4 zo4do4efo2o4bo2o0
derece-i zekâvet,do4ro4xu1o4u4 do1o4ko4ewo4bo2o0
dergâh,do4ro0ko7o4eho0
dergâh-ı ilâhîye,do4ro0ko7o4ehu4 eu4lhu4bu2o4h
dergâh-ı ilahî,do4ro0ko4ehu4 eu4lo4hu4bu2
dergâh-ı rahmet,do4ro0ko4ehu4 ro4xo0mo4bo2o0
derk,do4ro0ko0
dermân,do4ro0mo4ebo1o0
derûn,do4ro9wbo1o0
deruhde,do4ro0 ao9ho0do4h
der'akab,do4ro0ao4fo2o4bu1o0
deryâ,do4ro0bu2o4e
desîse,do4sbu2so4h
dessâs,do4so4o8eso0
dest,do4so0bo2o0
dest-i hikmet,do4so0bo2u4 xu4ko0mu4bo2o0
dest-i ihtiyâr,do4so0bo2u4 eu4xo1o0bo2u4bu2o4ero0
dest-i ihtiyârî,do4so0bo2u4 eu4xo1o0bo2u4bu2o4eru4bu2
dest-i kudret,do4so0bo2u4 fo2o9do0ro4bo2o0
devâ,do4wo4e
devâ-yı ezhân,do4wo4ebu2u4 eo4do1o0ho4ebo1o0
devâ-yı illet,do4wo4ebu2u4 au4lo4o8bo2o0
devâ-yı ma'nevî,do4wo4ebu2u4 mo4ao0bo1o4wu4bu2o4h
deverân,do4wo4ro4ebo1o0
deverân-ı dem,do4wo4ro4ebo1u4 do4mo0
deveran-ı dünya,do4wo4ro4ebo1u4 do9bo1o0bu2o4e
devir,do4wu4ro0
devr-i senevî,do4wo0ru4 so4bo1o4wbu2
dîde,dbu2do4h
dil,du4lo0
dimâğ,du4mo4eao1o0
dimağ,du4mo4eao1o0
dirâyet,du4ro4ebu2o4bo2o0
dirhem,du4ro0ho4mo0
dîvân,dbu2wo4ebo1o0
dîvâne,dbu2wo4ebo1o4h
dîvân-ı harb-i örfî,dbu2wo4ebo1u4 xo4ro0bu1u4 ao9ro0fo1bu2
dîvân-ı riyâset,dbu2wo4ebo1u4 ru4bu2o4eso4bo2o0
dîvanhâne,dbu2wo4ebo1o0 xo1o4ebo1o4h
diyânet,du4bu2o4ebo1o4bo2o0
diyânet riyâseti,du4bu2o4ebo1o4bo2o0 ru4bu2o4eso4bo2u4bu2
diyâr-ı gurbet,du4bu2o4eru4 ao1o9ro0bu1o4bo2o0
dûr,do9wro0
düello,do9wbo5o4lo0lo9w
dülger,do9wlo0ko7o4ro0
dümdâr,do9mo0do4ero0
dünyâperest,do9bo1o0bu2o4ebu3o4ro4so0bo2o0
dünyevî,do9bo1o0bu2o4wbu2
dürbün,do9wro0bu1bu2bo1o0
dürr-ü yetîm,do9ro9o8 bu2o4bo2u4bu2mo0
düstûr,do9so0bo2o9wro0
düstûr-u belâgat,do9so0bo2o9wro9 bu1o4lo4eao1o4bo2o0
düstûr-u esâsî,do9so0bo2o9wru4 eo4so4esbu2
düstûr-u teâvün,do9so0bo2o9wro9 bo2o4ao4ewo9bo1o0
düstur-u cidâl,do9so0bo2o9wro9xu1u4do4elo0
duhâ,zo1o9xbu2
duhûl,do9xo1o9wlo0
duhŪl,do9xo1o9wlo0
dağdağa,do4ao1o0do4ao1o4h
dağdağa-i kalbî,do4ao1o0do4ao1o4u4 fo2o4lo0bu1bu2
dakîk,do4fo2bu2fo2o0
dalâlet,zo1o4lo4elo4bo2o0
dalâlet-i fenniye,zo1o4lo4elo4bo2u4 fo1o4bo1u4o8bu2o4h
darb,zo1o4ro0bu1o0
darb-ı mesel,zo1o4ro0bu1u4 mo4bo3o4lo0
darr,zo1o4ro8
eâmm,eo4ao4emo8o0
ebâbîl,eo4bu1o4ebu1bu2lo0
ebced,eo4bu1o0xu1o4do0
ebcedî,eo4bu1o0xu1o4du4bu2
ebed,eo4bu1o4do0
ebedî,eo4bu1o4dbu2
ebediyet,eo4bu1o4du4bu2o4bo2o0
ebedperest,eo4bu1o4do0bu3o4ro4so0bo2o0
ebeveyn,eo4bu1o4wo4bu2o0bo1o0
ebleh,eo4bu1o0lo4ho0
eblağ,eo4bu1o0lo4ao1o0
ebter,eo4bu1o0bo2o4ro0
ebyaz,eo4bu1o0bu2o4zo1o0
ecel-i muallak,eo4xu1o4lu4 mo9ao4lo4o8fo2o0
echel,eo4xu1o0ho4lo0
echel-i mutlak,eo4xu1o0ho4lu4 mo9to0lo4fo2o0
echeliyet,eo4xu1o0ho4lu4bu2o4bo2o0
ecir,eo4xu1u4ro0
ecmel,eo4xu1o0mo4lo0
ecnebî,eo4xu1o0bo1o4bu1bu2
eczâ,eo4xu1o0ro1o4e
eczâ,eo4xu1o0ro1o4e
ecza-yı esasiye,eo4xu1o0ro1o4ebu2u4 eo4so4esu4bu2o4h
edeb-i muaşeret,eo4do4bu1u4 mo9ao4eso3o4ro4bo2o0
edîb,eo4dbu2bu1o0
ednâ,eo4do0bo1o4e
edvâr,eo4do0wo4ero0
edvâr-ı hamse,eo4do0wo4eru4 xo1o4mo0so4h
edviye,eo4do0wu4bu2o4h
edviye-i kur'âniye,eo4do0wu4bu2o4u4 fo2o9ro0ebo1u4bu2o4h
edviye-i rûhâniye,eo4do0wu4bu2o4u4 ro9wxo4ebo1u4bu2o4h
efdal,eo4fo1o0zo1o4lo0
efkâr,eo4fo1o0ko4ero0
efkâr-ı âmme,eo4fo1o0ko4eru4 ao4emo4o8h
eflâk,eo4fo1o0lo4eko0
efrâd,eo4fo1o0ro4edo0
efrâd-ı millet,eo4fo1o0ro4edu4 mu4lo4o8bo2o0
efrâd-ı mahsûsa,eo4fo1o0ro4edu4 mo4xo1o0zo9wzo4h
efrâd-ı ümmet,eo4fo1o0ro4edu4 eo9mo8bo2o0
ehil,eo4hu4lo0
ehl-i cezbe,eo4ho0lu4 xu1o4do1o0bu1o4h
ehl-i diyânet,eo4ho0lu4 du4bu2o4ebo1o4bo2o0
ehl-i dünya,eo4ho0lu4 do9bo1o0bu2o4e
ehl-i dalâlet,eo4ho0lu4 zo1o4lo4elo4bo2o0
ehl-i felsefe ve hikmet,eo4ho0lu4 fo1o4lo0so4fo1o4h wo4 xu4ko0mo4bo2o0
ehl-i gaflet,eo4ho0lu4 ao1o4fo1o0lo4bo2o0
ehl-i garaz,eo4ho0lu4 ao1o4ro4zo1o0
ehl-i hidâyet ve huzur,eo4ho0lu4 hu4do4ebu2o4bo2o0 w xo9zo1o9wro0
ehl-i ihtisâs,eo4ho0lu4 eu4xo1o0bo2u4zo4ezo0
ehl-i iltibas,eo4ho0lu4 eu4lo0bo2u4bu1o4eso0
ehl-i îmân,eo4ho0lu4 ebu2mo4ebo1o0
