a,h
âdeten,adbo2e
adhâ,ezo1xy
adımlamak,eo6dbu2mlemfo2
âdi,aedy
adîd,adyd
adîde,adydh
adîl,adyl
âdil,aedl
âdilâne,adlebo1h
âdilik,aedylk
adîm,adym
adîmülimkân,adym elemkebo1
âdiye,aedyh
adl,adl
adlâ',ezo1lea
adlamak,eo6dlemfo2
adlanmak,eo6dlebo1mfo2
adlı,eo6dly
adlî,adly
adliyye,adlbu2h
adn,adbo1
adsız,eo6dsro1
adû,adw
âfâk,eo6fo1efo2
âfâkî,eo6fo1efo2y
âfât,eo6fo1ebo2
âferîde,eo6fo1rydh
âferîdgâr,eo6fo1rydko7er
âferînende,eo6fo1rybo1bo1dh
âferîniş,eo6fo1rybo1so3
âfet,eo6fo1bo2
âfetengîz,eo6fo1bo2 ebo1ko7bu2ro1
âfetresân,eo6fo1bo2 rsebo1
âfetzede,eo6fo1bo2 ro1dh
afîf,afo1bu2fo1
âfil,eo6fo1l
âfitâb,eo6fo1bo2ebu1
âfitâbcemâl,eo6fo1bo2ebu1 xu1mel
âfiyet,aefo1bu2bo2
afrika,efo1ryfo2e
afsun,efo1swbo1
âftâb,eo6fo1bo2ebu1
âftâbe,eo6fo1bo2ebu1h
âftâbgîr,eo6fo1bo2ebu1ko7bu2r
âftâbî,eo6fo1bo2ebu1y
âftâbrû,eo6fo1bo2ebu1 rw
afv,afo1w
âgâh,eo6ko7eh
âgâhî,eo6ko7ehy
âgeh,eo6ko7h
âgehî,eo6ko7hy
âgîn,eo6ko7bu2bo1
âgûş,eo6ao1wso3
âğâliş,eo6ao1elso3
âğâz,eo6ao1ero1
ağbiyâ,eao1bu1bu2e
âğişte,eo6ao1so3bo2h
ağlâl,eao1lel
ağlât,eao1let
ağleb,eao1lbu1 exbo2mel
ağnâ,eao1bo1y
ağnâm,eao1bo1em
ağniyâ,eao1bo1bu2e
ağniye,eao1bo1bu2h
ağrâs,eao1res
ağrâz,eao1rezo1
ağsân,eao1zebo1
ağşiye,eao1so3bu2h
ağyâr,eao1bu2er
ah,exo1
âh,eo6h
ahad,exd
âhâd,eo6xed
ahali,ehely
ahar,eo6xo1er
aharlamak,eo6xo1erlemfo2
ahavât,exo1webo2
ahbâb,exbu1ebu1
ahbap,exbu1ebu1
ahbâr,exo1bu1er
ahcâr,exxu1er
ahd,ahd
ahdar,exzo1r
ahdâs,exdebo3
ahdeb,exdbu1
ahdnâme,ahdbo1emh
ahdüpeymân,ahd w bu3bu2mebo1
âhek,eo6hk
âhen,eo6hbo1
âhendil,eo6hbo1 dl
âheng,eo6hbo1ko7
âhengdâr,eo6hbo1ko7der
âhenger,eo6hbo1ko7r
âhenggüzâr,eo6hbo1ko7 ko7do1er
âhenîn,eo6hbo1bu2bo1
âhenîndil,eo6hbo1bu2bo1 dl
âhenk,eo6hbo1k
âhenkdâr,eo6hbo1ko7 der
âhenkeş,eo6hbo1kso3
âhenrüba,eo6hbo1 rbu1e
âhensâ(y),eo6hbo1 sey
âher,eo6xo1r
âherin,eo6xo1rbu2bo1
âheste,eo6hsbo2h
âhestegî,eo6hsbo2ko7y
ahfâ,exo1fo1e
ahfâd,exfo1ed
ahger,exo1ko7r
ahır,eo6xo1wr
ahırlamak,eo6xo1wrlemfo2
ahibbâ,exbu1e
ahid,ahd
ahidşiken,ahdso3kbo1
âhîhte,eo6hbu2xo1bo2h
ahîr,eo6xo1r
âhir,eo6xo1r
âhirbîn,eo6xo1rbu1bu2bo1
âhire,eo6xo1rh
ahîren,exo1bu2re
âhiret,eo6xo1rbo2
âhiretlik,eo6xo1rbo2lk
âhirin,eo6xo1rybo1
âhirkâr,eo6xo1rker
âhirülemr,eo6xo1relemr
âhiz,eo6xo1do1
ahize,eo6xo1do1h
ahlâf,exo1lefo1
ahlâk,exo1lefo2
ahlâken,exo1lefo2e
ahlâkiyat,exo1lefo2bu2ebo2
ahlâkiyûn,exo1lefo2bu2wbo1
ahlâm,exlem
ahlat,eo6xo1let
ahlât,exo1let
ahmak,exmfo2
ahmakâne,exmfo2ebo1h
ahmakî,exmfo2y
ahmer,exmr
ahrâm,exrem
ahrâr,exrer
ahrârâne,exrerebo1h
ahrâs,exres
ahret,eo6xo1rbo2
ahsâs,exses
ahsen,exsbo1
ahşâ',exso3ec
ahşâb,exo1so3ebu1
ahşâm,exso3em
ahtâb,extebu1
ahtapot,eo6xo1bo2ebu3wd
ahtâr,exo1ter
âhte,eo6xo1bo2h
ahter,exo1bo2r
ahterbîn,exo1bo2rbu1bu2bo1
ahterşinâs,exo1bo2rso3bo1es
ahterşümâr,exo1bo2rso3mer
âhû,eo6hw
âhûbere,eo6hwbu1rh
âhûdil,eo6hwdl
âhund,eo6xo1wbo1d
âhûnigah,eo6hwbo1ko7eh
âhur,eo6xo1r
âhuvân,eo6hwebo1
âhûvâne,eo6hwebo1h
âhüvâh,eo6h w weh
âhüvâveylâ,eo6h w wewyle
âhüzâr,eo6h w ro1er
ahvâl,exwel
ahvef,exo1wfo1
ahvel,exwl
ahyâ,exbu2e
ahyâl,exo1bu2el
ahyânen,exbu2ebo1e
ahyâr,exo1bu2er
ahyât,exo1bu2et
ahz,exo1do1
ahzâb,exro1ebu1
ahzân,exro1ebo1
ahzar,exo1zo1r
ahzen,exro1bo1
ahzüi'tâ,exo1do1 w ate
ahzükabz,exo1do1 w fo2bu1zo1
aid,adebu2
âid,aebo5d
âidât,aebo5debo2
âide,aebo5dh
â'ik,aebo5fo2
âika,aebo5fo2h
âile,aebo5lh
ailevî,aebo5lwy
âjeng,eo6ro3bo1ko7
âk,aefo2
akab,afo2bu1
akabât,afo2bu1ebo2
akabe,afo2bu1h
akâid,afo2ebo5d
akâmet,afo2embo2
akar,afo2er
akarât,afo2rebo2
akbeh,efo2bu1x
akd,afo2d
akdâh,efo2dex
akdâm,efo2dem
akdem,efo2dm
akdes,efo2ds
akıbet,aefo2bu1bo2
âkıbetbîn,aefo2bu1bo2 bu1bu2bo1
âkıbetendîş,aefo2bu1bo2 ebo1dyso3
âkıbetülemr,aefo2bu1bo2 elemr
akıl,afo2l
âkıl,aefo2l
âkılâne,aefo2l
âkıle,aefo2lh
âkır,aefo2r
âkid,aefo2d
akîde,afo2bu2dh
akîdefurûş,afo2bu2dh fo1rwso3
akîk,afo2bu2fo2
âkil,eo6kl
akîm,afo2bu2m
akis,aks
akl,afo2l
aklâm,efo2lem
aklen,efo2le
aklıselim,afo2l slbu2m
aklî,afo2ly
akliyye,afo2lbu2h
akliyyûn,afo2lbu2wbo1
akm,afo2m
akmâr,efo2mer
akmişe,efo2mso3h
akrabâ,efo2rbu1ec
akran,efo2rebo1
akrebek,afo2rbu1k
aks,aks
aksâ,efo2zy
aksâm,efo2sem
akser,efo2zr
aksî,aksy
aksülamel,aks elaml
akşam,eo6xo1so3em
aktâb,efo2tebu1
aktâr,efo2ter
akûr,afo2wr
akûrâne,afo2wrebo1h
akvâl,efo2wel
akvâm,efo2wem
akviyâ,efo2wye
a'lâ,ealy
alâeyyihâl,aly ey xel
a'lâf,eo6lefo1
âlâf,eo6lefo1
alâhide,albu2xdh
alâik,alebo5fo2
alâimisema,alebo5m sme
alak,alfo2
alâka,alefo2h
alâkabahş,alefo2h bu1xo1so3
alâkadar,alefo2h der
alakadârân,alefo2h derebo1
alâkadrilimkân,alefo2drelemkebo1
a'lâl,ealel
a'lâm,ealem
âlâm,eo6lem
alâmât,alemebo2
alâmet,alembo2
âlât,eo6lebo2
alâvechi,alu4y wxu1h
alâvefk,aly wfo1fo2
âlâyiş,eo6leyso3
aleddevam,aly eldwem
alef,alfo1
aleka,alfo2h
alelacele,aly elaxu1lh
alelâde,aly elaedh
alelamyâ,aly elambu2e
alelekser,aly elekbo3r
alelhusûs,aly elxo1zwz
alelıtlâk,aly eletlefo2
alelicmâl,aly elexu1mel
alelinfirâd,aly elebo1fo1red
alelistimrâr,aly elesbo2mrer
aleliştirâk,aly eleso3bo2rek
alelittifak,aly elebo2fo1efo2
alelkifâye,aly elkfo1eyh
alelumûm,aly elamwm
alem,alm
a'lem,ealm
âlem,aelm
âlemârâ,aelm eo6re
alemdâr,almder
âlemefrûz,aelm efo1rwro1
âlemgîr,aelmko7bu2r
âlemiyân,aelmbu2ebo1
âlemşümûl,alm so3mwl
âlemtâb,aelmbo2ebu1
alenen,albo1e
alenî,albo1y
âlet,eo6lbo2
alettafsîl,aly elbo2fo1zbu2l
alettevâlî,aly elbo2wely
aleyh,albu2h
aleyhdar,albu2h der
aleyhisselâm,albu2h elslem
ali,aly
âlî,aely
âlîcâh,aely xu1eh
âlîcenâb,aely xu1bo1ebu1
âlihe,eo6lhh
âlîhimmet,aely hmbo2
âlîkadr,aely fo2dr
alîl,albu2l
alîm,albu2m
âlim,aelm
âlîmakâm,aely mfo2em
âlînazar,aely bo1to1r
âlîşan,aely so3ebo1
âliye,aelbu2h
aliyyülâlâ,aly eleale
Allâh,ellh
allâme,alemh
âlû,eo6lw
âlûbâlu,eo6lwbu1elw
âlûd,eo6lwd
âlûde,eo6lwdh
âlûdedâmen,eo6lwdh dembo1
âlûdegî,eo6lwdko7y
âlüfte,eo6lfo1bo2h
a'mâ,eamy
âmâc,eo6mexu1
âmâcgâh,eo6mexu1ko7eh
âmâde,eo6medh
âmâdegî,eo6medko7y
a'mâk,eamefo2
a'mâl,eamel
âmâl,eo6mel
a'mâr,eamer
âmâr,eo6mer
amca,amwxu1h
amd,amd
amden,amde
âmed,eo6md
âmedşüd,eo6mdso3d
âmedüreft,eo6mdwrfo1bo2
âmedüşüd,eo6mdwso3d
amel,aml
amele,amlh
amelen,amle
amelî,amly
ameliyât,amlbu2ebo2
ameliye,amlbu2h
âmennâ,eo6mbo1e
âmîhte,eo6mbu2xo1bo2h
amîk,ambu2fo2
âmil,aeml
amîm,ambu2m
âmîn,eo6mbo1
âminen,eo6mbo1e
âmir,eo6mr
âmirâne,eo6mrebo1h
âmiyâne,aembu2ebo1h
amm,am
ammâ,eme
amme,amh
amûd,amwd
amûden,amwde
amûdî,amwdy
âmurziş,eo6mrro1so3
âmûz,eo6mwro1
âmûzgâr,eo6mwro1ko7er
âmürzgâr,eo6mrro1ko7er
âmürziş,eo6mrro1so3
an,abo1
ânân,eo6bo1ebo1
an'anât,abo1abo1ebo2
an'ane,abo1abo1h
an'anevî,abo1abo1wy
anâsır,abo1ezr
ânât,eo6bo1ebo2
anbean,eo6bo1 bu1h eo6bo1
anber,abo1bu1r
anberbû,abo1bu1rbu1w
andelîb,abo1dlbu2bu1
âne,ebo1h
anh,abo1h
anınçün,eo6bo1ko3xu3wbo1
a'nî,eabo1y
ânî,eo6bo1y
ânifen,eo6bo1fo1e
âniyen,eo6bo1bu2e
ankâ,abo1fo2e
ankarîb,abo1 fo2rybu1
ankasdin,abo1 fo2zd
ankebût,abo1kbu1wbo2
ansamîmilkalb,abo1 zmbu2m elfo2lbu1
anûd,abo1wd
apaçık,ebu3||exu3fo2
apalak,eo6bu3elefo2
apartman,eo6bu3erbo2mebo1
apaz,eo6bu3ero1
apazlama,eo6bu3ero1lemh
apazlamak,eo6bu3ero1lemfo2
apışık,eo6bu3so3bu2fo2
apıştırmak,eo6bu3so3dbu2rmfo2
apiko,eo6bu3bu2wfo2w
apiş,ebu3so3
apşak,eo6bu3so3efo2
apul,eo6bu3wl
apuş,eo6bu3wso3
âr,aer
ara,eo6rh
ârâ,eo6re
ârâ',eo6rec
arab,arbu1
a'râb,earebu1
araba,eo6rebu1h
arabacı,eo6rebu1h||xu1y
arabacılık,eo6rebu1h||xu1bu2lfo2
arabî,arbu1y
a'râbî,earebu1y
arâ'is,arebo5s
arak,arfo2
arakçîn,arfo2xu3bu2bo1
arakdâr,arfo2der
arakıyye,arfo2bu2h
aral,eo6rel
aralanmak,eo6relebo1mfo2
aralaşmak,eo6releso3mfo2
aralatmak,eo6relebo2mfo2
ârâm,eo6rem
arama,eo6remh
aramak,eo6remfo2
ârâmbahş,eo6rem bu1xo1so3
ârâmgah,eo6remkeh
ârâmgâh,eo6remko7eh
ârâmiş,eo6remso3
ârâmsâz,eo6remsero1
ârâmsız,eo6remsro1
ârâmsızlık,eo6remsro1lfo2
aranılmak,eo6rebo1lmfo2
aranmak,eo6rebo1mfo2
ar'ar,arar
ararot,eo6rerwbo2
arasta,eo6resbo2h
ârâste,eo6resbo2h
araştırmak,eo6reso3dbu2rmfo2
aratmak,eo6rebo2mfo2
arattırmak,eo6rebo2dbu2rmfo2
arayıcı,eo6rebu2bu2xu1y
araz,arzo1
a'râz,earezo1
arâzî,erezo1y
arbede,arbu1dh
arbedecû,arbu1dh xu1w
ard,eo6rd
ârd,eo6rd
ardala,eo6rdelh
ardbîz,eo6rdbu1bu2ro1
ardıç,eo6rdbu2xu1
ardın,eo6rdbu2bo1
arefe,arfo1h
argaç,eo6rao1exu1
argaçlamak,eo6rao1exu1lemfo2
argalı,eo6rao1ely
argamak,eo6rao1emfo2
argımak,eo6rao1bu2mfo2
argıt,eo6rao1bu2d
arı,eo6ry
arıg,eo6rbu2ao1
arık,eo6rbu2fo2
arıklamak,eo6rbu2fo2lemfo2
arıklanmak,eo6rbu2fo2lebo1mfo2
arıklatmak,eo6rbu2fo2lebo2mfo2
arılmak,eo6rbu2lmfo2
arımak,eo6rbu2mfo2
arınmak,eo6rbu2bo1mfo2
arıtmak,eo6rbu2bo2mfo2
ârız,aerzo1
ârızî,aerzo1y
ârif,aerfo1
âriyyet,aerybo2
arîz,aryzo1
ark,eo6rfo2
arka,eo6rfo2h
arkalı,eo6rfo2h||ly
arkalıç,eo6rfo2h||lbu2xu1
arkalık,eo6rfo2h||lfo2
arkurı,eo6rfo2wry
arma,eo6rmh
armador,eo6rmedwr
armağan,eo6rmao1ebo1
arman,eo6rmebo1
armoz,eo6rmwro1
armudî,eo6rmwdy
armut,eo6rmwd
arnavut,eo6rbo1ewd
arnavutça,eo6rbo1ewdxu1h
arnavutluk,eo6rbo1ewdlfo2
arnika,eo6rbo1bu2fo2e
arpa suyu,eo6rbu3h||zwbu2y
arpacı,eo6rbu3h||xu1y
arpacık,eo6rbu3h||xu1fo2
arpağ,eo6rbu3eao1
arpağan,eo6rbu3eao1ebo1
arpağcı,eo6rbu3eao1xu1y
arpalamak,eo6rbu3h||lemfo2
arpalık,eo6rbu3h||lfo2
arsa,arzh
arsenik,eo6rsbo1bu2k
arslan,eo6rslebo1
arslancı,eo6rslebo1xu1y
arslanhane,eo6rslebo1xo1ebo1h
arslanlamak,eo6rslebo1lemfo2
arşa,arso3h
arşın,eo6rso3bu2bo1
arşınlamak,eo6rso3bu2bo1lemfo2
arşınlık,eo6rso3bu2bo1lfo2
arşidük,eo6rso3bu2dwfo2
art,eo6rbo2
artamak,eo6rbo2emfo2
artıklık,eo6rbo2bu2fo2lfo2
artma,eo6rbo2mh
artmak,eo6rbo2mfo2
arttırılmak,eo6rbo2dbu2rlmfo2
arttırmak,eo6rbo2dbu2rmfo2
arûs,arws
arvana,eo6rwebo1h
arya,eo6rbu2e
arzan,erzo1e
arzıhâl,erzo1 xel
ârzû,eo6rro1w
ârzûkeş,eo6rro1wkso3
ârzûlamak,eo6rro1wlemfo2
ârzûlu,eo6rro1wly
ârzûmend,eo6rro1wmbo1d
asâ,aze
âsâ,eo6se
asab,azbu1
a'sâb,eazebu1
asabî,azbu1y
asabiyülmizac,azbu1y elmro1exu1
asabiyyet,azbu1bu2bo2
âsaf,eo6zfo1
asâkir,asekr
âsâm,eo6bo3em
asamm,ezm
âsân,eo6sebo1
a'sâr,eazer
âsâr,eo6bo3er
âsâyiş,eo6seyso3
asdika,ezdfo2e
asel,asl
ases,ass
asfer,ezfo1r
asgar,ezao1r
asgarî,ezao1ry
ashâb,ezxebu1
âsım,aezm
asır ba'de asır,azr bu1ad azr
âsî,aezy
âsîb,eo6sbu2bu1
asîl,ezbu2l
asîlzâde,ezbu2l ro1edh
âsim,eo6bo3m
asîr,azbu2r
âsitan,eo6sbo2ebo1
âsiyâ,eo6sbu2e
âsiyâb,eo6sbu2ebu1
asker,askr
asl,ezl
asla,ezle
aslî,ezly
aslünesl,ezl w bo1sl
âsmân,eo6smebo1
âsmânî,eo6smebo1y
asnâm,ezbo1em
asr,azr
asrî,azry
assam,ebo3em
assar,ebo3er
assim,ebo3m
âstân,eo6sbo2ebo1
âstâne,eo6sbo2ebo1h
âster,eo6sbo2r
âstîn,eo6sbo2bu2bo1
âsûde,eo6swdh
âsûdegî,eo6swdko7y
âsûdehâtır,eo6swdh xo1etr
âsüman,eo6smebo1
âş,eo6so3
âşâm,eo6so3em
a'şâr,easo3er
a'şârî,easo3ery
aşer,aso3r
aşere,aso3rh
aşhâne,eo6so3xo1ebo1h
âşık,aeso3fo2
âşıkân,aeso3fo2ebo1
âşifte,eo6so3fo1bo2h
âşikâr,eo6so3ker
âşikâre,eo6so3kerh
âşina,eo6so3bo1e
aşîr,aso3bu2r
âşir,aeso3r
âşiren,aeso3re
âşiyân,eo6so3bu2ebo1
aşk,aso3fo2
âşkâr,eo6so3ker
âşkârâ,eo6so3kere
âşnâ,eo6so3bo1e
âşnâyân,eo6so3bo1eyebo1
âşnâyî,eo6so3bo1eyy
âşpez,eo6so3bu3ro1
aşre,aso3rh
âşûb,eo6so3wbu1
âşûbengîz,eo6so3wbu1 ebo1ko7bu2ro1
âşûrâ,aeso3wre
âşüfte,eo6so3fo1bo2h
âşüftedil,eo6so3fo1bo2h dl
at,eo6bo2
ât,ebo2
atâ,atec
atâbahş,ate bu1xo1so3
atabey,ebo2ebu1k
atak,eo6bo2efo2
ataklık,eo6bo2efo2lfo2
atâlet,atelbo2
ataş,atso3
ataşe,eo6bo2eso3h
atâyâ,ateye
atebât,abo2bu1ebo2
atebe,abo2bu1h
ateh,abo2h
aterina,eo6bo2rbu2bo1h
ateş,ebo2so3
âteş,eo6bo2so3
ateş balığı,eo6bo2so3||bu1elbu2ao1y
ateş böceği,eo6bo2so3||bu1wxu1ky
âteşbâr,eo6bo2so3 bu1er
âteşbâz,eo6bo2so3bu1ero1
ateşçi,eo6bo2so3xu1y
ateşçilik,eo6bo2so3xu1bu2lk
âteşdân,eo6bo2so3debo1
âteşdem,eo6bo2so3 dm
âteşefrûz,eo6bo2so3 efo1rwro1
âteşefşân,eo6bo2so3||efo1so3ebo1
âteşengîz,eo6bo2so3||ebo1kbu2ro1
âteşfâm,eo6bo2so3 fo1em
âteşgâh,eo6bo2so3ko7eh
âteşgede,eo6bo2so3ko7dh
âteşgîre,eo6bo2so3 ko7bu2rh
âteşgûn,eo6bo2so3 ko7wbo1
âteşhâne,eo6bo2so3xo1ebo1h
âteşîn,eo6bo2so3bu2bo1
âteşkâr,eo6bo2so3 ker
ateşkede,ebo2so3kdh
ateşlendirmek,eo6bo2so3lbo1dbu2rmk
ateşlenmek,eo6bo2so3lbo1mk
ateşli,eo6bo2so3ly
ateşlik,eo6bo2so3lk
âteşmizâc,eo6bo2so3 mro1exu1
âteşnâk,eo6bo2so3bo1ek
ateşperest,ebo2so3bu3rsbo2
âteşperest,eo6bo2so3 bu3rsbo2
âteşzebân,eo6bo2so3||ro1bu1ebo1
atf,atfo1
atfen,atfo1e
atıcı,eo6bo2bu2xu1y
âtıf,aetfo1
âtıfet,aetfo1bo2
atık,eo6bo2bu2fo2
âtıl,aetl
atılış,eo6bo2lbu2so3
atılma,eo6bo2lmh
atım,eo6bo2bu2m
atışmak,eo6bo2bu2so3mfo2
ati,ebo2y
atîk,abo2bu2fo2
atîka,abo2bu2fo2h
atîkiyyât,abo2bu2fo2bu2ebo2
at'ime,etamh
Atina,ebo2bu2bo1e
âtiye,eo6bo2bu2h
âtiyen,eo6bo2bu2e
âtiyülbeyân,eo6bo2y elbu1bu2ebo1
âtiyüzzikr,eo6bo2y eldo1kr
atiyyât,atbu2ebo2
atkılamak,eo6bo2fo2bu2lemfo2
atlama,eo6bo2lemh
atlambaç,eo6bo2lembu1exu1
atlandırmak,eo6bo2lebo1dbu2rmfo2
atlangıç,eo6bo2lebo1ao1bu2xu3
atlas,etls
atlayış,eo6bo2lebu2so3
atma,eo6bo2mh
atnâb,etbo1ebu1
ats,ats
atse,atsh
atş,atso3
atşân,atso3ebo1
attar,ater
attârî,atery
attırmak,eo6bo2dbu2rmfo2
atûfet,atwfo1bo2
avâid,awebo5d
avâkıb,awefo2bu1
avâlim,awelm
avâm,awem
avâmil,aweml
avâmpesend,awem bu3sbo1d
avân,ewebo1
âvâre,eo6werh
âvâreser,eo6werh sr
avârız,awerzo1
avârif,awerfo1
âvâz,eo6wero1
âvâze,eo6wero1h
avdet,awdbo2
a'vec,eawxu1
avene,awbo1h
a'ver,eawr
âvîze,eo6wyro1h
avn,awbo1
avrât,awrebo2
avret,awrbo2
âyâ,eo6ye
a'yâd,eabu2ed
ayân,abu2ebo1
a'yân,eabu2ebo1
ayâr,abu2er
âyât,eo6yebo2
ayb,abu2bu1
âyet,eo6ybo2
âyîn,eo6ybu2bo1
âyine,eo6ybo1h
âyînhân,eo6ybu2bo1 xo1webo1
ayn,abu2bo1
aynen,abu2bo1e
ayniyye,abu2bo1bu2h
ayniyyet,abu2bo1bu2bo2
aynülyakîn,abu2bo1 elbu2fo2bu2bo1
ayş,abu2so3
a'yün,eabu2bo1
ayyâr,abu2er
ayyârî,abu2ery
az,eo6ro1
a'zâ,eazo1e
azab,aro1bu1
azâb,ado1ebu1
azâbengiz,ado1ebu1 ebo1ko7bu2ro1
azacık,eo6ro1exu1fo2
âzâd,eo6ro1ed
âzâde,eo6ro1edh
âzâdegi,eo6ro1edky
azalmak,eo6ro1elmfo2
azaltmak,eo6ro1elbo2mfo2
a'zam,eato1m
azamet,ato1mbo2
âzân,eo6do1ebo1
azar,eo6ro1er
âzâr,eo6ro1er
azarlamak,eo6ro1erlemfo2
azarlanmak,eo6ro1erlebo1mfo2
azarlatmak,eo6ro1erlebo2mfo2
azarlayış,eo6ro1erlebu2so3
âzâtlamak,eo6ro1edlemfo2
âzâtlı,eo6ro1edly
âzâtlık,eo6ro1edlfo2
