a,eo6
adamak,eo6demfo2
adamakıllı,eo6dem afo2lly
adamcağız,eo6demxu1ao1ro1
adamcasına,eo6dmxu1h||sbo1h
adamcık,eo6demxu1fo2
adamcıl,eo6demxu1bu2l
adamsı,eo6th||msy
adamsız,eo6demsro1
Adana,eo6tbo1h
Adapazarı,eo6th||bu3ero1ery
adaptasyon,eo6debu1bo2esbu2wbo1
adaş,eo6deso3
adatmak,eo6debo2mfo2
adâvet,adewbo2
addetmek,adebu2bo2mk
aded,add
adem,adm
âdem,eo6dm
âdemî,eo6dmy
âdemiyet,eo6dmbu2bo2
adenit,eo6dh||bo1bu2bo2
adese,adsh
âdet,aedbo2
âdetâ,aedbo2e
adımlamak,eo6dbu2mlemfo2
adım,eo6dbu2m
Adıyaman,eo6dy||bu2emebo1
âdî,aedy
âdil,aedl
adil,adl
âdilâne,aedlebo1h
âdîlik,aedbu2lk
adlî,adly
adliye,adlbu2h
adlamak,eo6dlemfo2
adlanmak,eo6dlebo1mfo2
adres,eo6drs
adsız,eo6dsro1
adû,adw
af,afo1w
afacan,eo6fo1exu1ebo1
âfâk,eo6fo1efo2
âfâkî,eo6fo1efo2y
afallamak,eo6fo1ellemfo2
afallaşmak,eo6fo1ellso3mfo2
afallatmak,eo6fo1ellebo2mfo2
âfât,eo6fo1ebo2
âferîde,eo6fo1rbu2dh
âferin,eo6fo1rbu2bo1
âfet,eo6fo1bo2
âfetzede,eo6fo1bo2||ro1dh
afgan,eo6fo1ao1ebo1
afif,afo1fo1
afiş,eo6fo1bu2so3
âfitâb,eo6fo1bo2ebu1
âfiyet,aefo1bu2bo2
aforoz,eo6fo1fo1wrwro1
aforozlamak,eo6fo1wrwro1lemfo2
afyon,eo6fo1bu2wbo1
Afyon Karahisar,eo6fo1bu2wbo1 fo2rh||xzer
âgâh,eo6ko7eh
agrandisman,eo6ao1rebo1dysmebo1
ağ,eo6ao1
ağa,eo6ao1e
ağaç,eo6ao1exu3
ağaç,eo6ao1exu1
ağaççileği,eo6ao1exu1 xu1bu2lkbu2
ağaçkakan,eo6ao1exu1 fo2efo2ebo1
ağaçkavunu,eo6ao1exu1 fo2ewwbo1y
ağaçkurdu,eo6ao1exu1 fo2wrdy
ağaçlâlesi,eo6ao1exu1 le||lh||sy
ağalanmak,eo6ao1elebo1mfo2
ağaçlık,eo6ao1exu1lfo2
ağarma,eo6ao1ermh
ağarmak,eo6ao1ermfo2
ağartma,eo6ao1erbo2mh
ağartmak,eo6ao1erbo2mfo2
ağda,eo6ao1de
ağdacı,eo6ao1dexu1y
ağdalanmak,eo6ao1delebo1mfo2
ağdalaşmak,eo6ao1deleso3mfo2
ağdırmak,eo6ao1dbu2rmfo2
ağı,eo6ao1y
ağıl,eo6ao1bu2l
ağıllanmak,eo6ao1bu2llebo1mfo2
ağılmak,eo6ao1bu2lmfo2
ağır,eo6ao1r
ağırbaşlı,eo6ao1r bu1eso3ly
ağırlamak,eo6ao1rlemfo2
ağırlanmak,eo6ao1rlebo1mfo2
ağırlaşmak,eo6ao1rleso3mfo2
ağırlaştırmak,eo6ao1rleso3dbu2rmfo2
ağırlatmak,eo6ao1rlebo2mfo2
ağırlık,eo6ao1rlfo2
ağırşak,eo6ao1rso3efo2
ağırşaklanmak,eo6ao1rso3efo2lebo1mfo2
ağız,eo6ao1ro1
ağız,eo6ao1yro1
ağızdolusu,eo6ao1ro1 twlwsy
ağızlık,eo6ao1ro1lfo2
ağızotu,eo6ao1ro1 ewbo2y
ağlama,eo6ao1lemh
ağlamak,eo6ao1lemfo2
ağlamış,eo6ao1lemso3
ağlaşmak,eo6ao1leso3mfo2
ağlatmak,eo6ao1lebo2mfo2
ağlayış,eo6ao1lebu2so3
ağma,eo6ao1mh
ağmak,eo6ao1mfo2
ağnam,eao1bo1em
ağniyâ,eao1bo1bu2e
ağraz,eao1rezo1
ağrı,eo6ao1ry
ağrılı,eo6ao1rbu2ly
ağrıma,eo6ao1rbu2mh
ağrımak,eo6ao1rbu2mfo2
ağrıtmak,eo6ao1rbu2bo2mfo2
Ağustos,eo6ao1sbo2ws
ağustosböceği,eo6ao1sbo2ws bu1wxu1ky
âğûş,eo6ao1wso3
ağyâr,eao1bu1er
ağzıkara,eo6ao1ro1y||fo2ere
ah,eo6h
âhâd,eo6xed
ahâli,eo5hely
âhar,eo6xo1r
ahçı,eo6xo1xu1y
ahçılık,eo6xo1xu1bu2lfo2
ahdetmek,ahdebo2mk
ahdî,ahdy
âhen,eo6hbo1
âheste,eo6hsbo2h
ahır,eo6xo1wr
ahırlamak,eo6xo1wrlemfo2
ahid,ahd
ahidleşmek,ahdlso3mk
ahidnâme,ahdbo1emh
âhir,eo6xo1r
ahîren,exo1bu1reo44
âhiret,eo6xo1rbo2
âhize,eo6xo1do1h
ahlâf,exlefo1
ahlâk,exo1lefo2
ahlâkî,exo1lefo2y
ahlâkıyât,exo1lefo2bu2ebo2
ahlâkıyûn,exo1lefo2bu2wbo1
ahlâksız,exo1lefo2sro1
ahlat,eo6xo1let
Ahlat,eo6xo1let
ahmak,exmfo2
ahmer,exmr
ahretlik,eo6xo1rbo2lk
ahşab,exo1so3ebu1
ahtapot,eo6xo1bo2ebu3wd
ahter,exo1bo2r
âhû,eo6hw
âhubaba,eo6xo1w||bu1ebu1e
âhududu,eo6hw||twdy
ahvâl,exwel
âid,aebo5d
âidât,aebo5debo2
âile,aebo5lh
âilevî,aebo5lwy
ajan,eo6ro3ebo1
ajans,eo6ro3bo1s
ak,eo6fo2
aka,eo6fo2e
akâmet,afo2embo2
akabe,afo2bu1h
akademi,eo6fo2edh||my
akağaç,eo6fo2||eo6ao1exu1
akâid,afo2ebo5d
akamber,eo6fo2 abo1bu1r
akar,eo6fo2er
akar,afo2er
akaarat,afo2erebo2
akarat,afo2erebo2
akasya,eo6fo2esbu2e
akbaba,eo6fo2||bu1ebu1e
akbalık,eo6fo2 bu1elyfo2
akbenek,eo6fo2||bu1bo1k
akciğer,eo6fo2||xu3ko7r
akça,eo6fo2xu3h
Akçaabat,eo6fo2xu3h||eo6bu1ed
akçaağaç,eo6fo2xu3h||eo6ao1exu1
akçaarmudu,eo6fo2xu3h||eo6rmwdy
Akçadağ,eo6fo2xu3h||deao1
akçakavak,eo6fo2xu3h||fo2ewefo2
akçe,eo6fo2xu3h
Akdağ Mâden,eo6fo2deao1||madbo1
akdem,efo2dm
akdes,efo2ds
akdetmek,afo2debu2bo2mk
akdiken,eo6fo2||dbu2kbo1
akgünlük,eo6fo2||kwbo1lk
akhardal,eo6fo2||xrdel
akhaşhaş,eo6fo2||xo1so3xo1eso3
Akhisar,eo6fo2xser
akıcı,eo6fo2bu2xu1y
âkıl,aefo2l
âkılâne,aefo2lebo1h
âkıbet,aefo2bu1bo2
akıldişi,afo2l dbu2so3y
akıllı,afo2lly
akıllılık,afo2llbu2lfo2
akılsız,afo2lsro1
akılsızlık,afo2lsro1lfo2
akın,eo6fo2bu2bo1
akıncı,eo6fo2bu2bo1xu1y
akıntı,eo6fo2bu2bo1bo2y
akıtma,eo6fo2bu2bo2mh
akıtmak,eo6fo2bu2bo2mfo2
akıtmalı,eo6fo2bu2bo2mh||ly
akid,afo2d
akîde,afo2ydh
akik,afo2bu2fo2
âkıl,aefo2l
âkil,eo6kl
âkile,eo6klh
akîm,afo2bu2m
akis,aks
akkefal,eo6fo2 kfo1el
Akkuyruk,eo6fo2||fo2wbu2rwfo2
aklen,afo2leo4
aklık,eo6fo2lfo2
aklî,afo2ly
akma,eo6fo2mh
akmak,eo6fo2mfo2
akord,eo6fo2wrd
akordcu,eo6fo2wrdxu1y
akraba,efo2rbu1e
akran,efo2rebo1
akreb,afo2rbu1
aksâ,eo6fo2se
aksak,eo6fo2sefo2
aksakal,eo6fo2 sfo2el
aksamak,eo6fo2semfo2
Aksaray,eo6fo2srey
aksatmak,eo6fo2sebo2mfo2
Akseki,eo6fo2sky
aksırık,eo6fo2sbu2rbu2fo2
aksırmak,eo6fo2sbu2rmfo2
aksırtıcı,eo6fo2sbu2rbo2xu1y
aksırtmak,eo6fo2sbu2rbo2mfo2
aksi,aksy
aksilik,aksbu2lk
aksine,aksbo1h
aksiyon,eo6fo2sbu2wbo1
aksöğüt,eo6fo2||skwd
aksu,eo6fo2||sw
aksülümen,eo6fo2||slmbo1
akşam,eo6fo2so3em
akşamcı,eo6fo2so3emxu1y
akşamlamak,eo6fo2so3emlemfo2
akşamlatmak,eo6fo2so3emlebo2mfo2
akşamleyin,eo6fo2so3emlbu2bo1
akşamlı,eo6fo2so3emly
akşamlık,eo6fo2so3emlfo2
Akşehir,eo6fo2so3hr
aktar,ater
attar,ater
aktar,eo6fo2ter
aktarlık,aterlfo2
aktarma,eo6fo2bo2ermh
aktarmak,eo6fo2bo2ermfo2
aktavşan,eo6fo2||tewso3ebo1
aktris,eo6fo2bo2rbu2s
aktör,eo6fo2bo2wr
akustik,eo6fo2wsbo2bu2k
akümülatör,eo6kwmwlebo2wr
akvam,efo2wem
al,eo6l
âl,eo6l
albüm,eo6lbu1wm
albümin,eo6lbu1wmbu2bo1
alca,eo6lxu1h
alçak,eo6lxu3efo2
alçalmak,eo6lxu3elmfo2
alcı,eo6lxu3y
alçılamak,eo6lxu3bu2lemfo2
aldanış,eo6ldebo1yso3
aldanma,eo6ldebo1mh
aldanmak,eo6ldebo1mfo2
aldatıcı,eo6ldebo2xu1y
aldatmak,eo6ldebo2mfo2
aldırmak,eo6ldbu2rmfo2
alelacele,aly||elaxu1lh
alelâde,aly||elaedh
alelhusûs,aly||elxo1zwz
alelûmûm,aly||elamwm
alelüsûl,aly||elezwl
âlem,aelm
alemdâr,almder
alemdarlık,almderlfo2
âlemşümul,aelmso3mwl
alenen,albo1eo44
alenî,albo1y
âlet,eo6lbo2
aleykümselam,albu2km slem
alev,eo6lw
alev,alw
alev,eo6lh||w
alevî,alwy
alevîlik,alwbu2lk
alevlendirmek,eo6lwlbo1dbu2rmk
alevlendirmek,alwlbo1dbu2rmk
alevlenmek,eo6lw||lbo1mk
alevlenmek,alw||lbo1mk
alevli,alwly
alfabe,eo6lfo1ebu1h
alıcı,eo6lbu2xu1y
alıç,eo6lbu2xu1
alık,eo6lbu2fo2
alıkomak,eo6lbu2fo2wmfo2
alım,eo6lbu2m
alın,eo6lbo1
alın,eo6lbu2bo1
alıngan,eo6lbu2bo1ao1ebo1
alınlı,eo6lbo1ly
alınlık,eo6lbo1lfo2
alınmak,eo6lbo1mfo2
alış,eo6lbu2so3
alışık,eo6lbu2so3bu2fo2
alışılmak,eo6lbu2so3lmfo2
alışkan,eo6lbu2so3fo2ebo1
alışmak,eo6lbu2so3mfo2
alıştırmak,eo6lbu2so3bo2rmfo2
alıvermek,eo6lbu2wbu2rmk
âlî,aely
âlicenâb,aelbu2xu1bo1ebu1
âlicenablık,aelbu2xu1bo1ebu1lfo2
âlihe,eo6lhh
âlîkadir,aelbu2fo2dr
alîl,albu2l
âlim,aelm
alkış,eo6lfo2bu2so3
alkışlama,eo6lfo2bu2so3lemh
alkışlamak,eo6lfo2bu2so3lemfo2
alkışlanmak,eo6lfo2bu2so3lebo1mfo2
alkol,eo6lfo2wl
alkolik,eo6lfo2wlbu2k
Allah,ellh
allak,eo6llefo2
allâme,alemh
allık,eo6llfo2
almak,eo6lmfo2
alman,eo6lmebo1
Almanya,eo6lmebo1bu2e
alo,eo6lw
alp,eo6lbu3
alpak,eo6lbu3efo2
alt,eo6lbo2
altı,eo6lbo2y
altıköşe,eo6lbo2y||kwso3h
altılık,eo6lbo2bu2lfo2
altın,eo6lbo2wbo1
altıncı,eo6lbo2bo1xu1y
altıncı,eo6lbo2wbo1xu1y
altınkökü,eo6lbo2wbo1||kwky
altınkuyruk,eo6lbo2wbo1 fo2wbu2rwfo2
altınlamak,eo6lbo2wbo1lemfo2
altınotu,eo6lbo2wbo1 ewbo2y
altıntop,eo6lbo2wbo1 twbu3
altıntopu,eo6lbo2wbo1 twbu3y
altıparmak,eo6lbo2y bu3ermefo2
altıpatlar,eo6lbo2y||bu3ebo2ler
altışar,eo6lbo2bu2so3r
altlık,eo6lbo2lfo2
altmış,eo6lbo2mso3
altmışaltı,eo6lbo2mso3||eo6lbo2y
altmışar,eo6lbo2mso3r
altmışıncı,eo6lbo2mso3bo1xu1y
altmışlamak,eo6lbo2mso3lemfo2
altmışlık,eo6lbo2mso3lfo2
Alucra,eo6lwxu1rh
âlûde,eo6lwdh
âlüfte,eo6lfo1bo2h
aluminyum,eo6lwmbu2bo1bu2wm
ama,eo6me
amma,eo6me
â'mâ,eame
amaç,eo6mexu1
âmâde,eo6medh
aman,eo6mebo1
Amasya,eo6mesbu2h
ambar,eo6bo1bu1er
ambarcı,eo6bo1bu1erxu1y
ambargo,eo6mbu1erao1w
ambalaj,eo6mbu1elero3
amber,abo1bu1r
amber balığı,abo1bu1r bu1elbu2ao1bu2
amber çiçeği,abo1bu1r xu3bu2xu3ko7y
amberiye,abo1bu1rbu2h
amberli,abo1bu1rly
ambriyon,eo6mbu1rbu2bu2wbo1
amca,amxu1h
amcalık,amxu1h||lfo2
amcaoğlu,amxu1h||ewao1ly
amcazâde,amxu1h||ro1edh
amden,amdeo44
âmedî,eo6mdy
amel,aml
amele,amlh
amelî,amly
ameliyat,amlbu2ebo2
ameliye,amlyh
âmenna,eo6mbo1e
Amerika,eo6mryfo2e
Amerikan,eo6mryfo2ebo1
amîk,amyfo2
âmil,aeml
âmin,eo6mybo1
âmir,eo6mr
amiral,emyrel
âmiyâne,aemyebo1h
âmme,aemh
amonyak,eo6mwbo1yefo2
amortisman,eo6mwrbo2ysmebo1
amper,eo6mbu3r
ampirik,eo6bo1bu3yryk
ampirism,eo6mbu3yryro1m
ampul,eo6mbu3wl
an,eo6bo1
an,eo6k
ana,eo6bo1e
ana,eo6bo1h
anaç,eo6bo1exu1
anaçlamak,eo6bo1exu1lemfo2
ana defter,eo6bo1e dfo1bo2r
Anadolu,eo6bo1etwly
anadolulu,eo6bo1etwlyly
anafor,eo6bo1efo1wr
anahtar,eo6bo1exbo2er
analık,eo6bo1elfo2
analiz,eo6bo1elyro1
ananas,eo6bo1ebo1es
an'ane,abo1abo1h
Anamur,eo6bo1emwr
anâsır,abo1ezr
anason,eo6bo1ezwbo1
anarşi,eo6bo1erso3y
anarşist,eo6bo1erso3ysbo2
ancak,eo6bo1xu1fo2
and,eo6bo1d
Andırın,eo6bo1dyrybo1
andırmak,eo6bo1dyrmfo2
andızotu,eo6bo1dyro1ewbo1y
andlaşmak,eo6bo1dleso3mfo2
âne,eo6bo1h||
anestezi,eo6bo1h||sbo2h||ro1y
anfiteatr,eo6bo1fo1y||bo2h||eo6bo2r
angajman,eo6bo1ao1ero3mebo1
angarya,eo6bo1ao1eryh
anılmak,eo6ko3lmfo2
anırmak,eo6ko3yrmfo2
anırtmak,eo6ko3yrbo2mfo2
anız,eo6ko3yro1
ânîde,eo6bo1ydh
anilin,eo6bo1ylybo1
anjin,eo6bo1ro3ybo1
anket,eo6bo1kbo2
ankaa,abo1fo2e
anka,abo1fo2e
Ankara,eo6bo1fo2rh
ankarib,abo1 fo2rybu1
ankasdin,abo1fo2zdu4
anlamak,eo6ko3lemfo2
anlanmak,eo6ko3lebo1mfo2
anlaşılmak,eo6ko3leso3lmfo2
anlaşmak,eo6ko3leso3mfo2
anlatdırmak,eo6ko3lebo2dyrmfo2
anlatmak,eo6ko3lebo2mfo2
anlatılmak,eo6ko3ledylmfo2
anlatış,eo6ko3ledyso3
anlayış,eo6ko3leyso3
anlayışlı,eo6ko3leyso3ly
anmak,eo6ko3mfo2
anne,eo6bo1bo1h
anonim,eo6bo1wbo1ym
ansız,eo6ko3sro1
ansızın,eo6ko3sro1ybo1
ansiklopedi,eo6bo1sbu2fo2lwbu2h||dy
Antalya,eo6bo1telyh
anten,eo6bo1bo2h||bo1
antika,eo6bo1bo2yfo2h
antimon,eo6bo1bo2ymwbo1
antipirin,eo6bo1bo2ybu3yrybo1
antisepsi,eo6bo1bo2y||sh||bu3sy
antiseptik,eo6bo1bo2y||sh||bu3bo2yk
antre,eo6bo1bo2rh
antrenör,eo6bo1bo2rh||bo1wr
antrepo,eo6bo1bo2rbu3w
amûd,amwd
amûden,amwdeo44
amûdî,amwdy
anûd,abo1wd
apaçık,eo6bu3||eo6xu3yfo2
apandisit,eo6bu3ebo1dysybo2
apansız,eo6bu3eko3sro1
apansızın,eo6bu3eko3sro1ybo1
apartıman,eo6bu3erbo2mebo1
aparmak,eo6bu3ermfo2
apış,eo6bu3so3
apolet,eo6bu3wlbo2
apse,eo6bu3sh
aptal,eo6bu3del
aptalsı,eo6bu3delsy
ar,aer
ara,eo6re
ârâ,eo6rec
Arab,arbu1
araba,eo6rebu1e
arabacı,eo6rebu1exu1y
arabağı,eo6rebu1eao1y
arabî,arbu1y
Arabistan,arbu1sbo2ebo1
arabiyât,arbu1yebo2
Araç,eo6rexu1
Arafat,arfo1ebo2
arakapı,eo6refo2ebu3y
aral,eo6rel
aralamak,eo6relemfo2
aralanmak,eo6relebo1mfo2
aralaşmak,eo6releso3mfo2
aralatmak,eo6relebo2mfo2
aralık,eo6relfo2
ârâm,eo6rem
arama,eo6remh
aramak,eo6remfo2
âramgâh,eo6remkeh
ârâmsâz,eo6remsero1
aranılmak,eo6rebo1ylmfo2
aranmak,eo6rebo1mfo2
Arapsun,arbu3swbo1
ararot,eo6rerwbo2
arasat,arzebo2
arasıra,eo6re||syre
araştırmak,eo6reso3dyrmfo2
aratmak,eo6rebo2mfo2
arattırmak,eo6rebo2dyrmfo2
arayıcı,eo6rebu2bu2xu1y
ârâyış,eo6reyso3
ârâz,earezo1
araz,arzo1
arazî,arzo1y
arâzi,erezo1y
arbede,arbu1dh
Ardahan,eo6rdehel
ardıç,eo6rdyxu3
ardıçkatranı,eo6rdyxu3 fo2trebo1y
ardıçkuşu,eo6rdyxu3 fo2wso3y
ardıçsuyu,eo6rdyxu3 zwyy
ardısıra,eo6rdy syre
ardiye,erzo1yh
arefe,arfo1h
arı,eo6ry
arıbeği,eo6ry bu1ky
arıbeyi,eo6ry bu1ky
arıçiçeği,eo6ry xu3yxu3ky
arık,eo6ryfo2
arık,eo6ryao1
arıklamak,eo6ryfo2lemfo2
arıklanmak,eo6ryfo2lebo1mfo2
arıklatmak,eo6ryfo2lebo2mfo2
arıkmak,eo6ryfo2mfo2
arılmak,eo6rylmfo2
arımak,eo6rymfo2
arınmak,eo6rybo1mfo2
arıkovanı,eo6ry fo2wao1ebo1y
arıkuşu,eo6ry fo2wso3y
arıotu,eo6ry ewbo2y
arıtmak,eo6rybo2mfo2
ârız,aerzo1
ârıza,aerzo1h
ârızalı,aerzo1h||ly
ârızasız,aerzo1h||sro1
arızî,aerzo1y
ârî,aery
ârif,aerfo1
ârifâne,aerfo1ebo1h
aristokrasi,eo6rysbo2wfo2resy
aristokrat,eo6rysbo2wfo2rebo2
âriyet,aerybo2
âriyeten,aeryho2o44
ariz,aryzo1
ariza,aryzo1h
Arjantin,eo6rro3ebo1bo2ybo1
ark,eo6rfo2
arka,eo6rfo2e
arkadaş,eo6rfo2edeso3
arkalı,eo6rfo2ely
arkalık,eo6rfo2elfo2
arkasıpek,eo6rfo2esy bu3k
arlanmak,aerlebo1mfo2
arma,eo6rme
armağan,eo6rmao1ebo1
armatör,eo6rmebo2wr
armonik,eo6rmwbo1yk
armud,eo6rmwd
armûdi,eo6rmwdy
arnavut,eo6rbo1ewwd
arnavutça,eo6rbo1ewwdxu1h
Arnavutluk,eo6rbo1ewwdlfo2
arpa,eo6rbu3e
arpacık,eo6rbu3exu1fo2
Arpaçay,eo6rbu3exu3ey
arpalamak,eo6rbu3elemfo2
arpalık,eo6rbu3elfo2
arpasuyu,eo6rbu3e swyy
arsa,arzh
arsenik,eo6rsh||bo1yk
arsız,aersro1
arsızlanmak,aersro1lebo1mfo2
arsızlık,aersro1lfo2
arş,eo6rso3
arş,arso3
arşın,eo6rso3ybo1
arşınlamak,eo6rso3ybo1lemfo2
arşınlık,eo6rso3ybo1lfo2
art,eo6rbo2
ard,eo6rd
artdırılmak,eo6rbo2dyrylmfo2
arttırılmak,eo6rbo2dyrylmfo2
artdırmak,eo6rbo2dyrmfo2
arttırmak,eo6rbo2dyrmfo2
artist,eo6rbo2ysbo2
artık,eo6rbo2yfo2
artıklık,eo6rbo2yfo2lfo2
artırmak,eo6rbo2yrmfo2
artma,eo6rbo2mh
artmak,eo6rbo2mfo2
Artova,eo6rbo2wwe
Artvin,eo6rbo2wybo1
aruz,arwzo1
arya,eo6rye
arz,erzo1
arz,arzo1
arzetmek,arzo1 eybo2mk
arzî,erzo1y
arzıyât,erzo1yebo2
arzu,eo6rro1w
arzuhâl,arzo1xel
arzûkeş,eo6rro1wkso3
arzulamak,eo6rro1wlemfo2
arzulu,eo6rro1wly
as,eo6s
as,eo4z
asâ,aze
âsâ,eo6se
asab,eazebu1
asabî,azbu1y
asabilik,azbu1ylk
asabiyeci,azbu1yh||xu1y
asabiyet,azbu1ybo2
asâlet,ezelbo2
âsân,eo6sebo1
asansör,eo6sebo1swr
âsâr,eo6bo3er
âsaar,eazer
âsar,eazer
âsâyiş,eo6seyso3
asdırmak,eo6zdyrmfo2
asepsi,eo6sh||bu3sy
asetilen,eo6sh||bo2ylbo1
asfalt,eo6sfo1elbo2
asgar,ezao1r
ashâb,ezxebu1
asıcı,eo6syxu1y
asıl,ezl
asılacak,eo6sylh||xu1fo2
asılı,eo6syly
asılış,eo6sylyso3
asılma,eo6sylmh
asılmak,eo6zylmfo2
asıntı,eo6zybo1bo2y
asır,azr
asr,azr
âsî,aezy
asil,ezyl
âsilik,aezylk
asilzâde,ezlro1u4edh
asit,eo6syd
âsitan,eo6sbo2ebo1
âsitâne,eo6sbo2ebo1h
âsiyâb,eo6syebu1
âsiye,eo6syh
asker,askr
askerî,askry
askeriye,askryh
askerlik,askrlk
askı,eo6zfo2y
aslâ,ezle
aslan,eo6rslebo1
aslanağzı,eo6rslebo1 eo6ao1ro1y
aslancı,eo6rslebo1xu1y
aslankuyruğu,eo6rslebo1 fo2wyrwao1y
aslanpençesi,erslebo1 bu3bo1xu1h||sy
aslî,ezly
asma,eo6smh
asmak,eo6zmfo2
asmakabağı,eo6zmh||fo2bu1eao1y
asrî,azry
asrîlik,azrbu2lk
astar,eo6sbo2er
astarlamak,eo6sbo2erlemfo2
astarlık,eo6sbo2erlfo2
âsûde,eo6swdh
âsûdegî,eo6swdko7y
âsumân,eo6smebo1
âsumânî,eo6smebo1y
Asya,eo6sbu2e
aş,eo6so3
aşağı,eo6so3eao1y
aşağılamak,eo6so3eao1bu2lemfo2
aşağılı,eo6so3eao1bu2ly
aşağılık,eo6so3eao1bu2lfo2
âşâr,easo3er
aşevi,eo6so3 ewy
aşhâne,eo6so3xo1ebo1h
aşıboyası,eo6so3y bu1wbu2esy
aşı,eo6so3y
aşıcı,eo6so3bu2xu1y
âşık,aeso3fo2
aşıkâne,aeso3fo2ebo1h
aşıkkemiği,eo6so3bu2fo2 kmbu2ko7y
aşıklık,aeso3fo2lfo2
aşılama,eo6so3bu2lemh
aşılamak,eo6so3bu2lemfo2
aşılanmak,eo6so3bu2lebo1mfo2
aşılatmak,eo6so3bu2lebo2mfo2
aşılı,eo6so3yly
aşındırmak,eo6so3ybo1dyrmfo2
aşınma,eo6so3ybo1mh
aşınmak,eo6so3ybo1mfo2
aşırı,eo6so3yry
aşırılmak,eo6so3yrlmfo2
aşırma,eo6so3yrmh
aşırmak,eo6so3yrmfo2
aşırtma,eo6so3yrbo2mh
aşırtmak,eo6so3yrbo2mfo2
aşısız,eo6so3ysro1
aşıtaşı,eo6so3y teso3y
âşifte,eo6so3fo1bo2h
âşikâr,eo6so3ker
âşikâre,eo6so3kerh
âşinâ,eo6so3bo1e
âşinâlık,eo6so3bo1elfo2
âşinâyi,eo6so3bo1eyy
aşîret,aso3yrbo2
âşiyân,eo6so3yebo1
âşiyâne,eo6so3yebo1h
aşk,aso3fo2
aşkın,eo6so3fo2ybo1
aşlamak,eo6so3lemfo2
aşlatmak,eo6so3lebo2mfo2
aşma,eo6so3mh
aşmak,eo6so3mfo2
aşûre,aso3wre
aşûre,aeso3wre
ata,eo6bo2e
atâ,ate
atak,eo6bo2efo2
ataklık,eo6bo2efo2lfo2
atâlet,atelbo2
ataşe,eo6bo2eso3h
atbalığı,eo6bo2 bu1elyao1y
ateh,abo2h
atelye,eo6bo2lyh
ateş,eo6bo2so3
ateşâne,eo6bo2so3xo1ebo1h||
ateşbalığı,eo6bo2so3 bu1elyao1y
ateşbâz,eo6bo2so3bu1ero1
ateşböceği,eo6bo2so3 bu1wxu1ky
ateşçi,eo6bo2so3xu1y
âteşgede,eo6bo2so3kdh
âteşî,eo6bo2so3y
âteşîn,eo6bo2so3ybo1
