â,eo6
ardbîz,eo6rdbu1bu2ro1
arefe,arfo1h
ârız,aerzo1
ârızî,aerzo1y
ârî,aery
ârî,eo6ry
ârif,aerfo1
âriyyet,aerybo2
arîz,aryzo1
arman,eo6rmebo1
arsa,arzh
arş,arso3
arşa,arso3h
arûs,arws
arz,erzo1
arz,arzo1
arz,arzo1
arzan,erzo1e
arzıhâl,erzo1 xel
ârzû,eo6rro1w
asâ,aze
âsâ,eo6se
asab,azbu1
a'sâb,eazebu1
asabî,azbu1y
asabiyülmizac,azbu1y elmro1exu1
asabiyyet,azbu1bu2bo2
âsaf,eo6zfo1
asâkir,asekr
asalet,ezelbo2
asamm,ezm
âsân,eo6sebo1
a'sâr,eazer
âsâr,eo6bo3er
âsâyiş,eo6seyso3
âsâyiş berkemâl,eo6seyso3 bu1rkmel
asdika,ezdfo2e
asel,asl
ases,ass
asfer,ezfo1r
asgar,ezao1r
asgarî,ezao1ry
ashâb,ezxebu1
âsım,aezm
asır ba'de asır,azr bu1ad azr
âsî,aezy
âsîb,eo6sbu2bu1
asîl,ezbu2l
asîlzâde,ezbu2l ro1edh
asîr,azbu2r
âsitan,eo6sbo2ebo1
âsiyâ,eo6sbu2e
âsiyâb,eo6sbu2ebu1
asker,askr
asl,ezl
asla,ezle
aslî,ezly
aslünesl,ezl w bo1sl
âsmân,eo6smebo1
âsmânî,eo6smebo1y
asnâm,ezbo1em
asr,azr
asrî,azry
âstân,eo6sbo2ebo1
âstâne,eo6sbo2ebo1h
âster,eo6sbo2r
âstîn,eo6sbo2bu2bo1
âsûde,eo6swdh
âsûdegî,eo6swdko7y
âsûdehâtır,eo6swdh xo1etr
âsüman,eo6smebo1
âş,eo6so3
âşâm,eo6so3em
a'şâr,easo3er
a'şârî,easo3ery
aşer,aso3r
aşere,aso3rh
aşhâne,eo6so3xo1ebo1h
âşık,aeso3fo2
âşıkân,aeso3fo2ebo1
âşifte,eo6so3fo1bo2h
âşikâr,eo6so3ker
âşikâre,eo6so3kerh
âşina,eo6so3bo1e
aşîr,aso3bu2r
âşir,aeso3r
âşiren,aeso3re
âşiyân,eo6so3bu2ebo1
aşk,aso3fo2
âşkâr,eo6so3ker
âşkârâ,eo6so3kere
âşnâ,eo6so3bo1e
âşnâyân,eo6so3bo1eyebo1
âşnâyî,eo6so3bo1eyy
âşpez,eo6so3bu3ro1
aşre,aso3rh
âşûb,eo6so3wbu1
âşûbengîz,eo6so3wbu1 ebo1ko7bu2ro1
âşûrâ,aeso3wre
âşüfte,eo6so3fo1bo2h
âşüftedil,eo6so3fo1bo2h dl
ât,ebo2
atâ,atec
atâbahş,ate bu1xo1so3
atâlet,atelbo2
ataş,atso3
atâyâ,ateye
atebât,abo2bu1ebo2
atebe,abo2bu1h
ateh,abo2h
âteş,eo6bo2so3
âteşbâr,eo6bo2so3 bu1er
âteşbâz,eo6bo2so3bu1ero1
âteşdân,eo6bo2so3debo1
âteşdem,eo6bo2so3 dm
âteşefrûz,eo6bo2so3 efo1rwro1
âteşfâm,eo6bo2so3 fo1em
âteşfeşân,eo6bo2so3 fo1so3ebo1
âteşgâh,eo6bo2so3ko7eh
âteşgede,eo6bo2so3ko7dh
âteşgîre,eo6bo2so3 ko7bu2rh
âteşgûn,eo6bo2so3 ko7wbo1
âteşî,eo6bo2so3y
âteşîn,eo6bo2so3bu2bo1
âteşkâr,eo6bo2so3 ker
âteşmizâc,eo6bo2so3 mro1exu1
âteşpâre,eo6bo2so3 bu3erh
âteşperest,eo6bo2so3 bu3rsbo2
atf,atfo1
atfen,atfo1e
âtıf,aetfo1
âtıfet,aetfo1bo2
âtıfetkâr,aetfo1bo2ker
âtıl,aetl
âtî,eo6bo2y
atîk,abo2bu2fo2
atîka,abo2bu2fo2h
atîkiyyât,abo2bu2fo2bu2ebo2
at'ime,etamh
âtiye,eo6bo2bu2h
âtiyen,eo6bo2bu2e
âtiyülbeyân,eo6bo2y elbu1bu2ebo1
âtiyüzzikr,eo6bo2y eldo1kr
atiyyât,atbu2ebo2
atiyye-i seniyye,atbu2hc sbo1bu2h
atlas,etls
atnâb,etbo1ebu1
ats,ats
atse,atsh
atş,atso3
atşân,atso3ebo1
attar,ater
attârî,atery
atûfet,atwfo1bo2
avâid,awebo5d
avâkıb,awefo2bu1
avâlim,awelm
avâm,awem
avâmil,aweml
avâmpesend,awem bu3sbo1d
avân,ewebo1
âvâre,eo6werh
âvâreser,eo6werh sr
avârız,awerzo1
avârif,awerfo1
âvâz,eo6wero1
âvâze,eo6wero1h
avdet,awdbo2
a'vec,eawxu1
avene,awbo1h
a'ver,eawr
âvîze,eo6wyro1h
avn,awbo1
avrât,awrebo2
avret,awrbo2
âyâ,eo6ye
a'yâd,eabu2ed
ayân,abu2ebo1
a'yân,eabu2ebo1
ayâr,abu2er
âyât,eo6yebo2
ayb,abu2bu1
âyet,eo6ybo2
âyîn,eo6ybu2bo1
âyine,eo6ybo1h
âyînhân,eo6ybu2bo1 xo1webo1
ayn,abu2bo1
aynen,abu2bo1e
ayniyye,abu2bo1bu2h
ayniyyet,abu2bo1bu2bo2
aynülyakîn,abu2bo1 elbu2fo2bu2bo1
ayş,abu2so3
a'yün,eabu2bo1
ayyâr,abu2er
ayyârî,abu2ery
a'zâ,eazo1e
azab,aro1bu1
azâb,ado1ebu1
azâbengiz,ado1ebu1 ebo1ko7bu2ro1
âzâd,eo6ro1ed
âzâde,eo6ro1edh
âzâdî,eo6ro1edy
a'zam,eato1m
azamet,ato1mbo2
âzâr,eo6ro1er
azdâd,ezo1ded
âzer,eo6do1r
âzerâsâ,eo6do1reo6se
azil,aro1l
azîm,ato1bu2m
âzim,aero1m
azîmet,aro1ymbo2
aziz,aro1yro1
azîzan,aro1yro1ebo1
azîze,aro1yro1h
azl,aro1l
azm,aro1m
azm,ato1m
âzmâyiş,eo6ro1meyso3
âzmend,eo6ro1mbo1d
azrâ,ado1re
azrâil,aro1debo5bu2l
azrar,ezo1rer
azulât,azo1lebo2
âzürde,eo6ro1rdh
bâ,bu1e
bâb,bu1ebu1
bâbâ,bu1ebu1e
bâbâyâne,bu1ebu1eyebo1h
bâbûne,bu1ebu1wbo1h
bâc,bu1exu1
bâcgîr,bu1exu1ko7bu2r
bâd,bu1ed
bâdâm,bu1edem
bâdbân,bu1edbu1ebo1
bâdbedest,bu1edbu1dsbo2
bâdbîz,bu1edbu1bu2ro1
ba'de,bu1ad
bâde,bu1edh
bâdefürûş,bu1edh fo1rwso3
bâdehâr,bu1edh xo1wer
ba'dehu,bu1adh
bâdekeş,bu1edh kso3
ba'delmîlâd,bu1adelmbu2led
ba'demâ,bu1adme
bâdenûş,bu1edh bo1wso3
ba'dezin,bu1adero1eybo1
bâdî,bu1edy
bâdire,bu1edrh
bâdiye,bu1edyh
bâğ,bu1eao1
bağal,bu1ao1l
bâğbân,bu1eao1bu1ebo1
bâğçe,bu1eao1xu3h
bağçevan,bu1eao1xu3webo1
bağteten,bu1ao1bo2ho2
bâh,bu1eh
bahâ,bu1he
bâhaber,bu1exo1bu1r
bahâdar,bu1heder
bahâdır,bu1hedr
bahâne,bu1hebo1h
bahânecû,bu1hebo1h xu1w
bahâr,bu1her
bahârî,bu1hery
bahâyim,bu1heym
bahîl,bu1xo1bu2l
bâhired,bu1exo1rd
bahis,bu1xbo3
bâhis,bu1exbo3
bahr,bu1xr
bahr-i ahdar,bu1xr exzo1r
bahr-i ahmer,bu1xr exmr
bahr-i hazer,bu1xr xo1ro1r
bahr-i kulzum,bu1xr fo2lro1m
bahr-i muhît-i atlasî,bu1xr mxbu2t etlsy
bahr-i muhît-i kebîr,bu1xr mxbu2t kbu1bu2r
bahr-i mutavassıt,bu1xr mbo2wst
bahr-i siyâh,bu1xr sbu2eh
bahs,bu1xbo3
bahş,bu1xo1so3
bahşâyiş,bu1xo1so3eyso3
bahşiş,bu1xo1so3so3
baht,bu1xo1bo2
bahtiyârî,bu1xo1bo2bu2ery
bâhûr,bu1exo1wr
bâhusus,bu1exo1zwz
baîd,bu1abu2d
bâis,bu1eabo3
bâjurnal,bu1ero3wrbo1el
bâk,bu1ek
bakâyâ,bu1fo2eye
bakıyye,bu1fo2bu2h
bâkî,bu1efo2y
bâkir,bu1ekr
bâkire,bu1ekrh
bâl,bu1el
bâlâ,bu1ele
bâlâbülend,bu1elebu1lbo1d
bâlâhâne,bu1elexo1ebo1h
bâlâpervaz,bu1elebu3rwero1
bâliğ,bu1elao1
bâlîn,bu1elbu2bo1
bâliş,bu1elso3
bâm,bu1em
bâmazbata,bu1emzo1bu1th
bâmdâd,bu1emded
bâmukâvele,bu1emfo2ewlh
bâng,bu1ebo1ko7
bânû,bu1ebo1w
bâr,bu1er
bârân,bu1erebo1
bârapor,bu1erebu3wr
bârber,bu1erbu1r
bâre,bu1erh
bârgâh,bu1erko7eh
bârgîr,bu1erko7bu2r
bârî,bu1ery
bârid,bu1erd
bârîk,bu1eryk
bârika,bu1erfo2h
bâriz,bu1erro1
bârû,bu1erw
bârver,bu1erwr
ba's,bu1abo3
basar,bu1zr
basîret,bu1zbu2rbo2
basît,bu1sbu2t
bast,bu1st
ba'süba'delmevt,bu1abo3 bu1ad elmwbo2
batâet,bu1tebo5bo2
bâtakrîr,bu1ebo2fo2ryr
bâtıl,bu1etl
batın,bu1tbo1
bâtınen,bu1etbo1e
batî,bu1ty
batn,bu1tbo1
batt,bu1t
battal,bu1tel
bâvekar,bu1ewfo2er
bâyi,bu1eya
bayrakdâr,bu1bu2dfo2der
baytâr,bu1bu2ter
bâz,bu1ero1
ba'zan,bu1azo1e
bazargâh,bu1ero1erko7eh
bazen,bu1azo1e
bazı,bu1azo1
bâzî,bu1ero1y
bâzîçe,bu1ero1yxu3h
bâzû,bu1ero1w
bebr,bu1bu1r
becâ,bu1xu1e
becâyiş,bu1xu1eyso3
beççe,bu1xu3h
bed,bu1d
bedahd,bu1dahd
bedâheten,bu1dehho2
bedahlâk,bu1dexo1lefo2
bedâvâz,bu1deo6wero1
bedâvet,bu1dewbo2
bedâyi',bu1deya
bedbaht,bu1dbu1xo1bo2
bedbîn,bu1dbu1bu2bo1
bedbû,bu1dbu1w
bedcins,bu1dxu1bo1s
bedçeşm,bu1dxu3so3m
beddil,bu1ddl
bedduâ,bu1ddae
bedelât,bu1dlebo2
bedendîş,bu1debo1dyso3
bedenen,bu1dbo1e
bedestân,bu1ro1sbo2ebo1
bedevî,bu1dwy
bedeviyyet,bu1dwybo2
bedfercâm,bu1dfo1rxu1em
bedgû,bu1dko7w
bedgüher,bu1dko7hr
bedhâh,bu1dxo1weh
bedhû,bu1dxo1w
bedî',bu1dya
bedîa,bu1dyah
bedîhe,bu1dyhh
bedîhî,bu1dyhy
bedkâr,bu1dker
bedlikâ,bu1dlfo2e
bedmâye,bu1dmeyh
bedmest,bu1dmsbo2
bedmestî,bu1dmsbo2y
bedmihr,bu1dmhr
bednâm,bu1dbo1em
bednigâh,bu1dbo1ko7eh
bednihâd,bu1dbo1hed
bedr,bu1dr
bedre,bu1drh
bedreftâr,bu1drfo1bo2er
bedreka,bu1drfo2h
bedrûd,bu1drwd
bedsigâl,bu1dsko7el
bedsîret,bu1dsbu2rbo2
bedsirişt,bu1dsrso3bo2
bedter,bu1dbo2r
bedtıynet,bu1dtbu2bo1bo2
bedzebân,bu1dro1bu1ebo1
bedzehre,bu1dro1hrh
begâyet,bu1ao1eybo2
behâ,bu1he
behbûd,bu1hbu1wd
behcet,bu1hxu1bo2
behem,bu1hm
behemehâl,bu1hh xel
