turkish_latin,needs_suffix,
mızıldan,F,
mızırdan,F,
naftalinle,F,
nakled,T,
naklet,F,
nakışla,F,
nakşed,T,
nakşet,F,
nakşol,F,
nalla,F,
nefesle,F,
neşred,T,
neşret,F,
neşrolun,F,
neşterle,F,
nicele,F,
nikelle,F,
nitele,F,
nitelen,F,
niyetlen,F,
nişanla,F,
nodulla,F,
noktala,F,
numarala,F,
nötrle,F,
nüksed,T,
nükset,F,
odakla,F,
okkala,F,
okla,F,
okra,F,
oksijenle,F,
oksitle,F,
oku,F,
okşa,F,
ol,F,
olagel,F,
olgunlaş,F,
oluş,F,
omuzla,F,
on,F,
ona,F,
onar,F,
onayla,F,
oralıol,F,
oranla,F,
orsala,F,
ortala,F,
ortaya,F,
osur,F,
ota,F,
otala,F,
otla,F,
otur,F,
ov,F,
ovala,F,
ovuştur,F,
ovuştur:oğuştur,F,
oy,F,
oyal,F,
oyala,F,
oyla,F,
oylumla,F,
oyna,F,
oynaş,F,
oyulga,F,
oyulgala,F,
oyumla,F,
oyver,F,
ozonla,F,
pahla,F,
paketle,F,
pakla,F,
palamutla,F,
palazla,F,
panikle,F,
parafele,F,
parala,F,
parla,F,
parselle,F,
parçala,F,
parılda,F,
paspasla,F,
patakla,F,
patla,F,
patpatla,F,
payandala,F,
payla,F,
paylaş,F,
pazarla,F,
pehpehle,F,
pekit,F,
pekiş,F,
pençele,F,
pepele,F,
perdahla,F,
perdele,F,
perçinle,F,
peydahla,F,
peyle,F,
peçele,F,
pinekle,F,
pisle,F,
piyazla,F,
piş,F,
planla,F,
planyala,F,
pohpohla,F,
pompala,F,
ponzala,F,
porsu,F,
postala,F,
poyrazla,F,
poşetle,F,
presle,F,
programla,F,
puanla,F,
pudrala,F,
pufla,F,
pulla,F,
pus,F,
pusula,F,
pöfle,F,
pörsü,F,
pörtle,F,
püfkür,F,
püfle,F,
püskür,F,
pırla,F,
pırpırla,F,
pırtla,F,
pırılda,F,
pıtırda,F,
pışpışla,F,
rahatla,F,
rakamla,F,
rampala,F,
rapted,T,
raptet,F,
raptiyele,F,
rasgel,F,
raspala,F,
rastgel,F,
rastla,F,
redded,T,
reddet,F,
reddeyle,F,
rehned,F,
rehnet,F,
rendele,F,
renkle,F,
resimle,F,
resmed,T,
resmet,F,
rezele,F,
rimelle,F,
rujla,F,
röntgenle,F,
sabahla,F,
sabitle,F,
sabred,T,
sabret,F,
sabunla,F,
sahipol,F,
sahnele,F,
sakatla,F,
sakinle,F,
sakla,F,
sakın,F,
sal,F,
saldır,F,
salgıla,F,
salla,F,
salçala,F,
salın,F,
salıver,F,
san,F,
sancı,F,
sandıkla,F,
sangıla,F,
sanrıla,F,
sansürle,F,
sap,F,
sapla,F,
sapta,F,
sapıt,F,
sar,F,
sarar,F,
sarfed,T,
sarfet,F,
sargıla,F,
sarhoşla,F,
sark,F,
sarkaçla,F,
sarkıt,F,
sarmala,F,
sarmaş,F,
sars,F,
sarsala,F,
sarsıl,F,
sarıl,F,
sarımsakla,F,
sarın,F,
sası,F,
sat,F,
sataş,F,
satınal,F,
sav,F,
savakla,F,
savatla,F,
savaş,F,
savla,F,
savrul,F,
savsa,F,
savsakla,F,
savul,F,
savun,F,
savur,F,
savuş,F,
say,F,
saygıgöster,F,
saykalla,F,
sayla,F,
sayıkla,F,
sayıla,F,
sayımla,F,
saç,F,
saçala,F,
saçmala,F,
sağ,F,
sağal,F,
sağla,F,
sağlamla,F,
sağol,F,
sebepol,F,
sek,F,
sekile,F,
selametle,F,
selamla,F,
sembolizeed,T,
sembolizeet,F,
semerle,F,
semir,F,
semizle,F,
sendele,F,
sentezle,F,
sepele,F,
sepetle,F,
sepile,F,
ser,F,
serbestle,F,
sergile,F,
serinle,F,
serp,F,
serpele,F,
serpiştir,F,
sersemle,F,
sesle,F,
sev,F,
sevgigöster,F,
sevin,F,
seviş,F,
sevked,T,
sevket,F,
seyir,F,
seyred,T,
seyrel,F,
seyret,F,
seyreyle,F,
sez,F,
sezinle,F,
seç,F,
seğir,F,
seğirt,F,
sifonla,F,
siftahla,F,
siftin,F,
sigortala,F,
sik,F,
sikkele,F,
sil,F,
silahla,F,
silk,F,
silkele,F,
silkin,F,
silola,F,
simgele,F,
sin,F,
sindir,F,
sinirle,F,
sistirele,F,
sivril,F,
sobele,F,
sok,F,
sokul,F,
sokuştur,F,
sol,F,
solla,F,
solu,F,
solukla,F,
somur,F,
somurt,F,
sondala,F,
sonuçla,F,
sopala,F,
sor,F,
sorgula,F,
soruştur,F,
soy,F,
soyun,F,
soyutla,F,
soğanla,F,
soğu,F,
soğukla,F,
soğul,F,
soğur,F,
soğut,F,
stokla,F,
sula,F,
sumsukla,F,
sun,F,
sus,F,
susa,F,
suvar,F,
suçla,F,
sök,F,
sölpü,F,
sömür,F,
sön,F,
sönümle,F,
söv,F,
söyle,F,
söze^t,F,
sözle,F,
sözleş,F,
süblimleş,F,
südre,F,
sülfürle,F,
sümkür,F,
sün,F,
sündür,F,
süngüle,F,
sünnetle,F,
süpür,F,
sür,F,
sürdür,F,
süregel,F,
sürgüle,F,
sürgüned,T,
sürgünet,F,
sürmele,F,
sürt,F,
sürtün,F,
sürtüş,F,
sürç,F,
sürü,F,
sürükle,F,
sürün,F,
süsle,F,
süz,F,
süzül,F,
sıfırla,F,
sık,F,
sıkıl,F,
sıkıla,F,
sıkın,F,
sın,F,
sına,F,
sınıfla,F,
sınırla,F,
sırala,F,
sırla,F,
sırnaş,F,
sırrol,F,
sırtar,F,
sırtla,F,
sırıkla,F,
sırıt,F,
sıva,F,
sıvala,F,
sıvat,F,
sıvazla,F,
sıvaş,F,
sıvın,F,
sıvış,F,
sıyrıl,F,
sıyır,F,
sız,F,
sızla,F,
sızıldan,F,
sıç,F,
sıçra,F,
sığ,F,
sığın,F,
sığış,F,
taahhüted,T,
taahhütet,F,
tabakala,F,
tabakla,F,
tabiol,F,
tad,T,
tak,F,
takozla,F,
takın,F,
takış,F,
talanla,F,
talaşla,F,
taleped,T,
talepet,F,
tamamla,F,
tamamlan,F,
tamponla,F,
tanele,F,
tanla,F,
tanı,F,
tanıkla,F,
tanıla,F,
tanımla,F,
tanıtla,F,
tap,F,
tapala,F,
tapanla,F,
tapula,F,
tapıkla,F,
tapın,F,
tapışla,F,
tara,F,
tarakla,F,
tarazla,F,
taraşla,F,
tarhile,F,
tart,F,
tartakla,F,
tartış,F,
tasarla,F,
tasarımla,F,
tasla,F,
tasımla,F,
tat,F,
tatbiked,T,
tatbiket,F,
tavla,F,
tavsa,F,
tazele,F,
taş,F,
taşla,F,
taşı,F,
taşın,F,
taşır,F,
tedarikle,F,
tekerle,F,
tekle,F,
tekmele,F,
tekmille,F,
tekrarla,F,
telala,F,
telesi,F,
telle,F,
tembihle,F,
temizle,F,
tep,F,
tepele,F,
tepikle,F,
tepin,F,
tepirle,F,
tepki,F,
tepser,F,
terasla,F,
terazile,F,
tercümeed,T,
tercümeet,F,
terked,T,
terket,F,
terle,F,
tersin,F,
tersle,F,
tertiple,F,
testerele,F,
tetikle,F,
tevekle,F,
teyelle,F,
tezle,F,
teşekküred,T,
teşekküret,F,
teşkiled,T,
teşkilet,F,
teşviked,T,
teşviket,F,
tiksin,F,
tipile,F,
tiple,F,
titre,F,
titremle,F,
titreş,F,
tohumla,F,
tokatla,F,
tokaçla,F,
tokurda,F,
tokuş,F,
tolereed,T,
tolereet,F,
tomrukla,F,
tomur,F,
tonla,F,
topakla,F,
topalla,F,
toparla,F,
topla,F,
toplan,F,
toprakla,F,
topukla,F,
torbala,F,
tornala,F,
torpille,F,
tosla,F,
toz,F,
tozar,F,
tozu,F,
tozut,F,
tunçla,F,
turala,F,
turfala,F,
turla,F,
tut,F,
tutamla,F,
tutkalla,F,
tutukla,F,
tutun,F,
tutuş,F,
tuzakla,F,
tuzla,F,
tuşla,F,
tökezle,F,
törpüle,F,
töskür,F,
tüken,F,
tüket,F,
tükür,F,
tükürükle,F,
tümle,F,
tüne,F,
tünekle,F,
tüple,F,
türe,F,
türküle,F,
tüt,F,
tütsüle,F,
tüy,F,
tık,F,
tıka,F,
tıkaçla,F,
tıkla,F,
tıksır,F,
tıkın,F,
tıkırda,F,
tıkıştır,F,
tımarla,F,
tın,F,
tıngırda,F,
tınla,F,
tıpala,F,
tıpırda,F,
tıpışla,F,
tıraşla,F,
tırkazla,F,
tırla,F,
tırmala,F,
tırman,F,
tırmıkla,F,
tırnakla,F,
tırpanla,F,
tırs,F,
tırtıkla,F,
tırılla,F,
tısla,F,
ucuzla,F,
ufal,F,
ufala,F,
ufla,F,
ula,F,
ulaş,F,
ulu,F,
ulula,F,
um,F,
umursa,F,
unla,F,
unut,F,
usan,F,
uslamla,F,
utan,F,
uy,F,
uyan,F,
uyar,F,
uyarla,F,
uydur,F,
uygula,F,
uylaş,F,
uyu,F,
uyukla,F,
uyuş,F,
uza,F,
uzaksa,F,
uzan,F,
uzat,F,
uzlaş,F,
uç,F,
uçukla,F,
uçuş,F,
uğra,F,
uğrala,F,
uğrat,F,
uğraş,F,
uğrula,F,
uğulda,F,
uğun,F,
uğurla,F,
uğursa,F,
vaded,T,
vadet,F,
vakfed,T,
vakfet,F,
vakla,F,
vakumla,F,
vakvakla,F,
var,F,
varakla,F,
vared,T,
varet,F,
varol,F,
varsay,F,
vazelinle,F,
vazgeç,F,
vazgeçir,F,
ver,F,
vergile,F,
vernikle,F,
vidala,F,
vitrinle,F,
viyakla,F,
voltala,F,
vur,F,
vurgula,F,
vıcıkla,F,
vıcırda,F,
vınla,F,
vırla,F,
vızla,F,
vızılda,F,
yabala,F,
yabancıla,F,
yabansı,F,
yadsı,F,
yadırga,F,
yaftala,F,
yak,F,
yakala,F,
yakar,F,
yaklaş,F,
yakın,F,
yakınsa,F,
yakış,F,
yala,F,
yalanla,F,
yalazla,F,
yaldızla,F,
yalpala,F,
yalvar,F,
yalıt,F,
yama,F,
yamala,F,
yamrul,F,
yamul,F,
yan,F,
